[2023-02-04 19:14:04] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-04 19:14:04] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000030_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 19:14:18] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-04 19:15:01] [Epoch     1/  500] trn/posterior_energy -1.885e+06, trn/neg_log_likelihood  8.733e+04, trn/neg_log_prior -1.972e+06, trn/lr  3.000e-06, val/acc 3.425e-01, val/nll 1.760e+00 (best_acc: 0.000e+00 -> 3.425e-01, test_acc: 3.340e-01, test_nll: 1.758e+00)
[2023-02-04 19:15:15] [Epoch     2/  500] trn/posterior_energy -1.905e+06, trn/neg_log_likelihood  6.798e+04, trn/neg_log_prior -1.973e+06, trn/lr  3.000e-06, val/acc 4.263e-01, val/nll 1.541e+00 (best_acc: 3.425e-01 -> 4.263e-01, test_acc: 4.172e-01, test_nll: 1.546e+00)
[2023-02-04 19:15:27] [Epoch     3/  500] trn/posterior_energy -1.915e+06, trn/neg_log_likelihood  5.797e+04, trn/neg_log_prior -1.973e+06, trn/lr  3.000e-06, val/acc 4.159e-01, val/nll 1.593e+00
[2023-02-04 19:15:41] [Epoch     4/  500] trn/posterior_energy -1.923e+06, trn/neg_log_likelihood  5.026e+04, trn/neg_log_prior -1.973e+06, trn/lr  3.000e-06, val/acc 5.881e-01, val/nll 1.145e+00 (best_acc: 4.263e-01 -> 5.881e-01, test_acc: 5.866e-01, test_nll: 1.145e+00)
[2023-02-04 19:15:55] [Epoch     5/  500] trn/posterior_energy -1.930e+06, trn/neg_log_likelihood  4.329e+04, trn/neg_log_prior -1.973e+06, trn/lr  2.999e-06, val/acc 6.186e-01, val/nll 1.070e+00 (best_acc: 5.881e-01 -> 6.186e-01, test_acc: 6.196e-01, test_nll: 1.088e+00)
[2023-02-04 19:16:09] [Epoch     6/  500] trn/posterior_energy -1.935e+06, trn/neg_log_likelihood  3.792e+04, trn/neg_log_prior -1.973e+06, trn/lr  2.999e-06, val/acc 6.923e-01, val/nll 8.929e-01 (best_acc: 6.186e-01 -> 6.923e-01, test_acc: 6.906e-01, test_nll: 8.988e-01)
[2023-02-04 19:16:22] [Epoch     7/  500] trn/posterior_energy -1.940e+06, trn/neg_log_likelihood  3.322e+04, trn/neg_log_prior -1.973e+06, trn/lr  2.999e-06, val/acc 6.788e-01, val/nll 9.027e-01
[2023-02-04 19:16:36] [Epoch     8/  500] trn/posterior_energy -1.944e+06, trn/neg_log_likelihood  2.878e+04, trn/neg_log_prior -1.973e+06, trn/lr  2.998e-06, val/acc 7.314e-01, val/nll 7.671e-01 (best_acc: 6.923e-01 -> 7.314e-01, test_acc: 7.358e-01, test_nll: 7.597e-01)
[2023-02-04 19:16:50] [Epoch     9/  500] trn/posterior_energy -1.948e+06, trn/neg_log_likelihood  2.506e+04, trn/neg_log_prior -1.973e+06, trn/lr  2.998e-06, val/acc 7.394e-01, val/nll 7.507e-01 (best_acc: 7.314e-01 -> 7.394e-01, test_acc: 7.268e-01, test_nll: 7.717e-01)
[2023-02-04 19:17:04] [Epoch    10/  500] trn/posterior_energy -1.951e+06, trn/neg_log_likelihood  2.148e+04, trn/neg_log_prior -1.973e+06, trn/lr  2.997e-06, val/acc 7.607e-01, val/nll 6.947e-01 (best_acc: 7.394e-01 -> 7.607e-01, test_acc: 7.617e-01, test_nll: 6.999e-01)
[2023-02-04 19:17:18] [Epoch    11/  500] trn/posterior_energy -1.955e+06, trn/neg_log_likelihood  1.811e+04, trn/neg_log_prior -1.973e+06, trn/lr  2.997e-06, val/acc 7.690e-01, val/nll 6.757e-01 (best_acc: 7.607e-01 -> 7.690e-01, test_acc: 7.682e-01, test_nll: 6.844e-01)
[2023-02-04 19:17:32] [Epoch    12/  500] trn/posterior_energy -1.957e+06, trn/neg_log_likelihood  1.554e+04, trn/neg_log_prior -1.973e+06, trn/lr  2.996e-06, val/acc 7.861e-01, val/nll 6.477e-01 (best_acc: 7.690e-01 -> 7.861e-01, test_acc: 7.848e-01, test_nll: 6.530e-01)
[2023-02-04 19:17:46] [Epoch    13/  500] trn/posterior_energy -1.960e+06, trn/neg_log_likelihood  1.250e+04, trn/neg_log_prior -1.973e+06, trn/lr  2.995e-06, val/acc 8.042e-01, val/nll 6.020e-01 (best_acc: 7.861e-01 -> 8.042e-01, test_acc: 8.066e-01, test_nll: 6.063e-01)
[2023-02-04 19:17:58] [Epoch    14/  500] trn/posterior_energy -1.962e+06, trn/neg_log_likelihood  1.047e+04, trn/neg_log_prior -1.973e+06, trn/lr  2.995e-06, val/acc 8.012e-01, val/nll 6.195e-01
[2023-02-04 19:18:11] [Epoch    15/  500] trn/posterior_energy -1.964e+06, trn/neg_log_likelihood  8.169e+03, trn/neg_log_prior -1.972e+06, trn/lr  2.994e-06, val/acc 7.970e-01, val/nll 7.062e-01
[2023-02-04 19:18:23] [Epoch    16/  500] trn/posterior_energy -1.966e+06, trn/neg_log_likelihood  6.444e+03, trn/neg_log_prior -1.972e+06, trn/lr  2.993e-06, val/acc 7.947e-01, val/nll 7.621e-01
[2023-02-04 19:18:35] [Epoch    17/  500] trn/posterior_energy -1.967e+06, trn/neg_log_likelihood  5.449e+03, trn/neg_log_prior -1.972e+06, trn/lr  2.992e-06, val/acc 7.957e-01, val/nll 7.504e-01
[2023-02-04 19:18:47] [Epoch    18/  500] trn/posterior_energy -1.968e+06, trn/neg_log_likelihood  4.606e+03, trn/neg_log_prior -1.972e+06, trn/lr  2.991e-06, val/acc 7.899e-01, val/nll 7.958e-01
[2023-02-04 19:19:01] [Epoch    19/  500] trn/posterior_energy -1.969e+06, trn/neg_log_likelihood  3.342e+03, trn/neg_log_prior -1.972e+06, trn/lr  2.990e-06, val/acc 8.043e-01, val/nll 7.585e-01 (best_acc: 8.042e-01 -> 8.043e-01, test_acc: 7.950e-01, test_nll: 7.841e-01)
[2023-02-04 19:19:14] [Epoch    20/  500] trn/posterior_energy -1.969e+06, trn/neg_log_likelihood  3.123e+03, trn/neg_log_prior -1.972e+06, trn/lr  2.989e-06, val/acc 7.916e-01, val/nll 8.039e-01
[2023-02-04 19:19:26] [Epoch    21/  500] trn/posterior_energy -1.969e+06, trn/neg_log_likelihood  2.800e+03, trn/neg_log_prior -1.972e+06, trn/lr  2.988e-06, val/acc 8.019e-01, val/nll 8.179e-01
[2023-02-04 19:19:40] [Epoch    22/  500] trn/posterior_energy -1.970e+06, trn/neg_log_likelihood  2.277e+03, trn/neg_log_prior -1.972e+06, trn/lr  2.986e-06, val/acc 8.137e-01, val/nll 7.699e-01 (best_acc: 8.043e-01 -> 8.137e-01, test_acc: 8.121e-01, test_nll: 7.926e-01)
[2023-02-04 19:19:52] [Epoch    23/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  1.895e+03, trn/neg_log_prior -1.972e+06, trn/lr  2.985e-06, val/acc 7.867e-01, val/nll 9.441e-01
[2023-02-04 19:20:04] [Epoch    24/  500] trn/posterior_energy -1.970e+06, trn/neg_log_likelihood  2.207e+03, trn/neg_log_prior -1.972e+06, trn/lr  2.984e-06, val/acc 8.012e-01, val/nll 8.923e-01
[2023-02-04 19:20:17] [Epoch    25/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  1.613e+03, trn/neg_log_prior -1.973e+06, trn/lr  2.982e-06, val/acc 8.033e-01, val/nll 8.809e-01
[2023-02-04 19:20:29] [Epoch    26/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  1.275e+03, trn/neg_log_prior -1.973e+06, trn/lr  2.981e-06, val/acc 7.990e-01, val/nll 8.268e-01
[2023-02-04 19:20:41] [Epoch    27/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  1.430e+03, trn/neg_log_prior -1.973e+06, trn/lr  2.979e-06, val/acc 8.054e-01, val/nll 8.303e-01
[2023-02-04 19:20:53] [Epoch    28/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  1.543e+03, trn/neg_log_prior -1.973e+06, trn/lr  2.978e-06, val/acc 8.015e-01, val/nll 8.937e-01
[2023-02-04 19:21:06] [Epoch    29/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  9.153e+02, trn/neg_log_prior -1.973e+06, trn/lr  2.976e-06, val/acc 7.748e-01, val/nll 9.576e-01
[2023-02-04 19:21:18] [Epoch    30/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.185e+03, trn/neg_log_prior -1.973e+06, trn/lr  2.974e-06, val/acc 8.019e-01, val/nll 8.523e-01
[2023-02-04 19:21:30] [Epoch    31/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.352e+03, trn/neg_log_prior -1.973e+06, trn/lr  2.973e-06, val/acc 7.998e-01, val/nll 9.329e-01
[2023-02-04 19:21:43] [Epoch    32/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.120e+03, trn/neg_log_prior -1.973e+06, trn/lr  2.971e-06, val/acc 8.125e-01, val/nll 8.500e-01
[2023-02-04 19:21:57] [Epoch    33/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.123e+03, trn/neg_log_prior -1.973e+06, trn/lr  2.969e-06, val/acc 8.206e-01, val/nll 8.345e-01 (best_acc: 8.137e-01 -> 8.206e-01, test_acc: 8.252e-01, test_nll: 8.383e-01)
[2023-02-04 19:22:09] [Epoch    34/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  8.520e+02, trn/neg_log_prior -1.974e+06, trn/lr  2.967e-06, val/acc 7.998e-01, val/nll 9.820e-01
[2023-02-04 19:22:21] [Epoch    35/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.515e+03, trn/neg_log_prior -1.974e+06, trn/lr  2.965e-06, val/acc 8.153e-01, val/nll 8.396e-01
[2023-02-04 19:22:34] [Epoch    36/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  7.379e+02, trn/neg_log_prior -1.974e+06, trn/lr  2.963e-06, val/acc 8.175e-01, val/nll 8.856e-01
