[2023-02-05 22:18:22] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 22:18:22] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.97
- args.prior_precision   : 40.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 22:18:36] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 22:19:20] [Epoch     1/  500] trn/posterior_energy  4.195e+06, trn/neg_log_likelihood  9.279e+04, trn/neg_log_prior  4.102e+06, trn/lr  1.000e-06, val/acc 2.602e-01, val/nll 2.012e+00 (best_acc: 0.000e+00 -> 2.602e-01, test_acc: 2.585e-01, test_nll: 2.006e+00)
[2023-02-05 22:19:34] [Epoch     2/  500] trn/posterior_energy  4.098e+06, trn/neg_log_likelihood  8.016e+04, trn/neg_log_prior  4.018e+06, trn/lr  1.000e-06, val/acc 3.364e-01, val/nll 1.792e+00 (best_acc: 2.602e-01 -> 3.364e-01, test_acc: 3.421e-01, test_nll: 1.782e+00)
[2023-02-05 22:19:48] [Epoch     3/  500] trn/posterior_energy  4.073e+06, trn/neg_log_likelihood  7.424e+04, trn/neg_log_prior  3.999e+06, trn/lr  9.999e-07, val/acc 3.659e-01, val/nll 1.736e+00 (best_acc: 3.364e-01 -> 3.659e-01, test_acc: 3.745e-01, test_nll: 1.723e+00)
[2023-02-05 22:20:02] [Epoch     4/  500] trn/posterior_energy  4.064e+06, trn/neg_log_likelihood  6.874e+04, trn/neg_log_prior  3.995e+06, trn/lr  9.999e-07, val/acc 4.108e-01, val/nll 1.622e+00 (best_acc: 3.659e-01 -> 4.108e-01, test_acc: 4.190e-01, test_nll: 1.625e+00)
[2023-02-05 22:20:15] [Epoch     5/  500] trn/posterior_energy  4.061e+06, trn/neg_log_likelihood  6.525e+04, trn/neg_log_prior  3.995e+06, trn/lr  9.998e-07, val/acc 4.012e-01, val/nll 1.652e+00
[2023-02-05 22:20:29] [Epoch     6/  500] trn/posterior_energy  4.059e+06, trn/neg_log_likelihood  6.281e+04, trn/neg_log_prior  3.996e+06, trn/lr  9.997e-07, val/acc 4.577e-01, val/nll 1.474e+00 (best_acc: 4.108e-01 -> 4.577e-01, test_acc: 4.569e-01, test_nll: 1.479e+00)
[2023-02-05 22:20:43] [Epoch     7/  500] trn/posterior_energy  4.057e+06, trn/neg_log_likelihood  6.007e+04, trn/neg_log_prior  3.997e+06, trn/lr  9.996e-07, val/acc 4.767e-01, val/nll 1.409e+00 (best_acc: 4.577e-01 -> 4.767e-01, test_acc: 4.791e-01, test_nll: 1.426e+00)
[2023-02-05 22:20:56] [Epoch     8/  500] trn/posterior_energy  4.057e+06, trn/neg_log_likelihood  5.853e+04, trn/neg_log_prior  3.999e+06, trn/lr  9.994e-07, val/acc 4.801e-01, val/nll 1.418e+00 (best_acc: 4.767e-01 -> 4.801e-01, test_acc: 4.800e-01, test_nll: 1.433e+00)
[2023-02-05 22:21:10] [Epoch     9/  500] trn/posterior_energy  4.056e+06, trn/neg_log_likelihood  5.639e+04, trn/neg_log_prior  4.000e+06, trn/lr  9.993e-07, val/acc 4.983e-01, val/nll 1.376e+00 (best_acc: 4.801e-01 -> 4.983e-01, test_acc: 4.962e-01, test_nll: 1.384e+00)
[2023-02-05 22:21:24] [Epoch    10/  500] trn/posterior_energy  4.055e+06, trn/neg_log_likelihood  5.355e+04, trn/neg_log_prior  4.001e+06, trn/lr  9.991e-07, val/acc 5.534e-01, val/nll 1.214e+00 (best_acc: 4.983e-01 -> 5.534e-01, test_acc: 5.531e-01, test_nll: 1.222e+00)
[2023-02-05 22:21:36] [Epoch    11/  500] trn/posterior_energy  4.055e+06, trn/neg_log_likelihood  5.154e+04, trn/neg_log_prior  4.003e+06, trn/lr  9.989e-07, val/acc 5.518e-01, val/nll 1.233e+00
