[2023-05-31 15:28:38] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 15:28:38] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 101
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_101x1-batch_2048-iter_64k-lr_0.8-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 15:28:39] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=4, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=5, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=6, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=7, process_index=0, slice_index=0)]

[2023-05-31 15:29:08] images.shape: (8, 256, 224, 224, 3), output.shape: (8, 256, 2048)
[2023-05-31 17:22:12] [Iter   13000/  64000] trn/loss 2.204e+00, trn/negative_log_likelihood 2.204e+00, trn/w_norm 1.555e+02, trn/g_norm 8.274e-01, trn/lr 7.780e-01, trn/dyn_scale 6.554e+04, val/acc 4.666e-01, val/nll 2.343e+00, val/best_acc 4.905e-01
[2023-05-31 17:30:41] [Iter   14000/  64000] trn/loss 2.177e+00, trn/negative_log_likelihood 2.177e+00, trn/w_norm 1.556e+02, trn/g_norm 8.285e-01, trn/lr 7.703e-01, trn/dyn_scale 6.554e+04, val/acc 5.154e-01, val/nll 2.055e+00, val/best_acc 5.154e-01 (best_acc: 4.905e-01 -> 5.154e-01)
[2023-05-31 17:39:17] [Iter   15000/  64000] trn/loss 2.164e+00, trn/negative_log_likelihood 2.164e+00, trn/w_norm 1.557e+02, trn/g_norm 8.319e-01, trn/lr 7.616e-01, trn/dyn_scale 6.554e+04, val/acc 4.760e-01, val/nll 2.275e+00, val/best_acc 5.154e-01
[2023-05-31 17:47:46] [Iter   16000/  64000] trn/loss 2.139e+00, trn/negative_log_likelihood 2.139e+00, trn/w_norm 1.557e+02, trn/g_norm 8.354e-01, trn/lr 7.517e-01, trn/dyn_scale 6.554e+04, val/acc 5.035e-01, val/nll 2.148e+00, val/best_acc 5.154e-01
[2023-05-31 17:56:16] [Iter   17000/  64000] trn/loss 2.121e+00, trn/negative_log_likelihood 2.121e+00, trn/w_norm 1.557e+02, trn/g_norm 8.387e-01, trn/lr 7.408e-01, trn/dyn_scale 6.554e+04, val/acc 4.891e-01, val/nll 2.237e+00, val/best_acc 5.154e-01
[2023-05-31 18:04:45] [Iter   18000/  64000] trn/loss 2.105e+00, trn/negative_log_likelihood 2.105e+00, trn/w_norm 1.555e+02, trn/g_norm 8.439e-01, trn/lr 7.289e-01, trn/dyn_scale 6.554e+04, val/acc 5.088e-01, val/nll 2.111e+00, val/best_acc 5.154e-01
[2023-05-31 18:13:31] [Iter   19000/  64000] trn/loss 2.084e+00, trn/negative_log_likelihood 2.084e+00, trn/w_norm 1.553e+02, trn/g_norm 8.466e-01, trn/lr 7.160e-01, trn/dyn_scale 6.554e+04, val/acc 4.852e-01, val/nll 2.282e+00, val/best_acc 5.154e-01
[2023-05-31 18:22:07] [Iter   20000/  64000] trn/loss 2.077e+00, trn/negative_log_likelihood 2.077e+00, trn/w_norm 1.550e+02, trn/g_norm 8.513e-01, trn/lr 7.021e-01, trn/dyn_scale 6.554e+04, val/acc 5.383e-01, val/nll 2.005e+00, val/best_acc 5.383e-01 (best_acc: 5.154e-01 -> 5.383e-01)
[2023-05-31 18:30:38] [Iter   21000/  64000] trn/loss 2.051e+00, trn/negative_log_likelihood 2.051e+00, trn/w_norm 1.545e+02, trn/g_norm 8.575e-01, trn/lr 6.874e-01, trn/dyn_scale 6.554e+04, val/acc 4.883e-01, val/nll 2.245e+00, val/best_acc 5.383e-01
[2023-05-31 18:39:12] [Iter   22000/  64000] trn/loss 2.041e+00, trn/negative_log_likelihood 2.041e+00, trn/w_norm 1.542e+02, trn/g_norm 8.636e-01, trn/lr 6.718e-01, trn/dyn_scale 6.554e+04, val/acc 4.681e-01, val/nll 2.359e+00, val/best_acc 5.383e-01
[2023-05-31 18:47:53] [Iter   23000/  64000] trn/loss 2.022e+00, trn/negative_log_likelihood 2.022e+00, trn/w_norm 1.538e+02, trn/g_norm 8.691e-01, trn/lr 6.554e-01, trn/dyn_scale 6.554e+04, val/acc 5.153e-01, val/nll 2.084e+00, val/best_acc 5.383e-01
[2023-05-31 18:56:34] [Iter   24000/  64000] trn/loss 2.000e+00, trn/negative_log_likelihood 2.000e+00, trn/w_norm 1.532e+02, trn/g_norm 8.750e-01, trn/lr 6.383e-01, trn/dyn_scale 6.554e+04, val/acc 5.093e-01, val/nll 2.126e+00, val/best_acc 5.383e-01
[2023-05-31 19:05:10] [Iter   25000/  64000] trn/loss 1.989e+00, trn/negative_log_likelihood 1.989e+00, trn/w_norm 1.527e+02, trn/g_norm 8.833e-01, trn/lr 6.204e-01, trn/dyn_scale 6.554e+04, val/acc 5.546e-01, val/nll 1.869e+00, val/best_acc 5.546e-01 (best_acc: 5.383e-01 -> 5.546e-01)
[2023-05-31 19:13:48] [Iter   26000/  64000] trn/loss 1.964e+00, trn/negative_log_likelihood 1.964e+00, trn/w_norm 1.521e+02, trn/g_norm 8.906e-01, trn/lr 6.019e-01, trn/dyn_scale 6.554e+04, val/acc 5.278e-01, val/nll 2.049e+00, val/best_acc 5.546e-01
[2023-05-31 19:22:22] [Iter   27000/  64000] trn/loss 1.948e+00, trn/negative_log_likelihood 1.948e+00, trn/w_norm 1.515e+02, trn/g_norm 8.986e-01, trn/lr 5.827e-01, trn/dyn_scale 6.554e+04, val/acc 5.529e-01, val/nll 1.874e+00, val/best_acc 5.546e-01
[2023-05-31 19:30:53] [Iter   28000/  64000] trn/loss 1.929e+00, trn/negative_log_likelihood 1.929e+00, trn/w_norm 1.507e+02, trn/g_norm 9.077e-01, trn/lr 5.631e-01, trn/dyn_scale 6.554e+04, val/acc 5.590e-01, val/nll 1.846e+00, val/best_acc 5.590e-01 (best_acc: 5.546e-01 -> 5.590e-01)
[2023-05-31 19:39:21] [Iter   29000/  64000] trn/loss 1.907e+00, trn/negative_log_likelihood 1.907e+00, trn/w_norm 1.500e+02, trn/g_norm 9.177e-01, trn/lr 5.429e-01, trn/dyn_scale 6.554e+04, val/acc 5.471e-01, val/nll 1.926e+00, val/best_acc 5.590e-01
[2023-05-31 19:47:47] [Iter   30000/  64000] trn/loss 1.892e+00, trn/negative_log_likelihood 1.892e+00, trn/w_norm 1.492e+02, trn/g_norm 9.256e-01, trn/lr 5.224e-01, trn/dyn_scale 6.554e+04, val/acc 5.619e-01, val/nll 1.837e+00, val/best_acc 5.619e-01 (best_acc: 5.590e-01 -> 5.619e-01)
[2023-05-31 19:56:27] [Iter   31000/  64000] trn/loss 1.863e+00, trn/negative_log_likelihood 1.863e+00, trn/w_norm 1.484e+02, trn/g_norm 9.383e-01, trn/lr 5.014e-01, trn/dyn_scale 6.554e+04, val/acc 5.437e-01, val/nll 1.939e+00, val/best_acc 5.619e-01
[2023-05-31 20:05:00] [Iter   32000/  64000] trn/loss 1.847e+00, trn/negative_log_likelihood 1.847e+00, trn/w_norm 1.474e+02, trn/g_norm 9.489e-01, trn/lr 4.802e-01, trn/dyn_scale 6.554e+04, val/acc 5.746e-01, val/nll 1.807e+00, val/best_acc 5.746e-01 (best_acc: 5.619e-01 -> 5.746e-01)
[2023-05-31 20:13:32] [Iter   33000/  64000] trn/loss 1.825e+00, trn/negative_log_likelihood 1.825e+00, trn/w_norm 1.465e+02, trn/g_norm 9.626e-01, trn/lr 4.587e-01, trn/dyn_scale 6.554e+04, val/acc 5.895e-01, val/nll 1.708e+00, val/best_acc 5.895e-01 (best_acc: 5.746e-01 -> 5.895e-01)
[2023-05-31 20:22:02] [Iter   34000/  64000] trn/loss 1.798e+00, trn/negative_log_likelihood 1.798e+00, trn/w_norm 1.455e+02, trn/g_norm 9.735e-01, trn/lr 4.370e-01, trn/dyn_scale 6.554e+04, val/acc 5.746e-01, val/nll 1.772e+00, val/best_acc 5.895e-01
