[2023-02-12 15:43:21] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-12 15:43:21] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR100_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.97
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.3
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR100_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.970_b2-0.999_wd-0.0030_eps-1e-1_rho-0.3000_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-12 15:43:35] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-12 15:49:44] [Epoch    36/  200] trn/loss 4.300e+00, trn/lr 9.243e-01, trn/scale 1.061e-01, val/acc 2.721e-02, val/nll 4.522e+00
[2023-02-12 15:49:52] [Epoch    37/  200] trn/loss 4.281e+00, trn/lr 9.201e-01, trn/scale 1.057e-01, val/acc 3.783e-02, val/nll 4.326e+00
[2023-02-12 15:50:00] [Epoch    38/  200] trn/loss 4.294e+00, trn/lr 9.157e-01, trn/scale 1.053e-01, val/acc 1.726e-02, val/nll 4.814e+00
[2023-02-12 15:50:09] [Epoch    39/  200] trn/loss 4.298e+00, trn/lr 9.113e-01, trn/scale 1.050e-01, val/acc 3.241e-02, val/nll 4.334e+00
[2023-02-12 15:50:17] [Epoch    40/  200] trn/loss 4.323e+00, trn/lr 9.068e-01, trn/scale 1.047e-01, val/acc 2.832e-02, val/nll 4.369e+00
[2023-02-12 15:50:25] [Epoch    41/  200] trn/loss 4.297e+00, trn/lr 9.022e-01, trn/scale 1.044e-01, val/acc 2.920e-02, val/nll 4.390e+00
[2023-02-12 15:50:33] [Epoch    42/  200] trn/loss 4.445e+00, trn/lr 8.975e-01, trn/scale 1.042e-01, val/acc 1.759e-02, val/nll 5.085e+00
[2023-02-12 15:50:41] [Epoch    43/  200] trn/loss 4.464e+00, trn/lr 8.927e-01, trn/scale 1.040e-01, val/acc 2.301e-02, val/nll 4.471e+00
[2023-02-12 15:50:50] [Epoch    44/  200] trn/loss 4.411e+00, trn/lr 8.878e-01, trn/scale 1.039e-01, val/acc 2.058e-02, val/nll 4.528e+00
[2023-02-12 15:50:58] [Epoch    45/  200] trn/loss 4.454e+00, trn/lr 8.828e-01, trn/scale 1.038e-01, val/acc 9.956e-03, val/nll 4.594e+00
[2023-02-12 15:51:06] [Epoch    46/  200] trn/loss 4.529e+00, trn/lr 8.777e-01, trn/scale 1.037e-01, val/acc 1.781e-02, val/nll 4.574e+00
[2023-02-12 15:51:14] [Epoch    47/  200] trn/loss 4.502e+00, trn/lr 8.725e-01, trn/scale 1.036e-01, val/acc 1.350e-02, val/nll 5.115e+00
[2023-02-12 15:51:22] [Epoch    48/  200] trn/loss 4.375e+00, trn/lr 8.672e-01, trn/scale 1.035e-01, val/acc 2.091e-02, val/nll 4.454e+00
[2023-02-12 15:51:30] [Epoch    49/  200] trn/loss 4.460e+00, trn/lr 8.618e-01, trn/scale 1.034e-01, val/acc 8.628e-03, val/nll 4.617e+00
[2023-02-12 15:51:39] [Epoch    50/  200] trn/loss 4.458e+00, trn/lr 8.563e-01, trn/scale 1.034e-01, val/acc 1.759e-02, val/nll 7.494e+00
[2023-02-12 15:51:47] [Epoch    51/  200] trn/loss 4.386e+00, trn/lr 8.508e-01, trn/scale 1.033e-01, val/acc 1.648e-02, val/nll 5.066e+00
[2023-02-12 15:51:55] [Epoch    52/  200] trn/loss 4.380e+00, trn/lr 8.451e-01, trn/scale 1.033e-01, val/acc 2.334e-02, val/nll 4.407e+00
