[2023-02-05 13:46:09] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 13:46:09] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 80.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000030_mo-0.90_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 13:46:14] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 13:46:57] [Epoch     1/  500] trn/posterior_energy  5.726e+06, trn/neg_log_likelihood  9.480e+04, trn/neg_log_prior  5.632e+06, trn/lr  3.000e-06, val/acc 2.550e-01, val/nll 2.009e+00 (best_acc: 0.000e+00 -> 2.550e-01, test_acc: 2.622e-01, test_nll: 2.009e+00)
[2023-02-05 13:47:11] [Epoch     2/  500] trn/posterior_energy  5.576e+06, trn/neg_log_likelihood  8.126e+04, trn/neg_log_prior  5.494e+06, trn/lr  3.000e-06, val/acc 2.843e-01, val/nll 1.945e+00 (best_acc: 2.550e-01 -> 2.843e-01, test_acc: 2.862e-01, test_nll: 1.935e+00)
[2023-02-05 13:47:23] [Epoch     3/  500] trn/posterior_energy  5.563e+06, trn/neg_log_likelihood  7.866e+04, trn/neg_log_prior  5.484e+06, trn/lr  3.000e-06, val/acc 2.713e-01, val/nll 1.948e+00
[2023-02-05 13:47:37] [Epoch     4/  500] trn/posterior_energy  5.561e+06, trn/neg_log_likelihood  7.601e+04, trn/neg_log_prior  5.485e+06, trn/lr  3.000e-06, val/acc 2.993e-01, val/nll 1.929e+00 (best_acc: 2.843e-01 -> 2.993e-01, test_acc: 3.063e-01, test_nll: 1.929e+00)
[2023-02-05 13:47:51] [Epoch     5/  500] trn/posterior_energy  5.560e+06, trn/neg_log_likelihood  7.473e+04, trn/neg_log_prior  5.486e+06, trn/lr  2.999e-06, val/acc 3.340e-01, val/nll 1.775e+00 (best_acc: 2.993e-01 -> 3.340e-01, test_acc: 3.411e-01, test_nll: 1.767e+00)
[2023-02-05 13:48:05] [Epoch     6/  500] trn/posterior_energy  5.559e+06, trn/neg_log_likelihood  7.293e+04, trn/neg_log_prior  5.487e+06, trn/lr  2.999e-06, val/acc 3.742e-01, val/nll 1.716e+00 (best_acc: 3.340e-01 -> 3.742e-01, test_acc: 3.828e-01, test_nll: 1.706e+00)
[2023-02-05 13:48:19] [Epoch     7/  500] trn/posterior_energy  5.559e+06, trn/neg_log_likelihood  7.209e+04, trn/neg_log_prior  5.487e+06, trn/lr  2.999e-06, val/acc 3.812e-01, val/nll 1.684e+00 (best_acc: 3.742e-01 -> 3.812e-01, test_acc: 3.836e-01, test_nll: 1.683e+00)
[2023-02-05 13:48:33] [Epoch     8/  500] trn/posterior_energy  5.558e+06, trn/neg_log_likelihood  7.055e+04, trn/neg_log_prior  5.488e+06, trn/lr  2.998e-06, val/acc 4.118e-01, val/nll 1.616e+00 (best_acc: 3.812e-01 -> 4.118e-01, test_acc: 4.175e-01, test_nll: 1.611e+00)
[2023-02-05 13:48:45] [Epoch     9/  500] trn/posterior_energy  5.558e+06, trn/neg_log_likelihood  6.966e+04, trn/neg_log_prior  5.488e+06, trn/lr  2.998e-06, val/acc 3.762e-01, val/nll 1.738e+00
[2023-02-05 13:48:57] [Epoch    10/  500] trn/posterior_energy  5.558e+06, trn/neg_log_likelihood  6.914e+04, trn/neg_log_prior  5.489e+06, trn/lr  2.997e-06, val/acc 3.759e-01, val/nll 1.663e+00
[2023-02-05 13:49:09] [Epoch    11/  500] trn/posterior_energy  5.557e+06, trn/neg_log_likelihood  6.834e+04, trn/neg_log_prior  5.489e+06, trn/lr  2.997e-06, val/acc 3.852e-01, val/nll 1.642e+00
[2023-02-05 13:49:21] [Epoch    12/  500] trn/posterior_energy  5.558e+06, trn/neg_log_likelihood  6.786e+04, trn/neg_log_prior  5.490e+06, trn/lr  2.996e-06, val/acc 3.998e-01, val/nll 1.635e+00
[2023-02-05 13:49:35] [Epoch    13/  500] trn/posterior_energy  5.558e+06, trn/neg_log_likelihood  6.734e+04, trn/neg_log_prior  5.490e+06, trn/lr  2.995e-06, val/acc 4.352e-01, val/nll 1.524e+00 (best_acc: 4.118e-01 -> 4.352e-01, test_acc: 4.422e-01, test_nll: 1.527e+00)
[2023-02-05 13:49:47] [Epoch    14/  500] trn/posterior_energy  5.557e+06, trn/neg_log_likelihood  6.638e+04, trn/neg_log_prior  5.491e+06, trn/lr  2.995e-06, val/acc 4.164e-01, val/nll 1.602e+00
