[2023-02-10 15:25:56] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 15:25:56] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.700_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 15:26:11] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 15:30:33] [Epoch    24/  200] trn/loss 2.096e+00, trn/lr 9.663e-01, trn/scale 1.240e-01, val/acc 1.900e-01, val/nll 2.190e+00
[2023-02-10 15:30:41] [Epoch    25/  200] trn/loss 2.145e+00, trn/lr 9.634e-01, trn/scale 1.209e-01, val/acc 1.606e-01, val/nll 2.384e+00
[2023-02-10 15:30:50] [Epoch    26/  200] trn/loss 2.106e+00, trn/lr 9.604e-01, trn/scale 1.183e-01, val/acc 1.902e-01, val/nll 2.112e+00
[2023-02-10 15:30:58] [Epoch    27/  200] trn/loss 2.157e+00, trn/lr 9.573e-01, trn/scale 1.160e-01, val/acc 1.012e-01, val/nll 2.441e+00
[2023-02-10 15:31:06] [Epoch    28/  200] trn/loss 2.166e+00, trn/lr 9.541e-01, trn/scale 1.141e-01, val/acc 9.812e-02, val/nll 3.664e+00
[2023-02-10 15:31:14] [Epoch    29/  200] trn/loss 2.095e+00, trn/lr 9.507e-01, trn/scale 1.124e-01, val/acc 1.242e-01, val/nll 2.249e+00
[2023-02-10 15:31:22] [Epoch    30/  200] trn/loss 2.119e+00, trn/lr 9.473e-01, trn/scale 1.111e-01, val/acc 1.028e-01, val/nll 2.372e+00
[2023-02-10 15:31:30] [Epoch    31/  200] trn/loss 2.164e+00, trn/lr 9.437e-01, trn/scale 1.099e-01, val/acc 1.347e-01, val/nll 2.364e+00
[2023-02-10 15:31:39] [Epoch    32/  200] trn/loss 2.174e+00, trn/lr 9.400e-01, trn/scale 1.089e-01, val/acc 1.093e-01, val/nll 2.317e+00
[2023-02-10 15:31:47] [Epoch    33/  200] trn/loss 2.121e+00, trn/lr 9.363e-01, trn/scale 1.080e-01, val/acc 1.044e-01, val/nll 2.453e+00
[2023-02-10 15:31:55] [Epoch    34/  200] trn/loss 2.105e+00, trn/lr 9.324e-01, trn/scale 1.073e-01, val/acc 9.856e-02, val/nll 2.371e+00
[2023-02-10 15:32:03] [Epoch    35/  200] trn/loss 2.112e+00, trn/lr 9.284e-01, trn/scale 1.066e-01, val/acc 9.281e-02, val/nll 7.538e+01
[2023-02-10 15:32:11] [Epoch    36/  200] trn/loss 2.142e+00, trn/lr 9.243e-01, trn/scale 1.061e-01, val/acc 9.945e-02, val/nll 2.325e+00
[2023-02-10 15:32:20] [Epoch    37/  200] trn/loss 2.139e+00, trn/lr 9.201e-01, trn/scale 1.056e-01, val/acc 9.945e-02, val/nll 2.370e+00
[2023-02-10 15:32:28] [Epoch    38/  200] trn/loss 2.189e+00, trn/lr 9.157e-01, trn/scale 1.053e-01, val/acc 9.281e-02, val/nll 2.307e+00
[2023-02-10 15:32:36] [Epoch    39/  200] trn/loss 2.245e+00, trn/lr 9.113e-01, trn/scale 1.049e-01, val/acc 1.044e-01, val/nll 2.459e+00
[2023-02-10 15:32:44] [Epoch    40/  200] trn/loss 2.193e+00, trn/lr 9.068e-01, trn/scale 1.046e-01, val/acc 1.229e-01, val/nll 2.244e+00
[2023-02-10 15:32:52] [Epoch    41/  200] trn/loss 2.195e+00, trn/lr 9.022e-01, trn/scale 1.044e-01, val/acc 9.978e-02, val/nll 2.308e+00
[2023-02-10 15:33:00] [Epoch    42/  200] trn/loss 2.197e+00, trn/lr 8.975e-01, trn/scale 1.042e-01, val/acc 1.448e-01, val/nll 2.172e+00
[2023-02-10 15:33:08] [Epoch    43/  200] trn/loss 2.135e+00, trn/lr 8.927e-01, trn/scale 1.040e-01, val/acc 1.604e-01, val/nll 5.019e+00
[2023-02-10 15:33:17] [Epoch    44/  200] trn/loss 2.190e+00, trn/lr 8.878e-01, trn/scale 1.039e-01, val/acc 1.040e-01, val/nll 2.464e+00
[2023-02-10 15:33:25] [Epoch    45/  200] trn/loss 2.197e+00, trn/lr 8.828e-01, trn/scale 1.037e-01, val/acc 1.663e-01, val/nll 2.130e+00
[2023-02-10 15:33:33] [Epoch    46/  200] trn/loss 2.098e+00, trn/lr 8.777e-01, trn/scale 1.036e-01, val/acc 1.805e-01, val/nll 2.315e+00
[2023-02-10 15:33:41] [Epoch    47/  200] trn/loss 2.081e+00, trn/lr 8.725e-01, trn/scale 1.035e-01, val/acc 1.144e-01, val/nll 2.424e+00
[2023-02-10 15:33:49] [Epoch    48/  200] trn/loss 2.133e+00, trn/lr 8.672e-01, trn/scale 1.035e-01, val/acc 9.978e-02, val/nll 2.563e+00
[2023-02-10 15:33:57] [Epoch    49/  200] trn/loss 2.101e+00, trn/lr 8.618e-01, trn/scale 1.034e-01, val/acc 1.348e-01, val/nll 2.405e+00
[2023-02-10 15:34:05] [Epoch    50/  200] trn/loss 2.131e+00, trn/lr 8.563e-01, trn/scale 1.033e-01, val/acc 1.179e-01, val/nll 2.367e+00
[2023-02-10 15:34:14] [Epoch    51/  200] trn/loss 2.126e+00, trn/lr 8.508e-01, trn/scale 1.033e-01, val/acc 1.073e-01, val/nll 2.316e+00
[2023-02-10 15:34:22] [Epoch    52/  200] trn/loss 2.115e+00, trn/lr 8.451e-01, trn/scale 1.033e-01, val/acc 1.003e-01, val/nll 2.474e+00
[2023-02-10 15:34:30] [Epoch    53/  200] trn/loss 2.105e+00, trn/lr 8.394e-01, trn/scale 1.032e-01, val/acc 1.576e-01, val/nll 2.240e+00
[2023-02-10 15:34:38] [Epoch    54/  200] trn/loss 2.140e+00, trn/lr 8.336e-01, trn/scale 1.032e-01, val/acc 9.148e-02, val/nll 2.893e+00
[2023-02-10 15:34:46] [Epoch    55/  200] trn/loss 2.124e+00, trn/lr 8.277e-01, trn/scale 1.032e-01, val/acc 9.978e-02, val/nll 2.530e+00
[2023-02-10 15:34:54] [Epoch    56/  200] trn/loss 2.099e+00, trn/lr 8.217e-01, trn/scale 1.031e-01, val/acc 1.396e-01, val/nll 2.254e+00
[2023-02-10 15:35:02] [Epoch    57/  200] trn/loss 2.093e+00, trn/lr 8.157e-01, trn/scale 1.031e-01, val/acc 9.967e-02, val/nll 2.528e+00
[2023-02-10 15:35:11] [Epoch    58/  200] trn/loss 2.094e+00, trn/lr 8.096e-01, trn/scale 1.031e-01, val/acc 2.100e-01, val/nll 2.121e+00
[2023-02-10 15:35:19] [Epoch    59/  200] trn/loss 2.093e+00, trn/lr 8.034e-01, trn/scale 1.031e-01, val/acc 9.281e-02, val/nll 1.762e+01
[2023-02-10 15:35:27] [Epoch    60/  200] trn/loss 2.162e+00, trn/lr 7.971e-01, trn/scale 1.031e-01, val/acc 9.978e-02, val/nll 2.448e+00
[2023-02-10 15:35:35] [Epoch    61/  200] trn/loss 2.148e+00, trn/lr 7.907e-01, trn/scale 1.031e-01, val/acc 1.148e-01, val/nll 2.311e+00
[2023-02-10 15:35:43] [Epoch    62/  200] trn/loss 2.126e+00, trn/lr 7.843e-01, trn/scale 1.031e-01, val/acc 1.040e-01, val/nll 2.360e+00
[2023-02-10 15:35:51] [Epoch    63/  200] trn/loss 2.086e+00, trn/lr 7.778e-01, trn/scale 1.031e-01, val/acc 1.705e-01, val/nll 2.062e+00
[2023-02-10 15:36:00] [Epoch    64/  200] trn/loss 2.091e+00, trn/lr 7.712e-01, trn/scale 1.031e-01, val/acc 1.723e-01, val/nll 2.112e+00
[2023-02-10 15:36:08] [Epoch    65/  200] trn/loss 2.060e+00, trn/lr 7.646e-01, trn/scale 1.030e-01, val/acc 9.978e-02, val/nll 3.856e+00
[2023-02-10 15:36:16] [Epoch    66/  200] trn/loss 2.087e+00, trn/lr 7.579e-01, trn/scale 1.030e-01, val/acc 1.044e-01, val/nll 3.217e+00
[2023-02-10 15:36:24] [Epoch    67/  200] trn/loss 2.129e+00, trn/lr 7.512e-01, trn/scale 1.030e-01, val/acc 1.058e-01, val/nll 2.499e+00
[2023-02-10 15:36:32] [Epoch    68/  200] trn/loss 2.063e+00, trn/lr 7.443e-01, trn/scale 1.030e-01, val/acc 7.157e-02, val/nll 5.323e+00
[2023-02-10 15:36:40] [Epoch    69/  200] trn/loss 2.047e+00, trn/lr 7.374e-01, trn/scale 1.030e-01, val/acc 1.420e-01, val/nll 2.469e+00
[2023-02-10 15:36:48] [Epoch    70/  200] trn/loss 2.109e+00, trn/lr 7.305e-01, trn/scale 1.030e-01, val/acc 9.281e-02, val/nll 2.665e+00
[2023-02-10 15:36:57] [Epoch    71/  200] trn/loss 2.072e+00, trn/lr 7.235e-01, trn/scale 1.030e-01, val/acc 9.978e-02, val/nll 4.821e+00
[2023-02-10 15:37:05] [Epoch    72/  200] trn/loss 2.091e+00, trn/lr 7.165e-01, trn/scale 1.030e-01, val/acc 1.187e-01, val/nll 2.727e+00
[2023-02-10 15:37:13] [Epoch    73/  200] trn/loss 2.058e+00, trn/lr 7.093e-01, trn/scale 1.030e-01, val/acc 1.088e-01, val/nll 2.412e+00
[2023-02-10 15:37:21] [Epoch    74/  200] trn/loss 2.055e+00, trn/lr 7.022e-01, trn/scale 1.030e-01, val/acc 9.823e-02, val/nll 2.304e+00
[2023-02-10 15:37:29] [Epoch    75/  200] trn/loss 2.149e+00, trn/lr 6.950e-01, trn/scale 1.030e-01, val/acc 9.281e-02, val/nll 2.514e+01
[2023-02-10 15:37:37] [Epoch    76/  200] trn/loss 2.110e+00, trn/lr 6.877e-01, trn/scale 1.030e-01, val/acc 9.945e-02, val/nll 2.477e+00
[2023-02-10 15:37:45] [Epoch    77/  200] trn/loss 2.086e+00, trn/lr 6.804e-01, trn/scale 1.030e-01, val/acc 1.044e-01, val/nll 4.019e+00
[2023-02-10 15:37:54] [Epoch    78/  200] trn/loss 2.053e+00, trn/lr 6.731e-01, trn/scale 1.030e-01, val/acc 1.892e-01, val/nll 2.042e+00
[2023-02-10 15:38:02] [Epoch    79/  200] trn/loss 2.052e+00, trn/lr 6.657e-01, trn/scale 1.030e-01, val/acc 2.065e-01, val/nll 1.991e+00
[2023-02-10 15:38:10] [Epoch    80/  200] trn/loss 2.049e+00, trn/lr 6.583e-01, trn/scale 1.030e-01, val/acc 1.824e-01, val/nll 2.196e+00
[2023-02-10 15:38:18] [Epoch    81/  200] trn/loss 2.040e+00, trn/lr 6.508e-01, trn/scale 1.030e-01, val/acc 1.031e-01, val/nll 2.550e+00
[2023-02-10 15:38:26] [Epoch    82/  200] trn/loss 2.038e+00, trn/lr 6.433e-01, trn/scale 1.030e-01, val/acc 1.028e-01, val/nll 2.511e+00
[2023-02-10 15:38:35] [Epoch    83/  200] trn/loss 2.041e+00, trn/lr 6.357e-01, trn/scale 1.030e-01, val/acc 1.364e-01, val/nll 2.168e+00
[2023-02-10 15:38:43] [Epoch    84/  200] trn/loss 2.030e+00, trn/lr 6.282e-01, trn/scale 1.030e-01, val/acc 1.291e-01, val/nll 5.659e+00
[2023-02-10 15:38:51] [Epoch    85/  200] trn/loss 2.091e+00, trn/lr 6.206e-01, trn/scale 1.030e-01, val/acc 1.921e-01, val/nll 2.040e+00
[2023-02-10 15:38:59] [Epoch    86/  200] trn/loss 2.040e+00, trn/lr 6.129e-01, trn/scale 1.030e-01, val/acc 1.051e-01, val/nll 2.496e+00
[2023-02-10 15:39:07] [Epoch    87/  200] trn/loss 2.111e+00, trn/lr 6.053e-01, trn/scale 1.030e-01, val/acc 1.127e-01, val/nll 2.336e+00
[2023-02-10 15:39:15] [Epoch    88/  200] trn/loss 2.067e+00, trn/lr 5.976e-01, trn/scale 1.030e-01, val/acc 9.281e-02, val/nll 3.198e+00
[2023-02-10 15:39:24] [Epoch    89/  200] trn/loss 2.056e+00, trn/lr 5.899e-01, trn/scale 1.030e-01, val/acc 9.978e-02, val/nll 2.592e+00
[2023-02-10 15:39:32] [Epoch    90/  200] trn/loss 2.062e+00, trn/lr 5.821e-01, trn/scale 1.030e-01, val/acc 9.900e-02, val/nll 2.593e+00
[2023-02-10 15:39:40] [Epoch    91/  200] trn/loss 2.035e+00, trn/lr 5.744e-01, trn/scale 1.030e-01, val/acc 1.611e-01, val/nll 2.754e+00
[2023-02-10 15:39:48] [Epoch    92/  200] trn/loss 2.093e+00, trn/lr 5.666e-01, trn/scale 1.030e-01, val/acc 9.889e-02, val/nll 2.361e+00
[2023-02-10 15:39:56] [Epoch    93/  200] trn/loss 2.082e+00, trn/lr 5.588e-01, trn/scale 1.030e-01, val/acc 1.002e-01, val/nll 2.462e+00
[2023-02-10 15:40:04] [Epoch    94/  200] trn/loss 2.050e+00, trn/lr 5.510e-01, trn/scale 1.030e-01, val/acc 2.009e-01, val/nll 2.023e+00
[2023-02-10 15:40:13] [Epoch    95/  200] trn/loss 2.026e+00, trn/lr 5.432e-01, trn/scale 1.030e-01, val/acc 1.139e-01, val/nll 2.303e+00
[2023-02-10 15:40:21] [Epoch    96/  200] trn/loss 2.073e+00, trn/lr 5.353e-01, trn/scale 1.030e-01, val/acc 1.252e-01, val/nll 2.231e+00
[2023-02-10 15:40:29] [Epoch    97/  200] trn/loss 2.042e+00, trn/lr 5.275e-01, trn/scale 1.030e-01, val/acc 1.147e-01, val/nll 2.424e+00
[2023-02-10 15:40:37] [Epoch    98/  200] trn/loss 2.015e+00, trn/lr 5.197e-01, trn/scale 1.030e-01, val/acc 9.945e-02, val/nll 2.548e+00
[2023-02-10 15:40:45] [Epoch    99/  200] trn/loss 2.022e+00, trn/lr 5.118e-01, trn/scale 1.030e-01, val/acc 1.280e-01, val/nll 2.317e+00
[2023-02-10 15:40:53] [Epoch   100/  200] trn/loss 2.052e+00, trn/lr 5.040e-01, trn/scale 1.030e-01, val/acc 1.081e-01, val/nll 2.689e+00
[2023-02-10 15:41:02] [Epoch   101/  200] trn/loss 2.063e+00, trn/lr 4.961e-01, trn/scale 1.030e-01, val/acc 9.237e-02, val/nll 3.303e+00
[2023-02-10 15:41:10] [Epoch   102/  200] trn/loss 2.022e+00, trn/lr 4.882e-01, trn/scale 1.030e-01, val/acc 1.769e-01, val/nll 2.069e+00
[2023-02-10 15:41:18] [Epoch   103/  200] trn/loss 2.090e+00, trn/lr 4.804e-01, trn/scale 1.030e-01, val/acc 1.982e-01, val/nll 2.037e+00
[2023-02-10 15:41:26] [Epoch   104/  200] trn/loss 2.078e+00, trn/lr 4.725e-01, trn/scale 1.030e-01, val/acc 1.622e-01, val/nll 2.162e+00
[2023-02-10 15:41:34] [Epoch   105/  200] trn/loss 2.062e+00, trn/lr 4.647e-01, trn/scale 1.030e-01, val/acc 1.405e-01, val/nll 2.288e+00
[2023-02-10 15:41:43] [Epoch   106/  200] trn/loss 2.050e+00, trn/lr 4.569e-01, trn/scale 1.030e-01, val/acc 1.558e-01, val/nll 2.200e+00
[2023-02-10 15:41:51] [Epoch   107/  200] trn/loss 2.014e+00, trn/lr 4.491e-01, trn/scale 1.030e-01, val/acc 2.284e-01, val/nll 1.996e+00
[2023-02-10 15:41:59] [Epoch   108/  200] trn/loss 1.989e+00, trn/lr 4.413e-01, trn/scale 1.030e-01, val/acc 1.559e-01, val/nll 2.220e+00
[2023-02-10 15:42:07] [Epoch   109/  200] trn/loss 1.967e+00, trn/lr 4.335e-01, trn/scale 1.030e-01, val/acc 2.206e-01, val/nll 1.954e+00
[2023-02-10 15:42:15] [Epoch   110/  200] trn/loss 1.951e+00, trn/lr 4.257e-01, trn/scale 1.030e-01, val/acc 1.584e-01, val/nll 3.584e+00
[2023-02-10 15:42:23] [Epoch   111/  200] trn/loss 1.942e+00, trn/lr 4.179e-01, trn/scale 1.030e-01, val/acc 2.598e-01, val/nll 1.913e+00
[2023-02-10 15:42:32] [Epoch   112/  200] trn/loss 1.963e+00, trn/lr 4.102e-01, trn/scale 1.030e-01, val/acc 2.127e-01, val/nll 1.967e+00
[2023-02-10 15:42:40] [Epoch   113/  200] trn/loss 1.988e+00, trn/lr 4.025e-01, trn/scale 1.030e-01, val/acc 2.127e-01, val/nll 1.983e+00
[2023-02-10 15:42:48] [Epoch   114/  200] trn/loss 1.971e+00, trn/lr 3.948e-01, trn/scale 1.030e-01, val/acc 1.044e-01, val/nll 1.156e+02
[2023-02-10 15:42:56] [Epoch   115/  200] trn/loss 1.965e+00, trn/lr 3.871e-01, trn/scale 1.030e-01, val/acc 1.831e-01, val/nll 2.356e+00
[2023-02-10 15:43:04] [Epoch   116/  200] trn/loss 1.932e+00, trn/lr 3.795e-01, trn/scale 1.030e-01, val/acc 1.288e-01, val/nll 2.909e+00
[2023-02-10 15:43:13] [Epoch   117/  200] trn/loss 1.915e+00, trn/lr 3.719e-01, trn/scale 1.030e-01, val/acc 1.765e-01, val/nll 2.178e+00
[2023-02-10 15:43:21] [Epoch   118/  200] trn/loss 1.891e+00, trn/lr 3.643e-01, trn/scale 1.030e-01, val/acc 1.045e-01, val/nll 3.025e+00
[2023-02-10 15:43:29] [Epoch   119/  200] trn/loss 1.910e+00, trn/lr 3.568e-01, trn/scale 1.030e-01, val/acc 2.000e-01, val/nll 2.040e+00
[2023-02-10 15:43:37] [Epoch   120/  200] trn/loss 1.892e+00, trn/lr 3.493e-01, trn/scale 1.030e-01, val/acc 1.826e-01, val/nll 2.223e+00
[2023-02-10 15:43:45] [Epoch   121/  200] trn/loss 1.925e+00, trn/lr 3.418e-01, trn/scale 1.030e-01, val/acc 1.937e-01, val/nll 2.086e+00
[2023-02-10 15:43:53] [Epoch   122/  200] trn/loss 1.898e+00, trn/lr 3.344e-01, trn/scale 1.030e-01, val/acc 2.864e-01, val/nll 1.849e+00
[2023-02-10 15:44:02] [Epoch   123/  200] trn/loss 1.881e+00, trn/lr 3.270e-01, trn/scale 1.030e-01, val/acc 1.640e-01, val/nll 2.543e+00
[2023-02-10 15:44:10] [Epoch   124/  200] trn/loss 1.966e+00, trn/lr 3.196e-01, trn/scale 1.030e-01, val/acc 1.704e-01, val/nll 2.646e+00
[2023-02-10 15:44:18] [Epoch   125/  200] trn/loss 1.880e+00, trn/lr 3.123e-01, trn/scale 1.030e-01, val/acc 2.441e-01, val/nll 1.884e+00
[2023-02-10 15:44:26] [Epoch   126/  200] trn/loss 1.898e+00, trn/lr 3.051e-01, trn/scale 1.030e-01, val/acc 2.122e-01, val/nll 1.998e+00
[2023-02-10 15:44:34] [Epoch   127/  200] trn/loss 1.905e+00, trn/lr 2.979e-01, trn/scale 1.030e-01, val/acc 1.567e-01, val/nll 2.310e+00
[2023-02-10 15:44:42] [Epoch   128/  200] trn/loss 1.883e+00, trn/lr 2.907e-01, trn/scale 1.030e-01, val/acc 1.598e-01, val/nll 2.901e+00
[2023-02-10 15:44:51] [Epoch   129/  200] trn/loss 1.858e+00, trn/lr 2.836e-01, trn/scale 1.030e-01, val/acc 1.804e-01, val/nll 2.285e+00
[2023-02-10 15:44:59] [Epoch   130/  200] trn/loss 1.842e+00, trn/lr 2.765e-01, trn/scale 1.030e-01, val/acc 2.473e-01, val/nll 2.025e+00
[2023-02-10 15:45:07] [Epoch   131/  200] trn/loss 1.813e+00, trn/lr 2.695e-01, trn/scale 1.030e-01, val/acc 1.980e-01, val/nll 2.124e+00
[2023-02-10 15:45:15] [Epoch   132/  200] trn/loss 1.809e+00, trn/lr 2.626e-01, trn/scale 1.030e-01, val/acc 2.523e-01, val/nll 1.866e+00
[2023-02-10 15:45:23] [Epoch   133/  200] trn/loss 1.808e+00, trn/lr 2.557e-01, trn/scale 1.030e-01, val/acc 2.508e-01, val/nll 2.046e+00
[2023-02-10 15:45:31] [Epoch   134/  200] trn/loss 1.789e+00, trn/lr 2.489e-01, trn/scale 1.030e-01, val/acc 1.042e-01, val/nll 7.349e+00
[2023-02-10 15:45:40] [Epoch   135/  200] trn/loss 1.786e+00, trn/lr 2.421e-01, trn/scale 1.030e-01, val/acc 2.591e-01, val/nll 2.079e+00
