[2023-02-05 05:16:12] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 05:16:12] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 2.5
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.90_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 05:16:19] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 05:17:01] [Epoch     1/  500] trn/posterior_energy -1.887e+06, trn/neg_log_likelihood  8.520e+04, trn/neg_log_prior -1.972e+06, trn/lr  1.000e-06, val/acc 3.279e-01, val/nll 1.748e+00 (best_acc: 0.000e+00 -> 3.279e-01, test_acc: 3.328e-01, test_nll: 1.742e+00)
[2023-02-05 05:17:16] [Epoch     2/  500] trn/posterior_energy -1.906e+06, trn/neg_log_likelihood  6.654e+04, trn/neg_log_prior -1.973e+06, trn/lr  1.000e-06, val/acc 4.791e-01, val/nll 1.401e+00 (best_acc: 3.279e-01 -> 4.791e-01, test_acc: 4.816e-01, test_nll: 1.395e+00)
[2023-02-05 05:17:30] [Epoch     3/  500] trn/posterior_energy -1.916e+06, trn/neg_log_likelihood  5.677e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.999e-07, val/acc 5.180e-01, val/nll 1.292e+00 (best_acc: 4.791e-01 -> 5.180e-01, test_acc: 5.150e-01, test_nll: 1.303e+00)
[2023-02-05 05:17:44] [Epoch     4/  500] trn/posterior_energy -1.924e+06, trn/neg_log_likelihood  4.898e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.999e-07, val/acc 5.790e-01, val/nll 1.160e+00 (best_acc: 5.180e-01 -> 5.790e-01, test_acc: 5.611e-01, test_nll: 1.184e+00)
[2023-02-05 05:17:58] [Epoch     5/  500] trn/posterior_energy -1.929e+06, trn/neg_log_likelihood  4.399e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.998e-07, val/acc 6.185e-01, val/nll 1.050e+00 (best_acc: 5.790e-01 -> 6.185e-01, test_acc: 6.022e-01, test_nll: 1.091e+00)
[2023-02-05 05:18:11] [Epoch     6/  500] trn/posterior_energy -1.934e+06, trn/neg_log_likelihood  3.862e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.997e-07, val/acc 6.347e-01, val/nll 1.011e+00 (best_acc: 6.185e-01 -> 6.347e-01, test_acc: 6.337e-01, test_nll: 1.031e+00)
[2023-02-05 05:18:25] [Epoch     7/  500] trn/posterior_energy -1.938e+06, trn/neg_log_likelihood  3.447e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.996e-07, val/acc 6.981e-01, val/nll 8.401e-01 (best_acc: 6.347e-01 -> 6.981e-01, test_acc: 6.921e-01, test_nll: 8.613e-01)
[2023-02-05 05:18:39] [Epoch     8/  500] trn/posterior_energy -1.943e+06, trn/neg_log_likelihood  2.977e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.994e-07, val/acc 7.149e-01, val/nll 7.976e-01 (best_acc: 6.981e-01 -> 7.149e-01, test_acc: 7.206e-01, test_nll: 7.957e-01)
[2023-02-05 05:18:53] [Epoch     9/  500] trn/posterior_energy -1.947e+06, trn/neg_log_likelihood  2.580e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.993e-07, val/acc 7.408e-01, val/nll 7.557e-01 (best_acc: 7.149e-01 -> 7.408e-01, test_acc: 7.405e-01, test_nll: 7.804e-01)
[2023-02-05 05:19:07] [Epoch    10/  500] trn/posterior_energy -1.950e+06, trn/neg_log_likelihood  2.276e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.991e-07, val/acc 7.491e-01, val/nll 7.222e-01 (best_acc: 7.408e-01 -> 7.491e-01, test_acc: 7.482e-01, test_nll: 7.260e-01)
[2023-02-05 05:19:21] [Epoch    11/  500] trn/posterior_energy -1.953e+06, trn/neg_log_likelihood  1.962e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.989e-07, val/acc 7.793e-01, val/nll 6.592e-01 (best_acc: 7.491e-01 -> 7.793e-01, test_acc: 7.787e-01, test_nll: 6.718e-01)
[2023-02-05 05:19:33] [Epoch    12/  500] trn/posterior_energy -1.956e+06, trn/neg_log_likelihood  1.673e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.987e-07, val/acc 7.622e-01, val/nll 6.734e-01
[2023-02-05 05:19:46] [Epoch    13/  500] trn/posterior_energy -1.959e+06, trn/neg_log_likelihood  1.423e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.985e-07, val/acc 7.924e-01, val/nll 6.267e-01 (best_acc: 7.793e-01 -> 7.924e-01, test_acc: 7.976e-01, test_nll: 6.124e-01)
[2023-02-05 05:20:00] [Epoch    14/  500] trn/posterior_energy -1.961e+06, trn/neg_log_likelihood  1.178e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.982e-07, val/acc 7.934e-01, val/nll 6.422e-01 (best_acc: 7.924e-01 -> 7.934e-01, test_acc: 7.968e-01, test_nll: 6.507e-01)
[2023-02-05 05:20:12] [Epoch    15/  500] trn/posterior_energy -1.963e+06, trn/neg_log_likelihood  9.882e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.979e-07, val/acc 7.779e-01, val/nll 7.315e-01
[2023-02-05 05:20:25] [Epoch    16/  500] trn/posterior_energy -1.965e+06, trn/neg_log_likelihood  7.784e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.976e-07, val/acc 7.956e-01, val/nll 6.780e-01 (best_acc: 7.934e-01 -> 7.956e-01, test_acc: 7.980e-01, test_nll: 6.852e-01)
[2023-02-05 05:20:39] [Epoch    17/  500] trn/posterior_energy -1.966e+06, trn/neg_log_likelihood  6.704e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.973e-07, val/acc 8.010e-01, val/nll 6.928e-01 (best_acc: 7.956e-01 -> 8.010e-01, test_acc: 7.994e-01, test_nll: 7.022e-01)
