[2023-02-08 05:09:59] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-08 05:09:59] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 100
- args.num_epochs_noisy  : 0
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0100-0000_lr-0.0000003_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-08 05:10:32] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  3.829e+05, trn/neg_log_likelihood  8.886e+04, trn/neg_log_prior  2.940e+05, trn/lr  3.000e-07, trn/temperature  0.000e+00, val/acc 2.917e-01, val/nll 1.776e+00
[2023-02-08 05:10:37] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  3.539e+05, trn/neg_log_likelihood  7.135e+04, trn/neg_log_prior  2.826e+05, trn/lr  2.998e-07, trn/temperature  0.000e+00, val/acc 3.733e-01, val/nll 1.654e+00
[2023-02-08 05:10:41] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  3.398e+05, trn/neg_log_likelihood  6.407e+04, trn/neg_log_prior  2.757e+05, trn/lr  2.995e-07, trn/temperature  0.000e+00, val/acc 4.494e-01, val/nll 1.479e+00
[2023-02-08 05:10:46] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  3.290e+05, trn/neg_log_likelihood  5.722e+04, trn/neg_log_prior  2.718e+05, trn/lr  2.991e-07, trn/temperature  0.000e+00, val/acc 5.323e-01, val/nll 1.269e+00
[2023-02-08 05:10:50] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  3.200e+05, trn/neg_log_likelihood  5.043e+04, trn/neg_log_prior  2.695e+05, trn/lr  2.985e-07, trn/temperature  0.000e+00, val/acc 5.500e-01, val/nll 1.225e+00
[2023-02-08 05:10:54] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  3.149e+05, trn/neg_log_likelihood  4.648e+04, trn/neg_log_prior  2.684e+05, trn/lr  2.978e-07, trn/temperature  0.000e+00, val/acc 6.205e-01, val/nll 1.046e+00
[2023-02-08 05:10:58] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  3.111e+05, trn/neg_log_likelihood  4.302e+04, trn/neg_log_prior  2.681e+05, trn/lr  2.969e-07, trn/temperature  0.000e+00, val/acc 6.282e-01, val/nll 1.029e+00
[2023-02-08 05:11:03] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  3.087e+05, trn/neg_log_likelihood  4.037e+04, trn/neg_log_prior  2.683e+05, trn/lr  2.959e-07, trn/temperature  0.000e+00, val/acc 6.799e-01, val/nll 9.068e-01
[2023-02-08 05:11:07] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  3.056e+05, trn/neg_log_likelihood  3.705e+04, trn/neg_log_prior  2.686e+05, trn/lr  2.947e-07, trn/temperature  0.000e+00, val/acc 6.920e-01, val/nll 8.893e-01
[2023-02-08 05:11:11] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  3.033e+05, trn/neg_log_likelihood  3.441e+04, trn/neg_log_prior  2.689e+05, trn/lr  2.934e-07, trn/temperature  0.000e+00, val/acc 6.694e-01, val/nll 9.217e-01
[2023-02-08 05:11:16] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  3.015e+05, trn/neg_log_likelihood  3.231e+04, trn/neg_log_prior  2.692e+05, trn/lr  2.919e-07, trn/temperature  0.000e+00, val/acc 7.015e-01, val/nll 8.811e-01
[2023-02-08 05:11:20] [Cycle   1/ 30][Epoch  12/100] trn/posterior_energy  3.015e+05, trn/neg_log_likelihood  3.179e+04, trn/neg_log_prior  2.697e+05, trn/lr  2.903e-07, trn/temperature  0.000e+00, val/acc 7.267e-01, val/nll 7.827e-01
[2023-02-08 05:11:24] [Cycle   1/ 30][Epoch  13/100] trn/posterior_energy  2.996e+05, trn/neg_log_likelihood  2.965e+04, trn/neg_log_prior  2.700e+05, trn/lr  2.886e-07, trn/temperature  0.000e+00, val/acc 7.219e-01, val/nll 8.144e-01
[2023-02-08 05:11:28] [Cycle   1/ 30][Epoch  14/100] trn/posterior_energy  2.999e+05, trn/neg_log_likelihood  2.971e+04, trn/neg_log_prior  2.702e+05, trn/lr  2.867e-07, trn/temperature  0.000e+00, val/acc 7.478e-01, val/nll 7.467e-01
[2023-02-08 05:11:32] [Cycle   1/ 30][Epoch  15/100] trn/posterior_energy  2.984e+05, trn/neg_log_likelihood  2.789e+04, trn/neg_log_prior  2.705e+05, trn/lr  2.847e-07, trn/temperature  0.000e+00, val/acc 6.898e-01, val/nll 9.089e-01
[2023-02-08 05:11:36] [Cycle   1/ 30][Epoch  16/100] trn/posterior_energy  2.983e+05, trn/neg_log_likelihood  2.744e+04, trn/neg_log_prior  2.708e+05, trn/lr  2.826e-07, trn/temperature  0.000e+00, val/acc 7.517e-01, val/nll 7.241e-01
[2023-02-08 05:11:41] [Cycle   1/ 30][Epoch  17/100] trn/posterior_energy  2.978e+05, trn/neg_log_likelihood  2.674e+04, trn/neg_log_prior  2.710e+05, trn/lr  2.803e-07, trn/temperature  0.000e+00, val/acc 7.483e-01, val/nll 7.421e-01
[2023-02-08 05:11:45] [Cycle   1/ 30][Epoch  18/100] trn/posterior_energy  2.970e+05, trn/neg_log_likelihood  2.571e+04, trn/neg_log_prior  2.713e+05, trn/lr  2.779e-07, trn/temperature  0.000e+00, val/acc 7.404e-01, val/nll 7.534e-01
