[2023-02-17 01:23:41] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-17 01:23:41] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.97
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.01
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.970_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0100_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-17 01:23:47] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-17 01:28:02] [Epoch    23/  200] trn/loss 1.431e+00, trn/lr 2.907e+00, trn/scale 1.257e-01, val/acc 2.479e-01, val/nll 3.466e+00
[2023-02-17 01:28:11] [Epoch    24/  200] trn/loss 1.497e+00, trn/lr 2.899e+00, trn/scale 1.220e-01, val/acc 2.256e-01, val/nll 2.408e+00
[2023-02-17 01:28:19] [Epoch    25/  200] trn/loss 1.470e+00, trn/lr 2.890e+00, trn/scale 1.189e-01, val/acc 1.348e-01, val/nll 1.085e+01
[2023-02-17 01:28:27] [Epoch    26/  200] trn/loss 1.467e+00, trn/lr 2.881e+00, trn/scale 1.163e-01, val/acc 2.374e-01, val/nll 3.121e+00
[2023-02-17 01:28:35] [Epoch    27/  200] trn/loss 1.474e+00, trn/lr 2.872e+00, trn/scale 1.140e-01, val/acc 1.795e-01, val/nll 2.835e+00
[2023-02-17 01:28:43] [Epoch    28/  200] trn/loss 1.536e+00, trn/lr 2.862e+00, trn/scale 1.121e-01, val/acc 1.129e-01, val/nll 3.466e+00
[2023-02-17 01:28:51] [Epoch    29/  200] trn/loss 1.530e+00, trn/lr 2.852e+00, trn/scale 1.105e-01, val/acc 2.537e-01, val/nll 2.664e+00
[2023-02-17 01:28:59] [Epoch    30/  200] trn/loss 1.558e+00, trn/lr 2.842e+00, trn/scale 1.091e-01, val/acc 1.899e-01, val/nll 6.126e+00
[2023-02-17 01:29:08] [Epoch    31/  200] trn/loss 1.557e+00, trn/lr 2.831e+00, trn/scale 1.079e-01, val/acc 1.477e-01, val/nll 1.601e+01
[2023-02-17 01:29:16] [Epoch    32/  200] trn/loss 1.628e+00, trn/lr 2.820e+00, trn/scale 1.069e-01, val/acc 2.699e-01, val/nll 2.013e+00
[2023-02-17 01:29:24] [Epoch    33/  200] trn/loss 1.677e+00, trn/lr 2.809e+00, trn/scale 1.060e-01, val/acc 1.033e-01, val/nll 6.684e+00
[2023-02-17 01:29:32] [Epoch    34/  200] trn/loss 1.677e+00, trn/lr 2.797e+00, trn/scale 1.053e-01, val/acc 2.012e-01, val/nll 2.960e+00
[2023-02-17 01:29:40] [Epoch    35/  200] trn/loss 1.702e+00, trn/lr 2.785e+00, trn/scale 1.046e-01, val/acc 1.155e-01, val/nll 7.600e+00
[2023-02-17 01:29:49] [Epoch    36/  200] trn/loss 1.698e+00, trn/lr 2.773e+00, trn/scale 1.041e-01, val/acc 1.655e-01, val/nll 2.393e+00
[2023-02-17 01:29:57] [Epoch    37/  200] trn/loss 1.746e+00, trn/lr 2.760e+00, trn/scale 1.036e-01, val/acc 2.890e-01, val/nll 1.904e+00
[2023-02-17 01:30:05] [Epoch    38/  200] trn/loss 1.723e+00, trn/lr 2.747e+00, trn/scale 1.033e-01, val/acc 1.293e-01, val/nll 3.197e+00
[2023-02-17 01:30:13] [Epoch    39/  200] trn/loss 1.757e+00, trn/lr 2.734e+00, trn/scale 1.029e-01, val/acc 1.930e-01, val/nll 2.397e+00
[2023-02-17 01:30:21] [Epoch    40/  200] trn/loss 1.697e+00, trn/lr 2.720e+00, trn/scale 1.026e-01, val/acc 1.938e-01, val/nll 2.250e+00
[2023-02-17 01:30:29] [Epoch    41/  200] trn/loss 1.704e+00, trn/lr 2.707e+00, trn/scale 1.024e-01, val/acc 1.326e-01, val/nll 4.274e+00
[2023-02-17 01:30:38] [Epoch    42/  200] trn/loss 1.697e+00, trn/lr 2.692e+00, trn/scale 1.022e-01, val/acc 1.459e-01, val/nll 3.373e+00
[2023-02-17 01:30:46] [Epoch    43/  200] trn/loss 1.656e+00, trn/lr 2.678e+00, trn/scale 1.020e-01, val/acc 2.265e-01, val/nll 2.238e+00
[2023-02-17 01:30:54] [Epoch    44/  200] trn/loss 1.694e+00, trn/lr 2.663e+00, trn/scale 1.019e-01, val/acc 2.403e-01, val/nll 2.179e+00
[2023-02-17 01:31:02] [Epoch    45/  200] trn/loss 1.694e+00, trn/lr 2.648e+00, trn/scale 1.017e-01, val/acc 2.679e-01, val/nll 2.117e+00
[2023-02-17 01:31:10] [Epoch    46/  200] trn/loss 1.677e+00, trn/lr 2.633e+00, trn/scale 1.016e-01, val/acc 1.983e-01, val/nll 2.361e+00
[2023-02-17 01:31:18] [Epoch    47/  200] trn/loss 1.681e+00, trn/lr 2.617e+00, trn/scale 1.015e-01, val/acc 1.681e-01, val/nll 2.555e+00
[2023-02-17 01:31:27] [Epoch    48/  200] trn/loss 1.707e+00, trn/lr 2.602e+00, trn/scale 1.015e-01, val/acc 2.072e-01, val/nll 2.182e+00
[2023-02-17 01:31:35] [Epoch    49/  200] trn/loss 1.694e+00, trn/lr 2.585e+00, trn/scale 1.014e-01, val/acc 1.966e-01, val/nll 2.124e+00
[2023-02-17 01:31:43] [Epoch    50/  200] trn/loss 1.663e+00, trn/lr 2.569e+00, trn/scale 1.013e-01, val/acc 2.066e-01, val/nll 3.760e+00
[2023-02-17 01:31:51] [Epoch    51/  200] trn/loss 1.678e+00, trn/lr 2.552e+00, trn/scale 1.013e-01, val/acc 2.969e-01, val/nll 2.711e+00
[2023-02-17 01:31:59] [Epoch    52/  200] trn/loss 1.650e+00, trn/lr 2.535e+00, trn/scale 1.013e-01, val/acc 9.900e-02, val/nll 6.448e+00
[2023-02-17 01:32:07] [Epoch    53/  200] trn/loss 1.653e+00, trn/lr 2.518e+00, trn/scale 1.012e-01, val/acc 2.074e-01, val/nll 3.017e+00
[2023-02-17 01:32:16] [Epoch    54/  200] trn/loss 1.672e+00, trn/lr 2.501e+00, trn/scale 1.012e-01, val/acc 1.448e-01, val/nll 3.260e+00
[2023-02-17 01:32:24] [Epoch    55/  200] trn/loss 1.672e+00, trn/lr 2.483e+00, trn/scale 1.012e-01, val/acc 2.670e-01, val/nll 1.999e+00
[2023-02-17 01:32:32] [Epoch    56/  200] trn/loss 1.685e+00, trn/lr 2.465e+00, trn/scale 1.011e-01, val/acc 1.455e-01, val/nll 3.382e+00
[2023-02-17 01:32:40] [Epoch    57/  200] trn/loss 1.701e+00, trn/lr 2.447e+00, trn/scale 1.011e-01, val/acc 1.928e-01, val/nll 2.100e+00
[2023-02-17 01:32:48] [Epoch    58/  200] trn/loss 1.724e+00, trn/lr 2.429e+00, trn/scale 1.011e-01, val/acc 1.004e-01, val/nll 3.525e+00
[2023-02-17 01:32:57] [Epoch    59/  200] trn/loss 1.696e+00, trn/lr 2.410e+00, trn/scale 1.011e-01, val/acc 2.450e-01, val/nll 2.307e+00
[2023-02-17 01:33:05] [Epoch    60/  200] trn/loss 1.688e+00, trn/lr 2.391e+00, trn/scale 1.011e-01, val/acc 1.467e-01, val/nll 5.464e+00
[2023-02-17 01:33:13] [Epoch    61/  200] trn/loss 1.675e+00, trn/lr 2.372e+00, trn/scale 1.011e-01, val/acc 1.635e-01, val/nll 3.098e+00
[2023-02-17 01:33:21] [Epoch    62/  200] trn/loss 1.706e+00, trn/lr 2.353e+00, trn/scale 1.011e-01, val/acc 1.396e-01, val/nll 4.514e+00
[2023-02-17 01:33:29] [Epoch    63/  200] trn/loss 1.705e+00, trn/lr 2.333e+00, trn/scale 1.011e-01, val/acc 2.884e-01, val/nll 1.937e+00
[2023-02-17 01:33:37] [Epoch    64/  200] trn/loss 1.696e+00, trn/lr 2.314e+00, trn/scale 1.011e-01, val/acc 1.604e-01, val/nll 2.549e+00
[2023-02-17 01:33:46] [Epoch    65/  200] trn/loss 1.698e+00, trn/lr 2.294e+00, trn/scale 1.010e-01, val/acc 1.097e-01, val/nll 4.180e+00
[2023-02-17 01:33:54] [Epoch    66/  200] trn/loss 1.713e+00, trn/lr 2.274e+00, trn/scale 1.010e-01, val/acc 1.027e-01, val/nll 1.593e+01
