[2023-02-10 23:19:26] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 23:19:26] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 0.3
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-0.30_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 23:19:32] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 23:23:47] [Epoch    23/  200] trn/loss 8.092e-01, trn/lr 2.907e-01, trn/scale 1.283e-01, val/acc 6.040e-01, val/nll 1.234e+00
[2023-02-10 23:23:55] [Epoch    24/  200] trn/loss 8.234e-01, trn/lr 2.899e-01, trn/scale 1.246e-01, val/acc 5.727e-01, val/nll 1.353e+00
[2023-02-10 23:24:03] [Epoch    25/  200] trn/loss 8.329e-01, trn/lr 2.890e-01, trn/scale 1.215e-01, val/acc 6.357e-01, val/nll 1.133e+00
[2023-02-10 23:24:12] [Epoch    26/  200] trn/loss 8.465e-01, trn/lr 2.881e-01, trn/scale 1.189e-01, val/acc 5.200e-01, val/nll 1.626e+00
[2023-02-10 23:24:20] [Epoch    27/  200] trn/loss 8.382e-01, trn/lr 2.872e-01, trn/scale 1.166e-01, val/acc 4.308e-01, val/nll 2.421e+00
[2023-02-10 23:24:28] [Epoch    28/  200] trn/loss 8.575e-01, trn/lr 2.862e-01, trn/scale 1.147e-01, val/acc 6.976e-01, val/nll 9.001e-01
[2023-02-10 23:24:36] [Epoch    29/  200] trn/loss 8.635e-01, trn/lr 2.852e-01, trn/scale 1.131e-01, val/acc 6.136e-01, val/nll 1.053e+00
[2023-02-10 23:24:44] [Epoch    30/  200] trn/loss 8.651e-01, trn/lr 2.842e-01, trn/scale 1.117e-01, val/acc 3.543e-01, val/nll 2.574e+00
[2023-02-10 23:24:52] [Epoch    31/  200] trn/loss 8.664e-01, trn/lr 2.831e-01, trn/scale 1.105e-01, val/acc 5.458e-01, val/nll 1.445e+00
[2023-02-10 23:25:01] [Epoch    32/  200] trn/loss 8.633e-01, trn/lr 2.820e-01, trn/scale 1.095e-01, val/acc 4.273e-01, val/nll 2.327e+00
[2023-02-10 23:25:09] [Epoch    33/  200] trn/loss 8.665e-01, trn/lr 2.809e-01, trn/scale 1.086e-01, val/acc 6.583e-01, val/nll 1.006e+00
[2023-02-10 23:25:17] [Epoch    34/  200] trn/loss 8.780e-01, trn/lr 2.797e-01, trn/scale 1.079e-01, val/acc 5.483e-01, val/nll 1.298e+00
[2023-02-10 23:25:25] [Epoch    35/  200] trn/loss 8.711e-01, trn/lr 2.785e-01, trn/scale 1.072e-01, val/acc 5.414e-01, val/nll 1.397e+00
[2023-02-10 23:25:33] [Epoch    36/  200] trn/loss 8.917e-01, trn/lr 2.773e-01, trn/scale 1.067e-01, val/acc 5.779e-01, val/nll 1.413e+00
[2023-02-10 23:25:42] [Epoch    37/  200] trn/loss 8.820e-01, trn/lr 2.760e-01, trn/scale 1.062e-01, val/acc 4.793e-01, val/nll 2.160e+00
[2023-02-10 23:25:50] [Epoch    38/  200] trn/loss 8.907e-01, trn/lr 2.747e-01, trn/scale 1.058e-01, val/acc 5.698e-01, val/nll 1.321e+00
[2023-02-10 23:25:58] [Epoch    39/  200] trn/loss 8.780e-01, trn/lr 2.734e-01, trn/scale 1.055e-01, val/acc 5.705e-01, val/nll 1.248e+00
