[2023-02-05 08:36:47] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 08:36:47] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 10.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000030_mo-0.90_pr-02/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 08:36:53] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 08:37:36] [Epoch     1/  500] trn/posterior_energy  1.136e+06, trn/neg_log_likelihood  9.150e+04, trn/neg_log_prior  1.044e+06, trn/lr  3.000e-06, val/acc 2.744e-01, val/nll 1.947e+00 (best_acc: 0.000e+00 -> 2.744e-01, test_acc: 2.805e-01, test_nll: 1.948e+00)
[2023-02-05 08:37:50] [Epoch     2/  500] trn/posterior_energy  1.108e+06, trn/neg_log_likelihood  7.388e+04, trn/neg_log_prior  1.034e+06, trn/lr  3.000e-06, val/acc 3.885e-01, val/nll 1.680e+00 (best_acc: 2.744e-01 -> 3.885e-01, test_acc: 3.981e-01, test_nll: 1.676e+00)
[2023-02-05 08:38:04] [Epoch     3/  500] trn/posterior_energy  1.092e+06, trn/neg_log_likelihood  6.523e+04, trn/neg_log_prior  1.027e+06, trn/lr  3.000e-06, val/acc 4.644e-01, val/nll 1.473e+00 (best_acc: 3.885e-01 -> 4.644e-01, test_acc: 4.687e-01, test_nll: 1.463e+00)
[2023-02-05 08:38:19] [Epoch     4/  500] trn/posterior_energy  1.080e+06, trn/neg_log_likelihood  5.808e+04, trn/neg_log_prior  1.022e+06, trn/lr  3.000e-06, val/acc 5.147e-01, val/nll 1.325e+00 (best_acc: 4.644e-01 -> 5.147e-01, test_acc: 5.224e-01, test_nll: 1.329e+00)
[2023-02-05 08:38:33] [Epoch     5/  500] trn/posterior_energy  1.070e+06, trn/neg_log_likelihood  5.135e+04, trn/neg_log_prior  1.019e+06, trn/lr  2.999e-06, val/acc 5.731e-01, val/nll 1.179e+00 (best_acc: 5.147e-01 -> 5.731e-01, test_acc: 5.687e-01, test_nll: 1.187e+00)
[2023-02-05 08:38:46] [Epoch     6/  500] trn/posterior_energy  1.062e+06, trn/neg_log_likelihood  4.513e+04, trn/neg_log_prior  1.017e+06, trn/lr  2.999e-06, val/acc 6.394e-01, val/nll 1.017e+00 (best_acc: 5.731e-01 -> 6.394e-01, test_acc: 6.352e-01, test_nll: 1.031e+00)
[2023-02-05 08:39:00] [Epoch     7/  500] trn/posterior_energy  1.055e+06, trn/neg_log_likelihood  3.852e+04, trn/neg_log_prior  1.017e+06, trn/lr  2.999e-06, val/acc 6.789e-01, val/nll 9.026e-01 (best_acc: 6.394e-01 -> 6.789e-01, test_acc: 6.801e-01, test_nll: 9.158e-01)
[2023-02-05 08:39:14] [Epoch     8/  500] trn/posterior_energy  1.049e+06, trn/neg_log_likelihood  3.260e+04, trn/neg_log_prior  1.017e+06, trn/lr  2.998e-06, val/acc 7.186e-01, val/nll 8.011e-01 (best_acc: 6.789e-01 -> 7.186e-01, test_acc: 7.149e-01, test_nll: 8.081e-01)
[2023-02-05 08:39:28] [Epoch     9/  500] trn/posterior_energy  1.045e+06, trn/neg_log_likelihood  2.821e+04, trn/neg_log_prior  1.017e+06, trn/lr  2.998e-06, val/acc 7.437e-01, val/nll 7.472e-01 (best_acc: 7.186e-01 -> 7.437e-01, test_acc: 7.430e-01, test_nll: 7.590e-01)
[2023-02-05 08:39:39] [Epoch    10/  500] trn/posterior_energy  1.043e+06, trn/neg_log_likelihood  2.537e+04, trn/neg_log_prior  1.017e+06, trn/lr  2.997e-06, val/acc 7.319e-01, val/nll 7.577e-01
[2023-02-05 08:39:53] [Epoch    11/  500] trn/posterior_energy  1.040e+06, trn/neg_log_likelihood  2.235e+04, trn/neg_log_prior  1.018e+06, trn/lr  2.997e-06, val/acc 7.575e-01, val/nll 7.170e-01 (best_acc: 7.437e-01 -> 7.575e-01, test_acc: 7.577e-01, test_nll: 7.249e-01)
[2023-02-05 08:40:08] [Epoch    12/  500] trn/posterior_energy  1.039e+06, trn/neg_log_likelihood  2.038e+04, trn/neg_log_prior  1.018e+06, trn/lr  2.996e-06, val/acc 7.921e-01, val/nll 6.109e-01 (best_acc: 7.575e-01 -> 7.921e-01, test_acc: 7.828e-01, test_nll: 6.323e-01)
[2023-02-05 08:40:20] [Epoch    13/  500] trn/posterior_energy  1.038e+06, trn/neg_log_likelihood  1.880e+04, trn/neg_log_prior  1.019e+06, trn/lr  2.995e-06, val/acc 7.910e-01, val/nll 6.164e-01
[2023-02-05 08:40:32] [Epoch    14/  500] trn/posterior_energy  1.037e+06, trn/neg_log_likelihood  1.745e+04, trn/neg_log_prior  1.020e+06, trn/lr  2.995e-06, val/acc 7.846e-01, val/nll 6.611e-01
[2023-02-05 08:40:44] [Epoch    15/  500] trn/posterior_energy  1.036e+06, trn/neg_log_likelihood  1.589e+04, trn/neg_log_prior  1.020e+06, trn/lr  2.994e-06, val/acc 7.777e-01, val/nll 6.628e-01
