[2023-02-04 11:50:01] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 11:50:01] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 45
- args.num_epochs_noisy  : 5
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0045-0005_lr-0.0000010_mo-0.97_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 11:51:48] [Cycle   1/ 30][Epoch  18/ 50] trn/posterior_energy -2.880e+03, trn/neg_log_likelihood  1.677e+04, trn/neg_log_prior -1.965e+04, trn/lr  7.270e-07, trn/temperature  0.000e+00, val/acc 7.699e-01, val/nll 7.266e-01
[2023-02-04 11:51:52] [Cycle   1/ 30][Epoch  19/ 50] trn/posterior_energy -3.244e+03, trn/neg_log_likelihood  1.614e+04, trn/neg_log_prior -1.939e+04, trn/lr  6.986e-07, trn/temperature  0.000e+00, val/acc 7.666e-01, val/nll 7.434e-01
[2023-02-04 11:51:56] [Cycle   1/ 30][Epoch  20/ 50] trn/posterior_energy -4.509e+03, trn/neg_log_likelihood  1.464e+04, trn/neg_log_prior -1.915e+04, trn/lr  6.694e-07, trn/temperature  0.000e+00, val/acc 7.874e-01, val/nll 6.387e-01
[2023-02-04 11:52:00] [Cycle   1/ 30][Epoch  21/ 50] trn/posterior_energy -6.036e+03, trn/neg_log_likelihood  1.295e+04, trn/neg_log_prior -1.898e+04, trn/lr  6.395e-07, trn/temperature  0.000e+00, val/acc 7.852e-01, val/nll 6.695e-01
[2023-02-04 11:52:05] [Cycle   1/ 30][Epoch  22/ 50] trn/posterior_energy -6.324e+03, trn/neg_log_likelihood  1.251e+04, trn/neg_log_prior -1.883e+04, trn/lr  6.091e-07, trn/temperature  0.000e+00, val/acc 7.790e-01, val/nll 6.747e-01
[2023-02-04 11:52:09] [Cycle   1/ 30][Epoch  23/ 50] trn/posterior_energy -7.622e+03, trn/neg_log_likelihood  1.105e+04, trn/neg_log_prior -1.867e+04, trn/lr  5.782e-07, trn/temperature  0.000e+00, val/acc 7.683e-01, val/nll 7.462e-01
[2023-02-04 11:52:13] [Cycle   1/ 30][Epoch  24/ 50] trn/posterior_energy -8.959e+03, trn/neg_log_likelihood  9.615e+03, trn/neg_log_prior -1.857e+04, trn/lr  5.471e-07, trn/temperature  0.000e+00, val/acc 7.882e-01, val/nll 7.027e-01
[2023-02-04 11:52:17] [Cycle   1/ 30][Epoch  25/ 50] trn/posterior_energy -1.051e+04, trn/neg_log_likelihood  8.055e+03, trn/neg_log_prior -1.856e+04, trn/lr  5.157e-07, trn/temperature  0.000e+00, val/acc 7.773e-01, val/nll 7.744e-01
[2023-02-04 11:52:22] [Cycle   1/ 30][Epoch  26/ 50] trn/posterior_energy -1.109e+04, trn/neg_log_likelihood  7.474e+03, trn/neg_log_prior -1.857e+04, trn/lr  4.843e-07, trn/temperature  0.000e+00, val/acc 7.746e-01, val/nll 7.808e-01
[2023-02-04 11:52:26] [Cycle   1/ 30][Epoch  27/ 50] trn/posterior_energy -1.219e+04, trn/neg_log_likelihood  6.411e+03, trn/neg_log_prior -1.860e+04, trn/lr  4.530e-07, trn/temperature  0.000e+00, val/acc 7.699e-01, val/nll 8.329e-01
[2023-02-04 11:52:30] [Cycle   1/ 30][Epoch  28/ 50] trn/posterior_energy -1.360e+04, trn/neg_log_likelihood  5.100e+03, trn/neg_log_prior -1.870e+04, trn/lr  4.218e-07, trn/temperature  0.000e+00, val/acc 7.867e-01, val/nll 7.638e-01
[2023-02-04 11:52:34] [Cycle   1/ 30][Epoch  29/ 50] trn/posterior_energy -1.590e+04, trn/neg_log_likelihood  3.013e+03, trn/neg_log_prior -1.891e+04, trn/lr  3.910e-07, trn/temperature  0.000e+00, val/acc 7.897e-01, val/nll 8.300e-01
[2023-02-04 11:52:38] [Cycle   1/ 30][Epoch  30/ 50] trn/posterior_energy -1.614e+04, trn/neg_log_likelihood  3.083e+03, trn/neg_log_prior -1.922e+04, trn/lr  3.606e-07, trn/temperature  0.000e+00, val/acc 7.842e-01, val/nll 8.180e-01
[2023-02-04 11:52:43] [Cycle   1/ 30][Epoch  31/ 50] trn/posterior_energy -1.682e+04, trn/neg_log_likelihood  2.589e+03, trn/neg_log_prior -1.941e+04, trn/lr  3.307e-07, trn/temperature  0.000e+00, val/acc 7.886e-01, val/nll 8.647e-01
[2023-02-04 11:52:47] [Cycle   1/ 30][Epoch  32/ 50] trn/posterior_energy -1.847e+04, trn/neg_log_likelihood  1.261e+03, trn/neg_log_prior -1.973e+04, trn/lr  3.015e-07, trn/temperature  0.000e+00, val/acc 8.012e-01, val/nll 8.762e-01
[2023-02-04 11:52:51] [Cycle   1/ 30][Epoch  33/ 50] trn/posterior_energy -1.949e+04, trn/neg_log_likelihood  6.215e+02, trn/neg_log_prior -2.011e+04, trn/lr  2.731e-07, trn/temperature  0.000e+00, val/acc 7.976e-01, val/nll 8.740e-01
[2023-02-04 11:52:55] [Cycle   1/ 30][Epoch  34/ 50] trn/posterior_energy -2.039e+04, trn/neg_log_likelihood  1.430e+02, trn/neg_log_prior -2.053e+04, trn/lr  2.455e-07, trn/temperature  0.000e+00, val/acc 8.073e-01, val/nll 8.610e-01
