[2023-02-05 07:21:33] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-05 07:21:33] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000001_mo-0.99_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 07:23:18] [Cycle   1/ 30][Epoch  18/ 50] trn/posterior_energy -4.198e+03, trn/neg_log_likelihood  1.940e+04, trn/neg_log_prior -2.360e+04, trn/lr  7.270e-08, trn/temperature  0.000e+00, val/acc 7.542e-01, val/nll 7.217e-01
[2023-02-05 07:23:22] [Cycle   1/ 30][Epoch  19/ 50] trn/posterior_energy -6.306e+03, trn/neg_log_likelihood  1.718e+04, trn/neg_log_prior -2.349e+04, trn/lr  6.986e-08, trn/temperature  0.000e+00, val/acc 7.582e-01, val/nll 7.135e-01
[2023-02-05 07:23:26] [Cycle   1/ 30][Epoch  20/ 50] trn/posterior_energy -6.781e+03, trn/neg_log_likelihood  1.661e+04, trn/neg_log_prior -2.339e+04, trn/lr  6.694e-08, trn/temperature  0.000e+00, val/acc 7.629e-01, val/nll 7.223e-01
[2023-02-05 07:23:31] [Cycle   1/ 30][Epoch  21/ 50] trn/posterior_energy -7.793e+03, trn/neg_log_likelihood  1.546e+04, trn/neg_log_prior -2.326e+04, trn/lr  6.395e-08, trn/temperature  0.000e+00, val/acc 7.559e-01, val/nll 7.648e-01
[2023-02-05 07:23:35] [Cycle   1/ 30][Epoch  22/ 50] trn/posterior_energy -9.581e+03, trn/neg_log_likelihood  1.356e+04, trn/neg_log_prior -2.314e+04, trn/lr  6.091e-08, trn/temperature  0.000e+00, val/acc 7.711e-01, val/nll 7.319e-01
[2023-02-05 07:23:39] [Cycle   1/ 30][Epoch  23/ 50] trn/posterior_energy -1.094e+04, trn/neg_log_likelihood  1.210e+04, trn/neg_log_prior -2.304e+04, trn/lr  5.782e-08, trn/temperature  0.000e+00, val/acc 7.621e-01, val/nll 7.662e-01
[2023-02-05 07:23:43] [Cycle   1/ 30][Epoch  24/ 50] trn/posterior_energy -1.115e+04, trn/neg_log_likelihood  1.179e+04, trn/neg_log_prior -2.294e+04, trn/lr  5.471e-08, trn/temperature  0.000e+00, val/acc 7.634e-01, val/nll 8.132e-01
[2023-02-05 07:23:47] [Cycle   1/ 30][Epoch  25/ 50] trn/posterior_energy -1.421e+04, trn/neg_log_likelihood  8.638e+03, trn/neg_log_prior -2.285e+04, trn/lr  5.157e-08, trn/temperature  0.000e+00, val/acc 7.647e-01, val/nll 8.100e-01
[2023-02-05 07:23:51] [Cycle   1/ 30][Epoch  26/ 50] trn/posterior_energy -1.504e+04, trn/neg_log_likelihood  7.756e+03, trn/neg_log_prior -2.279e+04, trn/lr  4.843e-08, trn/temperature  0.000e+00, val/acc 7.673e-01, val/nll 8.409e-01
[2023-02-05 07:23:56] [Cycle   1/ 30][Epoch  27/ 50] trn/posterior_energy -1.676e+04, trn/neg_log_likelihood  5.990e+03, trn/neg_log_prior -2.275e+04, trn/lr  4.530e-08, trn/temperature  0.000e+00, val/acc 7.665e-01, val/nll 8.737e-01
