[2023-02-05 15:25:57] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 15:25:57] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.97
- args.prior_precision   : 2.5
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.97_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 15:26:03] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 15:29:44] [Epoch    15/  500] trn/posterior_energy -1.960e+06, trn/neg_log_likelihood  1.263e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.979e-08, val/acc 7.837e-01, val/nll 6.714e-01
[2023-02-05 15:29:56] [Epoch    16/  500] trn/posterior_energy -1.961e+06, trn/neg_log_likelihood  1.104e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.976e-08, val/acc 7.659e-01, val/nll 7.609e-01
[2023-02-05 15:30:07] [Epoch    17/  500] trn/posterior_energy -1.963e+06, trn/neg_log_likelihood  9.258e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.973e-08, val/acc 7.827e-01, val/nll 7.050e-01
[2023-02-05 15:30:21] [Epoch    18/  500] trn/posterior_energy -1.965e+06, trn/neg_log_likelihood  7.742e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.970e-08, val/acc 7.879e-01, val/nll 7.180e-01 (best_acc: 7.840e-01 -> 7.879e-01, test_acc: 7.898e-01, test_nll: 6.974e-01)
[2023-02-05 15:30:32] [Epoch    19/  500] trn/posterior_energy -1.967e+06, trn/neg_log_likelihood  5.675e+03, trn/neg_log_prior -1.972e+06, trn/lr  9.966e-08, val/acc 7.862e-01, val/nll 7.551e-01
[2023-02-05 15:30:45] [Epoch    20/  500] trn/posterior_energy -1.967e+06, trn/neg_log_likelihood  5.468e+03, trn/neg_log_prior -1.972e+06, trn/lr  9.963e-08, val/acc 7.892e-01, val/nll 7.372e-01 (best_acc: 7.879e-01 -> 7.892e-01, test_acc: 7.858e-01, test_nll: 7.257e-01)
[2023-02-05 15:30:56] [Epoch    21/  500] trn/posterior_energy -1.968e+06, trn/neg_log_likelihood  4.639e+03, trn/neg_log_prior -1.972e+06, trn/lr  9.959e-08, val/acc 7.877e-01, val/nll 8.320e-01
[2023-02-05 15:31:09] [Epoch    22/  500] trn/posterior_energy -1.969e+06, trn/neg_log_likelihood  3.833e+03, trn/neg_log_prior -1.972e+06, trn/lr  9.954e-08, val/acc 7.927e-01, val/nll 8.085e-01 (best_acc: 7.892e-01 -> 7.927e-01, test_acc: 7.905e-01, test_nll: 7.870e-01)
[2023-02-05 15:31:22] [Epoch    23/  500] trn/posterior_energy -1.969e+06, trn/neg_log_likelihood  3.453e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.950e-08, val/acc 7.973e-01, val/nll 8.485e-01 (best_acc: 7.927e-01 -> 7.973e-01, test_acc: 7.936e-01, test_nll: 8.432e-01)
[2023-02-05 15:31:34] [Epoch    24/  500] trn/posterior_energy -1.970e+06, trn/neg_log_likelihood  2.933e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.946e-08, val/acc 7.718e-01, val/nll 9.131e-01
[2023-02-05 15:31:45] [Epoch    25/  500] trn/posterior_energy -1.969e+06, trn/neg_log_likelihood  3.157e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.941e-08, val/acc 7.926e-01, val/nll 8.608e-01
[2023-02-05 15:31:56] [Epoch    26/  500] trn/posterior_energy -1.970e+06, trn/neg_log_likelihood  2.547e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.936e-08, val/acc 7.918e-01, val/nll 8.971e-01
[2023-02-05 15:32:07] [Epoch    27/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  1.963e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.931e-08, val/acc 7.813e-01, val/nll 1.032e+00
[2023-02-05 15:32:20] [Epoch    28/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  1.125e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.926e-08, val/acc 7.994e-01, val/nll 1.002e+00 (best_acc: 7.973e-01 -> 7.994e-01, test_acc: 7.954e-01, test_nll: 1.005e+00)
[2023-02-05 15:32:31] [Epoch    29/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.139e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.920e-08, val/acc 7.930e-01, val/nll 1.001e+00
[2023-02-05 15:32:42] [Epoch    30/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.081e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.914e-08, val/acc 7.890e-01, val/nll 1.033e+00
[2023-02-05 15:32:53] [Epoch    31/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.062e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.908e-08, val/acc 7.944e-01, val/nll 9.983e-01
[2023-02-05 15:33:05] [Epoch    32/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  1.649e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.902e-08, val/acc 7.969e-01, val/nll 9.519e-01
[2023-02-05 15:33:16] [Epoch    33/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.141e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.896e-08, val/acc 7.940e-01, val/nll 1.034e+00
[2023-02-05 15:33:29] [Epoch    34/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  6.414e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.890e-08, val/acc 8.046e-01, val/nll 9.755e-01 (best_acc: 7.994e-01 -> 8.046e-01, test_acc: 8.081e-01, test_nll: 9.538e-01)
[2023-02-05 15:33:40] [Epoch    35/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.257e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.883e-08, val/acc 7.736e-01, val/nll 1.161e+00
[2023-02-05 15:33:51] [Epoch    36/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.026e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.876e-08, val/acc 7.902e-01, val/nll 1.017e+00
[2023-02-05 15:34:02] [Epoch    37/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.040e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.869e-08, val/acc 7.976e-01, val/nll 9.936e-01
[2023-02-05 15:34:13] [Epoch    38/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  5.153e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.862e-08, val/acc 7.994e-01, val/nll 1.042e+00
[2023-02-05 15:34:24] [Epoch    39/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  5.302e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.854e-08, val/acc 8.021e-01, val/nll 1.078e+00
[2023-02-05 15:34:37] [Epoch    40/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  5.466e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.847e-08, val/acc 8.067e-01, val/nll 1.050e+00 (best_acc: 8.046e-01 -> 8.067e-01, test_acc: 8.039e-01, test_nll: 1.042e+00)
[2023-02-05 15:34:50] [Epoch    41/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  2.205e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.839e-08, val/acc 8.107e-01, val/nll 1.079e+00 (best_acc: 8.067e-01 -> 8.107e-01, test_acc: 8.080e-01, test_nll: 1.104e+00)
