[2023-02-21 05:04:42] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-21 05:04:42] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 0.3
- args.optim_momentum     : 0.97
- args.optim_weight_decay : 0.003
- args.rho                : 3.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/ASAM/bs-0256_ne-0200_lr-0.30_mo-0.97_wd-0.0030_rho-3.0000_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-21 05:04:47] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-21 05:05:51] [Epoch     1/  200] trn/loss 2.499e+00, trn/lr 3.000e-01, val/acc 1.114e-01, val/nll 1.010e+02 (best_acc: 0.000e+00 -> 1.114e-01, test_acc: 1.143e-01, test_nll: 9.743e+01)
[2023-02-21 05:05:58] [Epoch     2/  200] trn/loss 2.345e+00, trn/lr 3.000e-01, val/acc 9.823e-02, val/nll 2.329e+00
[2023-02-21 05:06:06] [Epoch     3/  200] trn/loss 2.333e+00, trn/lr 2.999e-01, val/acc 9.281e-02, val/nll 2.333e+00
[2023-02-21 05:06:13] [Epoch     4/  200] trn/loss 2.339e+00, trn/lr 2.998e-01, val/acc 9.281e-02, val/nll 2.345e+00
[2023-02-21 05:06:20] [Epoch     5/  200] trn/loss 2.330e+00, trn/lr 2.996e-01, val/acc 9.281e-02, val/nll 2.330e+00
[2023-02-21 05:06:27] [Epoch     6/  200] trn/loss 2.338e+00, trn/lr 2.994e-01, val/acc 9.978e-02, val/nll 2.317e+00
[2023-02-21 05:06:35] [Epoch     7/  200] trn/loss 2.342e+00, trn/lr 2.992e-01, val/acc 1.451e-01, val/nll 2.349e+00 (best_acc: 1.114e-01 -> 1.451e-01, test_acc: 1.358e-01, test_nll: 2.357e+00)
[2023-02-21 05:06:43] [Epoch     8/  200] trn/loss 2.339e+00, trn/lr 2.990e-01, val/acc 9.757e-02, val/nll 2.354e+00
[2023-02-21 05:06:50] [Epoch     9/  200] trn/loss 2.353e+00, trn/lr 2.987e-01, val/acc 9.978e-02, val/nll 2.364e+00
[2023-02-21 05:06:57] [Epoch    10/  200] trn/loss 2.354e+00, trn/lr 2.983e-01, val/acc 9.945e-02, val/nll 2.418e+00
[2023-02-21 05:07:04] [Epoch    11/  200] trn/loss 2.341e+00, trn/lr 2.980e-01, val/acc 9.978e-02, val/nll 2.338e+00
[2023-02-21 05:07:11] [Epoch    12/  200] trn/loss 2.341e+00, trn/lr 2.976e-01, val/acc 1.007e-01, val/nll 2.348e+00
[2023-02-21 05:07:19] [Epoch    13/  200] trn/loss 2.347e+00, trn/lr 2.971e-01, val/acc 1.007e-01, val/nll 2.329e+00
[2023-02-21 05:07:26] [Epoch    14/  200] trn/loss 2.340e+00, trn/lr 2.966e-01, val/acc 1.007e-01, val/nll 2.369e+00
[2023-02-21 05:07:33] [Epoch    15/  200] trn/loss 2.350e+00, trn/lr 2.961e-01, val/acc 1.007e-01, val/nll 2.352e+00
[2023-02-21 05:07:40] [Epoch    16/  200] trn/loss 2.353e+00, trn/lr 2.956e-01, val/acc 9.856e-02, val/nll 2.356e+00
[2023-02-21 05:07:48] [Epoch    17/  200] trn/loss 2.371e+00, trn/lr 2.950e-01, val/acc 9.281e-02, val/nll 2.352e+00
[2023-02-21 05:07:55] [Epoch    18/  200] trn/loss 2.335e+00, trn/lr 2.944e-01, val/acc 1.044e-01, val/nll 2.324e+00
[2023-02-21 05:08:02] [Epoch    19/  200] trn/loss 2.362e+00, trn/lr 2.937e-01, val/acc 9.978e-02, val/nll 2.370e+00
[2023-02-21 05:08:09] [Epoch    20/  200] trn/loss 2.364e+00, trn/lr 2.930e-01, val/acc 9.823e-02, val/nll 2.387e+00
[2023-02-21 05:08:16] [Epoch    21/  200] trn/loss 2.362e+00, trn/lr 2.923e-01, val/acc 1.007e-01, val/nll 2.341e+00
[2023-02-21 05:08:24] [Epoch    22/  200] trn/loss 2.344e+00, trn/lr 2.915e-01, val/acc 9.978e-02, val/nll 2.378e+00
[2023-02-21 05:08:31] [Epoch    23/  200] trn/loss 2.365e+00, trn/lr 2.907e-01, val/acc 9.856e-02, val/nll 2.348e+00
