[2023-02-06 08:31:46] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-06 08:31:46] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.99
- args.prior_precision   : 40.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000030_mo-0.99_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 08:31:52] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-06 08:36:18] [Epoch    19/  500] trn/posterior_energy  4.087e+06, trn/neg_log_likelihood  9.519e+04, trn/neg_log_prior  3.992e+06, trn/lr  2.990e-06, val/acc 9.945e-02, val/nll 2.346e+00
[2023-02-06 08:36:29] [Epoch    20/  500] trn/posterior_energy  4.093e+06, trn/neg_log_likelihood  9.520e+04, trn/neg_log_prior  3.998e+06, trn/lr  2.989e-06, val/acc 1.044e-01, val/nll 2.332e+00
[2023-02-06 08:36:42] [Epoch    21/  500] trn/posterior_energy  4.084e+06, trn/neg_log_likelihood  9.528e+04, trn/neg_log_prior  3.989e+06, trn/lr  2.988e-06, val/acc 9.856e-02, val/nll 2.323e+00
[2023-02-06 08:36:54] [Epoch    22/  500] trn/posterior_energy  4.093e+06, trn/neg_log_likelihood  9.553e+04, trn/neg_log_prior  3.997e+06, trn/lr  2.986e-06, val/acc 9.281e-02, val/nll 2.318e+00
[2023-02-06 08:37:06] [Epoch    23/  500] trn/posterior_energy  4.092e+06, trn/neg_log_likelihood  9.564e+04, trn/neg_log_prior  3.996e+06, trn/lr  2.985e-06, val/acc 9.978e-02, val/nll 2.334e+00
[2023-02-06 08:37:18] [Epoch    24/  500] trn/posterior_energy  4.099e+06, trn/neg_log_likelihood  9.546e+04, trn/neg_log_prior  4.004e+06, trn/lr  2.984e-06, val/acc 9.823e-02, val/nll 2.315e+00
[2023-02-06 08:37:30] [Epoch    25/  500] trn/posterior_energy  4.095e+06, trn/neg_log_likelihood  9.527e+04, trn/neg_log_prior  3.999e+06, trn/lr  2.982e-06, val/acc 1.081e-01, val/nll 2.324e+00
[2023-02-06 08:37:42] [Epoch    26/  500] trn/posterior_energy  4.098e+06, trn/neg_log_likelihood  9.530e+04, trn/neg_log_prior  4.002e+06, trn/lr  2.981e-06, val/acc 9.978e-02, val/nll 2.338e+00
[2023-02-06 08:37:55] [Epoch    27/  500] trn/posterior_energy  4.109e+06, trn/neg_log_likelihood  9.529e+04, trn/neg_log_prior  4.014e+06, trn/lr  2.979e-06, val/acc 1.007e-01, val/nll 2.314e+00
[2023-02-06 08:38:07] [Epoch    28/  500] trn/posterior_energy  4.084e+06, trn/neg_log_likelihood  9.518e+04, trn/neg_log_prior  3.989e+06, trn/lr  2.978e-06, val/acc 9.978e-02, val/nll 2.335e+00
