[2023-02-07 04:08:00] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-07 04:08:00] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.9
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 200
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0200_lr-0.0000003_mo-0.90_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-07 04:08:40] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy  6.044e+04, trn/neg_log_likelihood  8.486e+04, trn/neg_log_prior -2.442e+04, trn/lr  3.000e-07, trn/temperature  1.000e+00, val/acc 3.364e-01, val/nll 1.757e+00
[2023-02-07 04:08:46] [Cycle   1/ 30][Epoch   2/200] trn/posterior_energy  4.659e+04, trn/neg_log_likelihood  6.892e+04, trn/neg_log_prior -2.233e+04, trn/lr  3.000e-07, trn/temperature  1.000e+00, val/acc 4.252e-01, val/nll 1.545e+00
[2023-02-07 04:08:51] [Cycle   1/ 30][Epoch   3/200] trn/posterior_energy  4.287e+04, trn/neg_log_likelihood  6.314e+04, trn/neg_log_prior -2.027e+04, trn/lr  2.999e-07, trn/temperature  1.000e+00, val/acc 4.377e-01, val/nll 1.485e+00
[2023-02-07 04:08:57] [Cycle   1/ 30][Epoch   4/200] trn/posterior_energy  4.160e+04, trn/neg_log_likelihood  5.984e+04, trn/neg_log_prior -1.824e+04, trn/lr  2.998e-07, trn/temperature  1.000e+00, val/acc 4.738e-01, val/nll 1.416e+00
[2023-02-07 04:09:02] [Cycle   1/ 30][Epoch   5/200] trn/posterior_energy  4.002e+04, trn/neg_log_likelihood  5.625e+04, trn/neg_log_prior -1.624e+04, trn/lr  2.996e-07, trn/temperature  1.000e+00, val/acc 4.790e-01, val/nll 1.455e+00
[2023-02-07 04:09:08] [Cycle   1/ 30][Epoch   6/200] trn/posterior_energy  3.976e+04, trn/neg_log_likelihood  5.405e+04, trn/neg_log_prior -1.429e+04, trn/lr  2.994e-07, trn/temperature  1.000e+00, val/acc 5.375e-01, val/nll 1.254e+00
[2023-02-07 04:09:13] [Cycle   1/ 30][Epoch   7/200] trn/posterior_energy  3.914e+04, trn/neg_log_likelihood  5.148e+04, trn/neg_log_prior -1.234e+04, trn/lr  2.992e-07, trn/temperature  1.000e+00, val/acc 5.345e-01, val/nll 1.263e+00
[2023-02-07 04:09:19] [Cycle   1/ 30][Epoch   8/200] trn/posterior_energy  3.859e+04, trn/neg_log_likelihood  4.906e+04, trn/neg_log_prior -1.047e+04, trn/lr  2.990e-07, trn/temperature  1.000e+00, val/acc 5.788e-01, val/nll 1.162e+00
[2023-02-07 04:09:24] [Cycle   1/ 30][Epoch   9/200] trn/posterior_energy  3.851e+04, trn/neg_log_likelihood  4.714e+04, trn/neg_log_prior -8.638e+03, trn/lr  2.987e-07, trn/temperature  1.000e+00, val/acc 5.779e-01, val/nll 1.143e+00
[2023-02-07 04:09:30] [Cycle   1/ 30][Epoch  10/200] trn/posterior_energy  3.861e+04, trn/neg_log_likelihood  4.546e+04, trn/neg_log_prior -6.852e+03, trn/lr  2.983e-07, trn/temperature  1.000e+00, val/acc 6.119e-01, val/nll 1.084e+00
[2023-02-07 04:09:35] [Cycle   1/ 30][Epoch  11/200] trn/posterior_energy  3.848e+04, trn/neg_log_likelihood  4.354e+04, trn/neg_log_prior -5.063e+03, trn/lr  2.980e-07, trn/temperature  1.000e+00, val/acc 6.164e-01, val/nll 1.054e+00
