[2023-02-05 19:34:06] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-05 19:34:06] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000003_mo-0.99_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 19:34:40] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  3.836e+05, trn/neg_log_likelihood  9.378e+04, trn/neg_log_prior  2.898e+05, trn/lr  2.999e-07, trn/temperature  0.000e+00, val/acc 2.121e-01, val/nll 2.085e+00
[2023-02-05 19:34:44] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  3.464e+05, trn/neg_log_likelihood  7.749e+04, trn/neg_log_prior  2.689e+05, trn/lr  2.993e-07, trn/temperature  0.000e+00, val/acc 3.299e-01, val/nll 1.765e+00
[2023-02-05 19:34:48] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  3.342e+05, trn/neg_log_likelihood  7.104e+04, trn/neg_log_prior  2.632e+05, trn/lr  2.981e-07, trn/temperature  0.000e+00, val/acc 3.508e-01, val/nll 1.761e+00
[2023-02-05 19:34:52] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  3.297e+05, trn/neg_log_likelihood  6.678e+04, trn/neg_log_prior  2.629e+05, trn/lr  2.964e-07, trn/temperature  0.000e+00, val/acc 4.298e-01, val/nll 1.528e+00
[2023-02-05 19:34:56] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  3.278e+05, trn/neg_log_likelihood  6.441e+04, trn/neg_log_prior  2.634e+05, trn/lr  2.940e-07, trn/temperature  0.000e+00, val/acc 4.309e-01, val/nll 1.522e+00
[2023-02-05 19:35:01] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  3.288e+05, trn/neg_log_likelihood  6.431e+04, trn/neg_log_prior  2.645e+05, trn/lr  2.911e-07, trn/temperature  0.000e+00, val/acc 4.288e-01, val/nll 1.527e+00
[2023-02-05 19:35:05] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  3.255e+05, trn/neg_log_likelihood  6.096e+04, trn/neg_log_prior  2.646e+05, trn/lr  2.876e-07, trn/temperature  0.000e+00, val/acc 4.532e-01, val/nll 1.447e+00
[2023-02-05 19:35:09] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  3.257e+05, trn/neg_log_likelihood  6.050e+04, trn/neg_log_prior  2.652e+05, trn/lr  2.836e-07, trn/temperature  0.000e+00, val/acc 4.855e-01, val/nll 1.413e+00
[2023-02-05 19:35:13] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  3.231e+05, trn/neg_log_likelihood  5.695e+04, trn/neg_log_prior  2.661e+05, trn/lr  2.791e-07, trn/temperature  0.000e+00, val/acc 4.669e-01, val/nll 1.401e+00
[2023-02-05 19:35:17] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  3.214e+05, trn/neg_log_likelihood  5.457e+04, trn/neg_log_prior  2.669e+05, trn/lr  2.740e-07, trn/temperature  0.000e+00, val/acc 5.384e-01, val/nll 1.263e+00
[2023-02-05 19:35:21] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  3.206e+05, trn/neg_log_likelihood  5.303e+04, trn/neg_log_prior  2.676e+05, trn/lr  2.685e-07, trn/temperature  0.000e+00, val/acc 5.142e-01, val/nll 1.298e+00
[2023-02-05 19:35:25] [Cycle   1/ 30][Epoch  12/ 50] trn/posterior_energy  3.182e+05, trn/neg_log_likelihood  4.942e+04, trn/neg_log_prior  2.687e+05, trn/lr  2.625e-07, trn/temperature  0.000e+00, val/acc 5.762e-01, val/nll 1.199e+00
[2023-02-05 19:35:30] [Cycle   1/ 30][Epoch  13/ 50] trn/posterior_energy  3.190e+05, trn/neg_log_likelihood  4.956e+04, trn/neg_log_prior  2.695e+05, trn/lr  2.561e-07, trn/temperature  0.000e+00, val/acc 6.013e-01, val/nll 1.097e+00
[2023-02-05 19:35:34] [Cycle   1/ 30][Epoch  14/ 50] trn/posterior_energy  3.163e+05, trn/neg_log_likelihood  4.654e+04, trn/neg_log_prior  2.698e+05, trn/lr  2.492e-07, trn/temperature  0.000e+00, val/acc 6.178e-01, val/nll 1.064e+00
[2023-02-05 19:35:38] [Cycle   1/ 30][Epoch  15/ 50] trn/posterior_energy  3.149e+05, trn/neg_log_likelihood  4.462e+04, trn/neg_log_prior  2.703e+05, trn/lr  2.419e-07, trn/temperature  0.000e+00, val/acc 5.952e-01, val/nll 1.140e+00
[2023-02-05 19:35:42] [Cycle   1/ 30][Epoch  16/ 50] trn/posterior_energy  3.144e+05, trn/neg_log_likelihood  4.386e+04, trn/neg_log_prior  2.706e+05, trn/lr  2.343e-07, trn/temperature  0.000e+00, val/acc 5.622e-01, val/nll 1.249e+00
[2023-02-05 19:35:46] [Cycle   1/ 30][Epoch  17/ 50] trn/posterior_energy  3.136e+05, trn/neg_log_likelihood  4.219e+04, trn/neg_log_prior  2.714e+05, trn/lr  2.264e-07, trn/temperature  0.000e+00, val/acc 6.454e-01, val/nll 1.005e+00
[2023-02-05 19:35:50] [Cycle   1/ 30][Epoch  18/ 50] trn/posterior_energy  3.137e+05, trn/neg_log_likelihood  4.198e+04, trn/neg_log_prior  2.718e+05, trn/lr  2.181e-07, trn/temperature  0.000e+00, val/acc 6.384e-01, val/nll 1.025e+00
[2023-02-05 19:35:54] [Cycle   1/ 30][Epoch  19/ 50] trn/posterior_energy  3.116e+05, trn/neg_log_likelihood  3.971e+04, trn/neg_log_prior  2.719e+05, trn/lr  2.096e-07, trn/temperature  0.000e+00, val/acc 6.542e-01, val/nll 9.731e-01
[2023-02-05 19:35:58] [Cycle   1/ 30][Epoch  20/ 50] trn/posterior_energy  3.113e+05, trn/neg_log_likelihood  3.891e+04, trn/neg_log_prior  2.724e+05, trn/lr  2.008e-07, trn/temperature  0.000e+00, val/acc 6.857e-01, val/nll 9.057e-01
[2023-02-05 19:36:02] [Cycle   1/ 30][Epoch  21/ 50] trn/posterior_energy  3.093e+05, trn/neg_log_likelihood  3.743e+04, trn/neg_log_prior  2.719e+05, trn/lr  1.919e-07, trn/temperature  0.000e+00, val/acc 6.751e-01, val/nll 9.331e-01
[2023-02-05 19:36:06] [Cycle   1/ 30][Epoch  22/ 50] trn/posterior_energy  3.083e+05, trn/neg_log_likelihood  3.650e+04, trn/neg_log_prior  2.718e+05, trn/lr  1.827e-07, trn/temperature  0.000e+00, val/acc 6.990e-01, val/nll 8.873e-01
[2023-02-05 19:36:10] [Cycle   1/ 30][Epoch  23/ 50] trn/posterior_energy  3.078e+05, trn/neg_log_likelihood  3.603e+04, trn/neg_log_prior  2.718e+05, trn/lr  1.735e-07, trn/temperature  0.000e+00, val/acc 7.081e-01, val/nll 8.498e-01
[2023-02-05 19:36:15] [Cycle   1/ 30][Epoch  24/ 50] trn/posterior_energy  3.078e+05, trn/neg_log_likelihood  3.594e+04, trn/neg_log_prior  2.719e+05, trn/lr  1.641e-07, trn/temperature  0.000e+00, val/acc 6.960e-01, val/nll 8.806e-01
[2023-02-05 19:36:19] [Cycle   1/ 30][Epoch  25/ 50] trn/posterior_energy  3.049e+05, trn/neg_log_likelihood  3.324e+04, trn/neg_log_prior  2.717e+05, trn/lr  1.547e-07, trn/temperature  0.000e+00, val/acc 7.025e-01, val/nll 8.549e-01
[2023-02-05 19:36:23] [Cycle   1/ 30][Epoch  26/ 50] trn/posterior_energy  3.054e+05, trn/neg_log_likelihood  3.395e+04, trn/neg_log_prior  2.714e+05, trn/lr  1.453e-07, trn/temperature  0.000e+00, val/acc 7.105e-01, val/nll 8.339e-01
[2023-02-05 19:36:27] [Cycle   1/ 30][Epoch  27/ 50] trn/posterior_energy  3.048e+05, trn/neg_log_likelihood  3.324e+04, trn/neg_log_prior  2.716e+05, trn/lr  1.359e-07, trn/temperature  0.000e+00, val/acc 7.135e-01, val/nll 8.217e-01
[2023-02-05 19:36:31] [Cycle   1/ 30][Epoch  28/ 50] trn/posterior_energy  3.018e+05, trn/neg_log_likelihood  3.046e+04, trn/neg_log_prior  2.713e+05, trn/lr  1.265e-07, trn/temperature  0.000e+00, val/acc 7.129e-01, val/nll 8.112e-01
[2023-02-05 19:36:35] [Cycle   1/ 30][Epoch  29/ 50] trn/posterior_energy  2.997e+05, trn/neg_log_likelihood  2.901e+04, trn/neg_log_prior  2.707e+05, trn/lr  1.173e-07, trn/temperature  0.000e+00, val/acc 6.906e-01, val/nll 9.081e-01
[2023-02-05 19:36:39] [Cycle   1/ 30][Epoch  30/ 50] trn/posterior_energy  2.991e+05, trn/neg_log_likelihood  2.849e+04, trn/neg_log_prior  2.706e+05, trn/lr  1.082e-07, trn/temperature  0.000e+00, val/acc 7.458e-01, val/nll 7.386e-01
[2023-02-05 19:36:43] [Cycle   1/ 30][Epoch  31/ 50] trn/posterior_energy  2.977e+05, trn/neg_log_likelihood  2.752e+04, trn/neg_log_prior  2.702e+05, trn/lr  9.921e-08, trn/temperature  0.000e+00, val/acc 7.555e-01, val/nll 7.085e-01
[2023-02-05 19:36:48] [Cycle   1/ 30][Epoch  32/ 50] trn/posterior_energy  2.967e+05, trn/neg_log_likelihood  2.654e+04, trn/neg_log_prior  2.701e+05, trn/lr  9.045e-08, trn/temperature  0.000e+00, val/acc 7.324e-01, val/nll 7.816e-01
[2023-02-05 19:36:52] [Cycle   1/ 30][Epoch  33/ 50] trn/posterior_energy  2.947e+05, trn/neg_log_likelihood  2.488e+04, trn/neg_log_prior  2.699e+05, trn/lr  8.192e-08, trn/temperature  0.000e+00, val/acc 7.514e-01, val/nll 7.044e-01
[2023-02-05 19:36:56] [Cycle   1/ 30][Epoch  34/ 50] trn/posterior_energy  2.945e+05, trn/neg_log_likelihood  2.490e+04, trn/neg_log_prior  2.696e+05, trn/lr  7.366e-08, trn/temperature  0.000e+00, val/acc 7.602e-01, val/nll 7.082e-01
[2023-02-05 19:37:00] [Cycle   1/ 30][Epoch  35/ 50] trn/posterior_energy  2.934e+05, trn/neg_log_likelihood  2.376e+04, trn/neg_log_prior  2.696e+05, trn/lr  6.571e-08, trn/temperature  0.000e+00, val/acc 7.343e-01, val/nll 7.674e-01
