[2023-02-05 20:16:58] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 20:16:58] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.97
- args.prior_precision   : 20.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000003_mo-0.97_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 20:17:04] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 20:17:47] [Epoch     1/  500] trn/posterior_energy  2.660e+06, trn/neg_log_likelihood  8.016e+04, trn/neg_log_prior  2.580e+06, trn/lr  3.000e-07, val/acc 4.140e-01, val/nll 1.589e+00 (best_acc: 0.000e+00 -> 4.140e-01, test_acc: 4.171e-01, test_nll: 1.585e+00)
[2023-02-05 20:18:01] [Epoch     2/  500] trn/posterior_energy  2.628e+06, trn/neg_log_likelihood  6.204e+04, trn/neg_log_prior  2.566e+06, trn/lr  3.000e-07, val/acc 4.921e-01, val/nll 1.393e+00 (best_acc: 4.140e-01 -> 4.921e-01, test_acc: 4.832e-01, test_nll: 1.396e+00)
[2023-02-05 20:18:16] [Epoch     3/  500] trn/posterior_energy  2.607e+06, trn/neg_log_likelihood  5.290e+04, trn/neg_log_prior  2.554e+06, trn/lr  3.000e-07, val/acc 5.373e-01, val/nll 1.247e+00 (best_acc: 4.921e-01 -> 5.373e-01, test_acc: 5.349e-01, test_nll: 1.254e+00)
[2023-02-05 20:18:30] [Epoch     4/  500] trn/posterior_energy  2.591e+06, trn/neg_log_likelihood  4.637e+04, trn/neg_log_prior  2.545e+06, trn/lr  3.000e-07, val/acc 6.091e-01, val/nll 1.062e+00 (best_acc: 5.373e-01 -> 6.091e-01, test_acc: 6.110e-01, test_nll: 1.077e+00)
[2023-02-05 20:18:45] [Epoch     5/  500] trn/posterior_energy  2.578e+06, trn/neg_log_likelihood  4.027e+04, trn/neg_log_prior  2.537e+06, trn/lr  2.999e-07, val/acc 6.600e-01, val/nll 9.598e-01 (best_acc: 6.091e-01 -> 6.600e-01, test_acc: 6.592e-01, test_nll: 9.684e-01)
[2023-02-05 20:18:59] [Epoch     6/  500] trn/posterior_energy  2.568e+06, trn/neg_log_likelihood  3.636e+04, trn/neg_log_prior  2.532e+06, trn/lr  2.999e-07, val/acc 7.124e-01, val/nll 8.137e-01 (best_acc: 6.600e-01 -> 7.124e-01, test_acc: 6.979e-01, test_nll: 8.484e-01)
[2023-02-05 20:19:14] [Epoch     7/  500] trn/posterior_energy  2.558e+06, trn/neg_log_likelihood  3.117e+04, trn/neg_log_prior  2.527e+06, trn/lr  2.999e-07, val/acc 7.250e-01, val/nll 7.825e-01 (best_acc: 7.124e-01 -> 7.250e-01, test_acc: 7.155e-01, test_nll: 8.147e-01)
[2023-02-05 20:19:28] [Epoch     8/  500] trn/posterior_energy  2.551e+06, trn/neg_log_likelihood  2.754e+04, trn/neg_log_prior  2.523e+06, trn/lr  2.998e-07, val/acc 7.567e-01, val/nll 7.034e-01 (best_acc: 7.250e-01 -> 7.567e-01, test_acc: 7.562e-01, test_nll: 7.107e-01)
[2023-02-05 20:19:42] [Epoch     9/  500] trn/posterior_energy  2.545e+06, trn/neg_log_likelihood  2.430e+04, trn/neg_log_prior  2.521e+06, trn/lr  2.998e-07, val/acc 7.700e-01, val/nll 6.713e-01 (best_acc: 7.567e-01 -> 7.700e-01, test_acc: 7.700e-01, test_nll: 6.755e-01)
[2023-02-05 20:19:56] [Epoch    10/  500] trn/posterior_energy  2.541e+06, trn/neg_log_likelihood  2.241e+04, trn/neg_log_prior  2.519e+06, trn/lr  2.997e-07, val/acc 7.872e-01, val/nll 6.189e-01 (best_acc: 7.700e-01 -> 7.872e-01, test_acc: 7.811e-01, test_nll: 6.302e-01)
[2023-02-05 20:20:08] [Epoch    11/  500] trn/posterior_energy  2.537e+06, trn/neg_log_likelihood  2.013e+04, trn/neg_log_prior  2.517e+06, trn/lr  2.997e-07, val/acc 7.846e-01, val/nll 6.258e-01
[2023-02-05 20:20:21] [Epoch    12/  500] trn/posterior_energy  2.534e+06, trn/neg_log_likelihood  1.830e+04, trn/neg_log_prior  2.516e+06, trn/lr  2.996e-07, val/acc 7.780e-01, val/nll 6.682e-01
[2023-02-05 20:20:35] [Epoch    13/  500] trn/posterior_energy  2.532e+06, trn/neg_log_likelihood  1.712e+04, trn/neg_log_prior  2.515e+06, trn/lr  2.995e-07, val/acc 8.079e-01, val/nll 5.641e-01 (best_acc: 7.872e-01 -> 8.079e-01, test_acc: 8.035e-01, test_nll: 5.735e-01)
[2023-02-05 20:20:47] [Epoch    14/  500] trn/posterior_energy  2.530e+06, trn/neg_log_likelihood  1.529e+04, trn/neg_log_prior  2.515e+06, trn/lr  2.995e-07, val/acc 7.968e-01, val/nll 6.028e-01
[2023-02-05 20:21:02] [Epoch    15/  500] trn/posterior_energy  2.528e+06, trn/neg_log_likelihood  1.380e+04, trn/neg_log_prior  2.514e+06, trn/lr  2.994e-07, val/acc 8.092e-01, val/nll 5.726e-01 (best_acc: 8.079e-01 -> 8.092e-01, test_acc: 8.055e-01, test_nll: 5.848e-01)
