[2023-02-10 13:01:48] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 13:01:48] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 13:02:03] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 13:06:26] [Epoch    24/  200] trn/loss 9.435e-01, trn/lr 9.663e-01, trn/scale 1.223e-01, val/acc 6.419e-01, val/nll 1.017e+00
[2023-02-10 13:06:34] [Epoch    25/  200] trn/loss 9.221e-01, trn/lr 9.634e-01, trn/scale 1.192e-01, val/acc 3.773e-01, val/nll 2.505e+00
[2023-02-10 13:06:42] [Epoch    26/  200] trn/loss 9.328e-01, trn/lr 9.604e-01, trn/scale 1.166e-01, val/acc 3.408e-01, val/nll 2.178e+00
[2023-02-10 13:06:51] [Epoch    27/  200] trn/loss 9.326e-01, trn/lr 9.573e-01, trn/scale 1.143e-01, val/acc 4.492e-01, val/nll 1.609e+00
[2023-02-10 13:06:59] [Epoch    28/  200] trn/loss 9.391e-01, trn/lr 9.541e-01, trn/scale 1.124e-01, val/acc 4.875e-01, val/nll 1.441e+00
[2023-02-10 13:07:07] [Epoch    29/  200] trn/loss 9.526e-01, trn/lr 9.507e-01, trn/scale 1.108e-01, val/acc 3.872e-01, val/nll 2.564e+00
[2023-02-10 13:07:15] [Epoch    30/  200] trn/loss 9.318e-01, trn/lr 9.473e-01, trn/scale 1.094e-01, val/acc 4.721e-01, val/nll 1.752e+00
[2023-02-10 13:07:23] [Epoch    31/  200] trn/loss 9.968e-01, trn/lr 9.437e-01, trn/scale 1.082e-01, val/acc 4.808e-01, val/nll 1.685e+00
[2023-02-10 13:07:31] [Epoch    32/  200] trn/loss 9.731e-01, trn/lr 9.400e-01, trn/scale 1.072e-01, val/acc 4.550e-01, val/nll 1.687e+00
[2023-02-10 13:07:40] [Epoch    33/  200] trn/loss 9.996e-01, trn/lr 9.363e-01, trn/scale 1.063e-01, val/acc 4.395e-01, val/nll 1.798e+00
[2023-02-10 13:07:48] [Epoch    34/  200] trn/loss 9.507e-01, trn/lr 9.324e-01, trn/scale 1.056e-01, val/acc 5.666e-01, val/nll 1.296e+00
[2023-02-10 13:07:56] [Epoch    35/  200] trn/loss 9.632e-01, trn/lr 9.284e-01, trn/scale 1.049e-01, val/acc 6.209e-01, val/nll 1.096e+00
[2023-02-10 13:08:05] [Epoch    36/  200] trn/loss 9.664e-01, trn/lr 9.243e-01, trn/scale 1.044e-01, val/acc 3.533e-01, val/nll 3.389e+00
[2023-02-10 13:08:13] [Epoch    37/  200] trn/loss 9.580e-01, trn/lr 9.201e-01, trn/scale 1.039e-01, val/acc 5.559e-01, val/nll 1.346e+00
[2023-02-10 13:08:21] [Epoch    38/  200] trn/loss 9.625e-01, trn/lr 9.157e-01, trn/scale 1.035e-01, val/acc 4.869e-01, val/nll 1.869e+00
[2023-02-10 13:08:29] [Epoch    39/  200] trn/loss 1.031e+00, trn/lr 9.113e-01, trn/scale 1.032e-01, val/acc 5.538e-01, val/nll 1.302e+00
[2023-02-10 13:08:37] [Epoch    40/  200] trn/loss 1.052e+00, trn/lr 9.068e-01, trn/scale 1.029e-01, val/acc 2.442e-01, val/nll 2.529e+00
[2023-02-10 13:08:46] [Epoch    41/  200] trn/loss 9.844e-01, trn/lr 9.022e-01, trn/scale 1.027e-01, val/acc 4.055e-01, val/nll 2.254e+00
[2023-02-10 13:08:54] [Epoch    42/  200] trn/loss 9.789e-01, trn/lr 8.975e-01, trn/scale 1.025e-01, val/acc 4.542e-01, val/nll 1.830e+00
[2023-02-10 13:09:02] [Epoch    43/  200] trn/loss 1.172e+00, trn/lr 8.927e-01, trn/scale 1.023e-01, val/acc 3.409e-01, val/nll 2.129e+00
[2023-02-10 13:09:10] [Epoch    44/  200] trn/loss 1.286e+00, trn/lr 8.878e-01, trn/scale 1.021e-01, val/acc 5.030e-01, val/nll 1.379e+00
[2023-02-10 13:09:18] [Epoch    45/  200] trn/loss 1.089e+00, trn/lr 8.828e-01, trn/scale 1.020e-01, val/acc 4.067e-01, val/nll 2.050e+00
[2023-02-10 13:09:27] [Epoch    46/  200] trn/loss 1.055e+00, trn/lr 8.777e-01, trn/scale 1.019e-01, val/acc 3.373e-01, val/nll 1.810e+00
[2023-02-10 13:09:35] [Epoch    47/  200] trn/loss 1.022e+00, trn/lr 8.725e-01, trn/scale 1.018e-01, val/acc 4.007e-01, val/nll 1.908e+00
[2023-02-10 13:09:43] [Epoch    48/  200] trn/loss 1.016e+00, trn/lr 8.672e-01, trn/scale 1.017e-01, val/acc 2.757e-01, val/nll 3.445e+00
[2023-02-10 13:09:51] [Epoch    49/  200] trn/loss 1.000e+00, trn/lr 8.618e-01, trn/scale 1.016e-01, val/acc 5.372e-01, val/nll 1.317e+00
[2023-02-10 13:09:59] [Epoch    50/  200] trn/loss 9.810e-01, trn/lr 8.563e-01, trn/scale 1.016e-01, val/acc 4.813e-01, val/nll 1.651e+00
[2023-02-10 13:10:08] [Epoch    51/  200] trn/loss 9.808e-01, trn/lr 8.508e-01, trn/scale 1.015e-01, val/acc 4.323e-01, val/nll 1.880e+00
[2023-02-10 13:10:16] [Epoch    52/  200] trn/loss 1.024e+00, trn/lr 8.451e-01, trn/scale 1.015e-01, val/acc 5.098e-01, val/nll 1.525e+00
[2023-02-10 13:10:24] [Epoch    53/  200] trn/loss 1.027e+00, trn/lr 8.394e-01, trn/scale 1.014e-01, val/acc 3.466e-01, val/nll 2.630e+00
[2023-02-10 13:10:32] [Epoch    54/  200] trn/loss 1.095e+00, trn/lr 8.336e-01, trn/scale 1.014e-01, val/acc 4.584e-01, val/nll 1.724e+00
[2023-02-10 13:10:41] [Epoch    55/  200] trn/loss 1.069e+00, trn/lr 8.277e-01, trn/scale 1.014e-01, val/acc 5.556e-01, val/nll 1.311e+00
[2023-02-10 13:10:49] [Epoch    56/  200] trn/loss 1.093e+00, trn/lr 8.217e-01, trn/scale 1.013e-01, val/acc 1.950e-01, val/nll 5.802e+00
[2023-02-10 13:10:57] [Epoch    57/  200] trn/loss 1.034e+00, trn/lr 8.157e-01, trn/scale 1.013e-01, val/acc 4.725e-01, val/nll 1.540e+00
[2023-02-10 13:11:05] [Epoch    58/  200] trn/loss 1.129e+00, trn/lr 8.096e-01, trn/scale 1.013e-01, val/acc 2.635e-01, val/nll 3.342e+00
[2023-02-10 13:11:13] [Epoch    59/  200] trn/loss 1.082e+00, trn/lr 8.034e-01, trn/scale 1.013e-01, val/acc 3.436e-01, val/nll 2.429e+00
[2023-02-10 13:11:22] [Epoch    60/  200] trn/loss 1.024e+00, trn/lr 7.971e-01, trn/scale 1.013e-01, val/acc 2.949e-01, val/nll 2.281e+00
[2023-02-10 13:11:30] [Epoch    61/  200] trn/loss 1.150e+00, trn/lr 7.907e-01, trn/scale 1.013e-01, val/acc 5.650e-01, val/nll 1.231e+00
[2023-02-10 13:11:38] [Epoch    62/  200] trn/loss 1.080e+00, trn/lr 7.843e-01, trn/scale 1.012e-01, val/acc 1.164e-01, val/nll 7.632e+00
[2023-02-10 13:11:46] [Epoch    63/  200] trn/loss 1.163e+00, trn/lr 7.778e-01, trn/scale 1.012e-01, val/acc 1.944e-01, val/nll 2.630e+00
[2023-02-10 13:11:54] [Epoch    64/  200] trn/loss 1.021e+00, trn/lr 7.712e-01, trn/scale 1.012e-01, val/acc 2.789e-01, val/nll 2.158e+00
[2023-02-10 13:12:03] [Epoch    65/  200] trn/loss 1.169e+00, trn/lr 7.646e-01, trn/scale 1.012e-01, val/acc 3.424e-01, val/nll 2.272e+00
[2023-02-10 13:12:11] [Epoch    66/  200] trn/loss 1.279e+00, trn/lr 7.579e-01, trn/scale 1.012e-01, val/acc 1.856e-01, val/nll 2.564e+00
[2023-02-10 13:12:19] [Epoch    67/  200] trn/loss 1.300e+00, trn/lr 7.512e-01, trn/scale 1.012e-01, val/acc 3.015e-01, val/nll 3.070e+00
[2023-02-10 13:12:27] [Epoch    68/  200] trn/loss 1.070e+00, trn/lr 7.443e-01, trn/scale 1.012e-01, val/acc 3.881e-01, val/nll 2.348e+00
[2023-02-10 13:12:35] [Epoch    69/  200] trn/loss 1.081e+00, trn/lr 7.374e-01, trn/scale 1.012e-01, val/acc 3.840e-01, val/nll 2.249e+00
[2023-02-10 13:12:44] [Epoch    70/  200] trn/loss 1.058e+00, trn/lr 7.305e-01, trn/scale 1.012e-01, val/acc 3.152e-01, val/nll 2.057e+00
[2023-02-10 13:12:52] [Epoch    71/  200] trn/loss 1.015e+00, trn/lr 7.235e-01, trn/scale 1.012e-01, val/acc 1.021e-01, val/nll 8.677e+00
[2023-02-10 13:13:00] [Epoch    72/  200] trn/loss 1.134e+00, trn/lr 7.165e-01, trn/scale 1.012e-01, val/acc 5.192e-01, val/nll 1.434e+00
[2023-02-10 13:13:08] [Epoch    73/  200] trn/loss 1.014e+00, trn/lr 7.093e-01, trn/scale 1.012e-01, val/acc 4.206e-01, val/nll 1.854e+00
[2023-02-10 13:13:16] [Epoch    74/  200] trn/loss 1.000e+00, trn/lr 7.022e-01, trn/scale 1.012e-01, val/acc 5.018e-01, val/nll 1.679e+00
[2023-02-10 13:13:25] [Epoch    75/  200] trn/loss 9.978e-01, trn/lr 6.950e-01, trn/scale 1.012e-01, val/acc 4.376e-01, val/nll 1.808e+00
[2023-02-10 13:13:33] [Epoch    76/  200] trn/loss 9.817e-01, trn/lr 6.877e-01, trn/scale 1.012e-01, val/acc 4.591e-01, val/nll 1.536e+00
[2023-02-10 13:13:41] [Epoch    77/  200] trn/loss 9.626e-01, trn/lr 6.804e-01, trn/scale 1.012e-01, val/acc 3.978e-01, val/nll 2.236e+00
[2023-02-10 13:13:49] [Epoch    78/  200] trn/loss 9.701e-01, trn/lr 6.731e-01, trn/scale 1.012e-01, val/acc 4.149e-01, val/nll 2.027e+00
[2023-02-10 13:13:57] [Epoch    79/  200] trn/loss 1.088e+00, trn/lr 6.657e-01, trn/scale 1.012e-01, val/acc 5.085e-01, val/nll 1.634e+00
[2023-02-10 13:14:06] [Epoch    80/  200] trn/loss 9.677e-01, trn/lr 6.583e-01, trn/scale 1.012e-01, val/acc 1.647e-01, val/nll 3.275e+00
[2023-02-10 13:14:14] [Epoch    81/  200] trn/loss 1.009e+00, trn/lr 6.508e-01, trn/scale 1.012e-01, val/acc 2.769e-01, val/nll 2.813e+00
[2023-02-10 13:14:22] [Epoch    82/  200] trn/loss 9.693e-01, trn/lr 6.433e-01, trn/scale 1.012e-01, val/acc 2.748e-01, val/nll 3.419e+00
[2023-02-10 13:14:30] [Epoch    83/  200] trn/loss 9.949e-01, trn/lr 6.357e-01, trn/scale 1.012e-01, val/acc 5.259e-01, val/nll 1.553e+00
[2023-02-10 13:14:38] [Epoch    84/  200] trn/loss 1.048e+00, trn/lr 6.282e-01, trn/scale 1.012e-01, val/acc 6.087e-01, val/nll 1.110e+00
[2023-02-10 13:14:47] [Epoch    85/  200] trn/loss 9.518e-01, trn/lr 6.206e-01, trn/scale 1.012e-01, val/acc 5.478e-01, val/nll 1.376e+00
[2023-02-10 13:14:55] [Epoch    86/  200] trn/loss 9.455e-01, trn/lr 6.129e-01, trn/scale 1.012e-01, val/acc 3.881e-01, val/nll 2.446e+00
[2023-02-10 13:15:03] [Epoch    87/  200] trn/loss 9.336e-01, trn/lr 6.053e-01, trn/scale 1.012e-01, val/acc 2.345e-01, val/nll 3.175e+00
[2023-02-10 13:15:11] [Epoch    88/  200] trn/loss 9.758e-01, trn/lr 5.976e-01, trn/scale 1.012e-01, val/acc 5.649e-01, val/nll 1.286e+00
[2023-02-10 13:15:19] [Epoch    89/  200] trn/loss 9.249e-01, trn/lr 5.899e-01, trn/scale 1.012e-01, val/acc 4.716e-01, val/nll 1.461e+00
[2023-02-10 13:15:28] [Epoch    90/  200] trn/loss 9.214e-01, trn/lr 5.821e-01, trn/scale 1.012e-01, val/acc 4.353e-01, val/nll 1.962e+00
[2023-02-10 13:15:36] [Epoch    91/  200] trn/loss 9.082e-01, trn/lr 5.744e-01, trn/scale 1.012e-01, val/acc 5.369e-01, val/nll 1.383e+00
[2023-02-10 13:15:44] [Epoch    92/  200] trn/loss 9.983e-01, trn/lr 5.666e-01, trn/scale 1.012e-01, val/acc 4.202e-01, val/nll 1.821e+00
[2023-02-10 13:15:52] [Epoch    93/  200] trn/loss 9.005e-01, trn/lr 5.588e-01, trn/scale 1.012e-01, val/acc 5.493e-01, val/nll 1.327e+00
[2023-02-10 13:16:00] [Epoch    94/  200] trn/loss 8.963e-01, trn/lr 5.510e-01, trn/scale 1.012e-01, val/acc 4.445e-01, val/nll 1.748e+00
[2023-02-10 13:16:09] [Epoch    95/  200] trn/loss 9.022e-01, trn/lr 5.432e-01, trn/scale 1.012e-01, val/acc 5.278e-01, val/nll 1.431e+00
[2023-02-10 13:16:17] [Epoch    96/  200] trn/loss 9.489e-01, trn/lr 5.353e-01, trn/scale 1.012e-01, val/acc 5.537e-01, val/nll 1.272e+00
[2023-02-10 13:16:25] [Epoch    97/  200] trn/loss 1.047e+00, trn/lr 5.275e-01, trn/scale 1.012e-01, val/acc 3.496e-01, val/nll 2.071e+00
[2023-02-10 13:16:33] [Epoch    98/  200] trn/loss 9.637e-01, trn/lr 5.197e-01, trn/scale 1.012e-01, val/acc 4.502e-01, val/nll 1.833e+00
[2023-02-10 13:16:41] [Epoch    99/  200] trn/loss 9.089e-01, trn/lr 5.118e-01, trn/scale 1.012e-01, val/acc 5.478e-01, val/nll 1.465e+00
[2023-02-10 13:16:50] [Epoch   100/  200] trn/loss 8.824e-01, trn/lr 5.040e-01, trn/scale 1.012e-01, val/acc 3.534e-01, val/nll 2.461e+00
[2023-02-10 13:16:58] [Epoch   101/  200] trn/loss 8.720e-01, trn/lr 4.961e-01, trn/scale 1.012e-01, val/acc 3.507e-01, val/nll 3.087e+00
[2023-02-10 13:17:06] [Epoch   102/  200] trn/loss 8.497e-01, trn/lr 4.882e-01, trn/scale 1.012e-01, val/acc 6.345e-01, val/nll 1.104e+00
[2023-02-10 13:17:14] [Epoch   103/  200] trn/loss 8.539e-01, trn/lr 4.804e-01, trn/scale 1.012e-01, val/acc 5.145e-01, val/nll 1.889e+00
[2023-02-10 13:17:23] [Epoch   104/  200] trn/loss 8.516e-01, trn/lr 4.725e-01, trn/scale 1.012e-01, val/acc 2.947e-01, val/nll 2.203e+00
[2023-02-10 13:17:31] [Epoch   105/  200] trn/loss 8.907e-01, trn/lr 4.647e-01, trn/scale 1.012e-01, val/acc 3.652e-01, val/nll 2.251e+00
[2023-02-10 13:17:39] [Epoch   106/  200] trn/loss 8.307e-01, trn/lr 4.569e-01, trn/scale 1.012e-01, val/acc 5.663e-01, val/nll 1.251e+00
[2023-02-10 13:17:47] [Epoch   107/  200] trn/loss 8.305e-01, trn/lr 4.491e-01, trn/scale 1.012e-01, val/acc 5.699e-01, val/nll 1.233e+00
[2023-02-10 13:17:55] [Epoch   108/  200] trn/loss 8.215e-01, trn/lr 4.413e-01, trn/scale 1.012e-01, val/acc 4.831e-01, val/nll 1.509e+00
[2023-02-10 13:18:04] [Epoch   109/  200] trn/loss 8.183e-01, trn/lr 4.335e-01, trn/scale 1.012e-01, val/acc 6.459e-01, val/nll 1.071e+00
[2023-02-10 13:18:12] [Epoch   110/  200] trn/loss 8.830e-01, trn/lr 4.257e-01, trn/scale 1.012e-01, val/acc 6.272e-01, val/nll 1.108e+00
[2023-02-10 13:18:20] [Epoch   111/  200] trn/loss 8.005e-01, trn/lr 4.179e-01, trn/scale 1.012e-01, val/acc 5.185e-01, val/nll 1.530e+00
[2023-02-10 13:18:28] [Epoch   112/  200] trn/loss 7.893e-01, trn/lr 4.102e-01, trn/scale 1.012e-01, val/acc 5.044e-01, val/nll 1.582e+00
[2023-02-10 13:18:36] [Epoch   113/  200] trn/loss 7.913e-01, trn/lr 4.025e-01, trn/scale 1.012e-01, val/acc 6.669e-01, val/nll 9.627e-01
[2023-02-10 13:18:44] [Epoch   114/  200] trn/loss 7.729e-01, trn/lr 3.948e-01, trn/scale 1.012e-01, val/acc 4.808e-01, val/nll 1.580e+00
[2023-02-10 13:18:53] [Epoch   115/  200] trn/loss 7.734e-01, trn/lr 3.871e-01, trn/scale 1.012e-01, val/acc 4.707e-01, val/nll 1.989e+00
