[2023-02-04 18:33:38] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 18:33:38] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 45
- args.num_epochs_noisy  : 5
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0045-0005_lr-0.0000030_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 18:34:13] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  3.687e+05, trn/neg_log_likelihood  8.870e+04, trn/neg_log_prior  2.800e+05, trn/lr  2.999e-06, trn/temperature  0.000e+00, val/acc 2.372e-01, val/nll 2.013e+00
[2023-02-04 18:34:17] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  3.405e+05, trn/neg_log_likelihood  8.130e+04, trn/neg_log_prior  2.592e+05, trn/lr  2.993e-06, trn/temperature  0.000e+00, val/acc 2.650e-01, val/nll 1.998e+00
[2023-02-04 18:34:22] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  3.398e+05, trn/neg_log_likelihood  8.025e+04, trn/neg_log_prior  2.595e+05, trn/lr  2.981e-06, trn/temperature  0.000e+00, val/acc 2.418e-01, val/nll 2.013e+00
[2023-02-04 18:34:26] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  3.391e+05, trn/neg_log_likelihood  8.016e+04, trn/neg_log_prior  2.590e+05, trn/lr  2.964e-06, trn/temperature  0.000e+00, val/acc 2.503e-01, val/nll 1.970e+00
[2023-02-04 18:34:30] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  3.395e+05, trn/neg_log_likelihood  8.056e+04, trn/neg_log_prior  2.589e+05, trn/lr  2.940e-06, trn/temperature  0.000e+00, val/acc 2.873e-01, val/nll 1.928e+00
[2023-02-04 18:34:34] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  3.398e+05, trn/neg_log_likelihood  8.055e+04, trn/neg_log_prior  2.593e+05, trn/lr  2.911e-06, trn/temperature  0.000e+00, val/acc 2.596e-01, val/nll 1.941e+00
[2023-02-04 18:34:38] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  3.389e+05, trn/neg_log_likelihood  8.027e+04, trn/neg_log_prior  2.586e+05, trn/lr  2.876e-06, trn/temperature  0.000e+00, val/acc 2.764e-01, val/nll 1.999e+00
[2023-02-04 18:34:43] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  3.386e+05, trn/neg_log_likelihood  8.019e+04, trn/neg_log_prior  2.584e+05, trn/lr  2.836e-06, trn/temperature  0.000e+00, val/acc 2.654e-01, val/nll 1.920e+00
[2023-02-04 18:34:47] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  3.382e+05, trn/neg_log_likelihood  7.991e+04, trn/neg_log_prior  2.583e+05, trn/lr  2.791e-06, trn/temperature  0.000e+00, val/acc 2.768e-01, val/nll 1.973e+00
[2023-02-04 18:34:51] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  3.383e+05, trn/neg_log_likelihood  7.992e+04, trn/neg_log_prior  2.583e+05, trn/lr  2.740e-06, trn/temperature  0.000e+00, val/acc 2.535e-01, val/nll 1.940e+00
[2023-02-04 18:34:55] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  3.376e+05, trn/neg_log_likelihood  7.940e+04, trn/neg_log_prior  2.582e+05, trn/lr  2.685e-06, trn/temperature  0.000e+00, val/acc 2.654e-01, val/nll 1.958e+00
[2023-02-04 18:35:00] [Cycle   1/ 30][Epoch  12/ 50] trn/posterior_energy  3.382e+05, trn/neg_log_likelihood  8.004e+04, trn/neg_log_prior  2.582e+05, trn/lr  2.625e-06, trn/temperature  0.000e+00, val/acc 2.898e-01, val/nll 1.953e+00
[2023-02-04 18:35:04] [Cycle   1/ 30][Epoch  13/ 50] trn/posterior_energy  3.390e+05, trn/neg_log_likelihood  8.061e+04, trn/neg_log_prior  2.584e+05, trn/lr  2.561e-06, trn/temperature  0.000e+00, val/acc 2.631e-01, val/nll 1.949e+00
[2023-02-04 18:35:08] [Cycle   1/ 30][Epoch  14/ 50] trn/posterior_energy  3.381e+05, trn/neg_log_likelihood  7.992e+04, trn/neg_log_prior  2.582e+05, trn/lr  2.492e-06, trn/temperature  0.000e+00, val/acc 2.619e-01, val/nll 1.939e+00
[2023-02-04 18:35:12] [Cycle   1/ 30][Epoch  15/ 50] trn/posterior_energy  3.385e+05, trn/neg_log_likelihood  7.970e+04, trn/neg_log_prior  2.589e+05, trn/lr  2.419e-06, trn/temperature  0.000e+00, val/acc 2.763e-01, val/nll 1.953e+00
[2023-02-04 18:35:17] [Cycle   1/ 30][Epoch  16/ 50] trn/posterior_energy  3.381e+05, trn/neg_log_likelihood  7.971e+04, trn/neg_log_prior  2.584e+05, trn/lr  2.343e-06, trn/temperature  0.000e+00, val/acc 2.525e-01, val/nll 2.009e+00
[2023-02-04 18:35:21] [Cycle   1/ 30][Epoch  17/ 50] trn/posterior_energy  3.383e+05, trn/neg_log_likelihood  7.922e+04, trn/neg_log_prior  2.590e+05, trn/lr  2.264e-06, trn/temperature  0.000e+00, val/acc 2.855e-01, val/nll 1.903e+00
[2023-02-04 18:35:25] [Cycle   1/ 30][Epoch  18/ 50] trn/posterior_energy  3.375e+05, trn/neg_log_likelihood  7.916e+04, trn/neg_log_prior  2.583e+05, trn/lr  2.181e-06, trn/temperature  0.000e+00, val/acc 2.783e-01, val/nll 1.897e+00
[2023-02-04 18:35:29] [Cycle   1/ 30][Epoch  19/ 50] trn/posterior_energy  3.374e+05, trn/neg_log_likelihood  7.929e+04, trn/neg_log_prior  2.581e+05, trn/lr  2.096e-06, trn/temperature  0.000e+00, val/acc 2.708e-01, val/nll 1.932e+00
[2023-02-04 18:35:34] [Cycle   1/ 30][Epoch  20/ 50] trn/posterior_energy  3.371e+05, trn/neg_log_likelihood  7.921e+04, trn/neg_log_prior  2.579e+05, trn/lr  2.008e-06, trn/temperature  0.000e+00, val/acc 3.046e-01, val/nll 1.891e+00
[2023-02-04 18:35:38] [Cycle   1/ 30][Epoch  21/ 50] trn/posterior_energy  3.367e+05, trn/neg_log_likelihood  7.846e+04, trn/neg_log_prior  2.582e+05, trn/lr  1.919e-06, trn/temperature  0.000e+00, val/acc 2.838e-01, val/nll 1.902e+00
[2023-02-04 18:35:42] [Cycle   1/ 30][Epoch  22/ 50] trn/posterior_energy  3.369e+05, trn/neg_log_likelihood  7.895e+04, trn/neg_log_prior  2.579e+05, trn/lr  1.827e-06, trn/temperature  0.000e+00, val/acc 2.809e-01, val/nll 1.915e+00
[2023-02-04 18:35:46] [Cycle   1/ 30][Epoch  23/ 50] trn/posterior_energy  3.365e+05, trn/neg_log_likelihood  7.808e+04, trn/neg_log_prior  2.584e+05, trn/lr  1.735e-06, trn/temperature  0.000e+00, val/acc 2.688e-01, val/nll 1.910e+00
[2023-02-04 18:35:50] [Cycle   1/ 30][Epoch  24/ 50] trn/posterior_energy  3.353e+05, trn/neg_log_likelihood  7.709e+04, trn/neg_log_prior  2.582e+05, trn/lr  1.641e-06, trn/temperature  0.000e+00, val/acc 3.050e-01, val/nll 1.864e+00
[2023-02-04 18:35:55] [Cycle   1/ 30][Epoch  25/ 50] trn/posterior_energy  3.352e+05, trn/neg_log_likelihood  7.662e+04, trn/neg_log_prior  2.586e+05, trn/lr  1.547e-06, trn/temperature  0.000e+00, val/acc 2.721e-01, val/nll 1.928e+00
[2023-02-04 18:35:59] [Cycle   1/ 30][Epoch  26/ 50] trn/posterior_energy  3.359e+05, trn/neg_log_likelihood  7.671e+04, trn/neg_log_prior  2.592e+05, trn/lr  1.453e-06, trn/temperature  0.000e+00, val/acc 3.152e-01, val/nll 1.853e+00
[2023-02-04 18:36:03] [Cycle   1/ 30][Epoch  27/ 50] trn/posterior_energy  3.355e+05, trn/neg_log_likelihood  7.653e+04, trn/neg_log_prior  2.590e+05, trn/lr  1.359e-06, trn/temperature  0.000e+00, val/acc 2.887e-01, val/nll 1.944e+00
[2023-02-04 18:36:07] [Cycle   1/ 30][Epoch  28/ 50] trn/posterior_energy  3.344e+05, trn/neg_log_likelihood  7.578e+04, trn/neg_log_prior  2.586e+05, trn/lr  1.265e-06, trn/temperature  0.000e+00, val/acc 3.030e-01, val/nll 1.904e+00
[2023-02-04 18:36:12] [Cycle   1/ 30][Epoch  29/ 50] trn/posterior_energy  3.338e+05, trn/neg_log_likelihood  7.516e+04, trn/neg_log_prior  2.587e+05, trn/lr  1.173e-06, trn/temperature  0.000e+00, val/acc 3.424e-01, val/nll 1.785e+00
[2023-02-04 18:36:16] [Cycle   1/ 30][Epoch  30/ 50] trn/posterior_energy  3.335e+05, trn/neg_log_likelihood  7.482e+04, trn/neg_log_prior  2.587e+05, trn/lr  1.082e-06, trn/temperature  0.000e+00, val/acc 3.260e-01, val/nll 1.810e+00
[2023-02-04 18:36:20] [Cycle   1/ 30][Epoch  31/ 50] trn/posterior_energy  3.335e+05, trn/neg_log_likelihood  7.476e+04, trn/neg_log_prior  2.588e+05, trn/lr  9.921e-07, trn/temperature  0.000e+00, val/acc 2.936e-01, val/nll 1.881e+00
[2023-02-04 18:36:24] [Cycle   1/ 30][Epoch  32/ 50] trn/posterior_energy  3.335e+05, trn/neg_log_likelihood  7.465e+04, trn/neg_log_prior  2.588e+05, trn/lr  9.045e-07, trn/temperature  0.000e+00, val/acc 2.796e-01, val/nll 1.887e+00
[2023-02-04 18:36:28] [Cycle   1/ 30][Epoch  33/ 50] trn/posterior_energy  3.327e+05, trn/neg_log_likelihood  7.390e+04, trn/neg_log_prior  2.588e+05, trn/lr  8.192e-07, trn/temperature  0.000e+00, val/acc 3.367e-01, val/nll 1.826e+00
[2023-02-04 18:36:33] [Cycle   1/ 30][Epoch  34/ 50] trn/posterior_energy  3.317e+05, trn/neg_log_likelihood  7.291e+04, trn/neg_log_prior  2.588e+05, trn/lr  7.366e-07, trn/temperature  0.000e+00, val/acc 3.601e-01, val/nll 1.733e+00
[2023-02-04 18:36:37] [Cycle   1/ 30][Epoch  35/ 50] trn/posterior_energy  3.316e+05, trn/neg_log_likelihood  7.277e+04, trn/neg_log_prior  2.588e+05, trn/lr  6.571e-07, trn/temperature  0.000e+00, val/acc 3.571e-01, val/nll 1.744e+00
[2023-02-04 18:36:41] [Cycle   1/ 30][Epoch  36/ 50] trn/posterior_energy  3.314e+05, trn/neg_log_likelihood  7.236e+04, trn/neg_log_prior  2.590e+05, trn/lr  5.809e-07, trn/temperature  0.000e+00, val/acc 3.467e-01, val/nll 1.794e+00
[2023-02-04 18:36:45] [Cycle   1/ 30][Epoch  37/ 50] trn/posterior_energy  3.310e+05, trn/neg_log_likelihood  7.196e+04, trn/neg_log_prior  2.590e+05, trn/lr  5.083e-07, trn/temperature  0.000e+00, val/acc 3.602e-01, val/nll 1.734e+00
[2023-02-04 18:36:50] [Cycle   1/ 30][Epoch  38/ 50] trn/posterior_energy  3.299e+05, trn/neg_log_likelihood  7.096e+04, trn/neg_log_prior  2.589e+05, trn/lr  4.396e-07, trn/temperature  0.000e+00, val/acc 3.535e-01, val/nll 1.746e+00
[2023-02-04 18:36:54] [Cycle   1/ 30][Epoch  39/ 50] trn/posterior_energy  3.292e+05, trn/neg_log_likelihood  7.034e+04, trn/neg_log_prior  2.589e+05, trn/lr  3.751e-07, trn/temperature  0.000e+00, val/acc 3.733e-01, val/nll 1.719e+00
[2023-02-04 18:36:58] [Cycle   1/ 30][Epoch  40/ 50] trn/posterior_energy  3.293e+05, trn/neg_log_likelihood  7.028e+04, trn/neg_log_prior  2.590e+05, trn/lr  3.150e-07, trn/temperature  0.000e+00, val/acc 3.821e-01, val/nll 1.691e+00
[2023-02-04 18:37:03] [Cycle   1/ 30][Epoch  41/ 50] trn/posterior_energy  3.283e+05, trn/neg_log_likelihood  6.922e+04, trn/neg_log_prior  2.591e+05, trn/lr  2.596e-07, trn/temperature  0.000e+00, val/acc 4.027e-01, val/nll 1.656e+00
[2023-02-04 18:37:07] [Cycle   1/ 30][Epoch  42/ 50] trn/posterior_energy  3.273e+05, trn/neg_log_likelihood  6.829e+04, trn/neg_log_prior  2.590e+05, trn/lr  2.091e-07, trn/temperature  0.000e+00, val/acc 3.948e-01, val/nll 1.681e+00
[2023-02-04 18:37:11] [Cycle   1/ 30][Epoch  43/ 50] trn/posterior_energy  3.263e+05, trn/neg_log_likelihood  6.736e+04, trn/neg_log_prior  2.589e+05, trn/lr  1.638e-07, trn/temperature  0.000e+00, val/acc 4.127e-01, val/nll 1.633e+00
[2023-02-04 18:37:16] [Cycle   1/ 30][Epoch  44/ 50] trn/posterior_energy  3.260e+05, trn/neg_log_likelihood  6.706e+04, trn/neg_log_prior  2.589e+05, trn/lr  1.236e-07, trn/temperature  0.000e+00, val/acc 4.112e-01, val/nll 1.624e+00
[2023-02-04 18:37:20] [Cycle   1/ 30][Epoch  45/ 50] trn/posterior_energy  3.249e+05, trn/neg_log_likelihood  6.597e+04, trn/neg_log_prior  2.589e+05, trn/lr  8.894e-08, trn/temperature  0.000e+00, val/acc 4.162e-01, val/nll 1.601e+00
[2023-02-04 18:37:24] [Cycle   1/ 30][Epoch  46/ 50] trn/posterior_energy  3.293e+05, trn/neg_log_likelihood  6.553e+04, trn/neg_log_prior  2.638e+05, trn/lr  5.982e-08, trn/temperature  1.000e+00, val/acc 4.180e-01, val/nll 1.595e+00
[2023-02-04 18:37:28] [Cycle   1/ 30][Epoch  47/ 50] trn/posterior_energy  3.372e+05, trn/neg_log_likelihood  6.483e+04, trn/neg_log_prior  2.724e+05, trn/lr  3.639e-08, trn/temperature  1.000e+00, val/acc 4.240e-01, val/nll 1.581e+00
[2023-02-04 18:37:32] [Cycle   1/ 30][Epoch  48/ 50] trn/posterior_energy  3.415e+05, trn/neg_log_likelihood  6.435e+04, trn/neg_log_prior  2.771e+05, trn/lr  1.873e-08, trn/temperature  1.000e+00, val/acc 4.270e-01, val/nll 1.573e+00
[2023-02-04 18:37:37] [Cycle   1/ 30][Epoch  49/ 50] trn/posterior_energy  3.431e+05, trn/neg_log_likelihood  6.379e+04, trn/neg_log_prior  2.793e+05, trn/lr  6.911e-09, trn/temperature  1.000e+00, val/acc 4.311e-01, val/nll 1.556e+00
[2023-02-04 18:37:45] [Cycle   1/ 30][Epoch  50/ 50] trn/posterior_energy  3.434e+05, trn/neg_log_likelihood  6.346e+04, trn/neg_log_prior  2.800e+05, trn/lr  9.897e-10, trn/temperature  1.000e+00, val/acc 4.330e-01, val/nll 1.554e+00, val/ens_acc 4.330e-01, val/ens_nll 1.554e+00 (test_acc: 4.394e-01, test_nll: 1.543e+00, test_ens_acc: 4.394e-01, test_ens_nll: 1.543e+00)
[2023-02-04 18:37:50] [Cycle   2/ 30][Epoch   1/ 50] trn/posterior_energy  3.934e+05, trn/neg_log_likelihood  9.640e+04, trn/neg_log_prior  2.970e+05, trn/lr  2.999e-06, trn/temperature  0.000e+00, val/acc 1.007e-01, val/nll 2.316e+00
[2023-02-04 18:37:54] [Cycle   2/ 30][Epoch   2/ 50] trn/posterior_energy  3.491e+05, trn/neg_log_likelihood  9.484e+04, trn/neg_log_prior  2.542e+05, trn/lr  2.993e-06, trn/temperature  0.000e+00, val/acc 1.044e-01, val/nll 2.310e+00
[2023-02-04 18:37:58] [Cycle   2/ 30][Epoch   3/ 50] trn/posterior_energy  3.485e+05, trn/neg_log_likelihood  9.482e+04, trn/neg_log_prior  2.536e+05, trn/lr  2.981e-06, trn/temperature  0.000e+00, val/acc 9.823e-02, val/nll 2.333e+00
[2023-02-04 18:38:02] [Cycle   2/ 30][Epoch   4/ 50] trn/posterior_energy  3.485e+05, trn/neg_log_likelihood  9.484e+04, trn/neg_log_prior  2.536e+05, trn/lr  2.964e-06, trn/temperature  0.000e+00, val/acc 9.823e-02, val/nll 2.312e+00
[2023-02-04 18:38:07] [Cycle   2/ 30][Epoch   5/ 50] trn/posterior_energy  3.483e+05, trn/neg_log_likelihood  9.468e+04, trn/neg_log_prior  2.536e+05, trn/lr  2.940e-06, trn/temperature  0.000e+00, val/acc 9.978e-02, val/nll 2.309e+00
[2023-02-04 18:38:11] [Cycle   2/ 30][Epoch   6/ 50] trn/posterior_energy  3.484e+05, trn/neg_log_likelihood  9.473e+04, trn/neg_log_prior  2.536e+05, trn/lr  2.911e-06, trn/temperature  0.000e+00, val/acc 9.856e-02, val/nll 2.306e+00
[2023-02-04 18:38:15] [Cycle   2/ 30][Epoch   7/ 50] trn/posterior_energy  3.484e+05, trn/neg_log_likelihood  9.477e+04, trn/neg_log_prior  2.536e+05, trn/lr  2.876e-06, trn/temperature  0.000e+00, val/acc 9.978e-02, val/nll 2.311e+00
[2023-02-04 18:38:19] [Cycle   2/ 30][Epoch   8/ 50] trn/posterior_energy  3.484e+05, trn/neg_log_likelihood  9.480e+04, trn/neg_log_prior  2.536e+05, trn/lr  2.836e-06, trn/temperature  0.000e+00, val/acc 9.281e-02, val/nll 2.312e+00
[2023-02-04 18:38:23] [Cycle   2/ 30][Epoch   9/ 50] trn/posterior_energy  3.484e+05, trn/neg_log_likelihood  9.476e+04, trn/neg_log_prior  2.536e+05, trn/lr  2.791e-06, trn/temperature  0.000e+00, val/acc 9.978e-02, val/nll 2.311e+00
[2023-02-04 18:38:27] [Cycle   2/ 30][Epoch  10/ 50] trn/posterior_energy  3.484e+05, trn/neg_log_likelihood  9.474e+04, trn/neg_log_prior  2.536e+05, trn/lr  2.740e-06, trn/temperature  0.000e+00, val/acc 1.044e-01, val/nll 2.311e+00
[2023-02-04 18:38:31] [Cycle   2/ 30][Epoch  11/ 50] trn/posterior_energy  3.483e+05, trn/neg_log_likelihood  9.467e+04, trn/neg_log_prior  2.536e+05, trn/lr  2.685e-06, trn/temperature  0.000e+00, val/acc 9.856e-02, val/nll 2.311e+00
[2023-02-04 18:38:36] [Cycle   2/ 30][Epoch  12/ 50] trn/posterior_energy  3.485e+05, trn/neg_log_likelihood  9.483e+04, trn/neg_log_prior  2.536e+05, trn/lr  2.625e-06, trn/temperature  0.000e+00, val/acc 9.281e-02, val/nll 2.324e+00
