[2023-02-11 01:48:52] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-11 01:48:52] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000001_mo-0.97_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-11 01:49:20] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy  2.710e+05, trn/neg_log_likelihood  8.935e+04, trn/neg_log_prior  1.817e+05, trn/lr  1.000e-07, trn/temperature  0.000e+00, val/acc 3.250e-01, val/nll 1.861e+00
[2023-02-11 01:49:24] [Cycle   1/ 30][Epoch   2/200] trn/posterior_energy  2.507e+05, trn/neg_log_likelihood  7.006e+04, trn/neg_log_prior  1.806e+05, trn/lr  9.999e-08, trn/temperature  0.000e+00, val/acc 4.271e-01, val/nll 1.567e+00
[2023-02-11 01:49:28] [Cycle   1/ 30][Epoch   3/200] trn/posterior_energy  2.417e+05, trn/neg_log_likelihood  6.203e+04, trn/neg_log_prior  1.797e+05, trn/lr  9.996e-08, trn/temperature  0.000e+00, val/acc 3.907e-01, val/nll 1.686e+00
[2023-02-11 01:49:32] [Cycle   1/ 30][Epoch   4/200] trn/posterior_energy  2.360e+05, trn/neg_log_likelihood  5.718e+04, trn/neg_log_prior  1.788e+05, trn/lr  9.992e-08, trn/temperature  0.000e+00, val/acc 5.095e-01, val/nll 1.333e+00
[2023-02-11 01:49:36] [Cycle   1/ 30][Epoch   5/200] trn/posterior_energy  2.313e+05, trn/neg_log_likelihood  5.324e+04, trn/neg_log_prior  1.780e+05, trn/lr  9.987e-08, trn/temperature  0.000e+00, val/acc 5.494e-01, val/nll 1.224e+00
[2023-02-11 01:49:40] [Cycle   1/ 30][Epoch   6/200] trn/posterior_energy  2.274e+05, trn/neg_log_likelihood  5.011e+04, trn/neg_log_prior  1.773e+05, trn/lr  9.981e-08, trn/temperature  0.000e+00, val/acc 5.678e-01, val/nll 1.169e+00
[2023-02-11 01:49:43] [Cycle   1/ 30][Epoch   7/200] trn/posterior_energy  2.223e+05, trn/neg_log_likelihood  4.564e+04, trn/neg_log_prior  1.767e+05, trn/lr  9.974e-08, trn/temperature  0.000e+00, val/acc 5.758e-01, val/nll 1.135e+00
[2023-02-11 01:49:47] [Cycle   1/ 30][Epoch   8/200] trn/posterior_energy  2.184e+05, trn/neg_log_likelihood  4.225e+04, trn/neg_log_prior  1.761e+05, trn/lr  9.965e-08, trn/temperature  0.000e+00, val/acc 6.008e-01, val/nll 1.095e+00
[2023-02-11 01:49:51] [Cycle   1/ 30][Epoch   9/200] trn/posterior_energy  2.157e+05, trn/neg_log_likelihood  4.011e+04, trn/neg_log_prior  1.756e+05, trn/lr  9.955e-08, trn/temperature  0.000e+00, val/acc 5.941e-01, val/nll 1.144e+00
[2023-02-11 01:49:54] [Cycle   1/ 30][Epoch  10/200] trn/posterior_energy  2.124e+05, trn/neg_log_likelihood  3.725e+04, trn/neg_log_prior  1.752e+05, trn/lr  9.944e-08, trn/temperature  0.000e+00, val/acc 6.582e-01, val/nll 9.534e-01
[2023-02-11 01:49:58] [Cycle   1/ 30][Epoch  11/200] trn/posterior_energy  2.096e+05, trn/neg_log_likelihood  3.480e+04, trn/neg_log_prior  1.748e+05, trn/lr  9.932e-08, trn/temperature  0.000e+00, val/acc 6.697e-01, val/nll 9.418e-01
