[2023-02-05 10:16:50] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 10:16:50] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.9
- args.prior_precision   : 20.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.90_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 10:17:04] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 10:21:00] [Epoch    15/  500] trn/posterior_energy  2.589e+06, trn/neg_log_likelihood  2.275e+04, trn/neg_log_prior  2.566e+06, trn/lr  9.979e-08, val/acc 7.210e-01, val/nll 8.075e-01 (best_acc: 7.117e-01 -> 7.210e-01, test_acc: 7.212e-01, test_nll: 8.103e-01)
[2023-02-05 10:21:14] [Epoch    16/  500] trn/posterior_energy  2.585e+06, trn/neg_log_likelihood  2.041e+04, trn/neg_log_prior  2.565e+06, trn/lr  9.976e-08, val/acc 7.346e-01, val/nll 7.597e-01 (best_acc: 7.210e-01 -> 7.346e-01, test_acc: 7.378e-01, test_nll: 7.670e-01)
[2023-02-05 10:21:28] [Epoch    17/  500] trn/posterior_energy  2.583e+06, trn/neg_log_likelihood  1.888e+04, trn/neg_log_prior  2.564e+06, trn/lr  9.973e-08, val/acc 7.438e-01, val/nll 7.847e-01 (best_acc: 7.346e-01 -> 7.438e-01, test_acc: 7.339e-01, test_nll: 8.021e-01)
[2023-02-05 10:21:40] [Epoch    18/  500] trn/posterior_energy  2.579e+06, trn/neg_log_likelihood  1.638e+04, trn/neg_log_prior  2.562e+06, trn/lr  9.970e-08, val/acc 7.284e-01, val/nll 8.302e-01
[2023-02-05 10:21:52] [Epoch    19/  500] trn/posterior_energy  2.576e+06, trn/neg_log_likelihood  1.515e+04, trn/neg_log_prior  2.561e+06, trn/lr  9.966e-08, val/acc 7.417e-01, val/nll 7.928e-01
[2023-02-05 10:22:04] [Epoch    20/  500] trn/posterior_energy  2.574e+06, trn/neg_log_likelihood  1.378e+04, trn/neg_log_prior  2.560e+06, trn/lr  9.963e-08, val/acc 7.353e-01, val/nll 8.280e-01
[2023-02-05 10:22:16] [Epoch    21/  500] trn/posterior_energy  2.572e+06, trn/neg_log_likelihood  1.263e+04, trn/neg_log_prior  2.559e+06, trn/lr  9.959e-08, val/acc 7.248e-01, val/nll 9.135e-01
[2023-02-05 10:22:28] [Epoch    22/  500] trn/posterior_energy  2.569e+06, trn/neg_log_likelihood  1.060e+04, trn/neg_log_prior  2.558e+06, trn/lr  9.954e-08, val/acc 7.426e-01, val/nll 8.684e-01
[2023-02-05 10:22:40] [Epoch    23/  500] trn/posterior_energy  2.567e+06, trn/neg_log_likelihood  9.379e+03, trn/neg_log_prior  2.557e+06, trn/lr  9.950e-08, val/acc 7.324e-01, val/nll 9.307e-01
[2023-02-05 10:22:54] [Epoch    24/  500] trn/posterior_energy  2.565e+06, trn/neg_log_likelihood  9.179e+03, trn/neg_log_prior  2.556e+06, trn/lr  9.946e-08, val/acc 7.508e-01, val/nll 8.393e-01 (best_acc: 7.438e-01 -> 7.508e-01, test_acc: 7.448e-01, test_nll: 8.589e-01)
[2023-02-05 10:23:06] [Epoch    25/  500] trn/posterior_energy  2.563e+06, trn/neg_log_likelihood  7.448e+03, trn/neg_log_prior  2.555e+06, trn/lr  9.941e-08, val/acc 7.417e-01, val/nll 9.284e-01
[2023-02-05 10:23:18] [Epoch    26/  500] trn/posterior_energy  2.562e+06, trn/neg_log_likelihood  7.273e+03, trn/neg_log_prior  2.554e+06, trn/lr  9.936e-08, val/acc 7.389e-01, val/nll 9.233e-01
[2023-02-05 10:23:30] [Epoch    27/  500] trn/posterior_energy  2.560e+06, trn/neg_log_likelihood  6.282e+03, trn/neg_log_prior  2.553e+06, trn/lr  9.931e-08, val/acc 7.388e-01, val/nll 9.561e-01
[2023-02-05 10:23:42] [Epoch    28/  500] trn/posterior_energy  2.558e+06, trn/neg_log_likelihood  5.894e+03, trn/neg_log_prior  2.552e+06, trn/lr  9.926e-08, val/acc 7.506e-01, val/nll 9.224e-01
[2023-02-05 10:23:54] [Epoch    29/  500] trn/posterior_energy  2.556e+06, trn/neg_log_likelihood  4.743e+03, trn/neg_log_prior  2.551e+06, trn/lr  9.920e-08, val/acc 7.507e-01, val/nll 9.533e-01
[2023-02-05 10:24:07] [Epoch    30/  500] trn/posterior_energy  2.555e+06, trn/neg_log_likelihood  4.442e+03, trn/neg_log_prior  2.551e+06, trn/lr  9.914e-08, val/acc 7.294e-01, val/nll 1.040e+00
