[2023-02-09 03:19:20] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-09 03:19:20] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 100
- args.num_epochs_noisy  : 0
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0100-0000_lr-0.0000010_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-09 03:19:55] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  3.733e+05, trn/neg_log_likelihood  8.879e+04, trn/neg_log_prior  2.845e+05, trn/lr  9.999e-07, trn/temperature  0.000e+00, val/acc 2.813e-01, val/nll 1.884e+00
[2023-02-09 03:19:59] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  3.396e+05, trn/neg_log_likelihood  7.336e+04, trn/neg_log_prior  2.662e+05, trn/lr  9.994e-07, trn/temperature  0.000e+00, val/acc 3.854e-01, val/nll 1.637e+00
[2023-02-09 03:20:04] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  3.308e+05, trn/neg_log_likelihood  6.678e+04, trn/neg_log_prior  2.640e+05, trn/lr  9.984e-07, trn/temperature  0.000e+00, val/acc 4.296e-01, val/nll 1.558e+00
[2023-02-09 03:20:08] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  3.272e+05, trn/neg_log_likelihood  6.256e+04, trn/neg_log_prior  2.647e+05, trn/lr  9.970e-07, trn/temperature  0.000e+00, val/acc 4.624e-01, val/nll 1.447e+00
[2023-02-09 03:20:12] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  3.260e+05, trn/neg_log_likelihood  5.994e+04, trn/neg_log_prior  2.661e+05, trn/lr  9.950e-07, trn/temperature  0.000e+00, val/acc 4.705e-01, val/nll 1.431e+00
[2023-02-09 03:20:16] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  3.236e+05, trn/neg_log_likelihood  5.621e+04, trn/neg_log_prior  2.673e+05, trn/lr  9.925e-07, trn/temperature  0.000e+00, val/acc 5.043e-01, val/nll 1.324e+00
[2023-02-09 03:20:20] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  3.231e+05, trn/neg_log_likelihood  5.415e+04, trn/neg_log_prior  2.690e+05, trn/lr  9.896e-07, trn/temperature  0.000e+00, val/acc 5.069e-01, val/nll 1.348e+00
[2023-02-09 03:20:25] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  3.206e+05, trn/neg_log_likelihood  5.031e+04, trn/neg_log_prior  2.703e+05, trn/lr  9.862e-07, trn/temperature  0.000e+00, val/acc 5.538e-01, val/nll 1.238e+00
[2023-02-09 03:20:29] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  3.184e+05, trn/neg_log_likelihood  4.745e+04, trn/neg_log_prior  2.709e+05, trn/lr  9.823e-07, trn/temperature  0.000e+00, val/acc 6.135e-01, val/nll 1.091e+00
[2023-02-09 03:20:33] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  3.175e+05, trn/neg_log_likelihood  4.574e+04, trn/neg_log_prior  2.718e+05, trn/lr  9.779e-07, trn/temperature  0.000e+00, val/acc 6.191e-01, val/nll 1.091e+00
[2023-02-09 03:20:37] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  3.174e+05, trn/neg_log_likelihood  4.431e+04, trn/neg_log_prior  2.731e+05, trn/lr  9.730e-07, trn/temperature  0.000e+00, val/acc 6.132e-01, val/nll 1.088e+00
