[2023-02-06 10:07:20] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-06 10:07:20] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.prior_precision   : 80.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.99_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 10:07:26] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-06 10:08:10] [Epoch     1/  500] trn/posterior_energy  5.853e+06, trn/neg_log_likelihood  8.394e+04, trn/neg_log_prior  5.770e+06, trn/lr  1.000e-07, val/acc 3.229e-01, val/nll 1.832e+00 (best_acc: 0.000e+00 -> 3.229e-01, test_acc: 3.305e-01, test_nll: 1.830e+00)
[2023-02-06 10:08:24] [Epoch     2/  500] trn/posterior_energy  5.677e+06, trn/neg_log_likelihood  6.753e+04, trn/neg_log_prior  5.610e+06, trn/lr  1.000e-07, val/acc 4.317e-01, val/nll 1.520e+00 (best_acc: 3.229e-01 -> 4.317e-01, test_acc: 4.363e-01, test_nll: 1.503e+00)
[2023-02-06 10:08:39] [Epoch     3/  500] trn/posterior_energy  5.601e+06, trn/neg_log_likelihood  6.239e+04, trn/neg_log_prior  5.539e+06, trn/lr  9.999e-08, val/acc 4.342e-01, val/nll 1.543e+00 (best_acc: 4.317e-01 -> 4.342e-01, test_acc: 4.302e-01, test_nll: 1.542e+00)
[2023-02-06 10:08:51] [Epoch     4/  500] trn/posterior_energy  5.569e+06, trn/neg_log_likelihood  5.741e+04, trn/neg_log_prior  5.511e+06, trn/lr  9.999e-08, val/acc 4.298e-01, val/nll 1.631e+00
[2023-02-06 10:09:05] [Epoch     5/  500] trn/posterior_energy  5.555e+06, trn/neg_log_likelihood  5.345e+04, trn/neg_log_prior  5.502e+06, trn/lr  9.998e-08, val/acc 5.580e-01, val/nll 1.197e+00 (best_acc: 4.342e-01 -> 5.580e-01, test_acc: 5.557e-01, test_nll: 1.211e+00)
[2023-02-06 10:09:17] [Epoch     6/  500] trn/posterior_energy  5.549e+06, trn/neg_log_likelihood  5.029e+04, trn/neg_log_prior  5.499e+06, trn/lr  9.997e-08, val/acc 5.220e-01, val/nll 1.298e+00
[2023-02-06 10:09:31] [Epoch     7/  500] trn/posterior_energy  5.546e+06, trn/neg_log_likelihood  4.733e+04, trn/neg_log_prior  5.499e+06, trn/lr  9.996e-08, val/acc 6.126e-01, val/nll 1.072e+00 (best_acc: 5.580e-01 -> 6.126e-01, test_acc: 6.188e-01, test_nll: 1.084e+00)
[2023-02-06 10:09:45] [Epoch     8/  500] trn/posterior_energy  5.543e+06, trn/neg_log_likelihood  4.393e+04, trn/neg_log_prior  5.499e+06, trn/lr  9.994e-08, val/acc 6.403e-01, val/nll 1.032e+00 (best_acc: 6.126e-01 -> 6.403e-01, test_acc: 6.398e-01, test_nll: 1.039e+00)
[2023-02-06 10:09:59] [Epoch     9/  500] trn/posterior_energy  5.540e+06, trn/neg_log_likelihood  4.092e+04, trn/neg_log_prior  5.499e+06, trn/lr  9.993e-08, val/acc 6.494e-01, val/nll 1.029e+00 (best_acc: 6.403e-01 -> 6.494e-01, test_acc: 6.377e-01, test_nll: 1.041e+00)
[2023-02-06 10:10:13] [Epoch    10/  500] trn/posterior_energy  5.540e+06, trn/neg_log_likelihood  4.008e+04, trn/neg_log_prior  5.500e+06, trn/lr  9.991e-08, val/acc 6.789e-01, val/nll 9.591e-01 (best_acc: 6.494e-01 -> 6.789e-01, test_acc: 6.734e-01, test_nll: 9.681e-01)
[2023-02-06 10:10:24] [Epoch    11/  500] trn/posterior_energy  5.539e+06, trn/neg_log_likelihood  3.763e+04, trn/neg_log_prior  5.501e+06, trn/lr  9.989e-08, val/acc 6.679e-01, val/nll 9.528e-01
[2023-02-06 10:10:38] [Epoch    12/  500] trn/posterior_energy  5.540e+06, trn/neg_log_likelihood  3.732e+04, trn/neg_log_prior  5.503e+06, trn/lr  9.987e-08, val/acc 7.046e-01, val/nll 8.754e-01 (best_acc: 6.789e-01 -> 7.046e-01, test_acc: 7.019e-01, test_nll: 8.867e-01)
[2023-02-06 10:10:52] [Epoch    13/  500] trn/posterior_energy  5.538e+06, trn/neg_log_likelihood  3.505e+04, trn/neg_log_prior  5.503e+06, trn/lr  9.985e-08, val/acc 7.129e-01, val/nll 8.627e-01 (best_acc: 7.046e-01 -> 7.129e-01, test_acc: 7.044e-01, test_nll: 8.652e-01)
[2023-02-06 10:11:04] [Epoch    14/  500] trn/posterior_energy  5.537e+06, trn/neg_log_likelihood  3.431e+04, trn/neg_log_prior  5.503e+06, trn/lr  9.982e-08, val/acc 6.838e-01, val/nll 9.348e-01
[2023-02-06 10:11:18] [Epoch    15/  500] trn/posterior_energy  5.537e+06, trn/neg_log_likelihood  3.334e+04, trn/neg_log_prior  5.504e+06, trn/lr  9.979e-08, val/acc 7.324e-01, val/nll 7.946e-01 (best_acc: 7.129e-01 -> 7.324e-01, test_acc: 7.277e-01, test_nll: 8.070e-01)
[2023-02-06 10:11:31] [Epoch    16/  500] trn/posterior_energy  5.535e+06, trn/neg_log_likelihood  3.151e+04, trn/neg_log_prior  5.504e+06, trn/lr  9.976e-08, val/acc 7.415e-01, val/nll 7.774e-01 (best_acc: 7.324e-01 -> 7.415e-01, test_acc: 7.327e-01, test_nll: 7.999e-01)
[2023-02-06 10:11:43] [Epoch    17/  500] trn/posterior_energy  5.536e+06, trn/neg_log_likelihood  3.177e+04, trn/neg_log_prior  5.504e+06, trn/lr  9.973e-08, val/acc 7.395e-01, val/nll 7.681e-01
[2023-02-06 10:11:55] [Epoch    18/  500] trn/posterior_energy  5.535e+06, trn/neg_log_likelihood  3.077e+04, trn/neg_log_prior  5.505e+06, trn/lr  9.970e-08, val/acc 7.229e-01, val/nll 8.100e-01
[2023-02-06 10:12:07] [Epoch    19/  500] trn/posterior_energy  5.536e+06, trn/neg_log_likelihood  3.103e+04, trn/neg_log_prior  5.505e+06, trn/lr  9.966e-08, val/acc 6.982e-01, val/nll 9.198e-01
[2023-02-06 10:12:21] [Epoch    20/  500] trn/posterior_energy  5.537e+06, trn/neg_log_likelihood  3.106e+04, trn/neg_log_prior  5.506e+06, trn/lr  9.963e-08, val/acc 7.591e-01, val/nll 7.182e-01 (best_acc: 7.415e-01 -> 7.591e-01, test_acc: 7.558e-01, test_nll: 7.302e-01)
[2023-02-06 10:12:33] [Epoch    21/  500] trn/posterior_energy  5.534e+06, trn/neg_log_likelihood  2.834e+04, trn/neg_log_prior  5.506e+06, trn/lr  9.959e-08, val/acc 7.525e-01, val/nll 7.421e-01
[2023-02-06 10:12:45] [Epoch    22/  500] trn/posterior_energy  5.535e+06, trn/neg_log_likelihood  2.920e+04, trn/neg_log_prior  5.506e+06, trn/lr  9.954e-08, val/acc 7.191e-01, val/nll 8.362e-01
