[2023-02-13 09:50:55] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-13 09:50:55] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000030_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-13 09:52:27] [Cycle   1/ 30][Epoch  18/200] trn/posterior_energy -1.088e+05, trn/neg_log_likelihood  1.179e+04, trn/neg_log_prior -1.206e+05, trn/lr  2.944e-06, trn/temperature  0.000e+00, val/acc 7.654e-01, val/nll 7.548e-01
[2023-02-13 09:52:31] [Cycle   1/ 30][Epoch  19/200] trn/posterior_energy -1.098e+05, trn/neg_log_likelihood  1.067e+04, trn/neg_log_prior -1.204e+05, trn/lr  2.937e-06, trn/temperature  0.000e+00, val/acc 7.832e-01, val/nll 7.074e-01
[2023-02-13 09:52:35] [Cycle   1/ 30][Epoch  20/200] trn/posterior_energy -1.108e+05, trn/neg_log_likelihood  9.447e+03, trn/neg_log_prior -1.203e+05, trn/lr  2.930e-06, trn/temperature  0.000e+00, val/acc 7.813e-01, val/nll 7.511e-01
[2023-02-13 09:52:38] [Cycle   1/ 30][Epoch  21/200] trn/posterior_energy -1.112e+05, trn/neg_log_likelihood  8.851e+03, trn/neg_log_prior -1.201e+05, trn/lr  2.923e-06, trn/temperature  0.000e+00, val/acc 7.884e-01, val/nll 7.129e-01
[2023-02-13 09:52:42] [Cycle   1/ 30][Epoch  22/200] trn/posterior_energy -1.125e+05, trn/neg_log_likelihood  7.378e+03, trn/neg_log_prior -1.199e+05, trn/lr  2.915e-06, trn/temperature  0.000e+00, val/acc 7.627e-01, val/nll 8.603e-01
[2023-02-13 09:52:46] [Cycle   1/ 30][Epoch  23/200] trn/posterior_energy -1.127e+05, trn/neg_log_likelihood  7.085e+03, trn/neg_log_prior -1.198e+05, trn/lr  2.907e-06, trn/temperature  0.000e+00, val/acc 7.727e-01, val/nll 8.643e-01
[2023-02-13 09:52:50] [Cycle   1/ 30][Epoch  24/200] trn/posterior_energy -1.131e+05, trn/neg_log_likelihood  6.510e+03, trn/neg_log_prior -1.196e+05, trn/lr  2.899e-06, trn/temperature  0.000e+00, val/acc 7.782e-01, val/nll 8.225e-01
[2023-02-13 09:52:53] [Cycle   1/ 30][Epoch  25/200] trn/posterior_energy -1.137e+05, trn/neg_log_likelihood  5.790e+03, trn/neg_log_prior -1.195e+05, trn/lr  2.890e-06, trn/temperature  0.000e+00, val/acc 7.785e-01, val/nll 8.219e-01
[2023-02-13 09:52:57] [Cycle   1/ 30][Epoch  26/200] trn/posterior_energy -1.138e+05, trn/neg_log_likelihood  5.517e+03, trn/neg_log_prior -1.194e+05, trn/lr  2.881e-06, trn/temperature  0.000e+00, val/acc 7.790e-01, val/nll 8.747e-01
[2023-02-13 09:53:01] [Cycle   1/ 30][Epoch  27/200] trn/posterior_energy -1.146e+05, trn/neg_log_likelihood  4.628e+03, trn/neg_log_prior -1.193e+05, trn/lr  2.872e-06, trn/temperature  0.000e+00, val/acc 7.877e-01, val/nll 8.181e-01
[2023-02-13 09:53:05] [Cycle   1/ 30][Epoch  28/200] trn/posterior_energy -1.153e+05, trn/neg_log_likelihood  3.870e+03, trn/neg_log_prior -1.192e+05, trn/lr  2.862e-06, trn/temperature  0.000e+00, val/acc 7.791e-01, val/nll 9.078e-01
[2023-02-13 09:53:08] [Cycle   1/ 30][Epoch  29/200] trn/posterior_energy -1.147e+05, trn/neg_log_likelihood  4.349e+03, trn/neg_log_prior -1.191e+05, trn/lr  2.852e-06, trn/temperature  0.000e+00, val/acc 7.676e-01, val/nll 9.807e-01
[2023-02-13 09:53:12] [Cycle   1/ 30][Epoch  30/200] trn/posterior_energy -1.156e+05, trn/neg_log_likelihood  3.465e+03, trn/neg_log_prior -1.190e+05, trn/lr  2.842e-06, trn/temperature  0.000e+00, val/acc 7.814e-01, val/nll 8.874e-01
[2023-02-13 09:53:16] [Cycle   1/ 30][Epoch  31/200] trn/posterior_energy -1.151e+05, trn/neg_log_likelihood  3.853e+03, trn/neg_log_prior -1.190e+05, trn/lr  2.831e-06, trn/temperature  0.000e+00, val/acc 7.866e-01, val/nll 9.031e-01
[2023-02-13 09:53:20] [Cycle   1/ 30][Epoch  32/200] trn/posterior_energy -1.164e+05, trn/neg_log_likelihood  2.480e+03, trn/neg_log_prior -1.189e+05, trn/lr  2.820e-06, trn/temperature  0.000e+00, val/acc 7.871e-01, val/nll 9.137e-01
