[2023-02-16 10:55:32] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 10:55:32] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.1
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0030_eps-1e-1_rho-0.1000_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 10:55:47] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 11:00:07] [Epoch    24/  200] trn/loss 2.321e+00, trn/lr 2.899e+00, trn/scale 1.239e-01, val/acc 1.044e-01, val/nll 2.338e+00
[2023-02-16 11:00:15] [Epoch    25/  200] trn/loss 2.322e+00, trn/lr 2.890e+00, trn/scale 1.208e-01, val/acc 1.044e-01, val/nll 2.310e+00
[2023-02-16 11:00:23] [Epoch    26/  200] trn/loss 2.323e+00, trn/lr 2.881e+00, trn/scale 1.182e-01, val/acc 9.823e-02, val/nll 2.313e+00
[2023-02-16 11:00:31] [Epoch    27/  200] trn/loss 2.320e+00, trn/lr 2.872e+00, trn/scale 1.159e-01, val/acc 9.281e-02, val/nll 2.322e+00
[2023-02-16 11:00:39] [Epoch    28/  200] trn/loss 2.322e+00, trn/lr 2.862e+00, trn/scale 1.140e-01, val/acc 1.081e-01, val/nll 2.313e+00
[2023-02-16 11:00:47] [Epoch    29/  200] trn/loss 2.321e+00, trn/lr 2.852e+00, trn/scale 1.124e-01, val/acc 9.978e-02, val/nll 2.328e+00
[2023-02-16 11:00:56] [Epoch    30/  200] trn/loss 2.320e+00, trn/lr 2.842e+00, trn/scale 1.110e-01, val/acc 9.281e-02, val/nll 2.333e+00
[2023-02-16 11:01:04] [Epoch    31/  200] trn/loss 2.320e+00, trn/lr 2.831e+00, trn/scale 1.098e-01, val/acc 9.823e-02, val/nll 2.324e+00
[2023-02-16 11:01:12] [Epoch    32/  200] trn/loss 2.321e+00, trn/lr 2.820e+00, trn/scale 1.088e-01, val/acc 9.823e-02, val/nll 2.331e+00
[2023-02-16 11:01:20] [Epoch    33/  200] trn/loss 2.321e+00, trn/lr 2.809e+00, trn/scale 1.080e-01, val/acc 9.856e-02, val/nll 2.311e+00
[2023-02-16 11:01:28] [Epoch    34/  200] trn/loss 2.324e+00, trn/lr 2.797e+00, trn/scale 1.072e-01, val/acc 1.007e-01, val/nll 2.309e+00
[2023-02-16 11:01:37] [Epoch    35/  200] trn/loss 2.321e+00, trn/lr 2.785e+00, trn/scale 1.066e-01, val/acc 9.823e-02, val/nll 2.333e+00
[2023-02-16 11:01:45] [Epoch    36/  200] trn/loss 2.322e+00, trn/lr 2.773e+00, trn/scale 1.061e-01, val/acc 9.945e-02, val/nll 2.319e+00
[2023-02-16 11:01:53] [Epoch    37/  200] trn/loss 2.321e+00, trn/lr 2.760e+00, trn/scale 1.056e-01, val/acc 9.945e-02, val/nll 2.339e+00
[2023-02-16 11:02:01] [Epoch    38/  200] trn/loss 2.323e+00, trn/lr 2.747e+00, trn/scale 1.052e-01, val/acc 1.007e-01, val/nll 2.308e+00
[2023-02-16 11:02:09] [Epoch    39/  200] trn/loss 2.321e+00, trn/lr 2.734e+00, trn/scale 1.049e-01, val/acc 1.007e-01, val/nll 2.313e+00
[2023-02-16 11:02:17] [Epoch    40/  200] trn/loss 2.320e+00, trn/lr 2.720e+00, trn/scale 1.046e-01, val/acc 9.945e-02, val/nll 2.318e+00
[2023-02-16 11:02:26] [Epoch    41/  200] trn/loss 2.321e+00, trn/lr 2.707e+00, trn/scale 1.044e-01, val/acc 9.281e-02, val/nll 2.312e+00
[2023-02-16 11:02:34] [Epoch    42/  200] trn/loss 2.322e+00, trn/lr 2.692e+00, trn/scale 1.042e-01, val/acc 9.281e-02, val/nll 2.326e+00
[2023-02-16 11:02:42] [Epoch    43/  200] trn/loss 2.322e+00, trn/lr 2.678e+00, trn/scale 1.040e-01, val/acc 9.978e-02, val/nll 2.317e+00
[2023-02-16 11:02:50] [Epoch    44/  200] trn/loss 2.322e+00, trn/lr 2.663e+00, trn/scale 1.039e-01, val/acc 9.978e-02, val/nll 2.311e+00
[2023-02-16 11:02:58] [Epoch    45/  200] trn/loss 2.322e+00, trn/lr 2.648e+00, trn/scale 1.037e-01, val/acc 9.281e-02, val/nll 2.325e+00
[2023-02-16 11:03:06] [Epoch    46/  200] trn/loss 2.321e+00, trn/lr 2.633e+00, trn/scale 1.036e-01, val/acc 1.007e-01, val/nll 2.336e+00
[2023-02-16 11:03:15] [Epoch    47/  200] trn/loss 2.323e+00, trn/lr 2.617e+00, trn/scale 1.035e-01, val/acc 9.856e-02, val/nll 2.321e+00
[2023-02-16 11:03:23] [Epoch    48/  200] trn/loss 2.323e+00, trn/lr 2.602e+00, trn/scale 1.035e-01, val/acc 9.978e-02, val/nll 2.318e+00
[2023-02-16 11:03:31] [Epoch    49/  200] trn/loss 2.319e+00, trn/lr 2.585e+00, trn/scale 1.034e-01, val/acc 9.823e-02, val/nll 2.313e+00
[2023-02-16 11:03:39] [Epoch    50/  200] trn/loss 2.322e+00, trn/lr 2.569e+00, trn/scale 1.033e-01, val/acc 9.823e-02, val/nll 2.338e+00
[2023-02-16 11:03:47] [Epoch    51/  200] trn/loss 2.321e+00, trn/lr 2.552e+00, trn/scale 1.033e-01, val/acc 1.044e-01, val/nll 2.322e+00
[2023-02-16 11:03:56] [Epoch    52/  200] trn/loss 2.321e+00, trn/lr 2.535e+00, trn/scale 1.032e-01, val/acc 9.823e-02, val/nll 2.315e+00
[2023-02-16 11:04:04] [Epoch    53/  200] trn/loss 2.320e+00, trn/lr 2.518e+00, trn/scale 1.032e-01, val/acc 9.856e-02, val/nll 2.333e+00
[2023-02-16 11:04:12] [Epoch    54/  200] trn/loss 2.319e+00, trn/lr 2.501e+00, trn/scale 1.032e-01, val/acc 9.978e-02, val/nll 2.314e+00
