[2023-02-06 00:00:29] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-06 00:00:29] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.97
- args.prior_precision   : 80.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.97_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 00:00:43] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-06 00:01:26] [Epoch     1/  500] trn/posterior_energy  5.723e+06, trn/neg_log_likelihood  9.184e+04, trn/neg_log_prior  5.631e+06, trn/lr  1.000e-06, val/acc 2.364e-01, val/nll 2.027e+00 (best_acc: 0.000e+00 -> 2.364e-01, test_acc: 2.449e-01, test_nll: 2.027e+00)
[2023-02-06 00:01:41] [Epoch     2/  500] trn/posterior_energy  5.572e+06, trn/neg_log_likelihood  8.034e+04, trn/neg_log_prior  5.491e+06, trn/lr  1.000e-06, val/acc 3.375e-01, val/nll 1.808e+00 (best_acc: 2.364e-01 -> 3.375e-01, test_acc: 3.413e-01, test_nll: 1.805e+00)
[2023-02-06 00:01:53] [Epoch     3/  500] trn/posterior_energy  5.562e+06, trn/neg_log_likelihood  7.630e+04, trn/neg_log_prior  5.486e+06, trn/lr  9.999e-07, val/acc 2.671e-01, val/nll 1.917e+00
[2023-02-06 00:02:05] [Epoch     4/  500] trn/posterior_energy  5.560e+06, trn/neg_log_likelihood  7.389e+04, trn/neg_log_prior  5.486e+06, trn/lr  9.999e-07, val/acc 3.330e-01, val/nll 1.821e+00
[2023-02-06 00:02:19] [Epoch     5/  500] trn/posterior_energy  5.560e+06, trn/neg_log_likelihood  7.241e+04, trn/neg_log_prior  5.487e+06, trn/lr  9.998e-07, val/acc 3.719e-01, val/nll 1.765e+00 (best_acc: 3.375e-01 -> 3.719e-01, test_acc: 3.729e-01, test_nll: 1.753e+00)
[2023-02-06 00:02:31] [Epoch     6/  500] trn/posterior_energy  5.560e+06, trn/neg_log_likelihood  7.249e+04, trn/neg_log_prior  5.488e+06, trn/lr  9.997e-07, val/acc 3.664e-01, val/nll 1.738e+00
[2023-02-06 00:02:44] [Epoch     7/  500] trn/posterior_energy  5.559e+06, trn/neg_log_likelihood  7.131e+04, trn/neg_log_prior  5.488e+06, trn/lr  9.996e-07, val/acc 3.605e-01, val/nll 1.740e+00
[2023-02-06 00:02:56] [Epoch     8/  500] trn/posterior_energy  5.559e+06, trn/neg_log_likelihood  7.076e+04, trn/neg_log_prior  5.489e+06, trn/lr  9.994e-07, val/acc 3.650e-01, val/nll 1.715e+00
[2023-02-06 00:03:10] [Epoch     9/  500] trn/posterior_energy  5.559e+06, trn/neg_log_likelihood  7.016e+04, trn/neg_log_prior  5.489e+06, trn/lr  9.993e-07, val/acc 3.730e-01, val/nll 1.706e+00 (best_acc: 3.719e-01 -> 3.730e-01, test_acc: 3.779e-01, test_nll: 1.714e+00)
[2023-02-06 00:03:22] [Epoch    10/  500] trn/posterior_energy  5.559e+06, trn/neg_log_likelihood  6.998e+04, trn/neg_log_prior  5.489e+06, trn/lr  9.991e-07, val/acc 3.428e-01, val/nll 1.734e+00
[2023-02-06 00:03:35] [Epoch    11/  500] trn/posterior_energy  5.559e+06, trn/neg_log_likelihood  6.955e+04, trn/neg_log_prior  5.489e+06, trn/lr  9.989e-07, val/acc 3.584e-01, val/nll 1.711e+00
