[2023-02-14 03:31:57] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-14 03:31:57] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 10.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000030_mo-0.99_pr-02/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-14 03:32:24] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy  2.021e+05, trn/neg_log_likelihood  9.333e+04, trn/neg_log_prior  1.088e+05, trn/lr  3.000e-06, trn/temperature  0.000e+00, val/acc 2.331e-01, val/nll 2.058e+00
[2023-02-14 03:32:28] [Cycle   1/ 30][Epoch   2/200] trn/posterior_energy  1.620e+05, trn/neg_log_likelihood  8.551e+04, trn/neg_log_prior  7.648e+04, trn/lr  3.000e-06, trn/temperature  0.000e+00, val/acc 2.594e-01, val/nll 2.044e+00
[2023-02-14 03:32:32] [Cycle   1/ 30][Epoch   3/200] trn/posterior_energy  1.551e+05, trn/neg_log_likelihood  8.243e+04, trn/neg_log_prior  7.266e+04, trn/lr  2.999e-06, trn/temperature  0.000e+00, val/acc 2.184e-01, val/nll 2.035e+00
[2023-02-14 03:32:36] [Cycle   1/ 30][Epoch   4/200] trn/posterior_energy  1.560e+05, trn/neg_log_likelihood  8.299e+04, trn/neg_log_prior  7.300e+04, trn/lr  2.998e-06, trn/temperature  0.000e+00, val/acc 2.488e-01, val/nll 2.020e+00
[2023-02-14 03:32:40] [Cycle   1/ 30][Epoch   5/200] trn/posterior_energy  1.565e+05, trn/neg_log_likelihood  8.266e+04, trn/neg_log_prior  7.388e+04, trn/lr  2.996e-06, trn/temperature  0.000e+00, val/acc 2.462e-01, val/nll 1.992e+00
[2023-02-14 03:32:44] [Cycle   1/ 30][Epoch   6/200] trn/posterior_energy  1.555e+05, trn/neg_log_likelihood  8.300e+04, trn/neg_log_prior  7.246e+04, trn/lr  2.994e-06, trn/temperature  0.000e+00, val/acc 2.138e-01, val/nll 2.101e+00
[2023-02-14 03:32:48] [Cycle   1/ 30][Epoch   7/200] trn/posterior_energy  1.574e+05, trn/neg_log_likelihood  8.348e+04, trn/neg_log_prior  7.388e+04, trn/lr  2.992e-06, trn/temperature  0.000e+00, val/acc 2.454e-01, val/nll 1.996e+00
[2023-02-14 03:32:52] [Cycle   1/ 30][Epoch   8/200] trn/posterior_energy  1.545e+05, trn/neg_log_likelihood  8.269e+04, trn/neg_log_prior  7.183e+04, trn/lr  2.990e-06, trn/temperature  0.000e+00, val/acc 2.139e-01, val/nll 2.080e+00
[2023-02-14 03:32:56] [Cycle   1/ 30][Epoch   9/200] trn/posterior_energy  1.556e+05, trn/neg_log_likelihood  8.245e+04, trn/neg_log_prior  7.311e+04, trn/lr  2.987e-06, trn/temperature  0.000e+00, val/acc 2.507e-01, val/nll 1.918e+00
[2023-02-14 03:32:59] [Cycle   1/ 30][Epoch  10/200] trn/posterior_energy  1.539e+05, trn/neg_log_likelihood  8.131e+04, trn/neg_log_prior  7.260e+04, trn/lr  2.983e-06, trn/temperature  0.000e+00, val/acc 2.345e-01, val/nll 2.004e+00
[2023-02-14 03:33:03] [Cycle   1/ 30][Epoch  11/200] trn/posterior_energy  1.526e+05, trn/neg_log_likelihood  7.993e+04, trn/neg_log_prior  7.268e+04, trn/lr  2.980e-06, trn/temperature  0.000e+00, val/acc 2.256e-01, val/nll 1.927e+00
[2023-02-14 03:33:07] [Cycle   1/ 30][Epoch  12/200] trn/posterior_energy  1.524e+05, trn/neg_log_likelihood  8.055e+04, trn/neg_log_prior  7.183e+04, trn/lr  2.976e-06, trn/temperature  0.000e+00, val/acc 2.553e-01, val/nll 2.064e+00
[2023-02-14 03:33:11] [Cycle   1/ 30][Epoch  13/200] trn/posterior_energy  1.573e+05, trn/neg_log_likelihood  8.219e+04, trn/neg_log_prior  7.508e+04, trn/lr  2.971e-06, trn/temperature  0.000e+00, val/acc 2.366e-01, val/nll 1.989e+00
[2023-02-14 03:33:15] [Cycle   1/ 30][Epoch  14/200] trn/posterior_energy  1.522e+05, trn/neg_log_likelihood  8.028e+04, trn/neg_log_prior  7.193e+04, trn/lr  2.966e-06, trn/temperature  0.000e+00, val/acc 2.204e-01, val/nll 2.003e+00
[2023-02-14 03:33:18] [Cycle   1/ 30][Epoch  15/200] trn/posterior_energy  1.592e+05, trn/neg_log_likelihood  8.515e+04, trn/neg_log_prior  7.400e+04, trn/lr  2.961e-06, trn/temperature  0.000e+00, val/acc 2.299e-01, val/nll 2.056e+00
[2023-02-14 03:33:22] [Cycle   1/ 30][Epoch  16/200] trn/posterior_energy  1.591e+05, trn/neg_log_likelihood  8.437e+04, trn/neg_log_prior  7.470e+04, trn/lr  2.956e-06, trn/temperature  0.000e+00, val/acc 2.452e-01, val/nll 1.928e+00
[2023-02-14 03:33:26] [Cycle   1/ 30][Epoch  17/200] trn/posterior_energy  1.538e+05, trn/neg_log_likelihood  8.113e+04, trn/neg_log_prior  7.267e+04, trn/lr  2.950e-06, trn/temperature  0.000e+00, val/acc 2.591e-01, val/nll 1.964e+00
[2023-02-14 03:33:30] [Cycle   1/ 30][Epoch  18/200] trn/posterior_energy  1.585e+05, trn/neg_log_likelihood  8.180e+04, trn/neg_log_prior  7.674e+04, trn/lr  2.944e-06, trn/temperature  0.000e+00, val/acc 2.115e-01, val/nll 1.936e+00
[2023-02-14 03:33:34] [Cycle   1/ 30][Epoch  19/200] trn/posterior_energy  1.569e+05, trn/neg_log_likelihood  8.308e+04, trn/neg_log_prior  7.381e+04, trn/lr  2.937e-06, trn/temperature  0.000e+00, val/acc 1.931e-01, val/nll 2.130e+00
[2023-02-14 03:33:37] [Cycle   1/ 30][Epoch  20/200] trn/posterior_energy  1.578e+05, trn/neg_log_likelihood  8.392e+04, trn/neg_log_prior  7.392e+04, trn/lr  2.930e-06, trn/temperature  0.000e+00, val/acc 2.388e-01, val/nll 1.998e+00
[2023-02-14 03:33:41] [Cycle   1/ 30][Epoch  21/200] trn/posterior_energy  1.566e+05, trn/neg_log_likelihood  8.340e+04, trn/neg_log_prior  7.324e+04, trn/lr  2.923e-06, trn/temperature  0.000e+00, val/acc 2.457e-01, val/nll 1.922e+00
[2023-02-14 03:33:45] [Cycle   1/ 30][Epoch  22/200] trn/posterior_energy  1.562e+05, trn/neg_log_likelihood  8.308e+04, trn/neg_log_prior  7.316e+04, trn/lr  2.915e-06, trn/temperature  0.000e+00, val/acc 2.018e-01, val/nll 2.097e+00
[2023-02-14 03:33:49] [Cycle   1/ 30][Epoch  23/200] trn/posterior_energy  1.583e+05, trn/neg_log_likelihood  8.390e+04, trn/neg_log_prior  7.438e+04, trn/lr  2.907e-06, trn/temperature  0.000e+00, val/acc 2.225e-01, val/nll 2.021e+00
[2023-02-14 03:33:53] [Cycle   1/ 30][Epoch  24/200] trn/posterior_energy  1.541e+05, trn/neg_log_likelihood  8.156e+04, trn/neg_log_prior  7.256e+04, trn/lr  2.899e-06, trn/temperature  0.000e+00, val/acc 2.573e-01, val/nll 2.063e+00
[2023-02-14 03:33:56] [Cycle   1/ 30][Epoch  25/200] trn/posterior_energy  1.577e+05, trn/neg_log_likelihood  8.388e+04, trn/neg_log_prior  7.384e+04, trn/lr  2.890e-06, trn/temperature  0.000e+00, val/acc 2.250e-01, val/nll 1.994e+00
[2023-02-14 03:34:00] [Cycle   1/ 30][Epoch  26/200] trn/posterior_energy  1.590e+05, trn/neg_log_likelihood  8.391e+04, trn/neg_log_prior  7.512e+04, trn/lr  2.881e-06, trn/temperature  0.000e+00, val/acc 2.426e-01, val/nll 1.992e+00
[2023-02-14 03:34:04] [Cycle   1/ 30][Epoch  27/200] trn/posterior_energy  1.568e+05, trn/neg_log_likelihood  8.387e+04, trn/neg_log_prior  7.289e+04, trn/lr  2.872e-06, trn/temperature  0.000e+00, val/acc 2.296e-01, val/nll 2.015e+00
[2023-02-14 03:34:08] [Cycle   1/ 30][Epoch  28/200] trn/posterior_energy  1.571e+05, trn/neg_log_likelihood  8.254e+04, trn/neg_log_prior  7.455e+04, trn/lr  2.862e-06, trn/temperature  0.000e+00, val/acc 2.095e-01, val/nll 2.043e+00
[2023-02-14 03:34:11] [Cycle   1/ 30][Epoch  29/200] trn/posterior_energy  1.753e+05, trn/neg_log_likelihood  8.396e+04, trn/neg_log_prior  9.130e+04, trn/lr  2.852e-06, trn/temperature  0.000e+00, val/acc 2.554e-01, val/nll 2.152e+00
[2023-02-14 03:34:15] [Cycle   1/ 30][Epoch  30/200] trn/posterior_energy  1.977e+05, trn/neg_log_likelihood  8.399e+04, trn/neg_log_prior  1.137e+05, trn/lr  2.842e-06, trn/temperature  0.000e+00, val/acc 2.104e-01, val/nll 2.197e+00
[2023-02-14 03:34:19] [Cycle   1/ 30][Epoch  31/200] trn/posterior_energy  1.609e+05, trn/neg_log_likelihood  8.681e+04, trn/neg_log_prior  7.407e+04, trn/lr  2.831e-06, trn/temperature  0.000e+00, val/acc 1.929e-01, val/nll 2.127e+00
[2023-02-14 03:34:22] [Cycle   1/ 30][Epoch  32/200] trn/posterior_energy  1.560e+05, trn/neg_log_likelihood  8.483e+04, trn/neg_log_prior  7.112e+04, trn/lr  2.820e-06, trn/temperature  0.000e+00, val/acc 1.550e-01, val/nll 2.090e+00
[2023-02-14 03:34:26] [Cycle   1/ 30][Epoch  33/200] trn/posterior_energy  1.563e+05, trn/neg_log_likelihood  8.589e+04, trn/neg_log_prior  7.038e+04, trn/lr  2.809e-06, trn/temperature  0.000e+00, val/acc 1.709e-01, val/nll 2.073e+00
[2023-02-14 03:34:30] [Cycle   1/ 30][Epoch  34/200] trn/posterior_energy  1.560e+05, trn/neg_log_likelihood  8.585e+04, trn/neg_log_prior  7.018e+04, trn/lr  2.797e-06, trn/temperature  0.000e+00, val/acc 1.858e-01, val/nll 2.064e+00
[2023-02-14 03:34:34] [Cycle   1/ 30][Epoch  35/200] trn/posterior_energy  1.559e+05, trn/neg_log_likelihood  8.520e+04, trn/neg_log_prior  7.067e+04, trn/lr  2.785e-06, trn/temperature  0.000e+00, val/acc 1.719e-01, val/nll 2.083e+00
[2023-02-14 03:34:38] [Cycle   1/ 30][Epoch  36/200] trn/posterior_energy  1.656e+05, trn/neg_log_likelihood  8.616e+04, trn/neg_log_prior  7.943e+04, trn/lr  2.773e-06, trn/temperature  0.000e+00, val/acc 1.782e-01, val/nll 2.092e+00
[2023-02-14 03:34:41] [Cycle   1/ 30][Epoch  37/200] trn/posterior_energy  1.616e+05, trn/neg_log_likelihood  8.686e+04, trn/neg_log_prior  7.476e+04, trn/lr  2.760e-06, trn/temperature  0.000e+00, val/acc 1.752e-01, val/nll 2.132e+00
[2023-02-14 03:34:45] [Cycle   1/ 30][Epoch  38/200] trn/posterior_energy  1.563e+05, trn/neg_log_likelihood  8.542e+04, trn/neg_log_prior  7.087e+04, trn/lr  2.747e-06, trn/temperature  0.000e+00, val/acc 2.134e-01, val/nll 2.033e+00
[2023-02-14 03:34:49] [Cycle   1/ 30][Epoch  39/200] trn/posterior_energy  1.588e+05, trn/neg_log_likelihood  8.572e+04, trn/neg_log_prior  7.313e+04, trn/lr  2.734e-06, trn/temperature  0.000e+00, val/acc 1.542e-01, val/nll 2.061e+00
[2023-02-14 03:34:52] [Cycle   1/ 30][Epoch  40/200] trn/posterior_energy  1.602e+05, trn/neg_log_likelihood  8.570e+04, trn/neg_log_prior  7.447e+04, trn/lr  2.720e-06, trn/temperature  0.000e+00, val/acc 1.777e-01, val/nll 2.056e+00
[2023-02-14 03:34:56] [Cycle   1/ 30][Epoch  41/200] trn/posterior_energy  1.567e+05, trn/neg_log_likelihood  8.635e+04, trn/neg_log_prior  7.033e+04, trn/lr  2.707e-06, trn/temperature  0.000e+00, val/acc 1.773e-01, val/nll 2.125e+00
[2023-02-14 03:35:00] [Cycle   1/ 30][Epoch  42/200] trn/posterior_energy  1.567e+05, trn/neg_log_likelihood  8.545e+04, trn/neg_log_prior  7.126e+04, trn/lr  2.692e-06, trn/temperature  0.000e+00, val/acc 1.592e-01, val/nll 2.005e+00
[2023-02-14 03:35:03] [Cycle   1/ 30][Epoch  43/200] trn/posterior_energy  1.552e+05, trn/neg_log_likelihood  8.493e+04, trn/neg_log_prior  7.026e+04, trn/lr  2.678e-06, trn/temperature  0.000e+00, val/acc 1.813e-01, val/nll 2.085e+00
[2023-02-14 03:35:07] [Cycle   1/ 30][Epoch  44/200] trn/posterior_energy  1.596e+05, trn/neg_log_likelihood  8.782e+04, trn/neg_log_prior  7.177e+04, trn/lr  2.663e-06, trn/temperature  0.000e+00, val/acc 1.831e-01, val/nll 2.002e+00
[2023-02-14 03:35:11] [Cycle   1/ 30][Epoch  45/200] trn/posterior_energy  1.565e+05, trn/neg_log_likelihood  8.608e+04, trn/neg_log_prior  7.043e+04, trn/lr  2.648e-06, trn/temperature  0.000e+00, val/acc 2.065e-01, val/nll 2.043e+00
[2023-02-14 03:35:15] [Cycle   1/ 30][Epoch  46/200] trn/posterior_energy  1.552e+05, trn/neg_log_likelihood  8.487e+04, trn/neg_log_prior  7.036e+04, trn/lr  2.633e-06, trn/temperature  0.000e+00, val/acc 1.551e-01, val/nll 2.141e+00
[2023-02-14 03:35:19] [Cycle   1/ 30][Epoch  47/200] trn/posterior_energy  1.549e+05, trn/neg_log_likelihood  8.504e+04, trn/neg_log_prior  6.982e+04, trn/lr  2.617e-06, trn/temperature  0.000e+00, val/acc 1.756e-01, val/nll 2.016e+00
[2023-02-14 03:35:22] [Cycle   1/ 30][Epoch  48/200] trn/posterior_energy  1.534e+05, trn/neg_log_likelihood  8.409e+04, trn/neg_log_prior  6.933e+04, trn/lr  2.601e-06, trn/temperature  0.000e+00, val/acc 1.967e-01, val/nll 2.040e+00
[2023-02-14 03:35:26] [Cycle   1/ 30][Epoch  49/200] trn/posterior_energy  1.571e+05, trn/neg_log_likelihood  8.712e+04, trn/neg_log_prior  6.994e+04, trn/lr  2.585e-06, trn/temperature  0.000e+00, val/acc 1.800e-01, val/nll 2.188e+00
[2023-02-14 03:35:30] [Cycle   1/ 30][Epoch  50/200] trn/posterior_energy  1.545e+05, trn/neg_log_likelihood  8.382e+04, trn/neg_log_prior  7.073e+04, trn/lr  2.569e-06, trn/temperature  0.000e+00, val/acc 1.823e-01, val/nll 2.063e+00
[2023-02-14 03:35:34] [Cycle   1/ 30][Epoch  51/200] trn/posterior_energy  1.569e+05, trn/neg_log_likelihood  8.660e+04, trn/neg_log_prior  7.027e+04, trn/lr  2.552e-06, trn/temperature  0.000e+00, val/acc 1.675e-01, val/nll 2.151e+00
[2023-02-14 03:35:38] [Cycle   1/ 30][Epoch  52/200] trn/posterior_energy  1.581e+05, trn/neg_log_likelihood  8.658e+04, trn/neg_log_prior  7.154e+04, trn/lr  2.535e-06, trn/temperature  0.000e+00, val/acc 1.896e-01, val/nll 2.042e+00
[2023-02-14 03:35:41] [Cycle   1/ 30][Epoch  53/200] trn/posterior_energy  1.548e+05, trn/neg_log_likelihood  8.497e+04, trn/neg_log_prior  6.987e+04, trn/lr  2.518e-06, trn/temperature  0.000e+00, val/acc 1.575e-01, val/nll 2.136e+00
[2023-02-14 03:35:45] [Cycle   1/ 30][Epoch  54/200] trn/posterior_energy  1.560e+05, trn/neg_log_likelihood  8.604e+04, trn/neg_log_prior  6.993e+04, trn/lr  2.501e-06, trn/temperature  0.000e+00, val/acc 1.951e-01, val/nll 2.086e+00
