[2023-02-16 15:46:12] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 15:46:12] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.0003
- args.rho                : 0.01
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.900_b2-0.999_wd-0.0003_eps-1e-1_rho-0.0100_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 15:46:18] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 15:50:40] [Epoch    24/  200] trn/loss 9.204e-01, trn/lr 2.899e+00, trn/scale 1.215e-01, val/acc 4.228e-01, val/nll 2.277e+00
[2023-02-16 15:50:48] [Epoch    25/  200] trn/loss 9.354e-01, trn/lr 2.890e+00, trn/scale 1.184e-01, val/acc 5.736e-01, val/nll 1.280e+00
[2023-02-16 15:50:56] [Epoch    26/  200] trn/loss 9.519e-01, trn/lr 2.881e+00, trn/scale 1.157e-01, val/acc 5.972e-01, val/nll 1.224e+00
[2023-02-16 15:51:04] [Epoch    27/  200] trn/loss 9.388e-01, trn/lr 2.872e+00, trn/scale 1.135e-01, val/acc 4.235e-01, val/nll 2.176e+00
[2023-02-16 15:51:13] [Epoch    28/  200] trn/loss 9.612e-01, trn/lr 2.862e+00, trn/scale 1.116e-01, val/acc 3.962e-01, val/nll 1.802e+00
[2023-02-16 15:51:21] [Epoch    29/  200] trn/loss 9.615e-01, trn/lr 2.852e+00, trn/scale 1.099e-01, val/acc 3.404e-01, val/nll 2.064e+00
[2023-02-16 15:51:29] [Epoch    30/  200] trn/loss 9.675e-01, trn/lr 2.842e+00, trn/scale 1.085e-01, val/acc 4.659e-01, val/nll 1.651e+00
[2023-02-16 15:51:37] [Epoch    31/  200] trn/loss 9.675e-01, trn/lr 2.831e+00, trn/scale 1.073e-01, val/acc 2.227e-01, val/nll 3.988e+00
[2023-02-16 15:51:45] [Epoch    32/  200] trn/loss 9.720e-01, trn/lr 2.820e+00, trn/scale 1.063e-01, val/acc 4.157e-01, val/nll 1.737e+00
[2023-02-16 15:51:53] [Epoch    33/  200] trn/loss 9.799e-01, trn/lr 2.809e+00, trn/scale 1.054e-01, val/acc 6.494e-01, val/nll 1.008e+00
[2023-02-16 15:52:02] [Epoch    34/  200] trn/loss 1.010e+00, trn/lr 2.797e+00, trn/scale 1.047e-01, val/acc 2.728e-01, val/nll 3.348e+00
[2023-02-16 15:52:10] [Epoch    35/  200] trn/loss 9.814e-01, trn/lr 2.785e+00, trn/scale 1.041e-01, val/acc 5.330e-01, val/nll 1.337e+00
[2023-02-16 15:52:18] [Epoch    36/  200] trn/loss 1.016e+00, trn/lr 2.773e+00, trn/scale 1.035e-01, val/acc 4.122e-01, val/nll 2.177e+00
[2023-02-16 15:52:26] [Epoch    37/  200] trn/loss 9.969e-01, trn/lr 2.760e+00, trn/scale 1.031e-01, val/acc 4.767e-01, val/nll 1.483e+00
[2023-02-16 15:52:34] [Epoch    38/  200] trn/loss 1.013e+00, trn/lr 2.747e+00, trn/scale 1.027e-01, val/acc 3.573e-01, val/nll 2.856e+00
[2023-02-16 15:52:43] [Epoch    39/  200] trn/loss 9.931e-01, trn/lr 2.734e+00, trn/scale 1.023e-01, val/acc 4.819e-01, val/nll 1.990e+00
[2023-02-16 15:52:51] [Epoch    40/  200] trn/loss 9.876e-01, trn/lr 2.720e+00, trn/scale 1.021e-01, val/acc 5.087e-01, val/nll 1.411e+00
[2023-02-16 15:52:59] [Epoch    41/  200] trn/loss 9.995e-01, trn/lr 2.707e+00, trn/scale 1.018e-01, val/acc 4.059e-01, val/nll 3.180e+00
[2023-02-16 15:53:07] [Epoch    42/  200] trn/loss 1.002e+00, trn/lr 2.692e+00, trn/scale 1.016e-01, val/acc 1.940e-01, val/nll 3.428e+00
[2023-02-16 15:53:15] [Epoch    43/  200] trn/loss 9.950e-01, trn/lr 2.678e+00, trn/scale 1.014e-01, val/acc 4.571e-01, val/nll 1.781e+00
[2023-02-16 15:53:24] [Epoch    44/  200] trn/loss 1.022e+00, trn/lr 2.663e+00, trn/scale 1.013e-01, val/acc 2.011e-01, val/nll 5.267e+00
[2023-02-16 15:53:32] [Epoch    45/  200] trn/loss 9.978e-01, trn/lr 2.648e+00, trn/scale 1.012e-01, val/acc 2.826e-01, val/nll 3.480e+00
[2023-02-16 15:53:40] [Epoch    46/  200] trn/loss 1.005e+00, trn/lr 2.633e+00, trn/scale 1.010e-01, val/acc 4.238e-01, val/nll 2.255e+00
[2023-02-16 15:53:48] [Epoch    47/  200] trn/loss 9.873e-01, trn/lr 2.617e+00, trn/scale 1.009e-01, val/acc 5.768e-01, val/nll 1.298e+00
[2023-02-16 15:53:56] [Epoch    48/  200] trn/loss 1.005e+00, trn/lr 2.602e+00, trn/scale 1.009e-01, val/acc 5.298e-01, val/nll 1.328e+00
[2023-02-16 15:54:05] [Epoch    49/  200] trn/loss 9.734e-01, trn/lr 2.585e+00, trn/scale 1.008e-01, val/acc 4.293e-01, val/nll 2.242e+00
[2023-02-16 15:54:13] [Epoch    50/  200] trn/loss 9.679e-01, trn/lr 2.569e+00, trn/scale 1.007e-01, val/acc 5.259e-01, val/nll 1.367e+00
[2023-02-16 15:54:21] [Epoch    51/  200] trn/loss 9.906e-01, trn/lr 2.552e+00, trn/scale 1.007e-01, val/acc 3.908e-01, val/nll 2.635e+00
[2023-02-16 15:54:29] [Epoch    52/  200] trn/loss 9.803e-01, trn/lr 2.535e+00, trn/scale 1.006e-01, val/acc 5.153e-01, val/nll 1.360e+00
[2023-02-16 15:54:37] [Epoch    53/  200] trn/loss 9.841e-01, trn/lr 2.518e+00, trn/scale 1.006e-01, val/acc 5.334e-01, val/nll 1.622e+00
[2023-02-16 15:54:45] [Epoch    54/  200] trn/loss 9.720e-01, trn/lr 2.501e+00, trn/scale 1.006e-01, val/acc 5.184e-01, val/nll 1.758e+00
[2023-02-16 15:54:53] [Epoch    55/  200] trn/loss 9.914e-01, trn/lr 2.483e+00, trn/scale 1.006e-01, val/acc 3.680e-01, val/nll 2.635e+00
[2023-02-16 15:55:02] [Epoch    56/  200] trn/loss 9.743e-01, trn/lr 2.465e+00, trn/scale 1.005e-01, val/acc 4.841e-01, val/nll 1.794e+00
[2023-02-16 15:55:10] [Epoch    57/  200] trn/loss 9.782e-01, trn/lr 2.447e+00, trn/scale 1.005e-01, val/acc 1.908e-01, val/nll 3.403e+00
[2023-02-16 15:55:18] [Epoch    58/  200] trn/loss 9.667e-01, trn/lr 2.429e+00, trn/scale 1.005e-01, val/acc 2.699e-01, val/nll 4.628e+00
[2023-02-16 15:55:26] [Epoch    59/  200] trn/loss 9.682e-01, trn/lr 2.410e+00, trn/scale 1.005e-01, val/acc 4.743e-01, val/nll 1.900e+00
[2023-02-16 15:55:34] [Epoch    60/  200] trn/loss 9.631e-01, trn/lr 2.391e+00, trn/scale 1.005e-01, val/acc 3.107e-01, val/nll 2.211e+00
[2023-02-16 15:55:43] [Epoch    61/  200] trn/loss 9.549e-01, trn/lr 2.372e+00, trn/scale 1.005e-01, val/acc 4.173e-01, val/nll 2.494e+00
[2023-02-16 15:55:51] [Epoch    62/  200] trn/loss 9.484e-01, trn/lr 2.353e+00, trn/scale 1.004e-01, val/acc 4.459e-01, val/nll 2.119e+00
[2023-02-16 15:55:59] [Epoch    63/  200] trn/loss 9.637e-01, trn/lr 2.333e+00, trn/scale 1.004e-01, val/acc 4.633e-01, val/nll 1.818e+00
[2023-02-16 15:56:07] [Epoch    64/  200] trn/loss 9.535e-01, trn/lr 2.314e+00, trn/scale 1.004e-01, val/acc 4.962e-01, val/nll 1.684e+00
[2023-02-16 15:56:15] [Epoch    65/  200] trn/loss 9.547e-01, trn/lr 2.294e+00, trn/scale 1.004e-01, val/acc 2.607e-01, val/nll 4.182e+00
[2023-02-16 15:56:23] [Epoch    66/  200] trn/loss 9.576e-01, trn/lr 2.274e+00, trn/scale 1.004e-01, val/acc 4.077e-01, val/nll 2.155e+00
[2023-02-16 15:56:32] [Epoch    67/  200] trn/loss 9.676e-01, trn/lr 2.253e+00, trn/scale 1.004e-01, val/acc 6.580e-01, val/nll 9.952e-01
[2023-02-16 15:56:40] [Epoch    68/  200] trn/loss 9.403e-01, trn/lr 2.233e+00, trn/scale 1.004e-01, val/acc 5.306e-01, val/nll 1.434e+00
[2023-02-16 15:56:48] [Epoch    69/  200] trn/loss 9.359e-01, trn/lr 2.212e+00, trn/scale 1.004e-01, val/acc 5.663e-01, val/nll 1.355e+00
[2023-02-16 15:56:56] [Epoch    70/  200] trn/loss 9.297e-01, trn/lr 2.192e+00, trn/scale 1.004e-01, val/acc 4.602e-01, val/nll 2.768e+00
[2023-02-16 15:57:04] [Epoch    71/  200] trn/loss 9.423e-01, trn/lr 2.171e+00, trn/scale 1.004e-01, val/acc 5.654e-01, val/nll 1.417e+00
[2023-02-16 15:57:13] [Epoch    72/  200] trn/loss 9.350e-01, trn/lr 2.149e+00, trn/scale 1.004e-01, val/acc 5.389e-01, val/nll 1.477e+00
[2023-02-16 15:57:21] [Epoch    73/  200] trn/loss 9.481e-01, trn/lr 2.128e+00, trn/scale 1.004e-01, val/acc 3.397e-01, val/nll 3.502e+00
[2023-02-16 15:57:29] [Epoch    74/  200] trn/loss 9.259e-01, trn/lr 2.107e+00, trn/scale 1.004e-01, val/acc 5.771e-01, val/nll 1.427e+00
[2023-02-16 15:57:37] [Epoch    75/  200] trn/loss 9.276e-01, trn/lr 2.085e+00, trn/scale 1.004e-01, val/acc 5.633e-01, val/nll 1.447e+00
[2023-02-16 15:57:45] [Epoch    76/  200] trn/loss 9.165e-01, trn/lr 2.063e+00, trn/scale 1.004e-01, val/acc 4.969e-01, val/nll 1.849e+00
[2023-02-16 15:57:53] [Epoch    77/  200] trn/loss 9.093e-01, trn/lr 2.041e+00, trn/scale 1.004e-01, val/acc 4.815e-01, val/nll 1.760e+00
[2023-02-16 15:58:02] [Epoch    78/  200] trn/loss 9.060e-01, trn/lr 2.019e+00, trn/scale 1.004e-01, val/acc 3.387e-01, val/nll 2.824e+00
[2023-02-16 15:58:10] [Epoch    79/  200] trn/loss 9.193e-01, trn/lr 1.997e+00, trn/scale 1.004e-01, val/acc 2.190e-01, val/nll 3.812e+00
[2023-02-16 15:58:18] [Epoch    80/  200] trn/loss 8.864e-01, trn/lr 1.975e+00, trn/scale 1.004e-01, val/acc 4.903e-01, val/nll 1.922e+00
[2023-02-16 15:58:26] [Epoch    81/  200] trn/loss 9.094e-01, trn/lr 1.952e+00, trn/scale 1.004e-01, val/acc 5.169e-01, val/nll 1.741e+00
[2023-02-16 15:58:34] [Epoch    82/  200] trn/loss 8.953e-01, trn/lr 1.930e+00, trn/scale 1.004e-01, val/acc 4.873e-01, val/nll 1.762e+00
[2023-02-16 15:58:42] [Epoch    83/  200] trn/loss 8.997e-01, trn/lr 1.907e+00, trn/scale 1.004e-01, val/acc 3.170e-01, val/nll 2.924e+00
[2023-02-16 15:58:51] [Epoch    84/  200] trn/loss 8.884e-01, trn/lr 1.885e+00, trn/scale 1.004e-01, val/acc 5.959e-01, val/nll 1.291e+00
[2023-02-16 15:58:59] [Epoch    85/  200] trn/loss 8.904e-01, trn/lr 1.862e+00, trn/scale 1.004e-01, val/acc 6.369e-01, val/nll 1.054e+00
[2023-02-16 15:59:07] [Epoch    86/  200] trn/loss 8.914e-01, trn/lr 1.839e+00, trn/scale 1.004e-01, val/acc 5.570e-01, val/nll 1.508e+00
[2023-02-16 15:59:15] [Epoch    87/  200] trn/loss 8.889e-01, trn/lr 1.816e+00, trn/scale 1.004e-01, val/acc 4.917e-01, val/nll 1.636e+00
[2023-02-16 15:59:23] [Epoch    88/  200] trn/loss 8.654e-01, trn/lr 1.793e+00, trn/scale 1.004e-01, val/acc 4.379e-01, val/nll 1.883e+00
[2023-02-16 15:59:32] [Epoch    89/  200] trn/loss 8.806e-01, trn/lr 1.770e+00, trn/scale 1.004e-01, val/acc 3.716e-01, val/nll 2.735e+00
[2023-02-16 15:59:40] [Epoch    90/  200] trn/loss 8.685e-01, trn/lr 1.746e+00, trn/scale 1.004e-01, val/acc 4.553e-01, val/nll 2.094e+00
[2023-02-16 15:59:48] [Epoch    91/  200] trn/loss 8.470e-01, trn/lr 1.723e+00, trn/scale 1.004e-01, val/acc 5.900e-01, val/nll 1.281e+00
[2023-02-16 15:59:56] [Epoch    92/  200] trn/loss 8.430e-01, trn/lr 1.700e+00, trn/scale 1.004e-01, val/acc 4.538e-01, val/nll 1.567e+00
[2023-02-16 16:00:04] [Epoch    93/  200] trn/loss 8.630e-01, trn/lr 1.676e+00, trn/scale 1.004e-01, val/acc 6.043e-01, val/nll 1.339e+00
[2023-02-16 16:00:12] [Epoch    94/  200] trn/loss 8.405e-01, trn/lr 1.653e+00, trn/scale 1.004e-01, val/acc 4.602e-01, val/nll 1.680e+00
[2023-02-16 16:00:21] [Epoch    95/  200] trn/loss 8.424e-01, trn/lr 1.630e+00, trn/scale 1.004e-01, val/acc 4.758e-01, val/nll 1.656e+00
[2023-02-16 16:00:29] [Epoch    96/  200] trn/loss 8.372e-01, trn/lr 1.606e+00, trn/scale 1.004e-01, val/acc 4.163e-01, val/nll 2.750e+00
[2023-02-16 16:00:37] [Epoch    97/  200] trn/loss 8.448e-01, trn/lr 1.582e+00, trn/scale 1.004e-01, val/acc 5.091e-01, val/nll 1.673e+00
[2023-02-16 16:00:45] [Epoch    98/  200] trn/loss 8.317e-01, trn/lr 1.559e+00, trn/scale 1.004e-01, val/acc 4.754e-01, val/nll 1.943e+00
[2023-02-16 16:00:53] [Epoch    99/  200] trn/loss 8.354e-01, trn/lr 1.535e+00, trn/scale 1.004e-01, val/acc 6.857e-01, val/nll 9.183e-01
[2023-02-16 16:01:01] [Epoch   100/  200] trn/loss 8.091e-01, trn/lr 1.512e+00, trn/scale 1.004e-01, val/acc 5.513e-01, val/nll 1.917e+00
[2023-02-16 16:01:10] [Epoch   101/  200] trn/loss 8.156e-01, trn/lr 1.488e+00, trn/scale 1.004e-01, val/acc 4.073e-01, val/nll 3.139e+00
[2023-02-16 16:01:18] [Epoch   102/  200] trn/loss 8.170e-01, trn/lr 1.465e+00, trn/scale 1.004e-01, val/acc 6.405e-01, val/nll 1.090e+00
[2023-02-16 16:01:26] [Epoch   103/  200] trn/loss 7.956e-01, trn/lr 1.441e+00, trn/scale 1.004e-01, val/acc 6.187e-01, val/nll 1.203e+00
[2023-02-16 16:01:34] [Epoch   104/  200] trn/loss 8.061e-01, trn/lr 1.418e+00, trn/scale 1.004e-01, val/acc 5.289e-01, val/nll 1.577e+00
[2023-02-16 16:01:42] [Epoch   105/  200] trn/loss 7.846e-01, trn/lr 1.394e+00, trn/scale 1.004e-01, val/acc 5.919e-01, val/nll 1.248e+00
[2023-02-16 16:01:50] [Epoch   106/  200] trn/loss 7.936e-01, trn/lr 1.371e+00, trn/scale 1.004e-01, val/acc 5.907e-01, val/nll 1.245e+00
[2023-02-16 16:01:59] [Epoch   107/  200] trn/loss 7.774e-01, trn/lr 1.347e+00, trn/scale 1.004e-01, val/acc 5.184e-01, val/nll 1.399e+00
