[2023-02-04 17:07:31] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 17:07:31] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.num_cycles        : 30
- args.num_epochs_quiet  : 45
- args.num_epochs_noisy  : 5
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0045-0005_lr-0.0000030_mo-0.90_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 17:08:05] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  4.768e+05, trn/neg_log_likelihood  8.759e+04, trn/neg_log_prior  3.892e+05, trn/lr  2.999e-06, trn/temperature  0.000e+00, val/acc 2.898e-01, val/nll 1.825e+00
[2023-02-04 17:08:10] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  4.338e+05, trn/neg_log_likelihood  7.418e+04, trn/neg_log_prior  3.597e+05, trn/lr  2.993e-06, trn/temperature  0.000e+00, val/acc 3.692e-01, val/nll 1.685e+00
[2023-02-04 17:08:14] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  4.293e+05, trn/neg_log_likelihood  6.996e+04, trn/neg_log_prior  3.593e+05, trn/lr  2.981e-06, trn/temperature  0.000e+00, val/acc 3.900e-01, val/nll 1.633e+00
[2023-02-04 17:08:18] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  4.279e+05, trn/neg_log_likelihood  6.758e+04, trn/neg_log_prior  3.604e+05, trn/lr  2.964e-06, trn/temperature  0.000e+00, val/acc 3.985e-01, val/nll 1.711e+00
[2023-02-04 17:08:23] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  4.274e+05, trn/neg_log_likelihood  6.588e+04, trn/neg_log_prior  3.615e+05, trn/lr  2.940e-06, trn/temperature  0.000e+00, val/acc 4.135e-01, val/nll 1.547e+00
[2023-02-04 17:08:27] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  4.271e+05, trn/neg_log_likelihood  6.466e+04, trn/neg_log_prior  3.624e+05, trn/lr  2.911e-06, trn/temperature  0.000e+00, val/acc 4.223e-01, val/nll 1.557e+00
[2023-02-04 17:08:31] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  4.263e+05, trn/neg_log_likelihood  6.342e+04, trn/neg_log_prior  3.628e+05, trn/lr  2.876e-06, trn/temperature  0.000e+00, val/acc 4.499e-01, val/nll 1.496e+00
[2023-02-04 17:08:36] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  4.259e+05, trn/neg_log_likelihood  6.225e+04, trn/neg_log_prior  3.636e+05, trn/lr  2.836e-06, trn/temperature  0.000e+00, val/acc 4.637e-01, val/nll 1.455e+00
[2023-02-04 17:08:40] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  4.245e+05, trn/neg_log_likelihood  6.004e+04, trn/neg_log_prior  3.645e+05, trn/lr  2.791e-06, trn/temperature  0.000e+00, val/acc 4.966e-01, val/nll 1.353e+00
[2023-02-04 17:08:44] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  4.243e+05, trn/neg_log_likelihood  5.873e+04, trn/neg_log_prior  3.656e+05, trn/lr  2.740e-06, trn/temperature  0.000e+00, val/acc 4.478e-01, val/nll 1.463e+00
[2023-02-04 17:08:49] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  4.231e+05, trn/neg_log_likelihood  5.666e+04, trn/neg_log_prior  3.665e+05, trn/lr  2.685e-06, trn/temperature  0.000e+00, val/acc 5.343e-01, val/nll 1.312e+00
