[2023-02-16 09:58:34] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 09:58:34] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.01
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0100_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 09:58:40] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 10:03:02] [Epoch    24/  200] trn/loss 2.560e+00, trn/lr 2.899e+00, trn/scale 1.220e-01, val/acc 1.007e-01, val/nll 2.412e+00
[2023-02-16 10:03:10] [Epoch    25/  200] trn/loss 2.229e+00, trn/lr 2.890e+00, trn/scale 1.189e-01, val/acc 1.011e-01, val/nll 2.419e+00
[2023-02-16 10:03:18] [Epoch    26/  200] trn/loss 2.296e+00, trn/lr 2.881e+00, trn/scale 1.162e-01, val/acc 9.978e-02, val/nll 2.492e+00
[2023-02-16 10:03:26] [Epoch    27/  200] trn/loss 2.257e+00, trn/lr 2.872e+00, trn/scale 1.140e-01, val/acc 1.402e-01, val/nll 2.286e+00
[2023-02-16 10:03:35] [Epoch    28/  200] trn/loss 2.271e+00, trn/lr 2.862e+00, trn/scale 1.121e-01, val/acc 1.041e-01, val/nll 2.326e+00
[2023-02-16 10:03:43] [Epoch    29/  200] trn/loss 2.329e+00, trn/lr 2.852e+00, trn/scale 1.104e-01, val/acc 9.978e-02, val/nll 2.322e+00
[2023-02-16 10:03:51] [Epoch    30/  200] trn/loss 2.318e+00, trn/lr 2.842e+00, trn/scale 1.090e-01, val/acc 9.281e-02, val/nll 2.328e+00
[2023-02-16 10:03:59] [Epoch    31/  200] trn/loss 2.318e+00, trn/lr 2.831e+00, trn/scale 1.079e-01, val/acc 9.823e-02, val/nll 2.322e+00
[2023-02-16 10:04:08] [Epoch    32/  200] trn/loss 2.319e+00, trn/lr 2.820e+00, trn/scale 1.068e-01, val/acc 9.823e-02, val/nll 2.327e+00
[2023-02-16 10:04:16] [Epoch    33/  200] trn/loss 2.321e+00, trn/lr 2.809e+00, trn/scale 1.060e-01, val/acc 9.856e-02, val/nll 2.312e+00
[2023-02-16 10:04:24] [Epoch    34/  200] trn/loss 2.322e+00, trn/lr 2.797e+00, trn/scale 1.052e-01, val/acc 9.823e-02, val/nll 2.309e+00
[2023-02-16 10:04:32] [Epoch    35/  200] trn/loss 2.320e+00, trn/lr 2.785e+00, trn/scale 1.046e-01, val/acc 9.823e-02, val/nll 2.329e+00
[2023-02-16 10:04:40] [Epoch    36/  200] trn/loss 2.321e+00, trn/lr 2.773e+00, trn/scale 1.041e-01, val/acc 1.044e-01, val/nll 2.321e+00
[2023-02-16 10:04:49] [Epoch    37/  200] trn/loss 2.320e+00, trn/lr 2.760e+00, trn/scale 1.036e-01, val/acc 9.945e-02, val/nll 2.336e+00
[2023-02-16 10:04:57] [Epoch    38/  200] trn/loss 2.322e+00, trn/lr 2.747e+00, trn/scale 1.032e-01, val/acc 1.007e-01, val/nll 2.309e+00
[2023-02-16 10:05:05] [Epoch    39/  200] trn/loss 2.320e+00, trn/lr 2.734e+00, trn/scale 1.029e-01, val/acc 1.007e-01, val/nll 2.312e+00
[2023-02-16 10:05:13] [Epoch    40/  200] trn/loss 2.319e+00, trn/lr 2.720e+00, trn/scale 1.026e-01, val/acc 9.945e-02, val/nll 2.318e+00
[2023-02-16 10:05:22] [Epoch    41/  200] trn/loss 2.320e+00, trn/lr 2.707e+00, trn/scale 1.024e-01, val/acc 9.281e-02, val/nll 2.312e+00
[2023-02-16 10:05:30] [Epoch    42/  200] trn/loss 2.321e+00, trn/lr 2.692e+00, trn/scale 1.022e-01, val/acc 9.281e-02, val/nll 2.324e+00
[2023-02-16 10:05:38] [Epoch    43/  200] trn/loss 2.321e+00, trn/lr 2.678e+00, trn/scale 1.020e-01, val/acc 9.978e-02, val/nll 2.316e+00
[2023-02-16 10:05:46] [Epoch    44/  200] trn/loss 2.321e+00, trn/lr 2.663e+00, trn/scale 1.019e-01, val/acc 9.978e-02, val/nll 2.312e+00
[2023-02-16 10:05:54] [Epoch    45/  200] trn/loss 2.322e+00, trn/lr 2.648e+00, trn/scale 1.017e-01, val/acc 9.281e-02, val/nll 2.323e+00
[2023-02-16 10:06:03] [Epoch    46/  200] trn/loss 2.320e+00, trn/lr 2.633e+00, trn/scale 1.016e-01, val/acc 1.007e-01, val/nll 2.338e+00
[2023-02-16 10:06:11] [Epoch    47/  200] trn/loss 2.322e+00, trn/lr 2.617e+00, trn/scale 1.015e-01, val/acc 9.856e-02, val/nll 2.320e+00
[2023-02-16 10:06:19] [Epoch    48/  200] trn/loss 2.322e+00, trn/lr 2.602e+00, trn/scale 1.015e-01, val/acc 9.978e-02, val/nll 2.317e+00
[2023-02-16 10:06:27] [Epoch    49/  200] trn/loss 2.318e+00, trn/lr 2.585e+00, trn/scale 1.014e-01, val/acc 9.823e-02, val/nll 2.313e+00
[2023-02-16 10:06:36] [Epoch    50/  200] trn/loss 2.322e+00, trn/lr 2.569e+00, trn/scale 1.013e-01, val/acc 9.856e-02, val/nll 2.335e+00
[2023-02-16 10:06:44] [Epoch    51/  200] trn/loss 2.320e+00, trn/lr 2.552e+00, trn/scale 1.013e-01, val/acc 1.044e-01, val/nll 2.321e+00
[2023-02-16 10:06:52] [Epoch    52/  200] trn/loss 2.320e+00, trn/lr 2.535e+00, trn/scale 1.012e-01, val/acc 9.823e-02, val/nll 2.313e+00
[2023-02-16 10:07:00] [Epoch    53/  200] trn/loss 2.319e+00, trn/lr 2.518e+00, trn/scale 1.012e-01, val/acc 9.856e-02, val/nll 2.333e+00
[2023-02-16 10:07:09] [Epoch    54/  200] trn/loss 2.319e+00, trn/lr 2.501e+00, trn/scale 1.012e-01, val/acc 9.978e-02, val/nll 2.315e+00
[2023-02-16 10:07:17] [Epoch    55/  200] trn/loss 2.318e+00, trn/lr 2.483e+00, trn/scale 1.011e-01, val/acc 1.081e-01, val/nll 2.313e+00
[2023-02-16 10:07:25] [Epoch    56/  200] trn/loss 2.320e+00, trn/lr 2.465e+00, trn/scale 1.011e-01, val/acc 1.044e-01, val/nll 2.316e+00
[2023-02-16 10:07:33] [Epoch    57/  200] trn/loss 2.319e+00, trn/lr 2.447e+00, trn/scale 1.011e-01, val/acc 9.978e-02, val/nll 2.320e+00
[2023-02-16 10:07:42] [Epoch    58/  200] trn/loss 2.319e+00, trn/lr 2.429e+00, trn/scale 1.011e-01, val/acc 9.945e-02, val/nll 2.314e+00
[2023-02-16 10:07:50] [Epoch    59/  200] trn/loss 2.319e+00, trn/lr 2.410e+00, trn/scale 1.011e-01, val/acc 1.081e-01, val/nll 2.314e+00
[2023-02-16 10:07:58] [Epoch    60/  200] trn/loss 2.316e+00, trn/lr 2.391e+00, trn/scale 1.011e-01, val/acc 9.281e-02, val/nll 2.325e+00
[2023-02-16 10:08:06] [Epoch    61/  200] trn/loss 2.318e+00, trn/lr 2.372e+00, trn/scale 1.011e-01, val/acc 9.281e-02, val/nll 2.322e+00
[2023-02-16 10:08:14] [Epoch    62/  200] trn/loss 2.320e+00, trn/lr 2.353e+00, trn/scale 1.011e-01, val/acc 1.044e-01, val/nll 2.313e+00
[2023-02-16 10:08:23] [Epoch    63/  200] trn/loss 2.319e+00, trn/lr 2.333e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 2.309e+00
[2023-02-16 10:08:31] [Epoch    64/  200] trn/loss 2.318e+00, trn/lr 2.314e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.322e+00
[2023-02-16 10:08:39] [Epoch    65/  200] trn/loss 2.318e+00, trn/lr 2.294e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.307e+00
[2023-02-16 10:08:47] [Epoch    66/  200] trn/loss 2.319e+00, trn/lr 2.274e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.309e+00
[2023-02-16 10:08:55] [Epoch    67/  200] trn/loss 2.318e+00, trn/lr 2.253e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.317e+00
[2023-02-16 10:09:04] [Epoch    68/  200] trn/loss 2.317e+00, trn/lr 2.233e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.315e+00
[2023-02-16 10:09:12] [Epoch    69/  200] trn/loss 2.318e+00, trn/lr 2.212e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.311e+00
[2023-02-16 10:09:20] [Epoch    70/  200] trn/loss 2.317e+00, trn/lr 2.192e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.313e+00
[2023-02-16 10:09:28] [Epoch    71/  200] trn/loss 2.318e+00, trn/lr 2.171e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.314e+00
[2023-02-16 10:09:37] [Epoch    72/  200] trn/loss 2.318e+00, trn/lr 2.149e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.323e+00
[2023-02-16 10:09:45] [Epoch    73/  200] trn/loss 2.320e+00, trn/lr 2.128e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.344e+00
[2023-02-16 10:09:53] [Epoch    74/  200] trn/loss 2.317e+00, trn/lr 2.107e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.331e+00
[2023-02-16 10:10:01] [Epoch    75/  200] trn/loss 2.317e+00, trn/lr 2.085e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.316e+00
[2023-02-16 10:10:09] [Epoch    76/  200] trn/loss 2.316e+00, trn/lr 2.063e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.314e+00
[2023-02-16 10:10:18] [Epoch    77/  200] trn/loss 2.316e+00, trn/lr 2.041e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.310e+00
[2023-02-16 10:10:26] [Epoch    78/  200] trn/loss 2.317e+00, trn/lr 2.019e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.309e+00
[2023-02-16 10:10:34] [Epoch    79/  200] trn/loss 2.316e+00, trn/lr 1.997e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.318e+00
[2023-02-16 10:10:42] [Epoch    80/  200] trn/loss 2.314e+00, trn/lr 1.975e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.318e+00
[2023-02-16 10:10:51] [Epoch    81/  200] trn/loss 2.315e+00, trn/lr 1.952e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 2.329e+00
[2023-02-16 10:10:59] [Epoch    82/  200] trn/loss 2.315e+00, trn/lr 1.930e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 2.315e+00
[2023-02-16 10:11:07] [Epoch    83/  200] trn/loss 2.314e+00, trn/lr 1.907e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.315e+00
[2023-02-16 10:11:15] [Epoch    84/  200] trn/loss 2.315e+00, trn/lr 1.885e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.311e+00
[2023-02-16 10:11:24] [Epoch    85/  200] trn/loss 2.315e+00, trn/lr 1.862e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 2.315e+00
[2023-02-16 10:11:32] [Epoch    86/  200] trn/loss 2.314e+00, trn/lr 1.839e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 2.317e+00
[2023-02-16 10:11:40] [Epoch    87/  200] trn/loss 2.315e+00, trn/lr 1.816e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.311e+00
[2023-02-16 10:11:48] [Epoch    88/  200] trn/loss 2.316e+00, trn/lr 1.793e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.313e+00
[2023-02-16 10:11:56] [Epoch    89/  200] trn/loss 2.314e+00, trn/lr 1.770e+00, trn/scale 1.010e-01, val/acc 1.044e-01, val/nll 2.310e+00
[2023-02-16 10:12:05] [Epoch    90/  200] trn/loss 2.314e+00, trn/lr 1.746e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.307e+00
[2023-02-16 10:12:13] [Epoch    91/  200] trn/loss 2.314e+00, trn/lr 1.723e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.309e+00
[2023-02-16 10:12:21] [Epoch    92/  200] trn/loss 2.313e+00, trn/lr 1.700e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.319e+00
[2023-02-16 10:12:29] [Epoch    93/  200] trn/loss 2.314e+00, trn/lr 1.676e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.311e+00
[2023-02-16 10:12:38] [Epoch    94/  200] trn/loss 2.313e+00, trn/lr 1.653e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.310e+00
[2023-02-16 10:12:46] [Epoch    95/  200] trn/loss 2.314e+00, trn/lr 1.630e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.317e+00
[2023-02-16 10:12:54] [Epoch    96/  200] trn/loss 2.313e+00, trn/lr 1.606e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.306e+00
[2023-02-16 10:13:02] [Epoch    97/  200] trn/loss 2.314e+00, trn/lr 1.582e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.308e+00
[2023-02-16 10:13:11] [Epoch    98/  200] trn/loss 2.313e+00, trn/lr 1.559e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.306e+00
[2023-02-16 10:13:19] [Epoch    99/  200] trn/loss 2.313e+00, trn/lr 1.535e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.310e+00
[2023-02-16 10:13:27] [Epoch   100/  200] trn/loss 2.313e+00, trn/lr 1.512e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.310e+00
[2023-02-16 10:13:35] [Epoch   101/  200] trn/loss 2.313e+00, trn/lr 1.488e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.314e+00
[2023-02-16 10:13:43] [Epoch   102/  200] trn/loss 2.312e+00, trn/lr 1.465e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.308e+00
[2023-02-16 10:13:52] [Epoch   103/  200] trn/loss 2.311e+00, trn/lr 1.441e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.315e+00
[2023-02-16 10:14:00] [Epoch   104/  200] trn/loss 2.313e+00, trn/lr 1.418e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.316e+00
[2023-02-16 10:14:08] [Epoch   105/  200] trn/loss 2.312e+00, trn/lr 1.394e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.311e+00
[2023-02-16 10:14:16] [Epoch   106/  200] trn/loss 2.312e+00, trn/lr 1.371e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.309e+00
[2023-02-16 10:14:25] [Epoch   107/  200] trn/loss 2.312e+00, trn/lr 1.347e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.311e+00
[2023-02-16 10:14:33] [Epoch   108/  200] trn/loss 2.311e+00, trn/lr 1.324e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 2.306e+00
[2023-02-16 10:14:41] [Epoch   109/  200] trn/loss 2.311e+00, trn/lr 1.300e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.306e+00
[2023-02-16 10:14:49] [Epoch   110/  200] trn/loss 2.311e+00, trn/lr 1.277e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.316e+00
[2023-02-16 10:14:57] [Epoch   111/  200] trn/loss 2.311e+00, trn/lr 1.254e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.308e+00
[2023-02-16 10:15:06] [Epoch   112/  200] trn/loss 2.310e+00, trn/lr 1.231e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.313e+00
[2023-02-16 10:15:14] [Epoch   113/  200] trn/loss 2.311e+00, trn/lr 1.207e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.319e+00
[2023-02-16 10:15:22] [Epoch   114/  200] trn/loss 2.311e+00, trn/lr 1.184e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.308e+00
[2023-02-16 10:15:30] [Epoch   115/  200] trn/loss 2.310e+00, trn/lr 1.161e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 2.310e+00
[2023-02-16 10:15:39] [Epoch   116/  200] trn/loss 2.311e+00, trn/lr 1.138e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.305e+00
[2023-02-16 10:15:47] [Epoch   117/  200] trn/loss 2.309e+00, trn/lr 1.116e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.312e+00
[2023-02-16 10:15:55] [Epoch   118/  200] trn/loss 2.309e+00, trn/lr 1.093e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.315e+00
[2023-02-16 10:16:03] [Epoch   119/  200] trn/loss 2.309e+00, trn/lr 1.070e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.310e+00
[2023-02-16 10:16:12] [Epoch   120/  200] trn/loss 2.309e+00, trn/lr 1.048e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.313e+00
[2023-02-16 10:16:20] [Epoch   121/  200] trn/loss 2.309e+00, trn/lr 1.025e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.312e+00
[2023-02-16 10:16:28] [Epoch   122/  200] trn/loss 2.309e+00, trn/lr 1.003e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.317e+00
[2023-02-16 10:16:36] [Epoch   123/  200] trn/loss 2.309e+00, trn/lr 9.809e-01, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.308e+00
[2023-02-16 10:16:45] [Epoch   124/  200] trn/loss 2.309e+00, trn/lr 9.589e-01, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.318e+00
