[2023-02-05 06:13:39] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-05 06:13:39] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 50
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0050_lr-0.0000003_mo-0.99_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 06:15:23] [Cycle   1/ 30][Epoch  18/ 50] trn/posterior_energy  1.096e+04, trn/neg_log_likelihood  3.614e+04, trn/neg_log_prior -2.518e+04, trn/lr  2.181e-07, trn/temperature  1.000e+00, val/acc 6.701e-01, val/nll 9.211e-01
[2023-02-05 06:15:27] [Cycle   1/ 30][Epoch  19/ 50] trn/posterior_energy  1.322e+04, trn/neg_log_likelihood  3.608e+04, trn/neg_log_prior -2.286e+04, trn/lr  2.096e-07, trn/temperature  1.000e+00, val/acc 6.739e-01, val/nll 9.119e-01
[2023-02-05 06:15:31] [Cycle   1/ 30][Epoch  20/ 50] trn/posterior_energy  1.523e+04, trn/neg_log_likelihood  3.600e+04, trn/neg_log_prior -2.077e+04, trn/lr  2.008e-07, trn/temperature  1.000e+00, val/acc 6.666e-01, val/nll 9.259e-01
[2023-02-05 06:15:35] [Cycle   1/ 30][Epoch  21/ 50] trn/posterior_energy  1.610e+04, trn/neg_log_likelihood  3.491e+04, trn/neg_log_prior -1.882e+04, trn/lr  1.919e-07, trn/temperature  1.000e+00, val/acc 6.816e-01, val/nll 9.080e-01
[2023-02-05 06:15:39] [Cycle   1/ 30][Epoch  22/ 50] trn/posterior_energy  1.726e+04, trn/neg_log_likelihood  3.435e+04, trn/neg_log_prior -1.709e+04, trn/lr  1.827e-07, trn/temperature  1.000e+00, val/acc 6.841e-01, val/nll 9.004e-01
[2023-02-05 06:15:43] [Cycle   1/ 30][Epoch  23/ 50] trn/posterior_energy  1.862e+04, trn/neg_log_likelihood  3.417e+04, trn/neg_log_prior -1.555e+04, trn/lr  1.735e-07, trn/temperature  1.000e+00, val/acc 6.841e-01, val/nll 8.946e-01
[2023-02-05 06:15:47] [Cycle   1/ 30][Epoch  24/ 50] trn/posterior_energy  1.926e+04, trn/neg_log_likelihood  3.332e+04, trn/neg_log_prior -1.406e+04, trn/lr  1.641e-07, trn/temperature  1.000e+00, val/acc 6.868e-01, val/nll 9.002e-01
[2023-02-05 06:15:51] [Cycle   1/ 30][Epoch  25/ 50] trn/posterior_energy  1.989e+04, trn/neg_log_likelihood  3.274e+04, trn/neg_log_prior -1.285e+04, trn/lr  1.547e-07, trn/temperature  1.000e+00, val/acc 6.885e-01, val/nll 8.808e-01
[2023-02-05 06:15:56] [Cycle   1/ 30][Epoch  26/ 50] trn/posterior_energy  1.981e+04, trn/neg_log_likelihood  3.156e+04, trn/neg_log_prior -1.175e+04, trn/lr  1.453e-07, trn/temperature  1.000e+00, val/acc 7.054e-01, val/nll 8.307e-01
[2023-02-05 06:16:00] [Cycle   1/ 30][Epoch  27/ 50] trn/posterior_energy  2.105e+04, trn/neg_log_likelihood  3.184e+04, trn/neg_log_prior -1.079e+04, trn/lr  1.359e-07, trn/temperature  1.000e+00, val/acc 7.084e-01, val/nll 8.228e-01
[2023-02-05 06:16:04] [Cycle   1/ 30][Epoch  28/ 50] trn/posterior_energy  2.103e+04, trn/neg_log_likelihood  3.094e+04, trn/neg_log_prior -9.912e+03, trn/lr  1.265e-07, trn/temperature  1.000e+00, val/acc 7.012e-01, val/nll 8.497e-01
