[2023-02-06 11:17:06] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-06 11:17:06] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 100
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0100_lr-0.0000030_mo-0.97_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 11:17:46] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  3.383e+05, trn/neg_log_likelihood  8.761e+04, trn/neg_log_prior  2.507e+05, trn/lr  3.000e-06, trn/temperature  1.000e+00, val/acc 2.564e-01, val/nll 2.013e+00
[2023-02-06 11:17:51] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  3.728e+05, trn/neg_log_likelihood  7.597e+04, trn/neg_log_prior  2.968e+05, trn/lr  2.998e-06, trn/temperature  1.000e+00, val/acc 3.506e-01, val/nll 1.756e+00
[2023-02-06 11:17:57] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  3.758e+05, trn/neg_log_likelihood  7.231e+04, trn/neg_log_prior  3.035e+05, trn/lr  2.995e-06, trn/temperature  1.000e+00, val/acc 3.923e-01, val/nll 1.649e+00
[2023-02-06 11:18:02] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  3.746e+05, trn/neg_log_likelihood  7.031e+04, trn/neg_log_prior  3.043e+05, trn/lr  2.991e-06, trn/temperature  1.000e+00, val/acc 4.114e-01, val/nll 1.611e+00
[2023-02-06 11:18:07] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  3.731e+05, trn/neg_log_likelihood  6.856e+04, trn/neg_log_prior  3.045e+05, trn/lr  2.985e-06, trn/temperature  1.000e+00, val/acc 3.909e-01, val/nll 1.615e+00
[2023-02-06 11:18:12] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  3.747e+05, trn/neg_log_likelihood  6.941e+04, trn/neg_log_prior  3.053e+05, trn/lr  2.978e-06, trn/temperature  1.000e+00, val/acc 3.811e-01, val/nll 1.690e+00
[2023-02-06 11:18:18] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  3.732e+05, trn/neg_log_likelihood  6.801e+04, trn/neg_log_prior  3.052e+05, trn/lr  2.969e-06, trn/temperature  1.000e+00, val/acc 3.605e-01, val/nll 1.692e+00
[2023-02-06 11:18:23] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  3.719e+05, trn/neg_log_likelihood  6.729e+04, trn/neg_log_prior  3.046e+05, trn/lr  2.959e-06, trn/temperature  1.000e+00, val/acc 3.627e-01, val/nll 1.663e+00
[2023-02-06 11:18:28] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  3.717e+05, trn/neg_log_likelihood  6.723e+04, trn/neg_log_prior  3.044e+05, trn/lr  2.947e-06, trn/temperature  1.000e+00, val/acc 3.498e-01, val/nll 1.754e+00
[2023-02-06 11:18:33] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  3.727e+05, trn/neg_log_likelihood  6.707e+04, trn/neg_log_prior  3.056e+05, trn/lr  2.934e-06, trn/temperature  1.000e+00, val/acc 4.313e-01, val/nll 1.561e+00
[2023-02-06 11:18:39] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  3.712e+05, trn/neg_log_likelihood  6.606e+04, trn/neg_log_prior  3.051e+05, trn/lr  2.919e-06, trn/temperature  1.000e+00, val/acc 4.393e-01, val/nll 1.541e+00
[2023-02-06 11:18:44] [Cycle   1/ 30][Epoch  12/100] trn/posterior_energy  3.715e+05, trn/neg_log_likelihood  6.580e+04, trn/neg_log_prior  3.057e+05, trn/lr  2.903e-06, trn/temperature  1.000e+00, val/acc 4.079e-01, val/nll 1.587e+00
[2023-02-06 11:18:49] [Cycle   1/ 30][Epoch  13/100] trn/posterior_energy  3.706e+05, trn/neg_log_likelihood  6.469e+04, trn/neg_log_prior  3.059e+05, trn/lr  2.886e-06, trn/temperature  1.000e+00, val/acc 4.128e-01, val/nll 1.575e+00
[2023-02-06 11:18:55] [Cycle   1/ 30][Epoch  14/100] trn/posterior_energy  3.707e+05, trn/neg_log_likelihood  6.482e+04, trn/neg_log_prior  3.059e+05, trn/lr  2.867e-06, trn/temperature  1.000e+00, val/acc 4.160e-01, val/nll 1.573e+00
[2023-02-06 11:19:00] [Cycle   1/ 30][Epoch  15/100] trn/posterior_energy  3.711e+05, trn/neg_log_likelihood  6.510e+04, trn/neg_log_prior  3.060e+05, trn/lr  2.847e-06, trn/temperature  1.000e+00, val/acc 4.324e-01, val/nll 1.555e+00
[2023-02-06 11:19:05] [Cycle   1/ 30][Epoch  16/100] trn/posterior_energy  3.698e+05, trn/neg_log_likelihood  6.375e+04, trn/neg_log_prior  3.060e+05, trn/lr  2.826e-06, trn/temperature  1.000e+00, val/acc 4.323e-01, val/nll 1.541e+00
[2023-02-06 11:19:10] [Cycle   1/ 30][Epoch  17/100] trn/posterior_energy  3.702e+05, trn/neg_log_likelihood  6.429e+04, trn/neg_log_prior  3.059e+05, trn/lr  2.803e-06, trn/temperature  1.000e+00, val/acc 4.310e-01, val/nll 1.539e+00
[2023-02-06 11:19:16] [Cycle   1/ 30][Epoch  18/100] trn/posterior_energy  3.700e+05, trn/neg_log_likelihood  6.399e+04, trn/neg_log_prior  3.060e+05, trn/lr  2.779e-06, trn/temperature  1.000e+00, val/acc 4.459e-01, val/nll 1.506e+00
[2023-02-06 11:19:21] [Cycle   1/ 30][Epoch  19/100] trn/posterior_energy  3.694e+05, trn/neg_log_likelihood  6.323e+04, trn/neg_log_prior  3.062e+05, trn/lr  2.754e-06, trn/temperature  1.000e+00, val/acc 4.346e-01, val/nll 1.534e+00
[2023-02-06 11:19:26] [Cycle   1/ 30][Epoch  20/100] trn/posterior_energy  3.695e+05, trn/neg_log_likelihood  6.312e+04, trn/neg_log_prior  3.063e+05, trn/lr  2.727e-06, trn/temperature  1.000e+00, val/acc 4.595e-01, val/nll 1.476e+00
[2023-02-06 11:19:31] [Cycle   1/ 30][Epoch  21/100] trn/posterior_energy  3.693e+05, trn/neg_log_likelihood  6.314e+04, trn/neg_log_prior  3.062e+05, trn/lr  2.700e-06, trn/temperature  1.000e+00, val/acc 4.274e-01, val/nll 1.544e+00
[2023-02-06 11:19:36] [Cycle   1/ 30][Epoch  22/100] trn/posterior_energy  3.693e+05, trn/neg_log_likelihood  6.298e+04, trn/neg_log_prior  3.063e+05, trn/lr  2.671e-06, trn/temperature  1.000e+00, val/acc 3.888e-01, val/nll 1.633e+00
[2023-02-06 11:19:42] [Cycle   1/ 30][Epoch  23/100] trn/posterior_energy  3.697e+05, trn/neg_log_likelihood  6.338e+04, trn/neg_log_prior  3.064e+05, trn/lr  2.641e-06, trn/temperature  1.000e+00, val/acc 4.548e-01, val/nll 1.478e+00
[2023-02-06 11:19:47] [Cycle   1/ 30][Epoch  24/100] trn/posterior_energy  3.685e+05, trn/neg_log_likelihood  6.235e+04, trn/neg_log_prior  3.062e+05, trn/lr  2.609e-06, trn/temperature  1.000e+00, val/acc 4.163e-01, val/nll 1.573e+00
[2023-02-06 11:19:52] [Cycle   1/ 30][Epoch  25/100] trn/posterior_energy  3.690e+05, trn/neg_log_likelihood  6.257e+04, trn/neg_log_prior  3.064e+05, trn/lr  2.577e-06, trn/temperature  1.000e+00, val/acc 4.561e-01, val/nll 1.490e+00
[2023-02-06 11:19:58] [Cycle   1/ 30][Epoch  26/100] trn/posterior_energy  3.681e+05, trn/neg_log_likelihood  6.202e+04, trn/neg_log_prior  3.061e+05, trn/lr  2.544e-06, trn/temperature  1.000e+00, val/acc 4.223e-01, val/nll 1.566e+00
[2023-02-06 11:20:03] [Cycle   1/ 30][Epoch  27/100] trn/posterior_energy  3.691e+05, trn/neg_log_likelihood  6.234e+04, trn/neg_log_prior  3.068e+05, trn/lr  2.510e-06, trn/temperature  1.000e+00, val/acc 4.532e-01, val/nll 1.495e+00
[2023-02-06 11:20:08] [Cycle   1/ 30][Epoch  28/100] trn/posterior_energy  3.684e+05, trn/neg_log_likelihood  6.186e+04, trn/neg_log_prior  3.065e+05, trn/lr  2.474e-06, trn/temperature  1.000e+00, val/acc 4.656e-01, val/nll 1.461e+00
[2023-02-06 11:20:13] [Cycle   1/ 30][Epoch  29/100] trn/posterior_energy  3.681e+05, trn/neg_log_likelihood  6.191e+04, trn/neg_log_prior  3.062e+05, trn/lr  2.438e-06, trn/temperature  1.000e+00, val/acc 4.582e-01, val/nll 1.475e+00
[2023-02-06 11:20:18] [Cycle   1/ 30][Epoch  30/100] trn/posterior_energy  3.677e+05, trn/neg_log_likelihood  6.145e+04, trn/neg_log_prior  3.062e+05, trn/lr  2.401e-06, trn/temperature  1.000e+00, val/acc 4.529e-01, val/nll 1.457e+00
[2023-02-06 11:20:24] [Cycle   1/ 30][Epoch  31/100] trn/posterior_energy  3.667e+05, trn/neg_log_likelihood  6.065e+04, trn/neg_log_prior  3.061e+05, trn/lr  2.363e-06, trn/temperature  1.000e+00, val/acc 4.511e-01, val/nll 1.478e+00
[2023-02-06 11:20:29] [Cycle   1/ 30][Epoch  32/100] trn/posterior_energy  3.669e+05, trn/neg_log_likelihood  6.051e+04, trn/neg_log_prior  3.064e+05, trn/lr  2.324e-06, trn/temperature  1.000e+00, val/acc 4.409e-01, val/nll 1.535e+00
[2023-02-06 11:20:34] [Cycle   1/ 30][Epoch  33/100] trn/posterior_energy  3.682e+05, trn/neg_log_likelihood  6.133e+04, trn/neg_log_prior  3.068e+05, trn/lr  2.284e-06, trn/temperature  1.000e+00, val/acc 4.796e-01, val/nll 1.397e+00
[2023-02-06 11:20:39] [Cycle   1/ 30][Epoch  34/100] trn/posterior_energy  3.668e+05, trn/neg_log_likelihood  6.005e+04, trn/neg_log_prior  3.068e+05, trn/lr  2.243e-06, trn/temperature  1.000e+00, val/acc 4.927e-01, val/nll 1.394e+00
[2023-02-06 11:20:45] [Cycle   1/ 30][Epoch  35/100] trn/posterior_energy  3.671e+05, trn/neg_log_likelihood  6.023e+04, trn/neg_log_prior  3.068e+05, trn/lr  2.202e-06, trn/temperature  1.000e+00, val/acc 4.670e-01, val/nll 1.418e+00
[2023-02-06 11:20:50] [Cycle   1/ 30][Epoch  36/100] trn/posterior_energy  3.670e+05, trn/neg_log_likelihood  6.007e+04, trn/neg_log_prior  3.069e+05, trn/lr  2.160e-06, trn/temperature  1.000e+00, val/acc 4.063e-01, val/nll 1.632e+00
[2023-02-06 11:20:55] [Cycle   1/ 30][Epoch  37/100] trn/posterior_energy  3.656e+05, trn/neg_log_likelihood  5.883e+04, trn/neg_log_prior  3.068e+05, trn/lr  2.117e-06, trn/temperature  1.000e+00, val/acc 4.541e-01, val/nll 1.512e+00
[2023-02-06 11:21:00] [Cycle   1/ 30][Epoch  38/100] trn/posterior_energy  3.660e+05, trn/neg_log_likelihood  5.900e+04, trn/neg_log_prior  3.070e+05, trn/lr  2.074e-06, trn/temperature  1.000e+00, val/acc 4.414e-01, val/nll 1.553e+00
[2023-02-06 11:21:06] [Cycle   1/ 30][Epoch  39/100] trn/posterior_energy  3.663e+05, trn/neg_log_likelihood  5.933e+04, trn/neg_log_prior  3.069e+05, trn/lr  2.030e-06, trn/temperature  1.000e+00, val/acc 4.723e-01, val/nll 1.429e+00
[2023-02-06 11:21:11] [Cycle   1/ 30][Epoch  40/100] trn/posterior_energy  3.656e+05, trn/neg_log_likelihood  5.838e+04, trn/neg_log_prior  3.072e+05, trn/lr  1.986e-06, trn/temperature  1.000e+00, val/acc 5.084e-01, val/nll 1.356e+00
[2023-02-06 11:21:16] [Cycle   1/ 30][Epoch  41/100] trn/posterior_energy  3.641e+05, trn/neg_log_likelihood  5.699e+04, trn/neg_log_prior  3.072e+05, trn/lr  1.941e-06, trn/temperature  1.000e+00, val/acc 5.012e-01, val/nll 1.371e+00
[2023-02-06 11:21:21] [Cycle   1/ 30][Epoch  42/100] trn/posterior_energy  3.644e+05, trn/neg_log_likelihood  5.684e+04, trn/neg_log_prior  3.076e+05, trn/lr  1.896e-06, trn/temperature  1.000e+00, val/acc 5.152e-01, val/nll 1.305e+00
[2023-02-06 11:21:27] [Cycle   1/ 30][Epoch  43/100] trn/posterior_energy  3.629e+05, trn/neg_log_likelihood  5.601e+04, trn/neg_log_prior  3.069e+05, trn/lr  1.850e-06, trn/temperature  1.000e+00, val/acc 4.850e-01, val/nll 1.424e+00
[2023-02-06 11:21:32] [Cycle   1/ 30][Epoch  44/100] trn/posterior_energy  3.643e+05, trn/neg_log_likelihood  5.635e+04, trn/neg_log_prior  3.079e+05, trn/lr  1.804e-06, trn/temperature  1.000e+00, val/acc 5.202e-01, val/nll 1.307e+00
[2023-02-06 11:21:37] [Cycle   1/ 30][Epoch  45/100] trn/posterior_energy  3.639e+05, trn/neg_log_likelihood  5.566e+04, trn/neg_log_prior  3.082e+05, trn/lr  1.758e-06, trn/temperature  1.000e+00, val/acc 4.639e-01, val/nll 1.462e+00
[2023-02-06 11:21:43] [Cycle   1/ 30][Epoch  46/100] trn/posterior_energy  3.619e+05, trn/neg_log_likelihood  5.412e+04, trn/neg_log_prior  3.078e+05, trn/lr  1.711e-06, trn/temperature  1.000e+00, val/acc 5.252e-01, val/nll 1.317e+00
[2023-02-06 11:21:48] [Cycle   1/ 30][Epoch  47/100] trn/posterior_energy  3.621e+05, trn/neg_log_likelihood  5.395e+04, trn/neg_log_prior  3.081e+05, trn/lr  1.665e-06, trn/temperature  1.000e+00, val/acc 5.250e-01, val/nll 1.323e+00
[2023-02-06 11:21:53] [Cycle   1/ 30][Epoch  48/100] trn/posterior_energy  3.620e+05, trn/neg_log_likelihood  5.371e+04, trn/neg_log_prior  3.083e+05, trn/lr  1.618e-06, trn/temperature  1.000e+00, val/acc 5.473e-01, val/nll 1.253e+00
[2023-02-06 11:21:58] [Cycle   1/ 30][Epoch  49/100] trn/posterior_energy  3.613e+05, trn/neg_log_likelihood  5.293e+04, trn/neg_log_prior  3.084e+05, trn/lr  1.571e-06, trn/temperature  1.000e+00, val/acc 5.600e-01, val/nll 1.259e+00
[2023-02-06 11:22:03] [Cycle   1/ 30][Epoch  50/100] trn/posterior_energy  3.606e+05, trn/neg_log_likelihood  5.247e+04, trn/neg_log_prior  3.082e+05, trn/lr  1.524e-06, trn/temperature  1.000e+00, val/acc 5.251e-01, val/nll 1.331e+00
[2023-02-06 11:22:09] [Cycle   1/ 30][Epoch  51/100] trn/posterior_energy  3.593e+05, trn/neg_log_likelihood  5.127e+04, trn/neg_log_prior  3.080e+05, trn/lr  1.476e-06, trn/temperature  1.000e+00, val/acc 5.751e-01, val/nll 1.177e+00
[2023-02-06 11:22:14] [Cycle   1/ 30][Epoch  52/100] trn/posterior_energy  3.589e+05, trn/neg_log_likelihood  5.083e+04, trn/neg_log_prior  3.081e+05, trn/lr  1.429e-06, trn/temperature  1.000e+00, val/acc 5.635e-01, val/nll 1.202e+00
[2023-02-06 11:22:19] [Cycle   1/ 30][Epoch  53/100] trn/posterior_energy  3.573e+05, trn/neg_log_likelihood  4.898e+04, trn/neg_log_prior  3.083e+05, trn/lr  1.382e-06, trn/temperature  1.000e+00, val/acc 5.478e-01, val/nll 1.226e+00
[2023-02-06 11:22:24] [Cycle   1/ 30][Epoch  54/100] trn/posterior_energy  3.580e+05, trn/neg_log_likelihood  4.947e+04, trn/neg_log_prior  3.086e+05, trn/lr  1.335e-06, trn/temperature  1.000e+00, val/acc 6.001e-01, val/nll 1.131e+00
[2023-02-06 11:22:30] [Cycle   1/ 30][Epoch  55/100] trn/posterior_energy  3.565e+05, trn/neg_log_likelihood  4.851e+04, trn/neg_log_prior  3.080e+05, trn/lr  1.289e-06, trn/temperature  1.000e+00, val/acc 5.590e-01, val/nll 1.225e+00
[2023-02-06 11:22:35] [Cycle   1/ 30][Epoch  56/100] trn/posterior_energy  3.574e+05, trn/neg_log_likelihood  4.903e+04, trn/neg_log_prior  3.084e+05, trn/lr  1.242e-06, trn/temperature  1.000e+00, val/acc 5.956e-01, val/nll 1.148e+00
[2023-02-06 11:22:40] [Cycle   1/ 30][Epoch  57/100] trn/posterior_energy  3.549e+05, trn/neg_log_likelihood  4.685e+04, trn/neg_log_prior  3.081e+05, trn/lr  1.196e-06, trn/temperature  1.000e+00, val/acc 5.916e-01, val/nll 1.144e+00
[2023-02-06 11:22:45] [Cycle   1/ 30][Epoch  58/100] trn/posterior_energy  3.544e+05, trn/neg_log_likelihood  4.642e+04, trn/neg_log_prior  3.080e+05, trn/lr  1.150e-06, trn/temperature  1.000e+00, val/acc 6.051e-01, val/nll 1.110e+00
[2023-02-06 11:22:51] [Cycle   1/ 30][Epoch  59/100] trn/posterior_energy  3.554e+05, trn/neg_log_likelihood  4.707e+04, trn/neg_log_prior  3.083e+05, trn/lr  1.104e-06, trn/temperature  1.000e+00, val/acc 5.896e-01, val/nll 1.157e+00
[2023-02-06 11:22:56] [Cycle   1/ 30][Epoch  60/100] trn/posterior_energy  3.533e+05, trn/neg_log_likelihood  4.483e+04, trn/neg_log_prior  3.085e+05, trn/lr  1.059e-06, trn/temperature  1.000e+00, val/acc 6.226e-01, val/nll 1.063e+00
[2023-02-06 11:23:01] [Cycle   1/ 30][Epoch  61/100] trn/posterior_energy  3.530e+05, trn/neg_log_likelihood  4.486e+04, trn/neg_log_prior  3.082e+05, trn/lr  1.014e-06, trn/temperature  1.000e+00, val/acc 5.956e-01, val/nll 1.129e+00
[2023-02-06 11:23:06] [Cycle   1/ 30][Epoch  62/100] trn/posterior_energy  3.527e+05, trn/neg_log_likelihood  4.446e+04, trn/neg_log_prior  3.083e+05, trn/lr  9.699e-07, trn/temperature  1.000e+00, val/acc 6.115e-01, val/nll 1.084e+00
[2023-02-06 11:23:11] [Cycle   1/ 30][Epoch  63/100] trn/posterior_energy  3.517e+05, trn/neg_log_likelihood  4.364e+04, trn/neg_log_prior  3.081e+05, trn/lr  9.260e-07, trn/temperature  1.000e+00, val/acc 6.054e-01, val/nll 1.088e+00
[2023-02-06 11:23:17] [Cycle   1/ 30][Epoch  64/100] trn/posterior_energy  3.517e+05, trn/neg_log_likelihood  4.367e+04, trn/neg_log_prior  3.080e+05, trn/lr  8.828e-07, trn/temperature  1.000e+00, val/acc 6.240e-01, val/nll 1.045e+00
[2023-02-06 11:23:22] [Cycle   1/ 30][Epoch  65/100] trn/posterior_energy  3.516e+05, trn/neg_log_likelihood  4.363e+04, trn/neg_log_prior  3.080e+05, trn/lr  8.402e-07, trn/temperature  1.000e+00, val/acc 6.343e-01, val/nll 1.048e+00
[2023-02-06 11:23:27] [Cycle   1/ 30][Epoch  66/100] trn/posterior_energy  3.508e+05, trn/neg_log_likelihood  4.317e+04, trn/neg_log_prior  3.077e+05, trn/lr  7.982e-07, trn/temperature  1.000e+00, val/acc 6.544e-01, val/nll 9.676e-01
[2023-02-06 11:23:33] [Cycle   1/ 30][Epoch  67/100] trn/posterior_energy  3.483e+05, trn/neg_log_likelihood  4.098e+04, trn/neg_log_prior  3.074e+05, trn/lr  7.569e-07, trn/temperature  1.000e+00, val/acc 6.322e-01, val/nll 1.039e+00
[2023-02-06 11:23:38] [Cycle   1/ 30][Epoch  68/100] trn/posterior_energy  3.482e+05, trn/neg_log_likelihood  4.138e+04, trn/neg_log_prior  3.068e+05, trn/lr  7.163e-07, trn/temperature  1.000e+00, val/acc 6.559e-01, val/nll 9.781e-01
[2023-02-06 11:23:43] [Cycle   1/ 30][Epoch  69/100] trn/posterior_energy  3.476e+05, trn/neg_log_likelihood  4.080e+04, trn/neg_log_prior  3.068e+05, trn/lr  6.765e-07, trn/temperature  1.000e+00, val/acc 6.134e-01, val/nll 1.064e+00
[2023-02-06 11:23:48] [Cycle   1/ 30][Epoch  70/100] trn/posterior_energy  3.475e+05, trn/neg_log_likelihood  4.048e+04, trn/neg_log_prior  3.070e+05, trn/lr  6.376e-07, trn/temperature  1.000e+00, val/acc 6.221e-01, val/nll 1.047e+00
[2023-02-06 11:23:53] [Cycle   1/ 30][Epoch  71/100] trn/posterior_energy  3.476e+05, trn/neg_log_likelihood  4.042e+04, trn/neg_log_prior  3.072e+05, trn/lr  5.994e-07, trn/temperature  1.000e+00, val/acc 6.634e-01, val/nll 9.490e-01
[2023-02-06 11:23:59] [Cycle   1/ 30][Epoch  72/100] trn/posterior_energy  3.466e+05, trn/neg_log_likelihood  3.938e+04, trn/neg_log_prior  3.072e+05, trn/lr  5.622e-07, trn/temperature  1.000e+00, val/acc 6.268e-01, val/nll 1.057e+00
[2023-02-06 11:24:04] [Cycle   1/ 30][Epoch  73/100] trn/posterior_energy  3.463e+05, trn/neg_log_likelihood  3.968e+04, trn/neg_log_prior  3.066e+05, trn/lr  5.259e-07, trn/temperature  1.000e+00, val/acc 6.615e-01, val/nll 9.604e-01
