[2023-02-06 13:13:32] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-06 13:13:32] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000030_mo-0.97_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 13:15:20] [Cycle   1/ 30][Epoch  18/ 50] trn/posterior_energy  2.267e+05, trn/neg_log_likelihood  5.241e+04, trn/neg_log_prior  1.743e+05, trn/lr  2.181e-06, trn/temperature  0.000e+00, val/acc 5.387e-01, val/nll 1.267e+00
[2023-02-06 13:15:24] [Cycle   1/ 30][Epoch  19/ 50] trn/posterior_energy  2.255e+05, trn/neg_log_likelihood  5.084e+04, trn/neg_log_prior  1.747e+05, trn/lr  2.096e-06, trn/temperature  0.000e+00, val/acc 5.602e-01, val/nll 1.227e+00
[2023-02-06 13:15:28] [Cycle   1/ 30][Epoch  20/ 50] trn/posterior_energy  2.239e+05, trn/neg_log_likelihood  4.870e+04, trn/neg_log_prior  1.752e+05, trn/lr  2.008e-06, trn/temperature  0.000e+00, val/acc 5.640e-01, val/nll 1.249e+00
[2023-02-06 13:15:33] [Cycle   1/ 30][Epoch  21/ 50] trn/posterior_energy  2.242e+05, trn/neg_log_likelihood  4.845e+04, trn/neg_log_prior  1.758e+05, trn/lr  1.919e-06, trn/temperature  0.000e+00, val/acc 5.985e-01, val/nll 1.139e+00
[2023-02-06 13:15:37] [Cycle   1/ 30][Epoch  22/ 50] trn/posterior_energy  2.215e+05, trn/neg_log_likelihood  4.568e+04, trn/neg_log_prior  1.759e+05, trn/lr  1.827e-06, trn/temperature  0.000e+00, val/acc 5.832e-01, val/nll 1.170e+00
[2023-02-06 13:15:41] [Cycle   1/ 30][Epoch  23/ 50] trn/posterior_energy  2.208e+05, trn/neg_log_likelihood  4.471e+04, trn/neg_log_prior  1.761e+05, trn/lr  1.735e-06, trn/temperature  0.000e+00, val/acc 6.066e-01, val/nll 1.103e+00
[2023-02-06 13:15:46] [Cycle   1/ 30][Epoch  24/ 50] trn/posterior_energy  2.192e+05, trn/neg_log_likelihood  4.319e+04, trn/neg_log_prior  1.760e+05, trn/lr  1.641e-06, trn/temperature  0.000e+00, val/acc 6.103e-01, val/nll 1.095e+00
[2023-02-06 13:15:50] [Cycle   1/ 30][Epoch  25/ 50] trn/posterior_energy  2.186e+05, trn/neg_log_likelihood  4.222e+04, trn/neg_log_prior  1.764e+05, trn/lr  1.547e-06, trn/temperature  0.000e+00, val/acc 6.417e-01, val/nll 1.013e+00
[2023-02-06 13:15:54] [Cycle   1/ 30][Epoch  26/ 50] trn/posterior_energy  2.179e+05, trn/neg_log_likelihood  4.130e+04, trn/neg_log_prior  1.766e+05, trn/lr  1.453e-06, trn/temperature  0.000e+00, val/acc 6.294e-01, val/nll 1.036e+00
[2023-02-06 13:15:59] [Cycle   1/ 30][Epoch  27/ 50] trn/posterior_energy  2.148e+05, trn/neg_log_likelihood  3.852e+04, trn/neg_log_prior  1.763e+05, trn/lr  1.359e-06, trn/temperature  0.000e+00, val/acc 6.519e-01, val/nll 9.869e-01
[2023-02-06 13:16:03] [Cycle   1/ 30][Epoch  28/ 50] trn/posterior_energy  2.158e+05, trn/neg_log_likelihood  3.934e+04, trn/neg_log_prior  1.764e+05, trn/lr  1.265e-06, trn/temperature  0.000e+00, val/acc 6.944e-01, val/nll 8.842e-01
[2023-02-06 13:16:07] [Cycle   1/ 30][Epoch  29/ 50] trn/posterior_energy  2.128e+05, trn/neg_log_likelihood  3.662e+04, trn/neg_log_prior  1.762e+05, trn/lr  1.173e-06, trn/temperature  0.000e+00, val/acc 6.574e-01, val/nll 9.738e-01
[2023-02-06 13:16:11] [Cycle   1/ 30][Epoch  30/ 50] trn/posterior_energy  2.123e+05, trn/neg_log_likelihood  3.623e+04, trn/neg_log_prior  1.761e+05, trn/lr  1.082e-06, trn/temperature  0.000e+00, val/acc 6.963e-01, val/nll 8.657e-01
[2023-02-06 13:16:16] [Cycle   1/ 30][Epoch  31/ 50] trn/posterior_energy  2.103e+05, trn/neg_log_likelihood  3.458e+04, trn/neg_log_prior  1.757e+05, trn/lr  9.921e-07, trn/temperature  0.000e+00, val/acc 6.728e-01, val/nll 9.481e-01
[2023-02-06 13:16:20] [Cycle   1/ 30][Epoch  32/ 50] trn/posterior_energy  2.090e+05, trn/neg_log_likelihood  3.351e+04, trn/neg_log_prior  1.755e+05, trn/lr  9.045e-07, trn/temperature  0.000e+00, val/acc 6.980e-01, val/nll 8.575e-01
[2023-02-06 13:16:24] [Cycle   1/ 30][Epoch  33/ 50] trn/posterior_energy  2.073e+05, trn/neg_log_likelihood  3.224e+04, trn/neg_log_prior  1.750e+05, trn/lr  8.192e-07, trn/temperature  0.000e+00, val/acc 6.950e-01, val/nll 8.904e-01
[2023-02-06 13:16:28] [Cycle   1/ 30][Epoch  34/ 50] trn/posterior_energy  2.059e+05, trn/neg_log_likelihood  3.097e+04, trn/neg_log_prior  1.749e+05, trn/lr  7.366e-07, trn/temperature  0.000e+00, val/acc 7.267e-01, val/nll 7.860e-01
[2023-02-06 13:16:33] [Cycle   1/ 30][Epoch  35/ 50] trn/posterior_energy  2.044e+05, trn/neg_log_likelihood  2.969e+04, trn/neg_log_prior  1.747e+05, trn/lr  6.571e-07, trn/temperature  0.000e+00, val/acc 7.332e-01, val/nll 7.568e-01
[2023-02-06 13:16:37] [Cycle   1/ 30][Epoch  36/ 50] trn/posterior_energy  2.031e+05, trn/neg_log_likelihood  2.866e+04, trn/neg_log_prior  1.745e+05, trn/lr  5.809e-07, trn/temperature  0.000e+00, val/acc 7.160e-01, val/nll 8.301e-01
[2023-02-06 13:16:41] [Cycle   1/ 30][Epoch  37/ 50] trn/posterior_energy  2.005e+05, trn/neg_log_likelihood  2.626e+04, trn/neg_log_prior  1.742e+05, trn/lr  5.083e-07, trn/temperature  0.000e+00, val/acc 7.403e-01, val/nll 7.422e-01
