[2023-02-03 04:55:03] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 04:55:03] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000003_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 04:56:38] [Epoch    16/  500] trn/posterior_energy -8.728e+04, trn/neg_log_likelihood  3.587e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.993e-07, val/acc 6.602e-01, val/nll 9.470e-01 (best_acc: 6.561e-01 -> 6.602e-01, test_acc: 6.550e-01, test_nll: 9.506e-01)
[2023-02-03 04:56:42] [Epoch    17/  500] trn/posterior_energy -8.864e+04, trn/neg_log_likelihood  3.451e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.992e-07, val/acc 6.637e-01, val/nll 9.337e-01 (best_acc: 6.602e-01 -> 6.637e-01, test_acc: 6.625e-01, test_nll: 9.454e-01)
[2023-02-03 04:56:46] [Epoch    18/  500] trn/posterior_energy -8.976e+04, trn/neg_log_likelihood  3.338e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.991e-07, val/acc 6.577e-01, val/nll 9.425e-01
[2023-02-03 04:56:51] [Epoch    19/  500] trn/posterior_energy -9.112e+04, trn/neg_log_likelihood  3.200e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.990e-07, val/acc 6.747e-01, val/nll 9.332e-01 (best_acc: 6.637e-01 -> 6.747e-01, test_acc: 6.613e-01, test_nll: 9.555e-01)
[2023-02-03 04:56:55] [Epoch    20/  500] trn/posterior_energy -9.244e+04, trn/neg_log_likelihood  3.068e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.989e-07, val/acc 6.926e-01, val/nll 8.718e-01 (best_acc: 6.747e-01 -> 6.926e-01, test_acc: 6.878e-01, test_nll: 8.963e-01)
[2023-02-03 04:56:59] [Epoch    21/  500] trn/posterior_energy -9.337e+04, trn/neg_log_likelihood  2.973e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.988e-07, val/acc 6.687e-01, val/nll 9.447e-01
[2023-02-03 04:57:03] [Epoch    22/  500] trn/posterior_energy -9.451e+04, trn/neg_log_likelihood  2.858e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.986e-07, val/acc 7.009e-01, val/nll 8.420e-01 (best_acc: 6.926e-01 -> 7.009e-01, test_acc: 6.983e-01, test_nll: 8.616e-01)
[2023-02-03 04:57:07] [Epoch    23/  500] trn/posterior_energy -9.590e+04, trn/neg_log_likelihood  2.718e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.985e-07, val/acc 7.123e-01, val/nll 8.276e-01 (best_acc: 7.009e-01 -> 7.123e-01, test_acc: 7.045e-01, test_nll: 8.418e-01)
[2023-02-03 04:57:11] [Epoch    24/  500] trn/posterior_energy -9.686e+04, trn/neg_log_likelihood  2.620e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.984e-07, val/acc 6.899e-01, val/nll 8.915e-01
[2023-02-03 04:57:15] [Epoch    25/  500] trn/posterior_energy -9.799e+04, trn/neg_log_likelihood  2.506e+04, trn/neg_log_prior -1.230e+05, trn/lr  2.982e-07, val/acc 7.074e-01, val/nll 8.454e-01
[2023-02-03 04:57:19] [Epoch    26/  500] trn/posterior_energy -9.865e+04, trn/neg_log_likelihood  2.439e+04, trn/neg_log_prior -1.230e+05, trn/lr  2.981e-07, val/acc 7.268e-01, val/nll 7.951e-01 (best_acc: 7.123e-01 -> 7.268e-01, test_acc: 7.125e-01, test_nll: 8.212e-01)
[2023-02-03 04:57:23] [Epoch    27/  500] trn/posterior_energy -9.985e+04, trn/neg_log_likelihood  2.318e+04, trn/neg_log_prior -1.230e+05, trn/lr  2.979e-07, val/acc 7.209e-01, val/nll 7.891e-01
[2023-02-03 04:57:27] [Epoch    28/  500] trn/posterior_energy -1.007e+05, trn/neg_log_likelihood  2.232e+04, trn/neg_log_prior -1.230e+05, trn/lr  2.978e-07, val/acc 7.092e-01, val/nll 8.674e-01
[2023-02-03 04:57:31] [Epoch    29/  500] trn/posterior_energy -1.015e+05, trn/neg_log_likelihood  2.146e+04, trn/neg_log_prior -1.230e+05, trn/lr  2.976e-07, val/acc 7.315e-01, val/nll 7.740e-01 (best_acc: 7.268e-01 -> 7.315e-01, test_acc: 7.303e-01, test_nll: 7.952e-01)
[2023-02-03 04:57:35] [Epoch    30/  500] trn/posterior_energy -1.026e+05, trn/neg_log_likelihood  2.037e+04, trn/neg_log_prior -1.230e+05, trn/lr  2.974e-07, val/acc 7.221e-01, val/nll 8.286e-01
[2023-02-03 04:57:40] [Epoch    31/  500] trn/posterior_energy -1.037e+05, trn/neg_log_likelihood  1.923e+04, trn/neg_log_prior -1.230e+05, trn/lr  2.973e-07, val/acc 7.438e-01, val/nll 7.692e-01 (best_acc: 7.315e-01 -> 7.438e-01, test_acc: 7.376e-01, test_nll: 8.041e-01)
[2023-02-03 04:57:43] [Epoch    32/  500] trn/posterior_energy -1.048e+05, trn/neg_log_likelihood  1.820e+04, trn/neg_log_prior -1.229e+05, trn/lr  2.971e-07, val/acc 7.402e-01, val/nll 7.609e-01
[2023-02-03 04:57:47] [Epoch    33/  500] trn/posterior_energy -1.057e+05, trn/neg_log_likelihood  1.727e+04, trn/neg_log_prior -1.229e+05, trn/lr  2.969e-07, val/acc 7.336e-01, val/nll 8.125e-01
[2023-02-03 04:57:51] [Epoch    34/  500] trn/posterior_energy -1.064e+05, trn/neg_log_likelihood  1.652e+04, trn/neg_log_prior -1.229e+05, trn/lr  2.967e-07, val/acc 7.305e-01, val/nll 8.207e-01
[2023-02-03 04:57:55] [Epoch    35/  500] trn/posterior_energy -1.074e+05, trn/neg_log_likelihood  1.551e+04, trn/neg_log_prior -1.229e+05, trn/lr  2.965e-07, val/acc 7.379e-01, val/nll 8.470e-01
[2023-02-03 04:57:59] [Epoch    36/  500] trn/posterior_energy -1.082e+05, trn/neg_log_likelihood  1.466e+04, trn/neg_log_prior -1.229e+05, trn/lr  2.963e-07, val/acc 6.705e-01, val/nll 1.183e+00
[2023-02-03 04:58:02] [Epoch    37/  500] trn/posterior_energy -1.089e+05, trn/neg_log_likelihood  1.397e+04, trn/neg_log_prior -1.229e+05, trn/lr  2.961e-07, val/acc 7.315e-01, val/nll 8.546e-01
[2023-02-03 04:58:06] [Epoch    38/  500] trn/posterior_energy -1.098e+05, trn/neg_log_likelihood  1.308e+04, trn/neg_log_prior -1.228e+05, trn/lr  2.959e-07, val/acc 7.381e-01, val/nll 8.430e-01
[2023-02-03 04:58:10] [Epoch    39/  500] trn/posterior_energy -1.105e+05, trn/neg_log_likelihood  1.231e+04, trn/neg_log_prior -1.228e+05, trn/lr  2.956e-07, val/acc 6.938e-01, val/nll 1.043e+00
[2023-02-03 04:58:14] [Epoch    40/  500] trn/posterior_energy -1.115e+05, trn/neg_log_likelihood  1.131e+04, trn/neg_log_prior -1.228e+05, trn/lr  2.954e-07, val/acc 7.142e-01, val/nll 9.660e-01
[2023-02-03 04:58:18] [Epoch    41/  500] trn/posterior_energy -1.124e+05, trn/neg_log_likelihood  1.036e+04, trn/neg_log_prior -1.228e+05, trn/lr  2.952e-07, val/acc 7.357e-01, val/nll 9.208e-01
[2023-02-03 04:58:21] [Epoch    42/  500] trn/posterior_energy -1.127e+05, trn/neg_log_likelihood  1.003e+04, trn/neg_log_prior -1.228e+05, trn/lr  2.949e-07, val/acc 7.390e-01, val/nll 9.097e-01
