[2023-02-06 05:01:33] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-06 05:01:33] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.prior_precision   : 10.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.99_pr-02/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 05:01:39] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-06 05:02:22] [Epoch     1/  500] trn/posterior_energy  1.131e+06, trn/neg_log_likelihood  8.457e+04, trn/neg_log_prior  1.047e+06, trn/lr  1.000e-07, val/acc 3.382e-01, val/nll 1.792e+00 (best_acc: 0.000e+00 -> 3.382e-01, test_acc: 3.389e-01, test_nll: 1.785e+00)
[2023-02-06 05:02:37] [Epoch     2/  500] trn/posterior_energy  1.109e+06, trn/neg_log_likelihood  6.604e+04, trn/neg_log_prior  1.043e+06, trn/lr  1.000e-07, val/acc 4.096e-01, val/nll 1.603e+00 (best_acc: 3.382e-01 -> 4.096e-01, test_acc: 4.190e-01, test_nll: 1.590e+00)
[2023-02-06 05:02:51] [Epoch     3/  500] trn/posterior_energy  1.097e+06, trn/neg_log_likelihood  5.768e+04, trn/neg_log_prior  1.040e+06, trn/lr  9.999e-08, val/acc 5.268e-01, val/nll 1.316e+00 (best_acc: 4.096e-01 -> 5.268e-01, test_acc: 5.198e-01, test_nll: 1.314e+00)
[2023-02-06 05:03:05] [Epoch     4/  500] trn/posterior_energy  1.087e+06, trn/neg_log_likelihood  5.057e+04, trn/neg_log_prior  1.037e+06, trn/lr  9.999e-08, val/acc 5.545e-01, val/nll 1.222e+00 (best_acc: 5.268e-01 -> 5.545e-01, test_acc: 5.521e-01, test_nll: 1.226e+00)
[2023-02-06 05:03:19] [Epoch     5/  500] trn/posterior_energy  1.079e+06, trn/neg_log_likelihood  4.511e+04, trn/neg_log_prior  1.034e+06, trn/lr  9.998e-08, val/acc 6.326e-01, val/nll 1.031e+00 (best_acc: 5.545e-01 -> 6.326e-01, test_acc: 6.332e-01, test_nll: 1.033e+00)
[2023-02-06 05:03:33] [Epoch     6/  500] trn/posterior_energy  1.073e+06, trn/neg_log_likelihood  4.092e+04, trn/neg_log_prior  1.032e+06, trn/lr  9.997e-08, val/acc 6.429e-01, val/nll 9.767e-01 (best_acc: 6.326e-01 -> 6.429e-01, test_acc: 6.425e-01, test_nll: 9.888e-01)
[2023-02-06 05:03:48] [Epoch     7/  500] trn/posterior_energy  1.065e+06, trn/neg_log_likelihood  3.503e+04, trn/neg_log_prior  1.030e+06, trn/lr  9.996e-08, val/acc 6.982e-01, val/nll 8.505e-01 (best_acc: 6.429e-01 -> 6.982e-01, test_acc: 6.971e-01, test_nll: 8.726e-01)
[2023-02-06 05:04:02] [Epoch     8/  500] trn/posterior_energy  1.060e+06, trn/neg_log_likelihood  3.119e+04, trn/neg_log_prior  1.029e+06, trn/lr  9.994e-08, val/acc 7.190e-01, val/nll 8.114e-01 (best_acc: 6.982e-01 -> 7.190e-01, test_acc: 7.164e-01, test_nll: 8.160e-01)
[2023-02-06 05:04:16] [Epoch     9/  500] trn/posterior_energy  1.055e+06, trn/neg_log_likelihood  2.765e+04, trn/neg_log_prior  1.027e+06, trn/lr  9.993e-08, val/acc 7.191e-01, val/nll 8.149e-01 (best_acc: 7.190e-01 -> 7.191e-01, test_acc: 7.123e-01, test_nll: 8.320e-01)
[2023-02-06 05:04:31] [Epoch    10/  500] trn/posterior_energy  1.050e+06, trn/neg_log_likelihood  2.407e+04, trn/neg_log_prior  1.026e+06, trn/lr  9.991e-08, val/acc 7.367e-01, val/nll 7.725e-01 (best_acc: 7.191e-01 -> 7.367e-01, test_acc: 7.342e-01, test_nll: 7.828e-01)
[2023-02-06 05:04:45] [Epoch    11/  500] trn/posterior_energy  1.045e+06, trn/neg_log_likelihood  2.062e+04, trn/neg_log_prior  1.025e+06, trn/lr  9.989e-08, val/acc 7.771e-01, val/nll 6.502e-01 (best_acc: 7.367e-01 -> 7.771e-01, test_acc: 7.729e-01, test_nll: 6.738e-01)
