[2023-02-06 01:44:12] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-06 01:44:12] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.99
- args.prior_precision   : 2.5
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.99_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 01:44:25] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-06 01:45:08] [Epoch     1/  500] trn/posterior_energy -1.873e+06, trn/neg_log_likelihood  9.482e+04, trn/neg_log_prior -1.968e+06, trn/lr  1.000e-06, val/acc 2.473e-01, val/nll 2.078e+00 (best_acc: 0.000e+00 -> 2.473e-01, test_acc: 2.548e-01, test_nll: 2.074e+00)
[2023-02-06 01:45:22] [Epoch     2/  500] trn/posterior_energy -1.887e+06, trn/neg_log_likelihood  8.142e+04, trn/neg_log_prior -1.968e+06, trn/lr  1.000e-06, val/acc 2.979e-01, val/nll 1.879e+00 (best_acc: 2.473e-01 -> 2.979e-01, test_acc: 3.065e-01, test_nll: 1.872e+00)
[2023-02-06 01:45:35] [Epoch     3/  500] trn/posterior_energy -1.897e+06, trn/neg_log_likelihood  7.346e+04, trn/neg_log_prior -1.971e+06, trn/lr  9.999e-07, val/acc 3.887e-01, val/nll 1.669e+00 (best_acc: 2.979e-01 -> 3.887e-01, test_acc: 3.984e-01, test_nll: 1.666e+00)
[2023-02-06 01:45:49] [Epoch     4/  500] trn/posterior_energy -1.907e+06, trn/neg_log_likelihood  6.549e+04, trn/neg_log_prior -1.972e+06, trn/lr  9.999e-07, val/acc 4.431e-01, val/nll 1.520e+00 (best_acc: 3.887e-01 -> 4.431e-01, test_acc: 4.511e-01, test_nll: 1.512e+00)
[2023-02-06 01:46:01] [Epoch     5/  500] trn/posterior_energy -1.911e+06, trn/neg_log_likelihood  6.273e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.998e-07, val/acc 4.417e-01, val/nll 1.500e+00
[2023-02-06 01:46:14] [Epoch     6/  500] trn/posterior_energy -1.915e+06, trn/neg_log_likelihood  5.915e+04, trn/neg_log_prior -1.974e+06, trn/lr  9.997e-07, val/acc 4.770e-01, val/nll 1.434e+00 (best_acc: 4.431e-01 -> 4.770e-01, test_acc: 4.774e-01, test_nll: 1.430e+00)
[2023-02-06 01:46:28] [Epoch     7/  500] trn/posterior_energy -1.920e+06, trn/neg_log_likelihood  5.491e+04, trn/neg_log_prior -1.975e+06, trn/lr  9.996e-07, val/acc 5.452e-01, val/nll 1.253e+00 (best_acc: 4.770e-01 -> 5.452e-01, test_acc: 5.396e-01, test_nll: 1.258e+00)
[2023-02-06 01:46:41] [Epoch     8/  500] trn/posterior_energy -1.921e+06, trn/neg_log_likelihood  5.396e+04, trn/neg_log_prior -1.975e+06, trn/lr  9.994e-07, val/acc 5.546e-01, val/nll 1.245e+00 (best_acc: 5.452e-01 -> 5.546e-01, test_acc: 5.581e-01, test_nll: 1.231e+00)
[2023-02-06 01:46:55] [Epoch     9/  500] trn/posterior_energy -1.927e+06, trn/neg_log_likelihood  4.794e+04, trn/neg_log_prior -1.975e+06, trn/lr  9.993e-07, val/acc 5.711e-01, val/nll 1.191e+00 (best_acc: 5.546e-01 -> 5.711e-01, test_acc: 5.734e-01, test_nll: 1.192e+00)
[2023-02-06 01:47:09] [Epoch    10/  500] trn/posterior_energy -1.930e+06, trn/neg_log_likelihood  4.477e+04, trn/neg_log_prior -1.974e+06, trn/lr  9.991e-07, val/acc 6.160e-01, val/nll 1.087e+00 (best_acc: 5.711e-01 -> 6.160e-01, test_acc: 6.155e-01, test_nll: 1.077e+00)
[2023-02-06 01:47:23] [Epoch    11/  500] trn/posterior_energy -1.932e+06, trn/neg_log_likelihood  4.179e+04, trn/neg_log_prior -1.974e+06, trn/lr  9.989e-07, val/acc 6.259e-01, val/nll 1.068e+00 (best_acc: 6.160e-01 -> 6.259e-01, test_acc: 6.300e-01, test_nll: 1.069e+00)
