[2023-06-01 02:42:51] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-06-01 02:42:51] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 152
- args.resnet_width          : 1
- args.batch_size            : 1024
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 128000
- args.optim_lr              : 0.4
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0001
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_152x1-batch_1024-iter_128k-lr_0.4-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-06-01 04:37:20] [Iter   13000/ 128000] trn/loss 2.484e+00, trn/negative_log_likelihood 2.484e+00, trn/w_norm 1.540e+02, trn/g_norm 1.131e+00, trn/lr 3.900e-01, trn/dyn_scale 6.554e+04, val/acc 4.650e-01, val/nll 2.326e+00, val/best_acc 4.650e-01 (best_acc: 4.388e-01 -> 4.650e-01)
[2023-06-01 04:45:58] [Iter   14000/ 128000] trn/loss 2.434e+00, trn/negative_log_likelihood 2.434e+00, trn/w_norm 1.547e+02, trn/g_norm 1.114e+00, trn/lr 4.000e-01, trn/dyn_scale 6.554e+04, val/acc 4.509e-01, val/nll 2.411e+00, val/best_acc 4.650e-01
[2023-06-01 04:54:51] [Iter   15000/ 128000] trn/loss 2.386e+00, trn/negative_log_likelihood 2.386e+00, trn/w_norm 1.549e+02, trn/g_norm 1.113e+00, trn/lr 3.998e-01, trn/dyn_scale 6.554e+04, val/acc 4.661e-01, val/nll 2.333e+00, val/best_acc 4.661e-01 (best_acc: 4.650e-01 -> 4.661e-01)
[2023-06-01 05:03:44] [Iter   16000/ 128000] trn/loss 2.337e+00, trn/negative_log_likelihood 2.337e+00, trn/w_norm 1.554e+02, trn/g_norm 1.115e+00, trn/lr 3.995e-01, trn/dyn_scale 6.554e+04, val/acc 4.815e-01, val/nll 2.237e+00, val/best_acc 4.815e-01 (best_acc: 4.661e-01 -> 4.815e-01)
[2023-06-01 05:12:36] [Iter   17000/ 128000] trn/loss 2.310e+00, trn/negative_log_likelihood 2.310e+00, trn/w_norm 1.558e+02, trn/g_norm 1.117e+00, trn/lr 3.990e-01, trn/dyn_scale 6.554e+04, val/acc 4.731e-01, val/nll 2.301e+00, val/best_acc 4.815e-01
[2023-06-01 05:21:23] [Iter   18000/ 128000] trn/loss 2.277e+00, trn/negative_log_likelihood 2.277e+00, trn/w_norm 1.562e+02, trn/g_norm 1.119e+00, trn/lr 3.984e-01, trn/dyn_scale 6.554e+04, val/acc 4.675e-01, val/nll 2.364e+00, val/best_acc 4.815e-01
[2023-06-01 05:30:11] [Iter   19000/ 128000] trn/loss 2.259e+00, trn/negative_log_likelihood 2.259e+00, trn/w_norm 1.566e+02, trn/g_norm 1.119e+00, trn/lr 3.976e-01, trn/dyn_scale 6.554e+04, val/acc 5.064e-01, val/nll 2.127e+00, val/best_acc 5.064e-01 (best_acc: 4.815e-01 -> 5.064e-01)
[2023-06-01 05:38:42] [Iter   20000/ 128000] trn/loss 2.245e+00, trn/negative_log_likelihood 2.245e+00, trn/w_norm 1.569e+02, trn/g_norm 1.123e+00, trn/lr 3.967e-01, trn/dyn_scale 6.554e+04, val/acc 5.013e-01, val/nll 2.166e+00, val/best_acc 5.064e-01
[2023-06-01 05:47:27] [Iter   21000/ 128000] trn/loss 2.220e+00, trn/negative_log_likelihood 2.220e+00, trn/w_norm 1.572e+02, trn/g_norm 1.125e+00, trn/lr 3.956e-01, trn/dyn_scale 6.554e+04, val/acc 4.991e-01, val/nll 2.168e+00, val/best_acc 5.064e-01
[2023-06-01 05:56:06] [Iter   22000/ 128000] trn/loss 2.201e+00, trn/negative_log_likelihood 2.201e+00, trn/w_norm 1.575e+02, trn/g_norm 1.126e+00, trn/lr 3.944e-01, trn/dyn_scale 6.554e+04, val/acc 5.064e-01, val/nll 2.126e+00, val/best_acc 5.064e-01
[2023-06-01 06:04:49] [Iter   23000/ 128000] trn/loss 2.192e+00, trn/negative_log_likelihood 2.192e+00, trn/w_norm 1.577e+02, trn/g_norm 1.128e+00, trn/lr 3.930e-01, trn/dyn_scale 6.554e+04, val/acc 5.159e-01, val/nll 2.071e+00, val/best_acc 5.159e-01 (best_acc: 5.064e-01 -> 5.159e-01)
[2023-06-01 06:13:32] [Iter   24000/ 128000] trn/loss 2.175e+00, trn/negative_log_likelihood 2.175e+00, trn/w_norm 1.579e+02, trn/g_norm 1.129e+00, trn/lr 3.915e-01, trn/dyn_scale 6.554e+04, val/acc 5.435e-01, val/nll 1.948e+00, val/best_acc 5.435e-01 (best_acc: 5.159e-01 -> 5.435e-01)
[2023-06-01 06:22:17] [Iter   25000/ 128000] trn/loss 2.171e+00, trn/negative_log_likelihood 2.171e+00, trn/w_norm 1.581e+02, trn/g_norm 1.135e+00, trn/lr 3.899e-01, trn/dyn_scale 6.554e+04, val/acc 5.194e-01, val/nll 2.053e+00, val/best_acc 5.435e-01
[2023-06-01 06:30:52] [Iter   26000/ 128000] trn/loss 2.150e+00, trn/negative_log_likelihood 2.150e+00, trn/w_norm 1.582e+02, trn/g_norm 1.136e+00, trn/lr 3.881e-01, trn/dyn_scale 6.554e+04, val/acc 4.925e-01, val/nll 2.212e+00, val/best_acc 5.435e-01
[2023-06-01 06:39:29] [Iter   27000/ 128000] trn/loss 2.144e+00, trn/negative_log_likelihood 2.144e+00, trn/w_norm 1.582e+02, trn/g_norm 1.138e+00, trn/lr 3.862e-01, trn/dyn_scale 6.554e+04, val/acc 5.349e-01, val/nll 1.986e+00, val/best_acc 5.435e-01
[2023-06-01 06:48:03] [Iter   28000/ 128000] trn/loss 2.133e+00, trn/negative_log_likelihood 2.133e+00, trn/w_norm 1.583e+02, trn/g_norm 1.141e+00, trn/lr 3.841e-01, trn/dyn_scale 6.554e+04, val/acc 5.251e-01, val/nll 2.017e+00, val/best_acc 5.435e-01
[2023-06-01 06:56:50] [Iter   29000/ 128000] trn/loss 2.122e+00, trn/negative_log_likelihood 2.122e+00, trn/w_norm 1.583e+02, trn/g_norm 1.142e+00, trn/lr 3.819e-01, trn/dyn_scale 6.554e+04, val/acc 5.313e-01, val/nll 1.986e+00, val/best_acc 5.435e-01
[2023-06-01 07:05:28] [Iter   30000/ 128000] trn/loss 2.121e+00, trn/negative_log_likelihood 2.121e+00, trn/w_norm 1.583e+02, trn/g_norm 1.146e+00, trn/lr 3.796e-01, trn/dyn_scale 6.554e+04, val/acc 5.268e-01, val/nll 2.007e+00, val/best_acc 5.435e-01
[2023-06-01 07:14:01] [Iter   31000/ 128000] trn/loss 2.099e+00, trn/negative_log_likelihood 2.099e+00, trn/w_norm 1.584e+02, trn/g_norm 1.149e+00, trn/lr 3.771e-01, trn/dyn_scale 6.554e+04, val/acc 5.355e-01, val/nll 1.970e+00, val/best_acc 5.435e-01
[2023-06-01 07:22:38] [Iter   32000/ 128000] trn/loss 2.092e+00, trn/negative_log_likelihood 2.092e+00, trn/w_norm 1.582e+02, trn/g_norm 1.151e+00, trn/lr 3.745e-01, trn/dyn_scale 6.554e+04, val/acc 5.102e-01, val/nll 2.130e+00, val/best_acc 5.435e-01
[2023-06-01 07:31:05] [Iter   33000/ 128000] trn/loss 2.087e+00, trn/negative_log_likelihood 2.087e+00, trn/w_norm 1.582e+02, trn/g_norm 1.155e+00, trn/lr 3.718e-01, trn/dyn_scale 6.554e+04, val/acc 5.343e-01, val/nll 1.974e+00, val/best_acc 5.435e-01
[2023-06-01 07:39:48] [Iter   34000/ 128000] trn/loss 2.079e+00, trn/negative_log_likelihood 2.079e+00, trn/w_norm 1.582e+02, trn/g_norm 1.159e+00, trn/lr 3.690e-01, trn/dyn_scale 6.554e+04, val/acc 4.870e-01, val/nll 2.249e+00, val/best_acc 5.435e-01
[2023-06-01 07:48:34] [Iter   35000/ 128000] trn/loss 2.071e+00, trn/negative_log_likelihood 2.071e+00, trn/w_norm 1.582e+02, trn/g_norm 1.161e+00, trn/lr 3.660e-01, trn/dyn_scale 6.554e+04, val/acc 5.102e-01, val/nll 2.092e+00, val/best_acc 5.435e-01
[2023-06-01 07:57:09] [Iter   36000/ 128000] trn/loss 2.056e+00, trn/negative_log_likelihood 2.056e+00, trn/w_norm 1.580e+02, trn/g_norm 1.163e+00, trn/lr 3.629e-01, trn/dyn_scale 6.554e+04, val/acc 5.084e-01, val/nll 2.176e+00, val/best_acc 5.435e-01
[2023-06-01 08:06:03] [Iter   37000/ 128000] trn/loss 2.051e+00, trn/negative_log_likelihood 2.051e+00, trn/w_norm 1.578e+02, trn/g_norm 1.167e+00, trn/lr 3.597e-01, trn/dyn_scale 6.554e+04, val/acc 5.585e-01, val/nll 1.893e+00, val/best_acc 5.585e-01 (best_acc: 5.435e-01 -> 5.585e-01)
[2023-06-01 08:14:51] [Iter   38000/ 128000] trn/loss 2.042e+00, trn/negative_log_likelihood 2.042e+00, trn/w_norm 1.578e+02, trn/g_norm 1.170e+00, trn/lr 3.563e-01, trn/dyn_scale 6.554e+04, val/acc 5.578e-01, val/nll 1.856e+00, val/best_acc 5.585e-01
[2023-06-01 08:23:29] [Iter   39000/ 128000] trn/loss 2.038e+00, trn/negative_log_likelihood 2.038e+00, trn/w_norm 1.576e+02, trn/g_norm 1.176e+00, trn/lr 3.529e-01, trn/dyn_scale 6.554e+04, val/acc 5.275e-01, val/nll 2.014e+00, val/best_acc 5.585e-01
[2023-06-01 08:32:30] [Iter   40000/ 128000] trn/loss 2.032e+00, trn/negative_log_likelihood 2.032e+00, trn/w_norm 1.574e+02, trn/g_norm 1.177e+00, trn/lr 3.493e-01, trn/dyn_scale 6.554e+04, val/acc 5.564e-01, val/nll 1.856e+00, val/best_acc 5.585e-01
[2023-06-01 08:41:27] [Iter   41000/ 128000] trn/loss 2.015e+00, trn/negative_log_likelihood 2.015e+00, trn/w_norm 1.573e+02, trn/g_norm 1.184e+00, trn/lr 3.456e-01, trn/dyn_scale 6.554e+04, val/acc 5.516e-01, val/nll 1.904e+00, val/best_acc 5.585e-01
[2023-06-01 08:50:01] [Iter   42000/ 128000] trn/loss 2.006e+00, trn/negative_log_likelihood 2.006e+00, trn/w_norm 1.570e+02, trn/g_norm 1.186e+00, trn/lr 3.418e-01, trn/dyn_scale 6.554e+04, val/acc 5.554e-01, val/nll 1.870e+00, val/best_acc 5.585e-01
[2023-06-01 08:58:34] [Iter   43000/ 128000] trn/loss 2.000e+00, trn/negative_log_likelihood 2.000e+00, trn/w_norm 1.568e+02, trn/g_norm 1.193e+00, trn/lr 3.379e-01, trn/dyn_scale 6.554e+04, val/acc 5.724e-01, val/nll 1.798e+00, val/best_acc 5.724e-01 (best_acc: 5.585e-01 -> 5.724e-01)
[2023-06-01 09:07:04] [Iter   44000/ 128000] trn/loss 1.995e+00, trn/negative_log_likelihood 1.995e+00, trn/w_norm 1.566e+02, trn/g_norm 1.193e+00, trn/lr 3.339e-01, trn/dyn_scale 6.554e+04, val/acc 5.485e-01, val/nll 1.916e+00, val/best_acc 5.724e-01
[2023-06-01 09:15:42] [Iter   45000/ 128000] trn/loss 1.990e+00, trn/negative_log_likelihood 1.990e+00, trn/w_norm 1.563e+02, trn/g_norm 1.202e+00, trn/lr 3.298e-01, trn/dyn_scale 6.554e+04, val/acc 5.512e-01, val/nll 1.916e+00, val/best_acc 5.724e-01
[2023-06-01 09:24:22] [Iter   46000/ 128000] trn/loss 1.976e+00, trn/negative_log_likelihood 1.976e+00, trn/w_norm 1.562e+02, trn/g_norm 1.209e+00, trn/lr 3.256e-01, trn/dyn_scale 6.554e+04, val/acc 5.660e-01, val/nll 1.830e+00, val/best_acc 5.724e-01
[2023-06-01 09:32:56] [Iter   47000/ 128000] trn/loss 1.963e+00, trn/negative_log_likelihood 1.963e+00, trn/w_norm 1.561e+02, trn/g_norm 1.211e+00, trn/lr 3.213e-01, trn/dyn_scale 6.554e+04, val/acc 5.614e-01, val/nll 1.839e+00, val/best_acc 5.724e-01
[2023-06-01 09:41:46] [Iter   48000/ 128000] trn/loss 1.956e+00, trn/negative_log_likelihood 1.956e+00, trn/w_norm 1.557e+02, trn/g_norm 1.215e+00, trn/lr 3.169e-01, trn/dyn_scale 6.554e+04, val/acc 5.684e-01, val/nll 1.825e+00, val/best_acc 5.724e-01
[2023-06-01 09:51:01] [Iter   49000/ 128000] trn/loss 1.950e+00, trn/negative_log_likelihood 1.950e+00, trn/w_norm 1.554e+02, trn/g_norm 1.221e+00, trn/lr 3.125e-01, trn/dyn_scale 6.554e+04, val/acc 5.742e-01, val/nll 1.778e+00, val/best_acc 5.742e-01 (best_acc: 5.724e-01 -> 5.742e-01)
[2023-06-01 10:00:02] [Iter   50000/ 128000] trn/loss 1.945e+00, trn/negative_log_likelihood 1.945e+00, trn/w_norm 1.551e+02, trn/g_norm 1.230e+00, trn/lr 3.079e-01, trn/dyn_scale 6.554e+04, val/acc 5.766e-01, val/nll 1.774e+00, val/best_acc 5.766e-01 (best_acc: 5.742e-01 -> 5.766e-01)
[2023-06-01 10:08:38] [Iter   51000/ 128000] trn/loss 1.932e+00, trn/negative_log_likelihood 1.932e+00, trn/w_norm 1.550e+02, trn/g_norm 1.236e+00, trn/lr 3.033e-01, trn/dyn_scale 6.554e+04, val/acc 5.637e-01, val/nll 1.827e+00, val/best_acc 5.766e-01
[2023-06-01 10:17:44] [Iter   52000/ 128000] trn/loss 1.921e+00, trn/negative_log_likelihood 1.921e+00, trn/w_norm 1.547e+02, trn/g_norm 1.239e+00, trn/lr 2.986e-01, trn/dyn_scale 6.554e+04, val/acc 5.664e-01, val/nll 1.816e+00, val/best_acc 5.766e-01
[2023-06-01 10:26:43] [Iter   53000/ 128000] trn/loss 1.915e+00, trn/negative_log_likelihood 1.915e+00, trn/w_norm 1.542e+02, trn/g_norm 1.245e+00, trn/lr 2.938e-01, trn/dyn_scale 6.554e+04, val/acc 5.714e-01, val/nll 1.790e+00, val/best_acc 5.766e-01
[2023-06-01 10:35:43] [Iter   54000/ 128000] trn/loss 1.904e+00, trn/negative_log_likelihood 1.904e+00, trn/w_norm 1.539e+02, trn/g_norm 1.252e+00, trn/lr 2.889e-01, trn/dyn_scale 6.554e+04, val/acc 5.700e-01, val/nll 1.797e+00, val/best_acc 5.766e-01
[2023-06-01 10:44:57] [Iter   55000/ 128000] trn/loss 1.901e+00, trn/negative_log_likelihood 1.901e+00, trn/w_norm 1.536e+02, trn/g_norm 1.260e+00, trn/lr 2.840e-01, trn/dyn_scale 6.554e+04, val/acc 5.805e-01, val/nll 1.745e+00, val/best_acc 5.805e-01 (best_acc: 5.766e-01 -> 5.805e-01)
[2023-06-01 10:53:54] [Iter   56000/ 128000] trn/loss 1.883e+00, trn/negative_log_likelihood 1.883e+00, trn/w_norm 1.533e+02, trn/g_norm 1.269e+00, trn/lr 2.790e-01, trn/dyn_scale 6.554e+04, val/acc 5.799e-01, val/nll 1.748e+00, val/best_acc 5.805e-01
