[2023-02-13 15:54:20] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-13 15:54:20] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000030_mo-0.90_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-13 15:54:46] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy  2.640e+05, trn/neg_log_likelihood  8.578e+04, trn/neg_log_prior  1.782e+05, trn/lr  3.000e-06, trn/temperature  0.000e+00, val/acc 3.520e-01, val/nll 1.748e+00
[2023-02-13 15:54:50] [Cycle   1/ 30][Epoch   2/200] trn/posterior_energy  2.401e+05, trn/neg_log_likelihood  6.781e+04, trn/neg_log_prior  1.723e+05, trn/lr  3.000e-06, trn/temperature  0.000e+00, val/acc 4.133e-01, val/nll 1.582e+00
[2023-02-13 15:54:54] [Cycle   1/ 30][Epoch   3/200] trn/posterior_energy  2.309e+05, trn/neg_log_likelihood  6.082e+04, trn/neg_log_prior  1.701e+05, trn/lr  2.999e-06, trn/temperature  0.000e+00, val/acc 4.934e-01, val/nll 1.381e+00
[2023-02-13 15:54:57] [Cycle   1/ 30][Epoch   4/200] trn/posterior_energy  2.231e+05, trn/neg_log_likelihood  5.316e+04, trn/neg_log_prior  1.699e+05, trn/lr  2.998e-06, trn/temperature  0.000e+00, val/acc 5.201e-01, val/nll 1.284e+00
[2023-02-13 15:55:01] [Cycle   1/ 30][Epoch   5/200] trn/posterior_energy  2.183e+05, trn/neg_log_likelihood  4.740e+04, trn/neg_log_prior  1.709e+05, trn/lr  2.996e-06, trn/temperature  0.000e+00, val/acc 6.241e-01, val/nll 1.045e+00
[2023-02-13 15:55:05] [Cycle   1/ 30][Epoch   6/200] trn/posterior_energy  2.151e+05, trn/neg_log_likelihood  4.301e+04, trn/neg_log_prior  1.721e+05, trn/lr  2.994e-06, trn/temperature  0.000e+00, val/acc 6.150e-01, val/nll 1.079e+00
[2023-02-13 15:55:09] [Cycle   1/ 30][Epoch   7/200] trn/posterior_energy  2.123e+05, trn/neg_log_likelihood  3.901e+04, trn/neg_log_prior  1.732e+05, trn/lr  2.992e-06, trn/temperature  0.000e+00, val/acc 6.904e-01, val/nll 8.802e-01
[2023-02-13 15:55:12] [Cycle   1/ 30][Epoch   8/200] trn/posterior_energy  2.109e+05, trn/neg_log_likelihood  3.670e+04, trn/neg_log_prior  1.742e+05, trn/lr  2.990e-06, trn/temperature  0.000e+00, val/acc 7.061e-01, val/nll 8.464e-01
[2023-02-13 15:55:16] [Cycle   1/ 30][Epoch   9/200] trn/posterior_energy  2.095e+05, trn/neg_log_likelihood  3.448e+04, trn/neg_log_prior  1.750e+05, trn/lr  2.987e-06, trn/temperature  0.000e+00, val/acc 7.163e-01, val/nll 8.089e-01
[2023-02-13 15:55:20] [Cycle   1/ 30][Epoch  10/200] trn/posterior_energy  2.083e+05, trn/neg_log_likelihood  3.289e+04, trn/neg_log_prior  1.755e+05, trn/lr  2.983e-06, trn/temperature  0.000e+00, val/acc 7.065e-01, val/nll 8.500e-01
[2023-02-13 15:55:23] [Cycle   1/ 30][Epoch  11/200] trn/posterior_energy  2.070e+05, trn/neg_log_likelihood  3.105e+04, trn/neg_log_prior  1.759e+05, trn/lr  2.980e-06, trn/temperature  0.000e+00, val/acc 7.239e-01, val/nll 7.898e-01
[2023-02-13 15:55:27] [Cycle   1/ 30][Epoch  12/200] trn/posterior_energy  2.073e+05, trn/neg_log_likelihood  3.089e+04, trn/neg_log_prior  1.764e+05, trn/lr  2.976e-06, trn/temperature  0.000e+00, val/acc 7.195e-01, val/nll 8.054e-01
[2023-02-13 15:55:30] [Cycle   1/ 30][Epoch  13/200] trn/posterior_energy  2.066e+05, trn/neg_log_likelihood  2.981e+04, trn/neg_log_prior  1.767e+05, trn/lr  2.971e-06, trn/temperature  0.000e+00, val/acc 7.250e-01, val/nll 8.084e-01
[2023-02-13 15:55:34] [Cycle   1/ 30][Epoch  14/200] trn/posterior_energy  2.064e+05, trn/neg_log_likelihood  2.928e+04, trn/neg_log_prior  1.771e+05, trn/lr  2.966e-06, trn/temperature  0.000e+00, val/acc 7.390e-01, val/nll 7.688e-01
[2023-02-13 15:55:38] [Cycle   1/ 30][Epoch  15/200] trn/posterior_energy  2.059e+05, trn/neg_log_likelihood  2.849e+04, trn/neg_log_prior  1.774e+05, trn/lr  2.961e-06, trn/temperature  0.000e+00, val/acc 7.361e-01, val/nll 7.753e-01
[2023-02-13 15:55:41] [Cycle   1/ 30][Epoch  16/200] trn/posterior_energy  2.052e+05, trn/neg_log_likelihood  2.761e+04, trn/neg_log_prior  1.776e+05, trn/lr  2.956e-06, trn/temperature  0.000e+00, val/acc 7.601e-01, val/nll 7.209e-01
[2023-02-13 15:55:45] [Cycle   1/ 30][Epoch  17/200] trn/posterior_energy  2.051e+05, trn/neg_log_likelihood  2.736e+04, trn/neg_log_prior  1.777e+05, trn/lr  2.950e-06, trn/temperature  0.000e+00, val/acc 7.331e-01, val/nll 7.944e-01
