[2023-02-03 21:30:25] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 21:30:25] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000030_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 21:32:06] [Epoch    21/  500] trn/posterior_energy  4.397e+05, trn/neg_log_likelihood  1.736e+05, trn/neg_log_prior  2.660e+05, trn/lr  2.988e-06, val/acc 3.894e-02, val/nll 4.318e+00
[2023-02-03 21:32:10] [Epoch    22/  500] trn/posterior_energy  4.406e+05, trn/neg_log_likelihood  1.741e+05, trn/neg_log_prior  2.664e+05, trn/lr  2.986e-06, val/acc 4.049e-02, val/nll 4.252e+00
[2023-02-03 21:32:13] [Epoch    23/  500] trn/posterior_energy  4.391e+05, trn/neg_log_likelihood  1.730e+05, trn/neg_log_prior  2.661e+05, trn/lr  2.985e-06, val/acc 3.518e-02, val/nll 4.257e+00
[2023-02-03 21:32:17] [Epoch    24/  500] trn/posterior_energy  4.393e+05, trn/neg_log_likelihood  1.730e+05, trn/neg_log_prior  2.664e+05, trn/lr  2.984e-06, val/acc 3.772e-02, val/nll 4.336e+00
[2023-02-03 21:32:21] [Epoch    25/  500] trn/posterior_energy  4.397e+05, trn/neg_log_likelihood  1.730e+05, trn/neg_log_prior  2.667e+05, trn/lr  2.982e-06, val/acc 4.735e-02, val/nll 4.212e+00
[2023-02-03 21:32:25] [Epoch    26/  500] trn/posterior_energy  4.398e+05, trn/neg_log_likelihood  1.723e+05, trn/neg_log_prior  2.675e+05, trn/lr  2.981e-06, val/acc 4.790e-02, val/nll 4.189e+00
[2023-02-03 21:32:29] [Epoch    27/  500] trn/posterior_energy  4.383e+05, trn/neg_log_likelihood  1.711e+05, trn/neg_log_prior  2.673e+05, trn/lr  2.979e-06, val/acc 3.496e-02, val/nll 4.364e+00
[2023-02-03 21:32:32] [Epoch    28/  500] trn/posterior_energy  4.391e+05, trn/neg_log_likelihood  1.715e+05, trn/neg_log_prior  2.676e+05, trn/lr  2.978e-06, val/acc 4.082e-02, val/nll 4.242e+00
[2023-02-03 21:32:36] [Epoch    29/  500] trn/posterior_energy  4.397e+05, trn/neg_log_likelihood  1.718e+05, trn/neg_log_prior  2.679e+05, trn/lr  2.976e-06, val/acc 4.646e-02, val/nll 4.183e+00
[2023-02-03 21:32:40] [Epoch    30/  500] trn/posterior_energy  4.388e+05, trn/neg_log_likelihood  1.713e+05, trn/neg_log_prior  2.676e+05, trn/lr  2.974e-06, val/acc 4.403e-02, val/nll 4.212e+00
[2023-02-03 21:32:44] [Epoch    31/  500] trn/posterior_energy  4.379e+05, trn/neg_log_likelihood  1.706e+05, trn/neg_log_prior  2.674e+05, trn/lr  2.973e-06, val/acc 5.299e-02, val/nll 4.126e+00
[2023-02-03 21:32:47] [Epoch    32/  500] trn/posterior_energy  4.390e+05, trn/neg_log_likelihood  1.709e+05, trn/neg_log_prior  2.681e+05, trn/lr  2.971e-06, val/acc 5.686e-02, val/nll 4.127e+00
[2023-02-03 21:32:51] [Epoch    33/  500] trn/posterior_energy  4.378e+05, trn/neg_log_likelihood  1.698e+05, trn/neg_log_prior  2.680e+05, trn/lr  2.969e-06, val/acc 4.170e-02, val/nll 4.285e+00
[2023-02-03 21:32:55] [Epoch    34/  500] trn/posterior_energy  4.383e+05, trn/neg_log_likelihood  1.702e+05, trn/neg_log_prior  2.682e+05, trn/lr  2.967e-06, val/acc 4.845e-02, val/nll 4.163e+00
[2023-02-03 21:32:59] [Epoch    35/  500] trn/posterior_energy  4.381e+05, trn/neg_log_likelihood  1.699e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.965e-06, val/acc 4.458e-02, val/nll 4.184e+00
[2023-02-03 21:33:03] [Epoch    36/  500] trn/posterior_energy  4.383e+05, trn/neg_log_likelihood  1.699e+05, trn/neg_log_prior  2.685e+05, trn/lr  2.963e-06, val/acc 5.896e-02, val/nll 4.141e+00 (best_acc: 5.719e-02 -> 5.896e-02, test_acc: 6.100e-02, test_nll: 4.117e+00)
[2023-02-03 21:33:07] [Epoch    37/  500] trn/posterior_energy  4.384e+05, trn/neg_log_likelihood  1.701e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.961e-06, val/acc 5.785e-02, val/nll 4.125e+00
[2023-02-03 21:33:11] [Epoch    38/  500] trn/posterior_energy  4.388e+05, trn/neg_log_likelihood  1.705e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.959e-06, val/acc 4.635e-02, val/nll 4.183e+00
[2023-02-03 21:33:15] [Epoch    39/  500] trn/posterior_energy  4.384e+05, trn/neg_log_likelihood  1.701e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.956e-06, val/acc 5.000e-02, val/nll 4.138e+00
[2023-02-03 21:33:18] [Epoch    40/  500] trn/posterior_energy  4.400e+05, trn/neg_log_likelihood  1.699e+05, trn/neg_log_prior  2.701e+05, trn/lr  2.954e-06, val/acc 5.299e-02, val/nll 4.177e+00
[2023-02-03 21:33:22] [Epoch    41/  500] trn/posterior_energy  4.387e+05, trn/neg_log_likelihood  1.702e+05, trn/neg_log_prior  2.685e+05, trn/lr  2.952e-06, val/acc 5.354e-02, val/nll 4.169e+00
[2023-02-03 21:33:26] [Epoch    42/  500] trn/posterior_energy  4.377e+05, trn/neg_log_likelihood  1.694e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.949e-06, val/acc 5.166e-02, val/nll 4.197e+00
[2023-02-03 21:33:30] [Epoch    43/  500] trn/posterior_energy  4.395e+05, trn/neg_log_likelihood  1.698e+05, trn/neg_log_prior  2.698e+05, trn/lr  2.947e-06, val/acc 5.354e-02, val/nll 4.136e+00
