[2023-02-06 15:40:30] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-06 15:40:30] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 100
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0100_lr-0.0000030_mo-0.99_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 15:42:39] [Cycle   1/ 30][Epoch  18/100] trn/posterior_energy  4.896e+05, trn/neg_log_likelihood  8.615e+04, trn/neg_log_prior  4.034e+05, trn/lr  2.779e-06, trn/temperature  1.000e+00, val/acc 1.840e-01, val/nll 2.187e+00
[2023-02-06 15:42:44] [Cycle   1/ 30][Epoch  19/100] trn/posterior_energy  5.008e+05, trn/neg_log_likelihood  8.699e+04, trn/neg_log_prior  4.138e+05, trn/lr  2.754e-06, trn/temperature  1.000e+00, val/acc 1.912e-01, val/nll 2.111e+00
[2023-02-06 15:42:49] [Cycle   1/ 30][Epoch  20/100] trn/posterior_energy  4.852e+05, trn/neg_log_likelihood  8.472e+04, trn/neg_log_prior  4.004e+05, trn/lr  2.727e-06, trn/temperature  1.000e+00, val/acc 2.278e-01, val/nll 2.029e+00
[2023-02-06 15:42:54] [Cycle   1/ 30][Epoch  21/100] trn/posterior_energy  4.834e+05, trn/neg_log_likelihood  8.372e+04, trn/neg_log_prior  3.997e+05, trn/lr  2.700e-06, trn/temperature  1.000e+00, val/acc 2.207e-01, val/nll 2.093e+00
[2023-02-06 15:43:00] [Cycle   1/ 30][Epoch  22/100] trn/posterior_energy  4.869e+05, trn/neg_log_likelihood  8.586e+04, trn/neg_log_prior  4.011e+05, trn/lr  2.671e-06, trn/temperature  1.000e+00, val/acc 2.112e-01, val/nll 2.119e+00
[2023-02-06 15:43:05] [Cycle   1/ 30][Epoch  23/100] trn/posterior_energy  4.866e+05, trn/neg_log_likelihood  8.542e+04, trn/neg_log_prior  4.012e+05, trn/lr  2.641e-06, trn/temperature  1.000e+00, val/acc 2.591e-01, val/nll 2.032e+00
[2023-02-06 15:43:10] [Cycle   1/ 30][Epoch  24/100] trn/posterior_energy  4.848e+05, trn/neg_log_likelihood  8.433e+04, trn/neg_log_prior  4.005e+05, trn/lr  2.609e-06, trn/temperature  1.000e+00, val/acc 2.362e-01, val/nll 2.068e+00
[2023-02-06 15:43:15] [Cycle   1/ 30][Epoch  25/100] trn/posterior_energy  4.848e+05, trn/neg_log_likelihood  8.467e+04, trn/neg_log_prior  4.001e+05, trn/lr  2.577e-06, trn/temperature  1.000e+00, val/acc 2.347e-01, val/nll 2.088e+00
[2023-02-06 15:43:21] [Cycle   1/ 30][Epoch  26/100] trn/posterior_energy  4.841e+05, trn/neg_log_likelihood  8.444e+04, trn/neg_log_prior  3.997e+05, trn/lr  2.544e-06, trn/temperature  1.000e+00, val/acc 2.368e-01, val/nll 2.014e+00
[2023-02-06 15:43:26] [Cycle   1/ 30][Epoch  27/100] trn/posterior_energy  4.842e+05, trn/neg_log_likelihood  8.404e+04, trn/neg_log_prior  4.002e+05, trn/lr  2.510e-06, trn/temperature  1.000e+00, val/acc 2.438e-01, val/nll 2.087e+00
