[2023-02-16 17:12:28] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 17:12:28] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.03
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.900_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0300_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 17:12:34] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 17:16:50] [Epoch    23/  200] trn/loss 1.756e+00, trn/lr 2.907e+00, trn/scale 1.257e-01, val/acc 1.355e-01, val/nll 2.620e+00
[2023-02-16 17:16:58] [Epoch    24/  200] trn/loss 1.782e+00, trn/lr 2.899e+00, trn/scale 1.220e-01, val/acc 1.230e-01, val/nll 5.954e+00
[2023-02-16 17:17:07] [Epoch    25/  200] trn/loss 1.985e+00, trn/lr 2.890e+00, trn/scale 1.189e-01, val/acc 1.783e-01, val/nll 2.242e+00
[2023-02-16 17:17:15] [Epoch    26/  200] trn/loss 1.988e+00, trn/lr 2.881e+00, trn/scale 1.163e-01, val/acc 1.144e-01, val/nll 3.185e+00
[2023-02-16 17:17:23] [Epoch    27/  200] trn/loss 1.994e+00, trn/lr 2.872e+00, trn/scale 1.140e-01, val/acc 1.679e-01, val/nll 2.552e+00
[2023-02-16 17:17:31] [Epoch    28/  200] trn/loss 2.010e+00, trn/lr 2.862e+00, trn/scale 1.121e-01, val/acc 1.860e-01, val/nll 2.171e+00
[2023-02-16 17:17:40] [Epoch    29/  200] trn/loss 2.169e+00, trn/lr 2.852e+00, trn/scale 1.105e-01, val/acc 1.668e-01, val/nll 2.144e+00
[2023-02-16 17:17:48] [Epoch    30/  200] trn/loss 2.160e+00, trn/lr 2.842e+00, trn/scale 1.091e-01, val/acc 9.281e-02, val/nll 2.620e+00
[2023-02-16 17:17:56] [Epoch    31/  200] trn/loss 2.148e+00, trn/lr 2.831e+00, trn/scale 1.079e-01, val/acc 1.254e-01, val/nll 3.307e+00
[2023-02-16 17:18:04] [Epoch    32/  200] trn/loss 2.143e+00, trn/lr 2.820e+00, trn/scale 1.068e-01, val/acc 9.812e-02, val/nll 2.538e+00
[2023-02-16 17:18:12] [Epoch    33/  200] trn/loss 2.146e+00, trn/lr 2.809e+00, trn/scale 1.060e-01, val/acc 9.823e-02, val/nll 2.524e+00
[2023-02-16 17:18:21] [Epoch    34/  200] trn/loss 2.179e+00, trn/lr 2.797e+00, trn/scale 1.052e-01, val/acc 1.055e-01, val/nll 2.535e+00
[2023-02-16 17:18:29] [Epoch    35/  200] trn/loss 2.223e+00, trn/lr 2.785e+00, trn/scale 1.046e-01, val/acc 9.978e-02, val/nll 2.501e+00
[2023-02-16 17:18:37] [Epoch    36/  200] trn/loss 2.197e+00, trn/lr 2.773e+00, trn/scale 1.041e-01, val/acc 9.978e-02, val/nll 2.513e+00
[2023-02-16 17:18:46] [Epoch    37/  200] trn/loss 2.212e+00, trn/lr 2.760e+00, trn/scale 1.036e-01, val/acc 1.499e-01, val/nll 2.210e+00
[2023-02-16 17:18:54] [Epoch    38/  200] trn/loss 2.196e+00, trn/lr 2.747e+00, trn/scale 1.032e-01, val/acc 1.710e-01, val/nll 2.153e+00
[2023-02-16 17:19:02] [Epoch    39/  200] trn/loss 2.193e+00, trn/lr 2.734e+00, trn/scale 1.029e-01, val/acc 9.978e-02, val/nll 2.405e+00
[2023-02-16 17:19:10] [Epoch    40/  200] trn/loss 2.292e+00, trn/lr 2.720e+00, trn/scale 1.026e-01, val/acc 1.397e-01, val/nll 2.229e+00
[2023-02-16 17:19:18] [Epoch    41/  200] trn/loss 2.153e+00, trn/lr 2.707e+00, trn/scale 1.024e-01, val/acc 1.250e-01, val/nll 2.382e+00
