[2023-02-05 13:19:36] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-05 13:19:36] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 50
- args.prior_precision   : 10.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0050_lr-0.0000030_mo-0.70_pr-02/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 13:20:10] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  1.656e+05, trn/neg_log_likelihood  8.387e+04, trn/neg_log_prior  8.177e+04, trn/lr  2.999e-06, trn/temperature  1.000e+00, val/acc 3.129e-01, val/nll 1.731e+00
[2023-02-05 13:20:14] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  1.625e+05, trn/neg_log_likelihood  6.864e+04, trn/neg_log_prior  9.390e+04, trn/lr  2.993e-06, trn/temperature  1.000e+00, val/acc 3.845e-01, val/nll 1.635e+00
[2023-02-05 13:20:19] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  1.673e+05, trn/neg_log_likelihood  6.231e+04, trn/neg_log_prior  1.050e+05, trn/lr  2.981e-06, trn/temperature  1.000e+00, val/acc 4.081e-01, val/nll 1.584e+00
[2023-02-05 13:20:24] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  1.734e+05, trn/neg_log_likelihood  5.841e+04, trn/neg_log_prior  1.150e+05, trn/lr  2.964e-06, trn/temperature  1.000e+00, val/acc 5.007e-01, val/nll 1.334e+00
[2023-02-05 13:20:28] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  1.788e+05, trn/neg_log_likelihood  5.484e+04, trn/neg_log_prior  1.240e+05, trn/lr  2.940e-06, trn/temperature  1.000e+00, val/acc 5.110e-01, val/nll 1.318e+00
[2023-02-05 13:20:33] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  1.841e+05, trn/neg_log_likelihood  5.220e+04, trn/neg_log_prior  1.319e+05, trn/lr  2.911e-06, trn/temperature  1.000e+00, val/acc 5.596e-01, val/nll 1.203e+00
[2023-02-05 13:20:37] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  1.887e+05, trn/neg_log_likelihood  4.950e+04, trn/neg_log_prior  1.392e+05, trn/lr  2.876e-06, trn/temperature  1.000e+00, val/acc 5.455e-01, val/nll 1.220e+00
[2023-02-05 13:20:41] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  1.932e+05, trn/neg_log_likelihood  4.770e+04, trn/neg_log_prior  1.455e+05, trn/lr  2.836e-06, trn/temperature  1.000e+00, val/acc 6.045e-01, val/nll 1.083e+00
[2023-02-05 13:20:46] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  1.967e+05, trn/neg_log_likelihood  4.563e+04, trn/neg_log_prior  1.511e+05, trn/lr  2.791e-06, trn/temperature  1.000e+00, val/acc 6.006e-01, val/nll 1.122e+00
[2023-02-05 13:20:50] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  2.004e+05, trn/neg_log_likelihood  4.433e+04, trn/neg_log_prior  1.561e+05, trn/lr  2.740e-06, trn/temperature  1.000e+00, val/acc 6.112e-01, val/nll 1.086e+00
[2023-02-05 13:20:54] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  2.038e+05, trn/neg_log_likelihood  4.311e+04, trn/neg_log_prior  1.607e+05, trn/lr  2.685e-06, trn/temperature  1.000e+00, val/acc 6.397e-01, val/nll 9.912e-01
[2023-02-05 13:20:59] [Cycle   1/ 30][Epoch  12/ 50] trn/posterior_energy  2.064e+05, trn/neg_log_likelihood  4.162e+04, trn/neg_log_prior  1.648e+05, trn/lr  2.625e-06, trn/temperature  1.000e+00, val/acc 6.306e-01, val/nll 1.025e+00
[2023-02-05 13:21:03] [Cycle   1/ 30][Epoch  13/ 50] trn/posterior_energy  2.090e+05, trn/neg_log_likelihood  4.037e+04, trn/neg_log_prior  1.686e+05, trn/lr  2.561e-06, trn/temperature  1.000e+00, val/acc 6.444e-01, val/nll 9.846e-01
[2023-02-05 13:21:08] [Cycle   1/ 30][Epoch  14/ 50] trn/posterior_energy  2.114e+05, trn/neg_log_likelihood  3.951e+04, trn/neg_log_prior  1.718e+05, trn/lr  2.492e-06, trn/temperature  1.000e+00, val/acc 6.527e-01, val/nll 9.801e-01
[2023-02-05 13:21:12] [Cycle   1/ 30][Epoch  15/ 50] trn/posterior_energy  2.134e+05, trn/neg_log_likelihood  3.866e+04, trn/neg_log_prior  1.747e+05, trn/lr  2.419e-06, trn/temperature  1.000e+00, val/acc 6.663e-01, val/nll 9.272e-01
[2023-02-05 13:21:16] [Cycle   1/ 30][Epoch  16/ 50] trn/posterior_energy  2.149e+05, trn/neg_log_likelihood  3.757e+04, trn/neg_log_prior  1.773e+05, trn/lr  2.343e-06, trn/temperature  1.000e+00, val/acc 6.706e-01, val/nll 9.410e-01
[2023-02-05 13:21:21] [Cycle   1/ 30][Epoch  17/ 50] trn/posterior_energy  2.161e+05, trn/neg_log_likelihood  3.659e+04, trn/neg_log_prior  1.795e+05, trn/lr  2.264e-06, trn/temperature  1.000e+00, val/acc 6.467e-01, val/nll 1.007e+00
[2023-02-05 13:21:25] [Cycle   1/ 30][Epoch  18/ 50] trn/posterior_energy  2.174e+05, trn/neg_log_likelihood  3.584e+04, trn/neg_log_prior  1.816e+05, trn/lr  2.181e-06, trn/temperature  1.000e+00, val/acc 6.988e-01, val/nll 8.675e-01
[2023-02-05 13:21:29] [Cycle   1/ 30][Epoch  19/ 50] trn/posterior_energy  2.188e+05, trn/neg_log_likelihood  3.524e+04, trn/neg_log_prior  1.835e+05, trn/lr  2.096e-06, trn/temperature  1.000e+00, val/acc 6.990e-01, val/nll 8.657e-01
[2023-02-05 13:21:34] [Cycle   1/ 30][Epoch  20/ 50] trn/posterior_energy  2.197e+05, trn/neg_log_likelihood  3.450e+04, trn/neg_log_prior  1.852e+05, trn/lr  2.008e-06, trn/temperature  1.000e+00, val/acc 6.954e-01, val/nll 8.629e-01
[2023-02-05 13:21:38] [Cycle   1/ 30][Epoch  21/ 50] trn/posterior_energy  2.206e+05, trn/neg_log_likelihood  3.385e+04, trn/neg_log_prior  1.867e+05, trn/lr  1.919e-06, trn/temperature  1.000e+00, val/acc 6.868e-01, val/nll 8.946e-01
[2023-02-05 13:21:42] [Cycle   1/ 30][Epoch  22/ 50] trn/posterior_energy  2.212e+05, trn/neg_log_likelihood  3.319e+04, trn/neg_log_prior  1.880e+05, trn/lr  1.827e-06, trn/temperature  1.000e+00, val/acc 6.939e-01, val/nll 8.447e-01
[2023-02-05 13:21:47] [Cycle   1/ 30][Epoch  23/ 50] trn/posterior_energy  2.216e+05, trn/neg_log_likelihood  3.249e+04, trn/neg_log_prior  1.892e+05, trn/lr  1.735e-06, trn/temperature  1.000e+00, val/acc 7.013e-01, val/nll 8.412e-01
[2023-02-05 13:21:51] [Cycle   1/ 30][Epoch  24/ 50] trn/posterior_energy  2.222e+05, trn/neg_log_likelihood  3.190e+04, trn/neg_log_prior  1.903e+05, trn/lr  1.641e-06, trn/temperature  1.000e+00, val/acc 7.001e-01, val/nll 8.667e-01
[2023-02-05 13:21:56] [Cycle   1/ 30][Epoch  25/ 50] trn/posterior_energy  2.225e+05, trn/neg_log_likelihood  3.138e+04, trn/neg_log_prior  1.911e+05, trn/lr  1.547e-06, trn/temperature  1.000e+00, val/acc 7.208e-01, val/nll 8.002e-01
[2023-02-05 13:22:00] [Cycle   1/ 30][Epoch  26/ 50] trn/posterior_energy  2.227e+05, trn/neg_log_likelihood  3.079e+04, trn/neg_log_prior  1.919e+05, trn/lr  1.453e-06, trn/temperature  1.000e+00, val/acc 7.312e-01, val/nll 7.671e-01
[2023-02-05 13:22:04] [Cycle   1/ 30][Epoch  27/ 50] trn/posterior_energy  2.227e+05, trn/neg_log_likelihood  3.017e+04, trn/neg_log_prior  1.925e+05, trn/lr  1.359e-06, trn/temperature  1.000e+00, val/acc 7.178e-01, val/nll 7.981e-01
[2023-02-05 13:22:09] [Cycle   1/ 30][Epoch  28/ 50] trn/posterior_energy  2.230e+05, trn/neg_log_likelihood  2.987e+04, trn/neg_log_prior  1.931e+05, trn/lr  1.265e-06, trn/temperature  1.000e+00, val/acc 7.381e-01, val/nll 7.604e-01
