[2023-02-10 23:12:37] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 23:12:37] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 23:12:51] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 23:17:07] [Epoch    23/  200] trn/loss 1.687e+00, trn/lr 9.691e-01, trn/scale 1.278e-01, val/acc 1.594e-01, val/nll 4.785e+00
[2023-02-10 23:17:15] [Epoch    24/  200] trn/loss 1.724e+00, trn/lr 9.663e-01, trn/scale 1.241e-01, val/acc 1.619e-01, val/nll 2.400e+00
[2023-02-10 23:17:24] [Epoch    25/  200] trn/loss 1.619e+00, trn/lr 9.634e-01, trn/scale 1.210e-01, val/acc 1.523e-01, val/nll 2.984e+00
[2023-02-10 23:17:32] [Epoch    26/  200] trn/loss 1.737e+00, trn/lr 9.604e-01, trn/scale 1.184e-01, val/acc 2.187e-01, val/nll 2.174e+00
[2023-02-10 23:17:40] [Epoch    27/  200] trn/loss 1.751e+00, trn/lr 9.573e-01, trn/scale 1.161e-01, val/acc 1.668e-01, val/nll 2.431e+00
[2023-02-10 23:17:48] [Epoch    28/  200] trn/loss 1.764e+00, trn/lr 9.541e-01, trn/scale 1.142e-01, val/acc 1.747e-01, val/nll 3.306e+00
[2023-02-10 23:17:56] [Epoch    29/  200] trn/loss 1.751e+00, trn/lr 9.507e-01, trn/scale 1.125e-01, val/acc 1.044e-01, val/nll 7.439e+00
[2023-02-10 23:18:05] [Epoch    30/  200] trn/loss 1.720e+00, trn/lr 9.473e-01, trn/scale 1.111e-01, val/acc 2.400e-01, val/nll 2.084e+00
[2023-02-10 23:18:13] [Epoch    31/  200] trn/loss 1.698e+00, trn/lr 9.437e-01, trn/scale 1.099e-01, val/acc 1.471e-01, val/nll 3.278e+00
[2023-02-10 23:18:21] [Epoch    32/  200] trn/loss 1.701e+00, trn/lr 9.400e-01, trn/scale 1.089e-01, val/acc 1.720e-01, val/nll 3.120e+00
[2023-02-10 23:18:29] [Epoch    33/  200] trn/loss 1.720e+00, trn/lr 9.363e-01, trn/scale 1.080e-01, val/acc 1.983e-01, val/nll 4.015e+00
[2023-02-10 23:18:37] [Epoch    34/  200] trn/loss 1.734e+00, trn/lr 9.324e-01, trn/scale 1.073e-01, val/acc 9.856e-02, val/nll 4.513e+00
[2023-02-10 23:18:45] [Epoch    35/  200] trn/loss 1.833e+00, trn/lr 9.284e-01, trn/scale 1.067e-01, val/acc 9.281e-02, val/nll 9.121e+00
[2023-02-10 23:18:54] [Epoch    36/  200] trn/loss 1.790e+00, trn/lr 9.243e-01, trn/scale 1.061e-01, val/acc 2.143e-01, val/nll 2.391e+00
[2023-02-10 23:19:02] [Epoch    37/  200] trn/loss 1.802e+00, trn/lr 9.201e-01, trn/scale 1.057e-01, val/acc 1.774e-01, val/nll 2.511e+00
[2023-02-10 23:19:10] [Epoch    38/  200] trn/loss 1.800e+00, trn/lr 9.157e-01, trn/scale 1.053e-01, val/acc 2.463e-01, val/nll 2.084e+00
