[2023-02-05 00:32:25] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-05 00:32:25] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 90
- args.num_epochs_noisy  : 10
- args.prior_precision   : 10.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0090-0010_lr-0.0000001_mo-0.99_pr-02/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 00:33:05] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  1.690e+05, trn/neg_log_likelihood  9.357e+04, trn/neg_log_prior  7.540e+04, trn/lr  9.999e-08, trn/temperature  0.000e+00, val/acc 1.770e-01, val/nll 2.194e+00
[2023-02-05 00:33:10] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  1.506e+05, trn/neg_log_likelihood  7.567e+04, trn/neg_log_prior  7.497e+04, trn/lr  9.994e-08, trn/temperature  0.000e+00, val/acc 3.522e-01, val/nll 1.708e+00
[2023-02-05 00:33:16] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  1.414e+05, trn/neg_log_likelihood  6.683e+04, trn/neg_log_prior  7.456e+04, trn/lr  9.984e-08, trn/temperature  0.000e+00, val/acc 4.003e-01, val/nll 1.557e+00
[2023-02-05 00:33:21] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  1.343e+05, trn/neg_log_likelihood  6.012e+04, trn/neg_log_prior  7.420e+04, trn/lr  9.970e-08, trn/temperature  0.000e+00, val/acc 4.873e-01, val/nll 1.368e+00
[2023-02-05 00:33:27] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  1.284e+05, trn/neg_log_likelihood  5.446e+04, trn/neg_log_prior  7.393e+04, trn/lr  9.950e-08, trn/temperature  0.000e+00, val/acc 5.148e-01, val/nll 1.298e+00
[2023-02-05 00:33:32] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  1.252e+05, trn/neg_log_likelihood  5.141e+04, trn/neg_log_prior  7.381e+04, trn/lr  9.925e-08, trn/temperature  0.000e+00, val/acc 5.460e-01, val/nll 1.219e+00
[2023-02-05 00:33:38] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  1.207e+05, trn/neg_log_likelihood  4.690e+04, trn/neg_log_prior  7.378e+04, trn/lr  9.896e-08, trn/temperature  0.000e+00, val/acc 5.946e-01, val/nll 1.096e+00
[2023-02-05 00:33:43] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  1.159e+05, trn/neg_log_likelihood  4.214e+04, trn/neg_log_prior  7.378e+04, trn/lr  9.862e-08, trn/temperature  0.000e+00, val/acc 6.390e-01, val/nll 9.898e-01
[2023-02-05 00:33:48] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  1.120e+05, trn/neg_log_likelihood  3.823e+04, trn/neg_log_prior  7.378e+04, trn/lr  9.823e-08, trn/temperature  0.000e+00, val/acc 6.468e-01, val/nll 9.594e-01
[2023-02-05 00:33:54] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  1.092e+05, trn/neg_log_likelihood  3.533e+04, trn/neg_log_prior  7.383e+04, trn/lr  9.779e-08, trn/temperature  0.000e+00, val/acc 6.707e-01, val/nll 9.233e-01
[2023-02-05 00:33:59] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  1.073e+05, trn/neg_log_likelihood  3.339e+04, trn/neg_log_prior  7.394e+04, trn/lr  9.730e-08, trn/temperature  0.000e+00, val/acc 7.013e-01, val/nll 8.539e-01
[2023-02-05 00:34:05] [Cycle   1/ 30][Epoch  12/100] trn/posterior_energy  1.040e+05, trn/neg_log_likelihood  2.996e+04, trn/neg_log_prior  7.405e+04, trn/lr  9.677e-08, trn/temperature  0.000e+00, val/acc 6.899e-01, val/nll 8.910e-01
[2023-02-05 00:34:10] [Cycle   1/ 30][Epoch  13/100] trn/posterior_energy  1.038e+05, trn/neg_log_likelihood  2.962e+04, trn/neg_log_prior  7.414e+04, trn/lr  9.619e-08, trn/temperature  0.000e+00, val/acc 7.152e-01, val/nll 8.157e-01
[2023-02-05 00:34:16] [Cycle   1/ 30][Epoch  14/100] trn/posterior_energy  1.020e+05, trn/neg_log_likelihood  2.769e+04, trn/neg_log_prior  7.431e+04, trn/lr  9.557e-08, trn/temperature  0.000e+00, val/acc 7.225e-01, val/nll 8.005e-01
[2023-02-05 00:34:21] [Cycle   1/ 30][Epoch  15/100] trn/posterior_energy  9.991e+04, trn/neg_log_likelihood  2.549e+04, trn/neg_log_prior  7.442e+04, trn/lr  9.490e-08, trn/temperature  0.000e+00, val/acc 7.291e-01, val/nll 7.990e-01
[2023-02-05 00:34:27] [Cycle   1/ 30][Epoch  16/100] trn/posterior_energy  9.812e+04, trn/neg_log_likelihood  2.361e+04, trn/neg_log_prior  7.452e+04, trn/lr  9.419e-08, trn/temperature  0.000e+00, val/acc 7.405e-01, val/nll 7.588e-01
[2023-02-05 00:34:32] [Cycle   1/ 30][Epoch  17/100] trn/posterior_energy  9.756e+04, trn/neg_log_likelihood  2.293e+04, trn/neg_log_prior  7.463e+04, trn/lr  9.343e-08, trn/temperature  0.000e+00, val/acc 7.517e-01, val/nll 7.249e-01
[2023-02-05 00:34:38] [Cycle   1/ 30][Epoch  18/100] trn/posterior_energy  9.660e+04, trn/neg_log_likelihood  2.183e+04, trn/neg_log_prior  7.477e+04, trn/lr  9.263e-08, trn/temperature  0.000e+00, val/acc 7.587e-01, val/nll 7.202e-01
