[2023-02-05 09:08:47] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-05 09:08:47] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000001_mo-0.99_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 09:09:20] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  5.172e+05, trn/neg_log_likelihood  9.443e+04, trn/neg_log_prior  4.228e+05, trn/lr  9.997e-08, trn/temperature  0.000e+00, val/acc 2.044e-01, val/nll 2.111e+00
[2023-02-05 09:09:25] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  4.621e+05, trn/neg_log_likelihood  7.760e+04, trn/neg_log_prior  3.845e+05, trn/lr  9.977e-08, trn/temperature  0.000e+00, val/acc 2.757e-01, val/nll 1.860e+00
[2023-02-05 09:09:29] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  4.388e+05, trn/neg_log_likelihood  7.041e+04, trn/neg_log_prior  3.684e+05, trn/lr  9.938e-08, trn/temperature  0.000e+00, val/acc 3.896e-01, val/nll 1.633e+00
[2023-02-05 09:09:33] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  4.289e+05, trn/neg_log_likelihood  6.588e+04, trn/neg_log_prior  3.630e+05, trn/lr  9.879e-08, trn/temperature  0.000e+00, val/acc 4.071e-01, val/nll 1.598e+00
[2023-02-05 09:09:37] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  4.237e+05, trn/neg_log_likelihood  6.229e+04, trn/neg_log_prior  3.614e+05, trn/lr  9.801e-08, trn/temperature  0.000e+00, val/acc 4.718e-01, val/nll 1.425e+00
[2023-02-05 09:09:42] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  4.190e+05, trn/neg_log_likelihood  5.767e+04, trn/neg_log_prior  3.613e+05, trn/lr  9.704e-08, trn/temperature  0.000e+00, val/acc 5.056e-01, val/nll 1.381e+00
[2023-02-05 09:09:46] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  4.183e+05, trn/neg_log_likelihood  5.614e+04, trn/neg_log_prior  3.622e+05, trn/lr  9.588e-08, trn/temperature  0.000e+00, val/acc 5.197e-01, val/nll 1.333e+00
[2023-02-05 09:09:50] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  4.177e+05, trn/neg_log_likelihood  5.433e+04, trn/neg_log_prior  3.634e+05, trn/lr  9.454e-08, trn/temperature  0.000e+00, val/acc 5.042e-01, val/nll 1.365e+00
[2023-02-05 09:09:54] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  4.164e+05, trn/neg_log_likelihood  5.226e+04, trn/neg_log_prior  3.642e+05, trn/lr  9.303e-08, trn/temperature  0.000e+00, val/acc 5.243e-01, val/nll 1.276e+00
[2023-02-05 09:09:58] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  4.149e+05, trn/neg_log_likelihood  5.064e+04, trn/neg_log_prior  3.643e+05, trn/lr  9.135e-08, trn/temperature  0.000e+00, val/acc 5.757e-01, val/nll 1.191e+00
[2023-02-05 09:10:02] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  4.117e+05, trn/neg_log_likelihood  4.751e+04, trn/neg_log_prior  3.642e+05, trn/lr  8.950e-08, trn/temperature  0.000e+00, val/acc 5.812e-01, val/nll 1.158e+00
