[2023-02-04 04:37:29] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 04:37:29] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 45
- args.num_epochs_noisy  : 5
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0045-0005_lr-0.0000003_mo-0.70_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 04:38:03] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  3.868e+05, trn/neg_log_likelihood  8.674e+04, trn/neg_log_prior  3.001e+05, trn/lr  2.999e-07, trn/temperature  0.000e+00, val/acc 3.249e-01, val/nll 1.845e+00
[2023-02-04 04:38:07] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  3.706e+05, trn/neg_log_likelihood  7.215e+04, trn/neg_log_prior  2.985e+05, trn/lr  2.993e-07, trn/temperature  0.000e+00, val/acc 3.967e-01, val/nll 1.655e+00
[2023-02-04 04:38:11] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  3.623e+05, trn/neg_log_likelihood  6.533e+04, trn/neg_log_prior  2.970e+05, trn/lr  2.981e-07, trn/temperature  0.000e+00, val/acc 4.077e-01, val/nll 1.608e+00
[2023-02-04 04:38:16] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  3.567e+05, trn/neg_log_likelihood  6.114e+04, trn/neg_log_prior  2.956e+05, trn/lr  2.964e-07, trn/temperature  0.000e+00, val/acc 4.667e-01, val/nll 1.442e+00
[2023-02-04 04:38:20] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  3.520e+05, trn/neg_log_likelihood  5.786e+04, trn/neg_log_prior  2.942e+05, trn/lr  2.940e-07, trn/temperature  0.000e+00, val/acc 4.753e-01, val/nll 1.413e+00
[2023-02-04 04:38:24] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  3.483e+05, trn/neg_log_likelihood  5.545e+04, trn/neg_log_prior  2.929e+05, trn/lr  2.911e-07, trn/temperature  0.000e+00, val/acc 5.034e-01, val/nll 1.337e+00
[2023-02-04 04:38:28] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  3.443e+05, trn/neg_log_likelihood  5.262e+04, trn/neg_log_prior  2.916e+05, trn/lr  2.876e-07, trn/temperature  0.000e+00, val/acc 5.335e-01, val/nll 1.263e+00
[2023-02-04 04:38:33] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  3.411e+05, trn/neg_log_likelihood  5.065e+04, trn/neg_log_prior  2.905e+05, trn/lr  2.836e-07, trn/temperature  0.000e+00, val/acc 5.639e-01, val/nll 1.201e+00
[2023-02-04 04:38:37] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  3.375e+05, trn/neg_log_likelihood  4.814e+04, trn/neg_log_prior  2.894e+05, trn/lr  2.791e-07, trn/temperature  0.000e+00, val/acc 5.468e-01, val/nll 1.252e+00
[2023-02-04 04:38:41] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  3.346e+05, trn/neg_log_likelihood  4.619e+04, trn/neg_log_prior  2.884e+05, trn/lr  2.740e-07, trn/temperature  0.000e+00, val/acc 5.862e-01, val/nll 1.136e+00
[2023-02-04 04:38:45] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  3.316e+05, trn/neg_log_likelihood  4.416e+04, trn/neg_log_prior  2.874e+05, trn/lr  2.685e-07, trn/temperature  0.000e+00, val/acc 6.212e-01, val/nll 1.047e+00
