[2023-02-08 16:31:39] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-08 16:31:39] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 100
- args.num_epochs_noisy  : 0
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0100-0000_lr-0.0000010_mo-0.70_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-08 16:32:14] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  3.794e+05, trn/neg_log_likelihood  8.126e+04, trn/neg_log_prior  2.982e+05, trn/lr  9.999e-07, trn/temperature  0.000e+00, val/acc 3.664e-01, val/nll 1.692e+00
[2023-02-08 16:32:18] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  3.599e+05, trn/neg_log_likelihood  6.651e+04, trn/neg_log_prior  2.934e+05, trn/lr  9.994e-07, trn/temperature  0.000e+00, val/acc 4.290e-01, val/nll 1.548e+00
[2023-02-08 16:32:23] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  3.503e+05, trn/neg_log_likelihood  6.100e+04, trn/neg_log_prior  2.893e+05, trn/lr  9.984e-07, trn/temperature  0.000e+00, val/acc 4.313e-01, val/nll 1.568e+00
[2023-02-08 16:32:27] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  3.430e+05, trn/neg_log_likelihood  5.719e+04, trn/neg_log_prior  2.858e+05, trn/lr  9.970e-07, trn/temperature  0.000e+00, val/acc 5.090e-01, val/nll 1.329e+00
[2023-02-08 16:32:31] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  3.358e+05, trn/neg_log_likelihood  5.300e+04, trn/neg_log_prior  2.828e+05, trn/lr  9.950e-07, trn/temperature  0.000e+00, val/acc 5.515e-01, val/nll 1.226e+00
[2023-02-08 16:32:35] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  3.299e+05, trn/neg_log_likelihood  4.958e+04, trn/neg_log_prior  2.804e+05, trn/lr  9.925e-07, trn/temperature  0.000e+00, val/acc 6.028e-01, val/nll 1.105e+00
[2023-02-08 16:32:40] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  3.237e+05, trn/neg_log_likelihood  4.533e+04, trn/neg_log_prior  2.783e+05, trn/lr  9.896e-07, trn/temperature  0.000e+00, val/acc 6.015e-01, val/nll 1.084e+00
[2023-02-08 16:32:44] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  3.187e+05, trn/neg_log_likelihood  4.198e+04, trn/neg_log_prior  2.767e+05, trn/lr  9.862e-07, trn/temperature  0.000e+00, val/acc 6.457e-01, val/nll 9.811e-01
[2023-02-08 16:32:48] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  3.139e+05, trn/neg_log_likelihood  3.863e+04, trn/neg_log_prior  2.753e+05, trn/lr  9.823e-07, trn/temperature  0.000e+00, val/acc 6.725e-01, val/nll 9.144e-01
[2023-02-08 16:32:52] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  3.101e+05, trn/neg_log_likelihood  3.596e+04, trn/neg_log_prior  2.741e+05, trn/lr  9.779e-07, trn/temperature  0.000e+00, val/acc 6.712e-01, val/nll 9.559e-01
[2023-02-08 16:32:57] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  3.068e+05, trn/neg_log_likelihood  3.366e+04, trn/neg_log_prior  2.731e+05, trn/lr  9.730e-07, trn/temperature  0.000e+00, val/acc 7.088e-01, val/nll 8.247e-01
[2023-02-08 16:33:01] [Cycle   1/ 30][Epoch  12/100] trn/posterior_energy  3.038e+05, trn/neg_log_likelihood  3.149e+04, trn/neg_log_prior  2.723e+05, trn/lr  9.677e-07, trn/temperature  0.000e+00, val/acc 7.177e-01, val/nll 8.040e-01
[2023-02-08 16:33:05] [Cycle   1/ 30][Epoch  13/100] trn/posterior_energy  3.014e+05, trn/neg_log_likelihood  2.973e+04, trn/neg_log_prior  2.717e+05, trn/lr  9.619e-07, trn/temperature  0.000e+00, val/acc 7.284e-01, val/nll 7.772e-01
[2023-02-08 16:33:09] [Cycle   1/ 30][Epoch  14/100] trn/posterior_energy  2.995e+05, trn/neg_log_likelihood  2.836e+04, trn/neg_log_prior  2.711e+05, trn/lr  9.557e-07, trn/temperature  0.000e+00, val/acc 7.575e-01, val/nll 7.101e-01
[2023-02-08 16:33:14] [Cycle   1/ 30][Epoch  15/100] trn/posterior_energy  2.974e+05, trn/neg_log_likelihood  2.672e+04, trn/neg_log_prior  2.707e+05, trn/lr  9.490e-07, trn/temperature  0.000e+00, val/acc 7.616e-01, val/nll 6.911e-01
[2023-02-08 16:33:18] [Cycle   1/ 30][Epoch  16/100] trn/posterior_energy  2.956e+05, trn/neg_log_likelihood  2.524e+04, trn/neg_log_prior  2.704e+05, trn/lr  9.419e-07, trn/temperature  0.000e+00, val/acc 7.522e-01, val/nll 7.266e-01
[2023-02-08 16:33:22] [Cycle   1/ 30][Epoch  17/100] trn/posterior_energy  2.941e+05, trn/neg_log_likelihood  2.403e+04, trn/neg_log_prior  2.701e+05, trn/lr  9.343e-07, trn/temperature  0.000e+00, val/acc 7.469e-01, val/nll 7.594e-01
[2023-02-08 16:33:26] [Cycle   1/ 30][Epoch  18/100] trn/posterior_energy  2.925e+05, trn/neg_log_likelihood  2.261e+04, trn/neg_log_prior  2.699e+05, trn/lr  9.263e-07, trn/temperature  0.000e+00, val/acc 7.681e-01, val/nll 6.730e-01
[2023-02-08 16:33:31] [Cycle   1/ 30][Epoch  19/100] trn/posterior_energy  2.916e+05, trn/neg_log_likelihood  2.186e+04, trn/neg_log_prior  2.698e+05, trn/lr  9.179e-07, trn/temperature  0.000e+00, val/acc 7.852e-01, val/nll 6.450e-01
[2023-02-08 16:33:35] [Cycle   1/ 30][Epoch  20/100] trn/posterior_energy  2.905e+05, trn/neg_log_likelihood  2.082e+04, trn/neg_log_prior  2.697e+05, trn/lr  9.091e-07, trn/temperature  0.000e+00, val/acc 7.670e-01, val/nll 6.903e-01
[2023-02-08 16:33:39] [Cycle   1/ 30][Epoch  21/100] trn/posterior_energy  2.895e+05, trn/neg_log_likelihood  1.987e+04, trn/neg_log_prior  2.696e+05, trn/lr  8.998e-07, trn/temperature  0.000e+00, val/acc 7.954e-01, val/nll 6.242e-01
[2023-02-08 16:33:44] [Cycle   1/ 30][Epoch  22/100] trn/posterior_energy  2.886e+05, trn/neg_log_likelihood  1.905e+04, trn/neg_log_prior  2.696e+05, trn/lr  8.902e-07, trn/temperature  0.000e+00, val/acc 7.851e-01, val/nll 6.388e-01
[2023-02-08 16:33:48] [Cycle   1/ 30][Epoch  23/100] trn/posterior_energy  2.871e+05, trn/neg_log_likelihood  1.757e+04, trn/neg_log_prior  2.696e+05, trn/lr  8.802e-07, trn/temperature  0.000e+00, val/acc 7.763e-01, val/nll 6.776e-01
[2023-02-08 16:33:52] [Cycle   1/ 30][Epoch  24/100] trn/posterior_energy  2.876e+05, trn/neg_log_likelihood  1.795e+04, trn/neg_log_prior  2.696e+05, trn/lr  8.698e-07, trn/temperature  0.000e+00, val/acc 7.867e-01, val/nll 6.509e-01
[2023-02-08 16:33:56] [Cycle   1/ 30][Epoch  25/100] trn/posterior_energy  2.864e+05, trn/neg_log_likelihood  1.675e+04, trn/neg_log_prior  2.697e+05, trn/lr  8.591e-07, trn/temperature  0.000e+00, val/acc 8.086e-01, val/nll 5.766e-01
[2023-02-08 16:34:00] [Cycle   1/ 30][Epoch  26/100] trn/posterior_energy  2.856e+05, trn/neg_log_likelihood  1.585e+04, trn/neg_log_prior  2.697e+05, trn/lr  8.480e-07, trn/temperature  0.000e+00, val/acc 7.958e-01, val/nll 6.144e-01
[2023-02-08 16:34:04] [Cycle   1/ 30][Epoch  27/100] trn/posterior_energy  2.851e+05, trn/neg_log_likelihood  1.532e+04, trn/neg_log_prior  2.698e+05, trn/lr  8.365e-07, trn/temperature  0.000e+00, val/acc 7.666e-01, val/nll 7.135e-01
[2023-02-08 16:34:09] [Cycle   1/ 30][Epoch  28/100] trn/posterior_energy  2.847e+05, trn/neg_log_likelihood  1.488e+04, trn/neg_log_prior  2.698e+05, trn/lr  8.247e-07, trn/temperature  0.000e+00, val/acc 7.920e-01, val/nll 6.421e-01
[2023-02-08 16:34:13] [Cycle   1/ 30][Epoch  29/100] trn/posterior_energy  2.840e+05, trn/neg_log_likelihood  1.412e+04, trn/neg_log_prior  2.699e+05, trn/lr  8.126e-07, trn/temperature  0.000e+00, val/acc 8.034e-01, val/nll 6.078e-01
[2023-02-08 16:34:17] [Cycle   1/ 30][Epoch  30/100] trn/posterior_energy  2.831e+05, trn/neg_log_likelihood  1.315e+04, trn/neg_log_prior  2.700e+05, trn/lr  8.002e-07, trn/temperature  0.000e+00, val/acc 7.923e-01, val/nll 6.618e-01
[2023-02-08 16:34:21] [Cycle   1/ 30][Epoch  31/100] trn/posterior_energy  2.827e+05, trn/neg_log_likelihood  1.275e+04, trn/neg_log_prior  2.700e+05, trn/lr  7.875e-07, trn/temperature  0.000e+00, val/acc 8.044e-01, val/nll 6.116e-01
[2023-02-08 16:34:25] [Cycle   1/ 30][Epoch  32/100] trn/posterior_energy  2.824e+05, trn/neg_log_likelihood  1.237e+04, trn/neg_log_prior  2.701e+05, trn/lr  7.745e-07, trn/temperature  0.000e+00, val/acc 8.028e-01, val/nll 6.025e-01
[2023-02-08 16:34:30] [Cycle   1/ 30][Epoch  33/100] trn/posterior_energy  2.815e+05, trn/neg_log_likelihood  1.135e+04, trn/neg_log_prior  2.701e+05, trn/lr  7.613e-07, trn/temperature  0.000e+00, val/acc 8.030e-01, val/nll 6.211e-01
[2023-02-08 16:34:34] [Cycle   1/ 30][Epoch  34/100] trn/posterior_energy  2.813e+05, trn/neg_log_likelihood  1.120e+04, trn/neg_log_prior  2.701e+05, trn/lr  7.477e-07, trn/temperature  0.000e+00, val/acc 8.093e-01, val/nll 5.840e-01
[2023-02-08 16:34:38] [Cycle   1/ 30][Epoch  35/100] trn/posterior_energy  2.807e+05, trn/neg_log_likelihood  1.056e+04, trn/neg_log_prior  2.702e+05, trn/lr  7.340e-07, trn/temperature  0.000e+00, val/acc 8.174e-01, val/nll 5.819e-01
[2023-02-08 16:34:42] [Cycle   1/ 30][Epoch  36/100] trn/posterior_energy  2.806e+05, trn/neg_log_likelihood  1.038e+04, trn/neg_log_prior  2.702e+05, trn/lr  7.200e-07, trn/temperature  0.000e+00, val/acc 8.015e-01, val/nll 6.293e-01
[2023-02-08 16:34:46] [Cycle   1/ 30][Epoch  37/100] trn/posterior_energy  2.801e+05, trn/neg_log_likelihood  9.861e+03, trn/neg_log_prior  2.702e+05, trn/lr  7.058e-07, trn/temperature  0.000e+00, val/acc 8.031e-01, val/nll 6.351e-01
[2023-02-08 16:34:50] [Cycle   1/ 30][Epoch  38/100] trn/posterior_energy  2.794e+05, trn/neg_log_likelihood  9.204e+03, trn/neg_log_prior  2.702e+05, trn/lr  6.913e-07, trn/temperature  0.000e+00, val/acc 7.871e-01, val/nll 6.914e-01
[2023-02-08 16:34:55] [Cycle   1/ 30][Epoch  39/100] trn/posterior_energy  2.790e+05, trn/neg_log_likelihood  8.762e+03, trn/neg_log_prior  2.702e+05, trn/lr  6.767e-07, trn/temperature  0.000e+00, val/acc 8.112e-01, val/nll 6.054e-01
