[2023-02-06 14:59:24] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-06 14:59:24] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 90
- args.num_epochs_noisy  : 10
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0090-0010_lr-0.0000030_mo-0.97_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 15:00:04] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  6.559e+04, trn/neg_log_likelihood  8.768e+04, trn/neg_log_prior -2.209e+04, trn/lr  3.000e-06, trn/temperature  0.000e+00, val/acc 2.948e-01, val/nll 1.889e+00
[2023-02-06 15:00:09] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  5.022e+04, trn/neg_log_likelihood  7.369e+04, trn/neg_log_prior -2.348e+04, trn/lr  2.998e-06, trn/temperature  0.000e+00, val/acc 3.378e-01, val/nll 1.854e+00
[2023-02-06 15:00:15] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  4.280e+04, trn/neg_log_likelihood  6.665e+04, trn/neg_log_prior -2.385e+04, trn/lr  2.995e-06, trn/temperature  0.000e+00, val/acc 3.806e-01, val/nll 1.670e+00
[2023-02-06 15:00:20] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  3.779e+04, trn/neg_log_likelihood  6.171e+04, trn/neg_log_prior -2.392e+04, trn/lr  2.991e-06, trn/temperature  0.000e+00, val/acc 4.711e-01, val/nll 1.449e+00
[2023-02-06 15:00:25] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  3.564e+04, trn/neg_log_likelihood  5.918e+04, trn/neg_log_prior -2.354e+04, trn/lr  2.985e-06, trn/temperature  0.000e+00, val/acc 4.864e-01, val/nll 1.395e+00
[2023-02-06 15:00:30] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  3.274e+04, trn/neg_log_likelihood  5.567e+04, trn/neg_log_prior -2.293e+04, trn/lr  2.978e-06, trn/temperature  0.000e+00, val/acc 5.414e-01, val/nll 1.274e+00
[2023-02-06 15:00:35] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  3.123e+04, trn/neg_log_likelihood  5.362e+04, trn/neg_log_prior -2.239e+04, trn/lr  2.969e-06, trn/temperature  0.000e+00, val/acc 5.279e-01, val/nll 1.301e+00
[2023-02-06 15:00:40] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  2.859e+04, trn/neg_log_likelihood  5.028e+04, trn/neg_log_prior -2.169e+04, trn/lr  2.959e-06, trn/temperature  0.000e+00, val/acc 5.457e-01, val/nll 1.288e+00
[2023-02-06 15:00:45] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  2.714e+04, trn/neg_log_likelihood  4.816e+04, trn/neg_log_prior -2.103e+04, trn/lr  2.947e-06, trn/temperature  0.000e+00, val/acc 5.476e-01, val/nll 1.261e+00
[2023-02-06 15:00:50] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  2.507e+04, trn/neg_log_likelihood  4.513e+04, trn/neg_log_prior -2.006e+04, trn/lr  2.934e-06, trn/temperature  0.000e+00, val/acc 6.313e-01, val/nll 1.071e+00
[2023-02-06 15:00:56] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  2.258e+04, trn/neg_log_likelihood  4.199e+04, trn/neg_log_prior -1.941e+04, trn/lr  2.919e-06, trn/temperature  0.000e+00, val/acc 6.471e-01, val/nll 1.000e+00
