[2023-02-08 13:51:03] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-08 13:51:03] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 200
- args.prior_precision   : 10.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0200_lr-0.0000030_mo-0.90_pr-02/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-08 13:51:44] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy  1.772e+05, trn/neg_log_likelihood  8.409e+04, trn/neg_log_prior  9.307e+04, trn/lr  3.000e-06, trn/temperature  1.000e+00, val/acc 3.523e-01, val/nll 1.722e+00
[2023-02-08 13:51:50] [Cycle   1/ 30][Epoch   2/200] trn/posterior_energy  1.913e+05, trn/neg_log_likelihood  6.797e+04, trn/neg_log_prior  1.233e+05, trn/lr  3.000e-06, trn/temperature  1.000e+00, val/acc 4.455e-01, val/nll 1.499e+00
[2023-02-08 13:51:55] [Cycle   1/ 30][Epoch   3/200] trn/posterior_energy  2.080e+05, trn/neg_log_likelihood  6.231e+04, trn/neg_log_prior  1.457e+05, trn/lr  2.999e-06, trn/temperature  1.000e+00, val/acc 4.725e-01, val/nll 1.411e+00
[2023-02-08 13:52:00] [Cycle   1/ 30][Epoch   4/200] trn/posterior_energy  2.206e+05, trn/neg_log_likelihood  5.830e+04, trn/neg_log_prior  1.623e+05, trn/lr  2.998e-06, trn/temperature  1.000e+00, val/acc 4.919e-01, val/nll 1.382e+00
[2023-02-08 13:52:06] [Cycle   1/ 30][Epoch   5/200] trn/posterior_energy  2.304e+05, trn/neg_log_likelihood  5.587e+04, trn/neg_log_prior  1.746e+05, trn/lr  2.996e-06, trn/temperature  1.000e+00, val/acc 5.139e-01, val/nll 1.313e+00
[2023-02-08 13:52:11] [Cycle   1/ 30][Epoch   6/200] trn/posterior_energy  2.369e+05, trn/neg_log_likelihood  5.342e+04, trn/neg_log_prior  1.835e+05, trn/lr  2.994e-06, trn/temperature  1.000e+00, val/acc 5.111e-01, val/nll 1.328e+00
[2023-02-08 13:52:16] [Cycle   1/ 30][Epoch   7/200] trn/posterior_energy  2.417e+05, trn/neg_log_likelihood  5.117e+04, trn/neg_log_prior  1.906e+05, trn/lr  2.992e-06, trn/temperature  1.000e+00, val/acc 5.201e-01, val/nll 1.308e+00
[2023-02-08 13:52:22] [Cycle   1/ 30][Epoch   8/200] trn/posterior_energy  2.443e+05, trn/neg_log_likelihood  4.901e+04, trn/neg_log_prior  1.953e+05, trn/lr  2.990e-06, trn/temperature  1.000e+00, val/acc 5.500e-01, val/nll 1.229e+00
[2023-02-08 13:52:27] [Cycle   1/ 30][Epoch   9/200] trn/posterior_energy  2.454e+05, trn/neg_log_likelihood  4.663e+04, trn/neg_log_prior  1.987e+05, trn/lr  2.987e-06, trn/temperature  1.000e+00, val/acc 5.989e-01, val/nll 1.119e+00
[2023-02-08 13:52:32] [Cycle   1/ 30][Epoch  10/200] trn/posterior_energy  2.462e+05, trn/neg_log_likelihood  4.482e+04, trn/neg_log_prior  2.014e+05, trn/lr  2.983e-06, trn/temperature  1.000e+00, val/acc 6.056e-01, val/nll 1.107e+00
[2023-02-08 13:52:38] [Cycle   1/ 30][Epoch  11/200] trn/posterior_energy  2.467e+05, trn/neg_log_likelihood  4.305e+04, trn/neg_log_prior  2.036e+05, trn/lr  2.980e-06, trn/temperature  1.000e+00, val/acc 6.383e-01, val/nll 1.018e+00
[2023-02-08 13:52:43] [Cycle   1/ 30][Epoch  12/200] trn/posterior_energy  2.471e+05, trn/neg_log_likelihood  4.165e+04, trn/neg_log_prior  2.054e+05, trn/lr  2.976e-06, trn/temperature  1.000e+00, val/acc 6.363e-01, val/nll 1.035e+00
[2023-02-08 13:52:49] [Cycle   1/ 30][Epoch  13/200] trn/posterior_energy  2.471e+05, trn/neg_log_likelihood  4.018e+04, trn/neg_log_prior  2.069e+05, trn/lr  2.971e-06, trn/temperature  1.000e+00, val/acc 6.604e-01, val/nll 9.614e-01
[2023-02-08 13:52:54] [Cycle   1/ 30][Epoch  14/200] trn/posterior_energy  2.478e+05, trn/neg_log_likelihood  4.001e+04, trn/neg_log_prior  2.077e+05, trn/lr  2.966e-06, trn/temperature  1.000e+00, val/acc 6.413e-01, val/nll 1.003e+00
[2023-02-08 13:52:59] [Cycle   1/ 30][Epoch  15/200] trn/posterior_energy  2.476e+05, trn/neg_log_likelihood  3.912e+04, trn/neg_log_prior  2.084e+05, trn/lr  2.961e-06, trn/temperature  1.000e+00, val/acc 6.542e-01, val/nll 9.747e-01
[2023-02-08 13:53:05] [Cycle   1/ 30][Epoch  16/200] trn/posterior_energy  2.470e+05, trn/neg_log_likelihood  3.819e+04, trn/neg_log_prior  2.088e+05, trn/lr  2.956e-06, trn/temperature  1.000e+00, val/acc 6.688e-01, val/nll 9.453e-01
[2023-02-08 13:53:10] [Cycle   1/ 30][Epoch  17/200] trn/posterior_energy  2.467e+05, trn/neg_log_likelihood  3.756e+04, trn/neg_log_prior  2.091e+05, trn/lr  2.950e-06, trn/temperature  1.000e+00, val/acc 6.772e-01, val/nll 9.192e-01
[2023-02-08 13:53:16] [Cycle   1/ 30][Epoch  18/200] trn/posterior_energy  2.465e+05, trn/neg_log_likelihood  3.686e+04, trn/neg_log_prior  2.096e+05, trn/lr  2.944e-06, trn/temperature  1.000e+00, val/acc 6.754e-01, val/nll 9.122e-01
[2023-02-08 13:53:21] [Cycle   1/ 30][Epoch  19/200] trn/posterior_energy  2.470e+05, trn/neg_log_likelihood  3.678e+04, trn/neg_log_prior  2.102e+05, trn/lr  2.937e-06, trn/temperature  1.000e+00, val/acc 6.927e-01, val/nll 8.783e-01
[2023-02-08 13:53:26] [Cycle   1/ 30][Epoch  20/200] trn/posterior_energy  2.465e+05, trn/neg_log_likelihood  3.601e+04, trn/neg_log_prior  2.105e+05, trn/lr  2.930e-06, trn/temperature  1.000e+00, val/acc 6.945e-01, val/nll 8.714e-01
[2023-02-08 13:53:32] [Cycle   1/ 30][Epoch  21/200] trn/posterior_energy  2.466e+05, trn/neg_log_likelihood  3.594e+04, trn/neg_log_prior  2.107e+05, trn/lr  2.923e-06, trn/temperature  1.000e+00, val/acc 6.733e-01, val/nll 9.381e-01
[2023-02-08 13:53:37] [Cycle   1/ 30][Epoch  22/200] trn/posterior_energy  2.469e+05, trn/neg_log_likelihood  3.609e+04, trn/neg_log_prior  2.108e+05, trn/lr  2.915e-06, trn/temperature  1.000e+00, val/acc 6.982e-01, val/nll 8.625e-01
[2023-02-08 13:53:43] [Cycle   1/ 30][Epoch  23/200] trn/posterior_energy  2.462e+05, trn/neg_log_likelihood  3.542e+04, trn/neg_log_prior  2.108e+05, trn/lr  2.907e-06, trn/temperature  1.000e+00, val/acc 6.468e-01, val/nll 9.884e-01
[2023-02-08 13:53:48] [Cycle   1/ 30][Epoch  24/200] trn/posterior_energy  2.459e+05, trn/neg_log_likelihood  3.500e+04, trn/neg_log_prior  2.109e+05, trn/lr  2.899e-06, trn/temperature  1.000e+00, val/acc 6.875e-01, val/nll 8.908e-01
[2023-02-08 13:53:53] [Cycle   1/ 30][Epoch  25/200] trn/posterior_energy  2.459e+05, trn/neg_log_likelihood  3.509e+04, trn/neg_log_prior  2.108e+05, trn/lr  2.890e-06, trn/temperature  1.000e+00, val/acc 7.069e-01, val/nll 8.472e-01
[2023-02-08 13:53:59] [Cycle   1/ 30][Epoch  26/200] trn/posterior_energy  2.452e+05, trn/neg_log_likelihood  3.449e+04, trn/neg_log_prior  2.107e+05, trn/lr  2.881e-06, trn/temperature  1.000e+00, val/acc 6.960e-01, val/nll 8.782e-01
[2023-02-08 13:54:04] [Cycle   1/ 30][Epoch  27/200] trn/posterior_energy  2.456e+05, trn/neg_log_likelihood  3.475e+04, trn/neg_log_prior  2.109e+05, trn/lr  2.872e-06, trn/temperature  1.000e+00, val/acc 6.954e-01, val/nll 8.836e-01
[2023-02-08 13:54:09] [Cycle   1/ 30][Epoch  28/200] trn/posterior_energy  2.451e+05, trn/neg_log_likelihood  3.426e+04, trn/neg_log_prior  2.108e+05, trn/lr  2.862e-06, trn/temperature  1.000e+00, val/acc 6.989e-01, val/nll 8.651e-01
[2023-02-08 13:54:15] [Cycle   1/ 30][Epoch  29/200] trn/posterior_energy  2.447e+05, trn/neg_log_likelihood  3.407e+04, trn/neg_log_prior  2.106e+05, trn/lr  2.852e-06, trn/temperature  1.000e+00, val/acc 6.941e-01, val/nll 8.654e-01
