[2023-02-08 09:15:33] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-08 09:15:33] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 100
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0100-0000_lr-0.0000003_mo-0.99_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-08 09:16:19] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  2.738e+05, trn/neg_log_likelihood  9.327e+04, trn/neg_log_prior  1.805e+05, trn/lr  3.000e-07, trn/temperature  0.000e+00, val/acc 2.498e-01, val/nll 1.947e+00
[2023-02-08 09:16:25] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  2.482e+05, trn/neg_log_likelihood  7.453e+04, trn/neg_log_prior  1.736e+05, trn/lr  2.998e-07, trn/temperature  0.000e+00, val/acc 3.528e-01, val/nll 1.753e+00
[2023-02-08 09:16:31] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  2.381e+05, trn/neg_log_likelihood  6.811e+04, trn/neg_log_prior  1.700e+05, trn/lr  2.995e-07, trn/temperature  0.000e+00, val/acc 4.069e-01, val/nll 1.572e+00
[2023-02-08 09:16:37] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  2.299e+05, trn/neg_log_likelihood  6.091e+04, trn/neg_log_prior  1.690e+05, trn/lr  2.991e-07, trn/temperature  0.000e+00, val/acc 4.769e-01, val/nll 1.417e+00
[2023-02-08 09:16:43] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  2.249e+05, trn/neg_log_likelihood  5.573e+04, trn/neg_log_prior  1.691e+05, trn/lr  2.985e-07, trn/temperature  0.000e+00, val/acc 5.064e-01, val/nll 1.336e+00
[2023-02-08 09:16:50] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  2.232e+05, trn/neg_log_likelihood  5.296e+04, trn/neg_log_prior  1.702e+05, trn/lr  2.978e-07, trn/temperature  0.000e+00, val/acc 5.826e-01, val/nll 1.151e+00
[2023-02-08 09:16:56] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  2.187e+05, trn/neg_log_likelihood  4.786e+04, trn/neg_log_prior  1.708e+05, trn/lr  2.969e-07, trn/temperature  0.000e+00, val/acc 5.862e-01, val/nll 1.136e+00
[2023-02-08 09:17:01] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  2.167e+05, trn/neg_log_likelihood  4.484e+04, trn/neg_log_prior  1.719e+05, trn/lr  2.959e-07, trn/temperature  0.000e+00, val/acc 6.469e-01, val/nll 1.005e+00
[2023-02-08 09:17:07] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  2.147e+05, trn/neg_log_likelihood  4.220e+04, trn/neg_log_prior  1.725e+05, trn/lr  2.947e-07, trn/temperature  0.000e+00, val/acc 5.896e-01, val/nll 1.128e+00
[2023-02-08 09:17:12] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  2.150e+05, trn/neg_log_likelihood  4.148e+04, trn/neg_log_prior  1.735e+05, trn/lr  2.934e-07, trn/temperature  0.000e+00, val/acc 6.204e-01, val/nll 1.085e+00
[2023-02-08 09:17:18] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  2.141e+05, trn/neg_log_likelihood  3.937e+04, trn/neg_log_prior  1.748e+05, trn/lr  2.919e-07, trn/temperature  0.000e+00, val/acc 6.877e-01, val/nll 9.028e-01
