[2023-02-05 00:12:41] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 00:12:41] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.7
- args.prior_precision   : 20.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.70_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 00:12:46] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 00:16:41] [Epoch    15/  500] trn/posterior_energy  2.551e+06, trn/neg_log_likelihood  1.529e+04, trn/neg_log_prior  2.536e+06, trn/lr  9.979e-07, val/acc 8.029e-01, val/nll 6.050e-01 (best_acc: 7.897e-01 -> 8.029e-01, test_acc: 7.985e-01, test_nll: 6.029e-01)
[2023-02-05 00:16:55] [Epoch    16/  500] trn/posterior_energy  2.547e+06, trn/neg_log_likelihood  1.335e+04, trn/neg_log_prior  2.534e+06, trn/lr  9.976e-07, val/acc 8.039e-01, val/nll 6.013e-01 (best_acc: 8.029e-01 -> 8.039e-01, test_acc: 8.070e-01, test_nll: 5.916e-01)
[2023-02-05 00:17:07] [Epoch    17/  500] trn/posterior_energy  2.544e+06, trn/neg_log_likelihood  1.203e+04, trn/neg_log_prior  2.532e+06, trn/lr  9.973e-07, val/acc 7.765e-01, val/nll 7.285e-01
[2023-02-05 00:17:19] [Epoch    18/  500] trn/posterior_energy  2.542e+06, trn/neg_log_likelihood  1.081e+04, trn/neg_log_prior  2.531e+06, trn/lr  9.970e-07, val/acc 7.867e-01, val/nll 6.703e-01
[2023-02-05 00:17:33] [Epoch    19/  500] trn/posterior_energy  2.539e+06, trn/neg_log_likelihood  9.402e+03, trn/neg_log_prior  2.530e+06, trn/lr  9.966e-07, val/acc 8.087e-01, val/nll 6.187e-01 (best_acc: 8.039e-01 -> 8.087e-01, test_acc: 8.048e-01, test_nll: 6.278e-01)
[2023-02-05 00:17:45] [Epoch    20/  500] trn/posterior_energy  2.536e+06, trn/neg_log_likelihood  7.817e+03, trn/neg_log_prior  2.528e+06, trn/lr  9.963e-07, val/acc 8.062e-01, val/nll 6.416e-01
[2023-02-05 00:17:59] [Epoch    21/  500] trn/posterior_energy  2.534e+06, trn/neg_log_likelihood  7.231e+03, trn/neg_log_prior  2.527e+06, trn/lr  9.959e-07, val/acc 8.098e-01, val/nll 6.344e-01 (best_acc: 8.087e-01 -> 8.098e-01, test_acc: 8.135e-01, test_nll: 6.466e-01)
[2023-02-05 00:18:11] [Epoch    22/  500] trn/posterior_energy  2.532e+06, trn/neg_log_likelihood  6.604e+03, trn/neg_log_prior  2.526e+06, trn/lr  9.954e-07, val/acc 7.954e-01, val/nll 6.921e-01
[2023-02-05 00:18:23] [Epoch    23/  500] trn/posterior_energy  2.530e+06, trn/neg_log_likelihood  5.624e+03, trn/neg_log_prior  2.525e+06, trn/lr  9.950e-07, val/acc 7.787e-01, val/nll 7.596e-01
[2023-02-05 00:18:35] [Epoch    24/  500] trn/posterior_energy  2.529e+06, trn/neg_log_likelihood  5.296e+03, trn/neg_log_prior  2.524e+06, trn/lr  9.946e-07, val/acc 7.855e-01, val/nll 7.636e-01
[2023-02-05 00:18:47] [Epoch    25/  500] trn/posterior_energy  2.528e+06, trn/neg_log_likelihood  5.103e+03, trn/neg_log_prior  2.523e+06, trn/lr  9.941e-07, val/acc 7.968e-01, val/nll 7.509e-01
[2023-02-05 00:19:01] [Epoch    26/  500] trn/posterior_energy  2.526e+06, trn/neg_log_likelihood  4.329e+03, trn/neg_log_prior  2.522e+06, trn/lr  9.936e-07, val/acc 8.114e-01, val/nll 6.910e-01 (best_acc: 8.098e-01 -> 8.114e-01, test_acc: 8.056e-01, test_nll: 7.066e-01)
[2023-02-05 00:19:13] [Epoch    27/  500] trn/posterior_energy  2.526e+06, trn/neg_log_likelihood  4.586e+03, trn/neg_log_prior  2.521e+06, trn/lr  9.931e-07, val/acc 7.648e-01, val/nll 8.579e-01
[2023-02-05 00:19:25] [Epoch    28/  500] trn/posterior_energy  2.525e+06, trn/neg_log_likelihood  4.446e+03, trn/neg_log_prior  2.520e+06, trn/lr  9.926e-07, val/acc 8.052e-01, val/nll 6.806e-01
[2023-02-05 00:19:37] [Epoch    29/  500] trn/posterior_energy  2.523e+06, trn/neg_log_likelihood  3.529e+03, trn/neg_log_prior  2.519e+06, trn/lr  9.920e-07, val/acc 8.091e-01, val/nll 6.831e-01
[2023-02-05 00:19:50] [Epoch    30/  500] trn/posterior_energy  2.523e+06, trn/neg_log_likelihood  4.051e+03, trn/neg_log_prior  2.519e+06, trn/lr  9.914e-07, val/acc 8.136e-01, val/nll 6.788e-01 (best_acc: 8.114e-01 -> 8.136e-01, test_acc: 8.117e-01, test_nll: 6.753e-01)
[2023-02-05 00:20:04] [Epoch    31/  500] trn/posterior_energy  2.522e+06, trn/neg_log_likelihood  3.769e+03, trn/neg_log_prior  2.518e+06, trn/lr  9.908e-07, val/acc 8.146e-01, val/nll 6.566e-01 (best_acc: 8.136e-01 -> 8.146e-01, test_acc: 8.126e-01, test_nll: 6.634e-01)
[2023-02-05 00:20:16] [Epoch    32/  500] trn/posterior_energy  2.521e+06, trn/neg_log_likelihood  3.243e+03, trn/neg_log_prior  2.517e+06, trn/lr  9.902e-07, val/acc 8.055e-01, val/nll 6.871e-01
[2023-02-05 00:20:28] [Epoch    33/  500] trn/posterior_energy  2.521e+06, trn/neg_log_likelihood  3.889e+03, trn/neg_log_prior  2.517e+06, trn/lr  9.896e-07, val/acc 7.997e-01, val/nll 7.466e-01
