[2023-02-13 04:30:18] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-13 04:30:18] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000010_mo-0.99_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-13 04:31:40] [Cycle   1/ 30][Epoch  18/200] trn/posterior_energy  1.941e+04, trn/neg_log_likelihood  3.634e+04, trn/neg_log_prior -1.693e+04, trn/lr  9.812e-07, trn/temperature  0.000e+00, val/acc 6.586e-01, val/nll 9.891e-01
[2023-02-13 04:31:43] [Cycle   1/ 30][Epoch  19/200] trn/posterior_energy  1.716e+04, trn/neg_log_likelihood  3.383e+04, trn/neg_log_prior -1.667e+04, trn/lr  9.790e-07, trn/temperature  0.000e+00, val/acc 7.168e-01, val/nll 8.084e-01
[2023-02-13 04:31:46] [Cycle   1/ 30][Epoch  20/200] trn/posterior_energy  1.661e+04, trn/neg_log_likelihood  3.327e+04, trn/neg_log_prior -1.666e+04, trn/lr  9.767e-07, trn/temperature  0.000e+00, val/acc 7.032e-01, val/nll 8.561e-01
[2023-02-13 04:31:50] [Cycle   1/ 30][Epoch  21/200] trn/posterior_energy  1.570e+04, trn/neg_log_likelihood  3.197e+04, trn/neg_log_prior -1.627e+04, trn/lr  9.743e-07, trn/temperature  0.000e+00, val/acc 7.300e-01, val/nll 7.961e-01
[2023-02-13 04:31:53] [Cycle   1/ 30][Epoch  22/200] trn/posterior_energy  1.661e+04, trn/neg_log_likelihood  3.245e+04, trn/neg_log_prior -1.584e+04, trn/lr  9.718e-07, trn/temperature  0.000e+00, val/acc 7.212e-01, val/nll 8.098e-01
[2023-02-13 04:31:56] [Cycle   1/ 30][Epoch  23/200] trn/posterior_energy  1.743e+04, trn/neg_log_likelihood  3.247e+04, trn/neg_log_prior -1.504e+04, trn/lr  9.691e-07, trn/temperature  0.000e+00, val/acc 6.931e-01, val/nll 8.838e-01
[2023-02-13 04:31:59] [Cycle   1/ 30][Epoch  24/200] trn/posterior_energy  1.642e+04, trn/neg_log_likelihood  3.135e+04, trn/neg_log_prior -1.493e+04, trn/lr  9.663e-07, trn/temperature  0.000e+00, val/acc 7.012e-01, val/nll 8.546e-01
[2023-02-13 04:32:03] [Cycle   1/ 30][Epoch  25/200] trn/posterior_energy  1.573e+04, trn/neg_log_likelihood  3.040e+04, trn/neg_log_prior -1.467e+04, trn/lr  9.634e-07, trn/temperature  0.000e+00, val/acc 6.913e-01, val/nll 9.201e-01
[2023-02-13 04:32:06] [Cycle   1/ 30][Epoch  26/200] trn/posterior_energy  1.464e+04, trn/neg_log_likelihood  2.926e+04, trn/neg_log_prior -1.462e+04, trn/lr  9.604e-07, trn/temperature  0.000e+00, val/acc 6.967e-01, val/nll 8.620e-01
[2023-02-13 04:32:09] [Cycle   1/ 30][Epoch  27/200] trn/posterior_energy  1.397e+04, trn/neg_log_likelihood  2.872e+04, trn/neg_log_prior -1.475e+04, trn/lr  9.573e-07, trn/temperature  0.000e+00, val/acc 7.272e-01, val/nll 7.894e-01
[2023-02-13 04:32:12] [Cycle   1/ 30][Epoch  28/200] trn/posterior_energy  1.487e+04, trn/neg_log_likelihood  2.931e+04, trn/neg_log_prior -1.445e+04, trn/lr  9.541e-07, trn/temperature  0.000e+00, val/acc 7.299e-01, val/nll 7.824e-01
[2023-02-13 04:32:15] [Cycle   1/ 30][Epoch  29/200] trn/posterior_energy  1.318e+04, trn/neg_log_likelihood  2.747e+04, trn/neg_log_prior -1.429e+04, trn/lr  9.507e-07, trn/temperature  0.000e+00, val/acc 7.136e-01, val/nll 8.270e-01
[2023-02-13 04:32:19] [Cycle   1/ 30][Epoch  30/200] trn/posterior_energy  1.336e+04, trn/neg_log_likelihood  2.768e+04, trn/neg_log_prior -1.432e+04, trn/lr  9.473e-07, trn/temperature  0.000e+00, val/acc 7.478e-01, val/nll 7.399e-01
[2023-02-13 04:32:22] [Cycle   1/ 30][Epoch  31/200] trn/posterior_energy  1.387e+04, trn/neg_log_likelihood  2.773e+04, trn/neg_log_prior -1.387e+04, trn/lr  9.437e-07, trn/temperature  0.000e+00, val/acc 7.277e-01, val/nll 7.797e-01
[2023-02-13 04:32:25] [Cycle   1/ 30][Epoch  32/200] trn/posterior_energy  1.158e+04, trn/neg_log_likelihood  2.542e+04, trn/neg_log_prior -1.384e+04, trn/lr  9.400e-07, trn/temperature  0.000e+00, val/acc 7.582e-01, val/nll 7.018e-01
[2023-02-13 04:32:29] [Cycle   1/ 30][Epoch  33/200] trn/posterior_energy  1.181e+04, trn/neg_log_likelihood  2.599e+04, trn/neg_log_prior -1.418e+04, trn/lr  9.362e-07, trn/temperature  0.000e+00, val/acc 7.520e-01, val/nll 7.191e-01
[2023-02-13 04:32:32] [Cycle   1/ 30][Epoch  34/200] trn/posterior_energy  1.109e+04, trn/neg_log_likelihood  2.497e+04, trn/neg_log_prior -1.389e+04, trn/lr  9.324e-07, trn/temperature  0.000e+00, val/acc 7.559e-01, val/nll 7.086e-01
[2023-02-13 04:32:35] [Cycle   1/ 30][Epoch  35/200] trn/posterior_energy  1.015e+04, trn/neg_log_likelihood  2.421e+04, trn/neg_log_prior -1.406e+04, trn/lr  9.284e-07, trn/temperature  0.000e+00, val/acc 7.571e-01, val/nll 7.111e-01
[2023-02-13 04:32:38] [Cycle   1/ 30][Epoch  36/200] trn/posterior_energy  1.201e+04, trn/neg_log_likelihood  2.580e+04, trn/neg_log_prior -1.379e+04, trn/lr  9.243e-07, trn/temperature  0.000e+00, val/acc 7.153e-01, val/nll 8.474e-01
[2023-02-13 04:32:41] [Cycle   1/ 30][Epoch  37/200] trn/posterior_energy  1.160e+04, trn/neg_log_likelihood  2.480e+04, trn/neg_log_prior -1.320e+04, trn/lr  9.200e-07, trn/temperature  0.000e+00, val/acc 7.249e-01, val/nll 8.147e-01
[2023-02-13 04:32:45] [Cycle   1/ 30][Epoch  38/200] trn/posterior_energy  1.220e+04, trn/neg_log_likelihood  2.540e+04, trn/neg_log_prior -1.320e+04, trn/lr  9.157e-07, trn/temperature  0.000e+00, val/acc 7.357e-01, val/nll 7.702e-01
[2023-02-13 04:32:48] [Cycle   1/ 30][Epoch  39/200] trn/posterior_energy  1.141e+04, trn/neg_log_likelihood  2.432e+04, trn/neg_log_prior -1.290e+04, trn/lr  9.113e-07, trn/temperature  0.000e+00, val/acc 7.388e-01, val/nll 7.630e-01
[2023-02-13 04:32:51] [Cycle   1/ 30][Epoch  40/200] trn/posterior_energy  1.089e+04, trn/neg_log_likelihood  2.386e+04, trn/neg_log_prior -1.297e+04, trn/lr  9.068e-07, trn/temperature  0.000e+00, val/acc 7.691e-01, val/nll 6.700e-01
[2023-02-13 04:32:54] [Cycle   1/ 30][Epoch  41/200] trn/posterior_energy  9.449e+03, trn/neg_log_likelihood  2.261e+04, trn/neg_log_prior -1.316e+04, trn/lr  9.022e-07, trn/temperature  0.000e+00, val/acc 7.732e-01, val/nll 6.576e-01
[2023-02-13 04:32:58] [Cycle   1/ 30][Epoch  42/200] trn/posterior_energy  1.021e+04, trn/neg_log_likelihood  2.353e+04, trn/neg_log_prior -1.332e+04, trn/lr  8.975e-07, trn/temperature  0.000e+00, val/acc 7.501e-01, val/nll 7.278e-01
[2023-02-13 04:33:01] [Cycle   1/ 30][Epoch  43/200] trn/posterior_energy  1.080e+04, trn/neg_log_likelihood  2.363e+04, trn/neg_log_prior -1.284e+04, trn/lr  8.927e-07, trn/temperature  0.000e+00, val/acc 7.385e-01, val/nll 7.573e-01
[2023-02-13 04:33:04] [Cycle   1/ 30][Epoch  44/200] trn/posterior_energy  1.095e+04, trn/neg_log_likelihood  2.348e+04, trn/neg_log_prior -1.253e+04, trn/lr  8.877e-07, trn/temperature  0.000e+00, val/acc 7.596e-01, val/nll 6.913e-01
[2023-02-13 04:33:07] [Cycle   1/ 30][Epoch  45/200] trn/posterior_energy  1.038e+04, trn/neg_log_likelihood  2.305e+04, trn/neg_log_prior -1.267e+04, trn/lr  8.827e-07, trn/temperature  0.000e+00, val/acc 7.576e-01, val/nll 7.059e-01
