[2023-02-08 21:41:18] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-08 21:41:18] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 180
- args.num_epochs_noisy  : 20
- args.prior_precision   : 10.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0180-0020_lr-0.0000030_mo-0.97_pr-02/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-08 21:41:52] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy  1.672e+05, trn/neg_log_likelihood  8.841e+04, trn/neg_log_prior  7.879e+04, trn/lr  3.000e-06, trn/temperature  0.000e+00, val/acc 2.335e-01, val/nll 2.047e+00
[2023-02-08 21:41:56] [Cycle   1/ 30][Epoch   2/200] trn/posterior_energy  1.468e+05, trn/neg_log_likelihood  7.389e+04, trn/neg_log_prior  7.294e+04, trn/lr  3.000e-06, trn/temperature  0.000e+00, val/acc 3.845e-01, val/nll 1.670e+00
[2023-02-08 21:42:00] [Cycle   1/ 30][Epoch   3/200] trn/posterior_energy  1.384e+05, trn/neg_log_likelihood  6.654e+04, trn/neg_log_prior  7.186e+04, trn/lr  2.999e-06, trn/temperature  0.000e+00, val/acc 4.121e-01, val/nll 1.589e+00
[2023-02-08 21:42:04] [Cycle   1/ 30][Epoch   4/200] trn/posterior_energy  1.344e+05, trn/neg_log_likelihood  6.210e+04, trn/neg_log_prior  7.226e+04, trn/lr  2.998e-06, trn/temperature  0.000e+00, val/acc 4.702e-01, val/nll 1.432e+00
[2023-02-08 21:42:08] [Cycle   1/ 30][Epoch   5/200] trn/posterior_energy  1.329e+05, trn/neg_log_likelihood  5.983e+04, trn/neg_log_prior  7.309e+04, trn/lr  2.996e-06, trn/temperature  0.000e+00, val/acc 4.759e-01, val/nll 1.406e+00
[2023-02-08 21:42:13] [Cycle   1/ 30][Epoch   6/200] trn/posterior_energy  1.309e+05, trn/neg_log_likelihood  5.682e+04, trn/neg_log_prior  7.409e+04, trn/lr  2.994e-06, trn/temperature  0.000e+00, val/acc 4.937e-01, val/nll 1.372e+00
[2023-02-08 21:42:17] [Cycle   1/ 30][Epoch   7/200] trn/posterior_energy  1.303e+05, trn/neg_log_likelihood  5.500e+04, trn/neg_log_prior  7.525e+04, trn/lr  2.992e-06, trn/temperature  0.000e+00, val/acc 5.270e-01, val/nll 1.325e+00
[2023-02-08 21:42:21] [Cycle   1/ 30][Epoch   8/200] trn/posterior_energy  1.299e+05, trn/neg_log_likelihood  5.315e+04, trn/neg_log_prior  7.672e+04, trn/lr  2.990e-06, trn/temperature  0.000e+00, val/acc 5.384e-01, val/nll 1.250e+00
[2023-02-08 21:42:25] [Cycle   1/ 30][Epoch   9/200] trn/posterior_energy  1.268e+05, trn/neg_log_likelihood  4.928e+04, trn/neg_log_prior  7.750e+04, trn/lr  2.987e-06, trn/temperature  0.000e+00, val/acc 5.626e-01, val/nll 1.220e+00
[2023-02-08 21:42:30] [Cycle   1/ 30][Epoch  10/200] trn/posterior_energy  1.253e+05, trn/neg_log_likelihood  4.669e+04, trn/neg_log_prior  7.860e+04, trn/lr  2.983e-06, trn/temperature  0.000e+00, val/acc 6.133e-01, val/nll 1.076e+00
[2023-02-08 21:42:34] [Cycle   1/ 30][Epoch  11/200] trn/posterior_energy  1.243e+05, trn/neg_log_likelihood  4.463e+04, trn/neg_log_prior  7.965e+04, trn/lr  2.980e-06, trn/temperature  0.000e+00, val/acc 6.324e-01, val/nll 1.039e+00
[2023-02-08 21:42:38] [Cycle   1/ 30][Epoch  12/200] trn/posterior_energy  1.227e+05, trn/neg_log_likelihood  4.202e+04, trn/neg_log_prior  8.070e+04, trn/lr  2.976e-06, trn/temperature  0.000e+00, val/acc 6.615e-01, val/nll 9.616e-01
[2023-02-08 21:42:42] [Cycle   1/ 30][Epoch  13/200] trn/posterior_energy  1.210e+05, trn/neg_log_likelihood  3.966e+04, trn/neg_log_prior  8.130e+04, trn/lr  2.971e-06, trn/temperature  0.000e+00, val/acc 6.970e-01, val/nll 8.701e-01
[2023-02-08 21:42:46] [Cycle   1/ 30][Epoch  14/200] trn/posterior_energy  1.211e+05, trn/neg_log_likelihood  3.929e+04, trn/neg_log_prior  8.179e+04, trn/lr  2.966e-06, trn/temperature  0.000e+00, val/acc 6.387e-01, val/nll 1.038e+00
[2023-02-08 21:42:51] [Cycle   1/ 30][Epoch  15/200] trn/posterior_energy  1.204e+05, trn/neg_log_likelihood  3.782e+04, trn/neg_log_prior  8.254e+04, trn/lr  2.961e-06, trn/temperature  0.000e+00, val/acc 7.033e-01, val/nll 8.847e-01
[2023-02-08 21:42:55] [Cycle   1/ 30][Epoch  16/200] trn/posterior_energy  1.195e+05, trn/neg_log_likelihood  3.672e+04, trn/neg_log_prior  8.275e+04, trn/lr  2.956e-06, trn/temperature  0.000e+00, val/acc 7.058e-01, val/nll 8.306e-01
[2023-02-08 21:42:59] [Cycle   1/ 30][Epoch  17/200] trn/posterior_energy  1.179e+05, trn/neg_log_likelihood  3.529e+04, trn/neg_log_prior  8.263e+04, trn/lr  2.950e-06, trn/temperature  0.000e+00, val/acc 6.947e-01, val/nll 8.863e-01
[2023-02-08 21:43:03] [Cycle   1/ 30][Epoch  18/200] trn/posterior_energy  1.181e+05, trn/neg_log_likelihood  3.528e+04, trn/neg_log_prior  8.281e+04, trn/lr  2.944e-06, trn/temperature  0.000e+00, val/acc 6.873e-01, val/nll 9.524e-01
[2023-02-08 21:43:07] [Cycle   1/ 30][Epoch  19/200] trn/posterior_energy  1.174e+05, trn/neg_log_likelihood  3.426e+04, trn/neg_log_prior  8.316e+04, trn/lr  2.937e-06, trn/temperature  0.000e+00, val/acc 6.989e-01, val/nll 8.859e-01
[2023-02-08 21:43:11] [Cycle   1/ 30][Epoch  20/200] trn/posterior_energy  1.170e+05, trn/neg_log_likelihood  3.379e+04, trn/neg_log_prior  8.323e+04, trn/lr  2.930e-06, trn/temperature  0.000e+00, val/acc 6.978e-01, val/nll 8.840e-01
[2023-02-08 21:43:15] [Cycle   1/ 30][Epoch  21/200] trn/posterior_energy  1.169e+05, trn/neg_log_likelihood  3.355e+04, trn/neg_log_prior  8.337e+04, trn/lr  2.923e-06, trn/temperature  0.000e+00, val/acc 7.101e-01, val/nll 8.468e-01
[2023-02-08 21:43:19] [Cycle   1/ 30][Epoch  22/200] trn/posterior_energy  1.173e+05, trn/neg_log_likelihood  3.364e+04, trn/neg_log_prior  8.367e+04, trn/lr  2.915e-06, trn/temperature  0.000e+00, val/acc 6.606e-01, val/nll 9.924e-01
[2023-02-08 21:43:24] [Cycle   1/ 30][Epoch  23/200] trn/posterior_energy  1.173e+05, trn/neg_log_likelihood  3.315e+04, trn/neg_log_prior  8.418e+04, trn/lr  2.907e-06, trn/temperature  0.000e+00, val/acc 7.017e-01, val/nll 8.668e-01
[2023-02-08 21:43:28] [Cycle   1/ 30][Epoch  24/200] trn/posterior_energy  1.170e+05, trn/neg_log_likelihood  3.294e+04, trn/neg_log_prior  8.402e+04, trn/lr  2.899e-06, trn/temperature  0.000e+00, val/acc 6.846e-01, val/nll 9.113e-01
[2023-02-08 21:43:32] [Cycle   1/ 30][Epoch  25/200] trn/posterior_energy  1.158e+05, trn/neg_log_likelihood  3.182e+04, trn/neg_log_prior  8.395e+04, trn/lr  2.890e-06, trn/temperature  0.000e+00, val/acc 7.073e-01, val/nll 8.322e-01
[2023-02-08 21:43:36] [Cycle   1/ 30][Epoch  26/200] trn/posterior_energy  1.175e+05, trn/neg_log_likelihood  3.311e+04, trn/neg_log_prior  8.441e+04, trn/lr  2.881e-06, trn/temperature  0.000e+00, val/acc 7.014e-01, val/nll 8.643e-01
[2023-02-08 21:43:40] [Cycle   1/ 30][Epoch  27/200] trn/posterior_energy  1.153e+05, trn/neg_log_likelihood  3.102e+04, trn/neg_log_prior  8.424e+04, trn/lr  2.872e-06, trn/temperature  0.000e+00, val/acc 6.771e-01, val/nll 9.482e-01
[2023-02-08 21:43:44] [Cycle   1/ 30][Epoch  28/200] trn/posterior_energy  1.157e+05, trn/neg_log_likelihood  3.148e+04, trn/neg_log_prior  8.420e+04, trn/lr  2.862e-06, trn/temperature  0.000e+00, val/acc 7.008e-01, val/nll 8.916e-01
[2023-02-08 21:43:48] [Cycle   1/ 30][Epoch  29/200] trn/posterior_energy  1.166e+05, trn/neg_log_likelihood  3.187e+04, trn/neg_log_prior  8.468e+04, trn/lr  2.852e-06, trn/temperature  0.000e+00, val/acc 7.227e-01, val/nll 7.975e-01
[2023-02-08 21:43:52] [Cycle   1/ 30][Epoch  30/200] trn/posterior_energy  1.150e+05, trn/neg_log_likelihood  3.082e+04, trn/neg_log_prior  8.420e+04, trn/lr  2.842e-06, trn/temperature  0.000e+00, val/acc 7.311e-01, val/nll 7.836e-01
[2023-02-08 21:43:56] [Cycle   1/ 30][Epoch  31/200] trn/posterior_energy  1.160e+05, trn/neg_log_likelihood  3.149e+04, trn/neg_log_prior  8.449e+04, trn/lr  2.831e-06, trn/temperature  0.000e+00, val/acc 6.988e-01, val/nll 8.639e-01
[2023-02-08 21:44:01] [Cycle   1/ 30][Epoch  32/200] trn/posterior_energy  1.156e+05, trn/neg_log_likelihood  3.087e+04, trn/neg_log_prior  8.474e+04, trn/lr  2.820e-06, trn/temperature  0.000e+00, val/acc 7.260e-01, val/nll 7.771e-01
[2023-02-08 21:44:05] [Cycle   1/ 30][Epoch  33/200] trn/posterior_energy  1.151e+05, trn/neg_log_likelihood  3.044e+04, trn/neg_log_prior  8.461e+04, trn/lr  2.809e-06, trn/temperature  0.000e+00, val/acc 7.364e-01, val/nll 7.610e-01
[2023-02-08 21:44:09] [Cycle   1/ 30][Epoch  34/200] trn/posterior_energy  1.142e+05, trn/neg_log_likelihood  2.961e+04, trn/neg_log_prior  8.459e+04, trn/lr  2.797e-06, trn/temperature  0.000e+00, val/acc 7.179e-01, val/nll 8.511e-01
[2023-02-08 21:44:13] [Cycle   1/ 30][Epoch  35/200] trn/posterior_energy  1.144e+05, trn/neg_log_likelihood  3.000e+04, trn/neg_log_prior  8.444e+04, trn/lr  2.785e-06, trn/temperature  0.000e+00, val/acc 7.384e-01, val/nll 7.679e-01
[2023-02-08 21:44:17] [Cycle   1/ 30][Epoch  36/200] trn/posterior_energy  1.163e+05, trn/neg_log_likelihood  3.131e+04, trn/neg_log_prior  8.502e+04, trn/lr  2.773e-06, trn/temperature  0.000e+00, val/acc 7.209e-01, val/nll 8.101e-01
[2023-02-08 21:44:21] [Cycle   1/ 30][Epoch  37/200] trn/posterior_energy  1.148e+05, trn/neg_log_likelihood  2.969e+04, trn/neg_log_prior  8.509e+04, trn/lr  2.760e-06, trn/temperature  0.000e+00, val/acc 7.029e-01, val/nll 8.628e-01
[2023-02-08 21:44:26] [Cycle   1/ 30][Epoch  38/200] trn/posterior_energy  1.140e+05, trn/neg_log_likelihood  2.933e+04, trn/neg_log_prior  8.467e+04, trn/lr  2.747e-06, trn/temperature  0.000e+00, val/acc 7.408e-01, val/nll 7.432e-01
[2023-02-08 21:44:30] [Cycle   1/ 30][Epoch  39/200] trn/posterior_energy  1.145e+05, trn/neg_log_likelihood  2.987e+04, trn/neg_log_prior  8.462e+04, trn/lr  2.734e-06, trn/temperature  0.000e+00, val/acc 7.402e-01, val/nll 7.479e-01
[2023-02-08 21:44:34] [Cycle   1/ 30][Epoch  40/200] trn/posterior_energy  1.141e+05, trn/neg_log_likelihood  2.920e+04, trn/neg_log_prior  8.486e+04, trn/lr  2.720e-06, trn/temperature  0.000e+00, val/acc 7.258e-01, val/nll 8.039e-01
[2023-02-08 21:44:38] [Cycle   1/ 30][Epoch  41/200] trn/posterior_energy  1.139e+05, trn/neg_log_likelihood  2.913e+04, trn/neg_log_prior  8.479e+04, trn/lr  2.707e-06, trn/temperature  0.000e+00, val/acc 7.155e-01, val/nll 8.288e-01
[2023-02-08 21:44:42] [Cycle   1/ 30][Epoch  42/200] trn/posterior_energy  1.138e+05, trn/neg_log_likelihood  2.903e+04, trn/neg_log_prior  8.480e+04, trn/lr  2.692e-06, trn/temperature  0.000e+00, val/acc 7.552e-01, val/nll 7.318e-01
[2023-02-08 21:44:46] [Cycle   1/ 30][Epoch  43/200] trn/posterior_energy  1.138e+05, trn/neg_log_likelihood  2.894e+04, trn/neg_log_prior  8.488e+04, trn/lr  2.678e-06, trn/temperature  0.000e+00, val/acc 7.501e-01, val/nll 7.405e-01
[2023-02-08 21:44:50] [Cycle   1/ 30][Epoch  44/200] trn/posterior_energy  1.140e+05, trn/neg_log_likelihood  2.919e+04, trn/neg_log_prior  8.479e+04, trn/lr  2.663e-06, trn/temperature  0.000e+00, val/acc 7.458e-01, val/nll 7.451e-01
[2023-02-08 21:44:54] [Cycle   1/ 30][Epoch  45/200] trn/posterior_energy  1.141e+05, trn/neg_log_likelihood  2.901e+04, trn/neg_log_prior  8.509e+04, trn/lr  2.648e-06, trn/temperature  0.000e+00, val/acc 7.291e-01, val/nll 8.152e-01
[2023-02-08 21:44:59] [Cycle   1/ 30][Epoch  46/200] trn/posterior_energy  1.132e+05, trn/neg_log_likelihood  2.840e+04, trn/neg_log_prior  8.484e+04, trn/lr  2.633e-06, trn/temperature  0.000e+00, val/acc 7.559e-01, val/nll 7.354e-01
[2023-02-08 21:45:03] [Cycle   1/ 30][Epoch  47/200] trn/posterior_energy  1.139e+05, trn/neg_log_likelihood  2.892e+04, trn/neg_log_prior  8.501e+04, trn/lr  2.617e-06, trn/temperature  0.000e+00, val/acc 7.459e-01, val/nll 7.448e-01
[2023-02-08 21:45:07] [Cycle   1/ 30][Epoch  48/200] trn/posterior_energy  1.135e+05, trn/neg_log_likelihood  2.836e+04, trn/neg_log_prior  8.518e+04, trn/lr  2.601e-06, trn/temperature  0.000e+00, val/acc 7.535e-01, val/nll 7.191e-01
[2023-02-08 21:45:11] [Cycle   1/ 30][Epoch  49/200] trn/posterior_energy  1.135e+05, trn/neg_log_likelihood  2.830e+04, trn/neg_log_prior  8.515e+04, trn/lr  2.585e-06, trn/temperature  0.000e+00, val/acc 7.594e-01, val/nll 7.149e-01
[2023-02-08 21:45:15] [Cycle   1/ 30][Epoch  50/200] trn/posterior_energy  1.131e+05, trn/neg_log_likelihood  2.819e+04, trn/neg_log_prior  8.487e+04, trn/lr  2.569e-06, trn/temperature  0.000e+00, val/acc 7.402e-01, val/nll 7.527e-01
