[2023-02-04 13:19:33] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 13:19:33] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 45
- args.num_epochs_noisy  : 5
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0045-0005_lr-0.0000010_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 13:20:07] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  3.750e+05, trn/neg_log_likelihood  9.056e+04, trn/neg_log_prior  2.844e+05, trn/lr  9.997e-07, trn/temperature  0.000e+00, val/acc 2.903e-01, val/nll 1.890e+00
[2023-02-04 13:20:12] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  3.404e+05, trn/neg_log_likelihood  7.403e+04, trn/neg_log_prior  2.663e+05, trn/lr  9.977e-07, trn/temperature  0.000e+00, val/acc 4.021e-01, val/nll 1.623e+00
[2023-02-04 13:20:18] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  3.313e+05, trn/neg_log_likelihood  6.781e+04, trn/neg_log_prior  2.634e+05, trn/lr  9.938e-07, trn/temperature  0.000e+00, val/acc 4.246e-01, val/nll 1.569e+00
[2023-02-04 13:20:23] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  3.271e+05, trn/neg_log_likelihood  6.315e+04, trn/neg_log_prior  2.639e+05, trn/lr  9.879e-07, trn/temperature  0.000e+00, val/acc 4.689e-01, val/nll 1.433e+00
[2023-02-04 13:20:30] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  3.250e+05, trn/neg_log_likelihood  5.977e+04, trn/neg_log_prior  2.652e+05, trn/lr  9.801e-07, trn/temperature  0.000e+00, val/acc 4.628e-01, val/nll 1.450e+00
[2023-02-04 13:20:34] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  3.250e+05, trn/neg_log_likelihood  5.855e+04, trn/neg_log_prior  2.665e+05, trn/lr  9.704e-07, trn/temperature  0.000e+00, val/acc 4.805e-01, val/nll 1.405e+00
[2023-02-04 13:20:38] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  3.242e+05, trn/neg_log_likelihood  5.670e+04, trn/neg_log_prior  2.675e+05, trn/lr  9.588e-07, trn/temperature  0.000e+00, val/acc 4.663e-01, val/nll 1.476e+00
[2023-02-04 13:20:44] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  3.221e+05, trn/neg_log_likelihood  5.369e+04, trn/neg_log_prior  2.684e+05, trn/lr  9.454e-07, trn/temperature  0.000e+00, val/acc 4.993e-01, val/nll 1.349e+00
[2023-02-04 13:20:49] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  3.204e+05, trn/neg_log_likelihood  5.151e+04, trn/neg_log_prior  2.689e+05, trn/lr  9.303e-07, trn/temperature  0.000e+00, val/acc 5.805e-01, val/nll 1.198e+00
[2023-02-04 13:20:53] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  3.204e+05, trn/neg_log_likelihood  5.046e+04, trn/neg_log_prior  2.700e+05, trn/lr  9.135e-07, trn/temperature  0.000e+00, val/acc 5.673e-01, val/nll 1.183e+00
[2023-02-04 13:20:57] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  3.174e+05, trn/neg_log_likelihood  4.642e+04, trn/neg_log_prior  2.709e+05, trn/lr  8.950e-07, trn/temperature  0.000e+00, val/acc 6.093e-01, val/nll 1.096e+00
[2023-02-04 13:21:02] [Cycle   1/ 30][Epoch  12/ 50] trn/posterior_energy  3.168e+05, trn/neg_log_likelihood  4.488e+04, trn/neg_log_prior  2.719e+05, trn/lr  8.750e-07, trn/temperature  0.000e+00, val/acc 6.053e-01, val/nll 1.120e+00
[2023-02-04 13:21:06] [Cycle   1/ 30][Epoch  13/ 50] trn/posterior_energy  3.157e+05, trn/neg_log_likelihood  4.308e+04, trn/neg_log_prior  2.726e+05, trn/lr  8.535e-07, trn/temperature  0.000e+00, val/acc 6.389e-01, val/nll 1.037e+00
[2023-02-04 13:21:10] [Cycle   1/ 30][Epoch  14/ 50] trn/posterior_energy  3.154e+05, trn/neg_log_likelihood  4.215e+04, trn/neg_log_prior  2.733e+05, trn/lr  8.306e-07, trn/temperature  0.000e+00, val/acc 6.290e-01, val/nll 1.080e+00
[2023-02-04 13:21:14] [Cycle   1/ 30][Epoch  15/ 50] trn/posterior_energy  3.135e+05, trn/neg_log_likelihood  3.985e+04, trn/neg_log_prior  2.736e+05, trn/lr  8.064e-07, trn/temperature  0.000e+00, val/acc 6.574e-01, val/nll 1.002e+00
[2023-02-04 13:21:18] [Cycle   1/ 30][Epoch  16/ 50] trn/posterior_energy  3.126e+05, trn/neg_log_likelihood  3.880e+04, trn/neg_log_prior  2.738e+05, trn/lr  7.810e-07, trn/temperature  0.000e+00, val/acc 6.576e-01, val/nll 9.894e-01
[2023-02-04 13:21:22] [Cycle   1/ 30][Epoch  17/ 50] trn/posterior_energy  3.117e+05, trn/neg_log_likelihood  3.764e+04, trn/neg_log_prior  2.741e+05, trn/lr  7.545e-07, trn/temperature  0.000e+00, val/acc 6.905e-01, val/nll 8.937e-01
[2023-02-04 13:21:26] [Cycle   1/ 30][Epoch  18/ 50] trn/posterior_energy  3.110e+05, trn/neg_log_likelihood  3.693e+04, trn/neg_log_prior  2.741e+05, trn/lr  7.270e-07, trn/temperature  0.000e+00, val/acc 6.559e-01, val/nll 1.008e+00
[2023-02-04 13:21:30] [Cycle   1/ 30][Epoch  19/ 50] trn/posterior_energy  3.090e+05, trn/neg_log_likelihood  3.512e+04, trn/neg_log_prior  2.739e+05, trn/lr  6.986e-07, trn/temperature  0.000e+00, val/acc 6.842e-01, val/nll 8.857e-01
[2023-02-04 13:21:35] [Cycle   1/ 30][Epoch  20/ 50] trn/posterior_energy  3.083e+05, trn/neg_log_likelihood  3.456e+04, trn/neg_log_prior  2.737e+05, trn/lr  6.694e-07, trn/temperature  0.000e+00, val/acc 6.825e-01, val/nll 9.264e-01
[2023-02-04 13:21:39] [Cycle   1/ 30][Epoch  21/ 50] trn/posterior_energy  3.081e+05, trn/neg_log_likelihood  3.440e+04, trn/neg_log_prior  2.737e+05, trn/lr  6.395e-07, trn/temperature  0.000e+00, val/acc 7.029e-01, val/nll 8.673e-01
[2023-02-04 13:21:43] [Cycle   1/ 30][Epoch  22/ 50] trn/posterior_energy  3.077e+05, trn/neg_log_likelihood  3.377e+04, trn/neg_log_prior  2.739e+05, trn/lr  6.091e-07, trn/temperature  0.000e+00, val/acc 7.223e-01, val/nll 8.208e-01
[2023-02-04 13:21:47] [Cycle   1/ 30][Epoch  23/ 50] trn/posterior_energy  3.065e+05, trn/neg_log_likelihood  3.278e+04, trn/neg_log_prior  2.737e+05, trn/lr  5.782e-07, trn/temperature  0.000e+00, val/acc 7.236e-01, val/nll 8.149e-01
[2023-02-04 13:21:51] [Cycle   1/ 30][Epoch  24/ 50] trn/posterior_energy  3.052e+05, trn/neg_log_likelihood  3.166e+04, trn/neg_log_prior  2.735e+05, trn/lr  5.471e-07, trn/temperature  0.000e+00, val/acc 7.030e-01, val/nll 8.866e-01
[2023-02-04 13:21:58] [Cycle   1/ 30][Epoch  25/ 50] trn/posterior_energy  3.040e+05, trn/neg_log_likelihood  3.084e+04, trn/neg_log_prior  2.732e+05, trn/lr  5.157e-07, trn/temperature  0.000e+00, val/acc 7.331e-01, val/nll 7.767e-01
[2023-02-04 13:22:05] [Cycle   1/ 30][Epoch  26/ 50] trn/posterior_energy  3.038e+05, trn/neg_log_likelihood  3.048e+04, trn/neg_log_prior  2.733e+05, trn/lr  4.843e-07, trn/temperature  0.000e+00, val/acc 7.402e-01, val/nll 7.700e-01
[2023-02-04 13:22:09] [Cycle   1/ 30][Epoch  27/ 50] trn/posterior_energy  3.018e+05, trn/neg_log_likelihood  2.866e+04, trn/neg_log_prior  2.731e+05, trn/lr  4.530e-07, trn/temperature  0.000e+00, val/acc 7.440e-01, val/nll 7.475e-01
[2023-02-04 13:22:16] [Cycle   1/ 30][Epoch  28/ 50] trn/posterior_energy  3.004e+05, trn/neg_log_likelihood  2.783e+04, trn/neg_log_prior  2.726e+05, trn/lr  4.218e-07, trn/temperature  0.000e+00, val/acc 7.298e-01, val/nll 7.922e-01
[2023-02-04 13:22:22] [Cycle   1/ 30][Epoch  29/ 50] trn/posterior_energy  2.993e+05, trn/neg_log_likelihood  2.689e+04, trn/neg_log_prior  2.724e+05, trn/lr  3.910e-07, trn/temperature  0.000e+00, val/acc 7.613e-01, val/nll 7.030e-01
[2023-02-04 13:22:26] [Cycle   1/ 30][Epoch  30/ 50] trn/posterior_energy  2.982e+05, trn/neg_log_likelihood  2.606e+04, trn/neg_log_prior  2.722e+05, trn/lr  3.606e-07, trn/temperature  0.000e+00, val/acc 7.204e-01, val/nll 8.282e-01
[2023-02-04 13:22:30] [Cycle   1/ 30][Epoch  31/ 50] trn/posterior_energy  2.973e+05, trn/neg_log_likelihood  2.527e+04, trn/neg_log_prior  2.721e+05, trn/lr  3.307e-07, trn/temperature  0.000e+00, val/acc 7.579e-01, val/nll 7.045e-01
