[2023-02-05 18:54:01] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 18:54:01] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.prior_precision   : 10.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000030_mo-0.97_pr-02/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 18:54:06] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 18:54:49] [Epoch     1/  500] trn/posterior_energy  1.155e+06, trn/neg_log_likelihood  9.801e+04, trn/neg_log_prior  1.057e+06, trn/lr  3.000e-06, val/acc 2.312e-01, val/nll 1.994e+00 (best_acc: 0.000e+00 -> 2.312e-01, test_acc: 2.330e-01, test_nll: 1.994e+00)
[2023-02-05 18:55:03] [Epoch     2/  500] trn/posterior_energy  1.100e+06, trn/neg_log_likelihood  7.532e+04, trn/neg_log_prior  1.025e+06, trn/lr  3.000e-06, val/acc 3.325e-01, val/nll 1.802e+00 (best_acc: 2.312e-01 -> 3.325e-01, test_acc: 3.346e-01, test_nll: 1.798e+00)
[2023-02-05 18:55:16] [Epoch     3/  500] trn/posterior_energy  1.082e+06, trn/neg_log_likelihood  6.875e+04, trn/neg_log_prior  1.014e+06, trn/lr  3.000e-06, val/acc 3.376e-01, val/nll 1.744e+00 (best_acc: 3.325e-01 -> 3.376e-01, test_acc: 3.418e-01, test_nll: 1.749e+00)
[2023-02-05 18:55:30] [Epoch     4/  500] trn/posterior_energy  1.074e+06, trn/neg_log_likelihood  6.347e+04, trn/neg_log_prior  1.011e+06, trn/lr  3.000e-06, val/acc 4.461e-01, val/nll 1.491e+00 (best_acc: 3.376e-01 -> 4.461e-01, test_acc: 4.530e-01, test_nll: 1.492e+00)
[2023-02-05 18:55:44] [Epoch     5/  500] trn/posterior_energy  1.071e+06, trn/neg_log_likelihood  5.986e+04, trn/neg_log_prior  1.011e+06, trn/lr  2.999e-06, val/acc 4.898e-01, val/nll 1.372e+00 (best_acc: 4.461e-01 -> 4.898e-01, test_acc: 4.876e-01, test_nll: 1.381e+00)
[2023-02-05 18:55:58] [Epoch     6/  500] trn/posterior_energy  1.066e+06, trn/neg_log_likelihood  5.299e+04, trn/neg_log_prior  1.013e+06, trn/lr  2.999e-06, val/acc 5.646e-01, val/nll 1.184e+00 (best_acc: 4.898e-01 -> 5.646e-01, test_acc: 5.701e-01, test_nll: 1.183e+00)
[2023-02-05 18:56:09] [Epoch     7/  500] trn/posterior_energy  1.063e+06, trn/neg_log_likelihood  4.721e+04, trn/neg_log_prior  1.015e+06, trn/lr  2.999e-06, val/acc 5.440e-01, val/nll 1.260e+00
[2023-02-05 18:56:23] [Epoch     8/  500] trn/posterior_energy  1.061e+06, trn/neg_log_likelihood  4.298e+04, trn/neg_log_prior  1.018e+06, trn/lr  2.998e-06, val/acc 6.550e-01, val/nll 9.748e-01 (best_acc: 5.646e-01 -> 6.550e-01, test_acc: 6.545e-01, test_nll: 9.830e-01)
[2023-02-05 18:56:37] [Epoch     9/  500] trn/posterior_energy  1.057e+06, trn/neg_log_likelihood  3.838e+04, trn/neg_log_prior  1.019e+06, trn/lr  2.998e-06, val/acc 6.959e-01, val/nll 8.688e-01 (best_acc: 6.550e-01 -> 6.959e-01, test_acc: 6.883e-01, test_nll: 8.929e-01)
[2023-02-05 18:56:49] [Epoch    10/  500] trn/posterior_energy  1.056e+06, trn/neg_log_likelihood  3.677e+04, trn/neg_log_prior  1.020e+06, trn/lr  2.997e-06, val/acc 6.831e-01, val/nll 9.392e-01
[2023-02-05 18:57:03] [Epoch    11/  500] trn/posterior_energy  1.056e+06, trn/neg_log_likelihood  3.495e+04, trn/neg_log_prior  1.021e+06, trn/lr  2.997e-06, val/acc 7.129e-01, val/nll 8.315e-01 (best_acc: 6.959e-01 -> 7.129e-01, test_acc: 7.082e-01, test_nll: 8.396e-01)
