[2023-02-06 06:40:51] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-06 06:40:51] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 90
- args.num_epochs_noisy  : 10
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0090-0010_lr-0.0000030_mo-0.70_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 06:41:31] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  2.645e+05, trn/neg_log_likelihood  8.410e+04, trn/neg_log_prior  1.804e+05, trn/lr  3.000e-06, trn/temperature  0.000e+00, val/acc 2.914e-01, val/nll 1.781e+00
[2023-02-06 06:41:37] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  2.451e+05, trn/neg_log_likelihood  6.747e+04, trn/neg_log_prior  1.777e+05, trn/lr  2.998e-06, trn/temperature  0.000e+00, val/acc 4.335e-01, val/nll 1.489e+00
[2023-02-06 06:41:43] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  2.343e+05, trn/neg_log_likelihood  5.850e+04, trn/neg_log_prior  1.758e+05, trn/lr  2.995e-06, trn/temperature  0.000e+00, val/acc 4.261e-01, val/nll 1.580e+00
[2023-02-06 06:41:49] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  2.262e+05, trn/neg_log_likelihood  5.166e+04, trn/neg_log_prior  1.745e+05, trn/lr  2.991e-06, trn/temperature  0.000e+00, val/acc 6.009e-01, val/nll 1.102e+00
[2023-02-06 06:41:55] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  2.190e+05, trn/neg_log_likelihood  4.533e+04, trn/neg_log_prior  1.737e+05, trn/lr  2.985e-06, trn/temperature  0.000e+00, val/acc 6.086e-01, val/nll 1.075e+00
[2023-02-06 06:42:01] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  2.138e+05, trn/neg_log_likelihood  4.052e+04, trn/neg_log_prior  1.733e+05, trn/lr  2.978e-06, trn/temperature  0.000e+00, val/acc 6.706e-01, val/nll 9.479e-01
[2023-02-06 06:42:06] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  2.091e+05, trn/neg_log_likelihood  3.615e+04, trn/neg_log_prior  1.730e+05, trn/lr  2.969e-06, trn/temperature  0.000e+00, val/acc 7.020e-01, val/nll 8.495e-01
[2023-02-06 06:42:12] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  2.058e+05, trn/neg_log_likelihood  3.294e+04, trn/neg_log_prior  1.728e+05, trn/lr  2.959e-06, trn/temperature  0.000e+00, val/acc 7.352e-01, val/nll 7.605e-01
[2023-02-06 06:42:18] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  2.033e+05, trn/neg_log_likelihood  3.057e+04, trn/neg_log_prior  1.727e+05, trn/lr  2.947e-06, trn/temperature  0.000e+00, val/acc 7.070e-01, val/nll 8.629e-01
[2023-02-06 06:42:25] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  2.012e+05, trn/neg_log_likelihood  2.855e+04, trn/neg_log_prior  1.727e+05, trn/lr  2.934e-06, trn/temperature  0.000e+00, val/acc 7.396e-01, val/nll 7.706e-01
[2023-02-06 06:42:31] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  1.996e+05, trn/neg_log_likelihood  2.688e+04, trn/neg_log_prior  1.727e+05, trn/lr  2.919e-06, trn/temperature  0.000e+00, val/acc 7.197e-01, val/nll 8.021e-01
