[2023-02-08 09:23:00] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-08 09:23:00] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 100
- args.num_epochs_noisy  : 0
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0100-0000_lr-0.0000003_mo-0.99_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-08 09:23:50] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  3.848e+05, trn/neg_log_likelihood  9.511e+04, trn/neg_log_prior  2.896e+05, trn/lr  3.000e-07, trn/temperature  0.000e+00, val/acc 1.741e-01, val/nll 2.175e+00
[2023-02-08 09:23:57] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  3.486e+05, trn/neg_log_likelihood  8.030e+04, trn/neg_log_prior  2.683e+05, trn/lr  2.998e-07, trn/temperature  0.000e+00, val/acc 3.137e-01, val/nll 1.786e+00
[2023-02-08 09:24:04] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  3.365e+05, trn/neg_log_likelihood  7.391e+04, trn/neg_log_prior  2.626e+05, trn/lr  2.995e-07, trn/temperature  0.000e+00, val/acc 3.381e-01, val/nll 1.854e+00
[2023-02-08 09:24:12] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  3.303e+05, trn/neg_log_likelihood  6.810e+04, trn/neg_log_prior  2.622e+05, trn/lr  2.991e-07, trn/temperature  0.000e+00, val/acc 4.122e-01, val/nll 1.594e+00
[2023-02-08 09:24:19] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  3.295e+05, trn/neg_log_likelihood  6.624e+04, trn/neg_log_prior  2.633e+05, trn/lr  2.985e-07, trn/temperature  0.000e+00, val/acc 4.415e-01, val/nll 1.521e+00
[2023-02-08 09:24:26] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  3.288e+05, trn/neg_log_likelihood  6.482e+04, trn/neg_log_prior  2.640e+05, trn/lr  2.978e-07, trn/temperature  0.000e+00, val/acc 4.225e-01, val/nll 1.548e+00
[2023-02-08 09:24:33] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  3.265e+05, trn/neg_log_likelihood  6.135e+04, trn/neg_log_prior  2.652e+05, trn/lr  2.969e-07, trn/temperature  0.000e+00, val/acc 4.546e-01, val/nll 1.474e+00
[2023-02-08 09:24:41] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  3.246e+05, trn/neg_log_likelihood  5.905e+04, trn/neg_log_prior  2.655e+05, trn/lr  2.959e-07, trn/temperature  0.000e+00, val/acc 4.899e-01, val/nll 1.375e+00
[2023-02-08 09:24:48] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  3.246e+05, trn/neg_log_likelihood  5.787e+04, trn/neg_log_prior  2.667e+05, trn/lr  2.947e-07, trn/temperature  0.000e+00, val/acc 5.050e-01, val/nll 1.320e+00
[2023-02-08 09:24:56] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  3.218e+05, trn/neg_log_likelihood  5.437e+04, trn/neg_log_prior  2.674e+05, trn/lr  2.934e-07, trn/temperature  0.000e+00, val/acc 4.952e-01, val/nll 1.385e+00
[2023-02-08 09:25:03] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  3.207e+05, trn/neg_log_likelihood  5.187e+04, trn/neg_log_prior  2.688e+05, trn/lr  2.919e-07, trn/temperature  0.000e+00, val/acc 5.822e-01, val/nll 1.141e+00
[2023-02-08 09:25:11] [Cycle   1/ 30][Epoch  12/100] trn/posterior_energy  3.194e+05, trn/neg_log_likelihood  5.016e+04, trn/neg_log_prior  2.692e+05, trn/lr  2.903e-07, trn/temperature  0.000e+00, val/acc 5.956e-01, val/nll 1.137e+00
