[2023-05-31 13:25:45] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 13:25:45] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 34
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_34x1-batch_2048-iter_64k-lr_0.8-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 13:25:47] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0)]

[2023-05-31 13:26:32] images.shape: (4, 512, 224, 224, 3), output.shape: (4, 512, 512)
[2023-05-31 15:02:40] [Iter   14000/  64000] trn/loss 2.406e+00, trn/negative_log_likelihood 2.406e+00, trn/w_norm 1.439e+02, trn/g_norm 7.774e-01, trn/lr 7.703e-01, trn/dyn_scale 6.554e+04, val/acc 4.527e-01, val/nll 2.390e+00, val/best_acc 4.554e-01
[2023-05-31 15:08:38] [Iter   15000/  64000] trn/loss 2.392e+00, trn/negative_log_likelihood 2.392e+00, trn/w_norm 1.440e+02, trn/g_norm 7.792e-01, trn/lr 7.616e-01, trn/dyn_scale 6.554e+04, val/acc 4.533e-01, val/nll 2.405e+00, val/best_acc 4.554e-01
[2023-05-31 15:14:32] [Iter   16000/  64000] trn/loss 2.370e+00, trn/negative_log_likelihood 2.370e+00, trn/w_norm 1.439e+02, trn/g_norm 7.844e-01, trn/lr 7.517e-01, trn/dyn_scale 6.554e+04, val/acc 4.590e-01, val/nll 2.373e+00, val/best_acc 4.590e-01 (best_acc: 4.554e-01 -> 4.590e-01)
[2023-05-31 15:20:44] [Iter   17000/  64000] trn/loss 2.357e+00, trn/negative_log_likelihood 2.357e+00, trn/w_norm 1.437e+02, trn/g_norm 7.855e-01, trn/lr 7.408e-01, trn/dyn_scale 6.554e+04, val/acc 4.335e-01, val/nll 2.563e+00, val/best_acc 4.590e-01
[2023-05-31 15:26:46] [Iter   18000/  64000] trn/loss 2.342e+00, trn/negative_log_likelihood 2.342e+00, trn/w_norm 1.436e+02, trn/g_norm 7.909e-01, trn/lr 7.289e-01, trn/dyn_scale 6.554e+04, val/acc 4.700e-01, val/nll 2.336e+00, val/best_acc 4.700e-01 (best_acc: 4.590e-01 -> 4.700e-01)
[2023-05-31 15:32:40] [Iter   19000/  64000] trn/loss 2.325e+00, trn/negative_log_likelihood 2.325e+00, trn/w_norm 1.433e+02, trn/g_norm 7.944e-01, trn/lr 7.160e-01, trn/dyn_scale 6.554e+04, val/acc 4.530e-01, val/nll 2.408e+00, val/best_acc 4.700e-01
[2023-05-31 15:38:43] [Iter   20000/  64000] trn/loss 2.318e+00, trn/negative_log_likelihood 2.318e+00, trn/w_norm 1.431e+02, trn/g_norm 7.980e-01, trn/lr 7.021e-01, trn/dyn_scale 6.554e+04, val/acc 5.005e-01, val/nll 2.141e+00, val/best_acc 5.005e-01 (best_acc: 4.700e-01 -> 5.005e-01)
[2023-05-31 15:44:37] [Iter   21000/  64000] trn/loss 2.289e+00, trn/negative_log_likelihood 2.289e+00, trn/w_norm 1.427e+02, trn/g_norm 8.033e-01, trn/lr 6.874e-01, trn/dyn_scale 6.554e+04, val/acc 4.530e-01, val/nll 2.432e+00, val/best_acc 5.005e-01
[2023-05-31 15:50:59] [Iter   22000/  64000] trn/loss 2.281e+00, trn/negative_log_likelihood 2.281e+00, trn/w_norm 1.424e+02, trn/g_norm 8.082e-01, trn/lr 6.718e-01, trn/dyn_scale 6.554e+04, val/acc 4.708e-01, val/nll 2.331e+00, val/best_acc 5.005e-01
[2023-05-31 15:57:18] [Iter   23000/  64000] trn/loss 2.262e+00, trn/negative_log_likelihood 2.262e+00, trn/w_norm 1.419e+02, trn/g_norm 8.150e-01, trn/lr 6.554e-01, trn/dyn_scale 6.554e+04, val/acc 4.660e-01, val/nll 2.371e+00, val/best_acc 5.005e-01
