[2023-02-11 07:39:40] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-11 07:39:40] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000001_mo-0.99_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-11 07:41:06] [Cycle   1/ 30][Epoch  18/200] trn/posterior_energy  1.957e+05, trn/neg_log_likelihood  2.337e+04, trn/neg_log_prior  1.723e+05, trn/lr  9.812e-08, trn/temperature  0.000e+00, val/acc 7.618e-01, val/nll 6.829e-01
[2023-02-11 07:41:10] [Cycle   1/ 30][Epoch  19/200] trn/posterior_energy  1.963e+05, trn/neg_log_likelihood  2.397e+04, trn/neg_log_prior  1.724e+05, trn/lr  9.790e-08, trn/temperature  0.000e+00, val/acc 7.592e-01, val/nll 6.949e-01
[2023-02-11 07:41:13] [Cycle   1/ 30][Epoch  20/200] trn/posterior_energy  1.958e+05, trn/neg_log_likelihood  2.304e+04, trn/neg_log_prior  1.728e+05, trn/lr  9.767e-08, trn/temperature  0.000e+00, val/acc 7.550e-01, val/nll 7.120e-01
[2023-02-11 07:41:17] [Cycle   1/ 30][Epoch  21/200] trn/posterior_energy  1.952e+05, trn/neg_log_likelihood  2.214e+04, trn/neg_log_prior  1.730e+05, trn/lr  9.743e-08, trn/temperature  0.000e+00, val/acc 7.629e-01, val/nll 7.061e-01
[2023-02-11 07:41:20] [Cycle   1/ 30][Epoch  22/200] trn/posterior_energy  1.948e+05, trn/neg_log_likelihood  2.150e+04, trn/neg_log_prior  1.733e+05, trn/lr  9.718e-08, trn/temperature  0.000e+00, val/acc 7.619e-01, val/nll 7.124e-01
[2023-02-11 07:41:24] [Cycle   1/ 30][Epoch  23/200] trn/posterior_energy  1.954e+05, trn/neg_log_likelihood  2.181e+04, trn/neg_log_prior  1.736e+05, trn/lr  9.691e-08, trn/temperature  0.000e+00, val/acc 7.591e-01, val/nll 6.998e-01
[2023-02-11 07:41:27] [Cycle   1/ 30][Epoch  24/200] trn/posterior_energy  1.940e+05, trn/neg_log_likelihood  2.016e+04, trn/neg_log_prior  1.739e+05, trn/lr  9.663e-08, trn/temperature  0.000e+00, val/acc 7.527e-01, val/nll 7.319e-01
[2023-02-11 07:41:31] [Cycle   1/ 30][Epoch  25/200] trn/posterior_energy  1.935e+05, trn/neg_log_likelihood  1.943e+04, trn/neg_log_prior  1.741e+05, trn/lr  9.634e-08, trn/temperature  0.000e+00, val/acc 7.851e-01, val/nll 6.463e-01
[2023-02-11 07:41:34] [Cycle   1/ 30][Epoch  26/200] trn/posterior_energy  1.929e+05, trn/neg_log_likelihood  1.873e+04, trn/neg_log_prior  1.741e+05, trn/lr  9.604e-08, trn/temperature  0.000e+00, val/acc 7.735e-01, val/nll 6.577e-01
[2023-02-11 07:41:38] [Cycle   1/ 30][Epoch  27/200] trn/posterior_energy  1.922e+05, trn/neg_log_likelihood  1.799e+04, trn/neg_log_prior  1.742e+05, trn/lr  9.573e-08, trn/temperature  0.000e+00, val/acc 7.895e-01, val/nll 6.185e-01
[2023-02-11 07:41:41] [Cycle   1/ 30][Epoch  28/200] trn/posterior_energy  1.910e+05, trn/neg_log_likelihood  1.673e+04, trn/neg_log_prior  1.743e+05, trn/lr  9.541e-08, trn/temperature  0.000e+00, val/acc 7.758e-01, val/nll 6.781e-01
[2023-02-11 07:41:45] [Cycle   1/ 30][Epoch  29/200] trn/posterior_energy  1.920e+05, trn/neg_log_likelihood  1.750e+04, trn/neg_log_prior  1.745e+05, trn/lr  9.507e-08, trn/temperature  0.000e+00, val/acc 7.834e-01, val/nll 6.552e-01
[2023-02-11 07:41:48] [Cycle   1/ 30][Epoch  30/200] trn/posterior_energy  1.916e+05, trn/neg_log_likelihood  1.686e+04, trn/neg_log_prior  1.747e+05, trn/lr  9.473e-08, trn/temperature  0.000e+00, val/acc 7.606e-01, val/nll 7.412e-01
[2023-02-11 07:41:52] [Cycle   1/ 30][Epoch  31/200] trn/posterior_energy  1.916e+05, trn/neg_log_likelihood  1.661e+04, trn/neg_log_prior  1.750e+05, trn/lr  9.437e-08, trn/temperature  0.000e+00, val/acc 7.851e-01, val/nll 6.574e-01
[2023-02-11 07:41:55] [Cycle   1/ 30][Epoch  32/200] trn/posterior_energy  1.909e+05, trn/neg_log_likelihood  1.577e+04, trn/neg_log_prior  1.752e+05, trn/lr  9.400e-08, trn/temperature  0.000e+00, val/acc 7.935e-01, val/nll 6.261e-01
[2023-02-11 07:41:59] [Cycle   1/ 30][Epoch  33/200] trn/posterior_energy  1.899e+05, trn/neg_log_likelihood  1.466e+04, trn/neg_log_prior  1.752e+05, trn/lr  9.362e-08, trn/temperature  0.000e+00, val/acc 8.040e-01, val/nll 6.190e-01
[2023-02-11 07:42:02] [Cycle   1/ 30][Epoch  34/200] trn/posterior_energy  1.901e+05, trn/neg_log_likelihood  1.486e+04, trn/neg_log_prior  1.752e+05, trn/lr  9.324e-08, trn/temperature  0.000e+00, val/acc 7.779e-01, val/nll 6.696e-01
[2023-02-11 07:42:05] [Cycle   1/ 30][Epoch  35/200] trn/posterior_energy  1.900e+05, trn/neg_log_likelihood  1.466e+04, trn/neg_log_prior  1.754e+05, trn/lr  9.284e-08, trn/temperature  0.000e+00, val/acc 7.935e-01, val/nll 6.146e-01
[2023-02-11 07:42:09] [Cycle   1/ 30][Epoch  36/200] trn/posterior_energy  1.901e+05, trn/neg_log_likelihood  1.452e+04, trn/neg_log_prior  1.756e+05, trn/lr  9.243e-08, trn/temperature  0.000e+00, val/acc 7.592e-01, val/nll 7.547e-01
[2023-02-11 07:42:12] [Cycle   1/ 30][Epoch  37/200] trn/posterior_energy  1.901e+05, trn/neg_log_likelihood  1.425e+04, trn/neg_log_prior  1.758e+05, trn/lr  9.200e-08, trn/temperature  0.000e+00, val/acc 7.749e-01, val/nll 7.261e-01
[2023-02-11 07:42:16] [Cycle   1/ 30][Epoch  38/200] trn/posterior_energy  1.910e+05, trn/neg_log_likelihood  1.500e+04, trn/neg_log_prior  1.760e+05, trn/lr  9.157e-08, trn/temperature  0.000e+00, val/acc 7.898e-01, val/nll 6.472e-01
[2023-02-11 07:42:19] [Cycle   1/ 30][Epoch  39/200] trn/posterior_energy  1.897e+05, trn/neg_log_likelihood  1.358e+04, trn/neg_log_prior  1.761e+05, trn/lr  9.113e-08, trn/temperature  0.000e+00, val/acc 7.913e-01, val/nll 6.409e-01
[2023-02-11 07:42:23] [Cycle   1/ 30][Epoch  40/200] trn/posterior_energy  1.891e+05, trn/neg_log_likelihood  1.284e+04, trn/neg_log_prior  1.762e+05, trn/lr  9.068e-08, trn/temperature  0.000e+00, val/acc 7.916e-01, val/nll 6.345e-01
