[2023-02-05 12:00:01] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 12:00:01] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.9
- args.prior_precision   : 40.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.90_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 12:00:16] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 12:00:59] [Epoch     1/  500] trn/posterior_energy  4.253e+06, trn/neg_log_likelihood  8.102e+04, trn/neg_log_prior  4.172e+06, trn/lr  1.000e-07, val/acc 3.748e-01, val/nll 1.680e+00 (best_acc: 0.000e+00 -> 3.748e-01, test_acc: 3.744e-01, test_nll: 1.680e+00)
[2023-02-05 12:01:13] [Epoch     2/  500] trn/posterior_energy  4.230e+06, trn/neg_log_likelihood  6.503e+04, trn/neg_log_prior  4.164e+06, trn/lr  1.000e-07, val/acc 4.629e-01, val/nll 1.500e+00 (best_acc: 3.748e-01 -> 4.629e-01, test_acc: 4.613e-01, test_nll: 1.502e+00)
[2023-02-05 12:01:28] [Epoch     3/  500] trn/posterior_energy  4.215e+06, trn/neg_log_likelihood  5.786e+04, trn/neg_log_prior  4.158e+06, trn/lr  9.999e-08, val/acc 4.992e-01, val/nll 1.360e+00 (best_acc: 4.629e-01 -> 4.992e-01, test_acc: 5.005e-01, test_nll: 1.358e+00)
[2023-02-05 12:01:42] [Epoch     4/  500] trn/posterior_energy  4.204e+06, trn/neg_log_likelihood  5.261e+04, trn/neg_log_prior  4.151e+06, trn/lr  9.999e-08, val/acc 5.414e-01, val/nll 1.260e+00 (best_acc: 4.992e-01 -> 5.414e-01, test_acc: 5.369e-01, test_nll: 1.265e+00)
[2023-02-05 12:01:56] [Epoch     5/  500] trn/posterior_energy  4.193e+06, trn/neg_log_likelihood  4.872e+04, trn/neg_log_prior  4.145e+06, trn/lr  9.998e-08, val/acc 5.654e-01, val/nll 1.186e+00 (best_acc: 5.414e-01 -> 5.654e-01, test_acc: 5.637e-01, test_nll: 1.191e+00)
[2023-02-05 12:02:10] [Epoch     6/  500] trn/posterior_energy  4.184e+06, trn/neg_log_likelihood  4.545e+04, trn/neg_log_prior  4.139e+06, trn/lr  9.997e-08, val/acc 5.981e-01, val/nll 1.124e+00 (best_acc: 5.654e-01 -> 5.981e-01, test_acc: 5.889e-01, test_nll: 1.134e+00)
[2023-02-05 12:02:22] [Epoch     7/  500] trn/posterior_energy  4.175e+06, trn/neg_log_likelihood  4.174e+04, trn/neg_log_prior  4.133e+06, trn/lr  9.996e-08, val/acc 5.916e-01, val/nll 1.130e+00
[2023-02-05 12:02:36] [Epoch     8/  500] trn/posterior_energy  4.166e+06, trn/neg_log_likelihood  3.863e+04, trn/neg_log_prior  4.127e+06, trn/lr  9.994e-08, val/acc 6.323e-01, val/nll 1.003e+00 (best_acc: 5.981e-01 -> 6.323e-01, test_acc: 6.362e-01, test_nll: 1.006e+00)
[2023-02-05 12:02:50] [Epoch     9/  500] trn/posterior_energy  4.158e+06, trn/neg_log_likelihood  3.616e+04, trn/neg_log_prior  4.122e+06, trn/lr  9.993e-08, val/acc 6.696e-01, val/nll 9.342e-01 (best_acc: 6.323e-01 -> 6.696e-01, test_acc: 6.682e-01, test_nll: 9.471e-01)
[2023-02-05 12:03:04] [Epoch    10/  500] trn/posterior_energy  4.150e+06, trn/neg_log_likelihood  3.287e+04, trn/neg_log_prior  4.117e+06, trn/lr  9.991e-08, val/acc 6.885e-01, val/nll 8.797e-01 (best_acc: 6.696e-01 -> 6.885e-01, test_acc: 6.764e-01, test_nll: 8.985e-01)
[2023-02-05 12:03:18] [Epoch    11/  500] trn/posterior_energy  4.143e+06, trn/neg_log_likelihood  3.057e+04, trn/neg_log_prior  4.112e+06, trn/lr  9.989e-08, val/acc 7.098e-01, val/nll 8.353e-01 (best_acc: 6.885e-01 -> 7.098e-01, test_acc: 7.078e-01, test_nll: 8.457e-01)
