[2023-02-07 06:16:02] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-07 06:16:02] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 200
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0200_lr-0.0000003_mo-0.97_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-07 06:16:37] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy -3.295e+04, trn/neg_log_likelihood  8.892e+04, trn/neg_log_prior -1.219e+05, trn/lr  3.000e-07, trn/temperature  1.000e+00, val/acc 2.410e-01, val/nll 1.905e+00
[2023-02-07 06:17:22] [Cycle   1/ 30][Epoch  12/200] trn/posterior_energy -4.876e+04, trn/neg_log_likelihood  3.913e+04, trn/neg_log_prior -8.789e+04, trn/lr  2.976e-07, trn/temperature  1.000e+00, val/acc 6.553e-01, val/nll 9.625e-01
[2023-02-07 06:17:26] [Cycle   1/ 30][Epoch  13/200] trn/posterior_energy -4.729e+04, trn/neg_log_likelihood  3.794e+04, trn/neg_log_prior -8.523e+04, trn/lr  2.971e-07, trn/temperature  1.000e+00, val/acc 6.466e-01, val/nll 9.695e-01
[2023-02-07 06:17:30] [Cycle   1/ 30][Epoch  14/200] trn/posterior_energy -4.587e+04, trn/neg_log_likelihood  3.680e+04, trn/neg_log_prior -8.268e+04, trn/lr  2.966e-07, trn/temperature  1.000e+00, val/acc 6.855e-01, val/nll 8.922e-01
[2023-02-07 06:17:34] [Cycle   1/ 30][Epoch  15/200] trn/posterior_energy -4.448e+04, trn/neg_log_likelihood  3.572e+04, trn/neg_log_prior -8.020e+04, trn/lr  2.961e-07, trn/temperature  1.000e+00, val/acc 6.846e-01, val/nll 8.927e-01
[2023-02-07 06:17:38] [Cycle   1/ 30][Epoch  16/200] trn/posterior_energy -4.292e+04, trn/neg_log_likelihood  3.488e+04, trn/neg_log_prior -7.780e+04, trn/lr  2.956e-07, trn/temperature  1.000e+00, val/acc 6.742e-01, val/nll 9.165e-01
[2023-02-07 06:17:42] [Cycle   1/ 30][Epoch  17/200] trn/posterior_energy -4.067e+04, trn/neg_log_likelihood  3.483e+04, trn/neg_log_prior -7.550e+04, trn/lr  2.950e-07, trn/temperature  1.000e+00, val/acc 7.018e-01, val/nll 8.407e-01
[2023-02-07 06:17:46] [Cycle   1/ 30][Epoch  18/200] trn/posterior_energy -3.974e+04, trn/neg_log_likelihood  3.344e+04, trn/neg_log_prior -7.317e+04, trn/lr  2.944e-07, trn/temperature  1.000e+00, val/acc 6.882e-01, val/nll 8.907e-01
[2023-02-07 06:17:50] [Cycle   1/ 30][Epoch  19/200] trn/posterior_energy -3.775e+04, trn/neg_log_likelihood  3.318e+04, trn/neg_log_prior -7.092e+04, trn/lr  2.937e-07, trn/temperature  1.000e+00, val/acc 6.739e-01, val/nll 9.062e-01
[2023-02-07 06:17:54] [Cycle   1/ 30][Epoch  20/200] trn/posterior_energy -3.624e+04, trn/neg_log_likelihood  3.251e+04, trn/neg_log_prior -6.875e+04, trn/lr  2.930e-07, trn/temperature  1.000e+00, val/acc 7.113e-01, val/nll 8.202e-01
[2023-02-07 06:17:58] [Cycle   1/ 30][Epoch  21/200] trn/posterior_energy -3.497e+04, trn/neg_log_likelihood  3.164e+04, trn/neg_log_prior -6.662e+04, trn/lr  2.923e-07, trn/temperature  1.000e+00, val/acc 6.937e-01, val/nll 8.621e-01
[2023-02-07 06:18:02] [Cycle   1/ 30][Epoch  22/200] trn/posterior_energy -3.298e+04, trn/neg_log_likelihood  3.157e+04, trn/neg_log_prior -6.454e+04, trn/lr  2.915e-07, trn/temperature  1.000e+00, val/acc 6.874e-01, val/nll 8.961e-01
[2023-02-07 06:18:06] [Cycle   1/ 30][Epoch  23/200] trn/posterior_energy -3.179e+04, trn/neg_log_likelihood  3.079e+04, trn/neg_log_prior -6.258e+04, trn/lr  2.907e-07, trn/temperature  1.000e+00, val/acc 7.093e-01, val/nll 8.341e-01
[2023-02-07 06:18:10] [Cycle   1/ 30][Epoch  24/200] trn/posterior_energy -3.021e+04, trn/neg_log_likelihood  3.040e+04, trn/neg_log_prior -6.061e+04, trn/lr  2.899e-07, trn/temperature  1.000e+00, val/acc 7.258e-01, val/nll 7.740e-01
[2023-02-07 06:18:14] [Cycle   1/ 30][Epoch  25/200] trn/posterior_energy -2.856e+04, trn/neg_log_likelihood  3.019e+04, trn/neg_log_prior -5.875e+04, trn/lr  2.890e-07, trn/temperature  1.000e+00, val/acc 7.160e-01, val/nll 7.960e-01
[2023-02-07 06:18:19] [Cycle   1/ 30][Epoch  26/200] trn/posterior_energy -2.628e+04, trn/neg_log_likelihood  3.066e+04, trn/neg_log_prior -5.694e+04, trn/lr  2.881e-07, trn/temperature  1.000e+00, val/acc 7.281e-01, val/nll 7.833e-01
[2023-02-07 06:18:23] [Cycle   1/ 30][Epoch  27/200] trn/posterior_energy -2.532e+04, trn/neg_log_likelihood  2.988e+04, trn/neg_log_prior -5.521e+04, trn/lr  2.872e-07, trn/temperature  1.000e+00, val/acc 7.343e-01, val/nll 7.673e-01
[2023-02-07 06:18:27] [Cycle   1/ 30][Epoch  28/200] trn/posterior_energy -2.502e+04, trn/neg_log_likelihood  2.847e+04, trn/neg_log_prior -5.350e+04, trn/lr  2.862e-07, trn/temperature  1.000e+00, val/acc 7.253e-01, val/nll 7.855e-01
[2023-02-07 06:18:31] [Cycle   1/ 30][Epoch  29/200] trn/posterior_energy -2.325e+04, trn/neg_log_likelihood  2.858e+04, trn/neg_log_prior -5.183e+04, trn/lr  2.852e-07, trn/temperature  1.000e+00, val/acc 7.045e-01, val/nll 8.563e-01
[2023-02-07 06:18:35] [Cycle   1/ 30][Epoch  30/200] trn/posterior_energy -2.178e+04, trn/neg_log_likelihood  2.843e+04, trn/neg_log_prior -5.021e+04, trn/lr  2.842e-07, trn/temperature  1.000e+00, val/acc 7.187e-01, val/nll 8.063e-01
[2023-02-07 06:18:39] [Cycle   1/ 30][Epoch  31/200] trn/posterior_energy -2.058e+04, trn/neg_log_likelihood  2.815e+04, trn/neg_log_prior -4.874e+04, trn/lr  2.831e-07, trn/temperature  1.000e+00, val/acc 7.384e-01, val/nll 7.494e-01
[2023-02-07 06:18:43] [Cycle   1/ 30][Epoch  32/200] trn/posterior_energy -1.967e+04, trn/neg_log_likelihood  2.752e+04, trn/neg_log_prior -4.719e+04, trn/lr  2.820e-07, trn/temperature  1.000e+00, val/acc 7.463e-01, val/nll 7.298e-01
[2023-02-07 06:18:47] [Cycle   1/ 30][Epoch  33/200] trn/posterior_energy -1.798e+04, trn/neg_log_likelihood  2.771e+04, trn/neg_log_prior -4.569e+04, trn/lr  2.809e-07, trn/temperature  1.000e+00, val/acc 7.403e-01, val/nll 7.506e-01
[2023-02-07 06:18:51] [Cycle   1/ 30][Epoch  34/200] trn/posterior_energy -1.682e+04, trn/neg_log_likelihood  2.736e+04, trn/neg_log_prior -4.418e+04, trn/lr  2.797e-07, trn/temperature  1.000e+00, val/acc 7.457e-01, val/nll 7.311e-01
[2023-02-07 06:18:56] [Cycle   1/ 30][Epoch  35/200] trn/posterior_energy -1.552e+04, trn/neg_log_likelihood  2.722e+04, trn/neg_log_prior -4.274e+04, trn/lr  2.785e-07, trn/temperature  1.000e+00, val/acc 7.195e-01, val/nll 8.106e-01
[2023-02-07 06:19:00] [Cycle   1/ 30][Epoch  36/200] trn/posterior_energy -1.389e+04, trn/neg_log_likelihood  2.745e+04, trn/neg_log_prior -4.134e+04, trn/lr  2.773e-07, trn/temperature  1.000e+00, val/acc 7.429e-01, val/nll 7.421e-01
[2023-02-07 06:19:04] [Cycle   1/ 30][Epoch  37/200] trn/posterior_energy -1.250e+04, trn/neg_log_likelihood  2.745e+04, trn/neg_log_prior -3.995e+04, trn/lr  2.760e-07, trn/temperature  1.000e+00, val/acc 7.236e-01, val/nll 8.116e-01
[2023-02-07 06:19:08] [Cycle   1/ 30][Epoch  38/200] trn/posterior_energy -1.193e+04, trn/neg_log_likelihood  2.666e+04, trn/neg_log_prior -3.859e+04, trn/lr  2.747e-07, trn/temperature  1.000e+00, val/acc 7.499e-01, val/nll 7.307e-01
[2023-02-07 06:19:12] [Cycle   1/ 30][Epoch  39/200] trn/posterior_energy -1.080e+04, trn/neg_log_likelihood  2.653e+04, trn/neg_log_prior -3.733e+04, trn/lr  2.734e-07, trn/temperature  1.000e+00, val/acc 7.561e-01, val/nll 7.163e-01
[2023-02-07 06:19:16] [Cycle   1/ 30][Epoch  40/200] trn/posterior_energy -1.006e+04, trn/neg_log_likelihood  2.605e+04, trn/neg_log_prior -3.612e+04, trn/lr  2.720e-07, trn/temperature  1.000e+00, val/acc 7.600e-01, val/nll 6.963e-01
[2023-02-07 06:19:20] [Cycle   1/ 30][Epoch  41/200] trn/posterior_energy -9.003e+03, trn/neg_log_likelihood  2.601e+04, trn/neg_log_prior -3.501e+04, trn/lr  2.707e-07, trn/temperature  1.000e+00, val/acc 7.487e-01, val/nll 7.178e-01
[2023-02-07 06:19:24] [Cycle   1/ 30][Epoch  42/200] trn/posterior_energy -7.165e+03, trn/neg_log_likelihood  2.669e+04, trn/neg_log_prior -3.386e+04, trn/lr  2.692e-07, trn/temperature  1.000e+00, val/acc 7.252e-01, val/nll 8.159e-01
[2023-02-07 06:19:28] [Cycle   1/ 30][Epoch  43/200] trn/posterior_energy -6.789e+03, trn/neg_log_likelihood  2.600e+04, trn/neg_log_prior -3.279e+04, trn/lr  2.678e-07, trn/temperature  1.000e+00, val/acc 7.586e-01, val/nll 7.122e-01
[2023-02-07 06:19:32] [Cycle   1/ 30][Epoch  44/200] trn/posterior_energy -5.533e+03, trn/neg_log_likelihood  2.613e+04, trn/neg_log_prior -3.166e+04, trn/lr  2.663e-07, trn/temperature  1.000e+00, val/acc 7.617e-01, val/nll 6.897e-01
[2023-02-07 06:19:36] [Cycle   1/ 30][Epoch  45/200] trn/posterior_energy -5.072e+03, trn/neg_log_likelihood  2.557e+04, trn/neg_log_prior -3.064e+04, trn/lr  2.648e-07, trn/temperature  1.000e+00, val/acc 7.478e-01, val/nll 7.375e-01
[2023-02-07 06:19:41] [Cycle   1/ 30][Epoch  46/200] trn/posterior_energy -3.625e+03, trn/neg_log_likelihood  2.603e+04, trn/neg_log_prior -2.966e+04, trn/lr  2.633e-07, trn/temperature  1.000e+00, val/acc 7.426e-01, val/nll 7.220e-01
[2023-02-07 06:19:45] [Cycle   1/ 30][Epoch  47/200] trn/posterior_energy -3.487e+03, trn/neg_log_likelihood  2.517e+04, trn/neg_log_prior -2.866e+04, trn/lr  2.617e-07, trn/temperature  1.000e+00, val/acc 7.482e-01, val/nll 7.279e-01
[2023-02-07 06:19:49] [Cycle   1/ 30][Epoch  48/200] trn/posterior_energy -2.739e+03, trn/neg_log_likelihood  2.501e+04, trn/neg_log_prior -2.775e+04, trn/lr  2.601e-07, trn/temperature  1.000e+00, val/acc 7.632e-01, val/nll 6.949e-01
[2023-02-07 06:19:53] [Cycle   1/ 30][Epoch  49/200] trn/posterior_energy -1.525e+03, trn/neg_log_likelihood  2.524e+04, trn/neg_log_prior -2.676e+04, trn/lr  2.585e-07, trn/temperature  1.000e+00, val/acc 7.565e-01, val/nll 7.117e-01
[2023-02-07 06:19:57] [Cycle   1/ 30][Epoch  50/200] trn/posterior_energy -2.585e+02, trn/neg_log_likelihood  2.564e+04, trn/neg_log_prior -2.590e+04, trn/lr  2.569e-07, trn/temperature  1.000e+00, val/acc 7.210e-01, val/nll 8.373e-01
[2023-02-07 06:20:01] [Cycle   1/ 30][Epoch  51/200] trn/posterior_energy -1.715e+02, trn/neg_log_likelihood  2.489e+04, trn/neg_log_prior -2.506e+04, trn/lr  2.552e-07, trn/temperature  1.000e+00, val/acc 7.646e-01, val/nll 6.877e-01
[2023-02-07 06:20:05] [Cycle   1/ 30][Epoch  52/200] trn/posterior_energy  7.476e+02, trn/neg_log_likelihood  2.501e+04, trn/neg_log_prior -2.426e+04, trn/lr  2.535e-07, trn/temperature  1.000e+00, val/acc 7.386e-01, val/nll 7.690e-01
[2023-02-07 06:20:09] [Cycle   1/ 30][Epoch  53/200] trn/posterior_energy  1.362e+03, trn/neg_log_likelihood  2.478e+04, trn/neg_log_prior -2.342e+04, trn/lr  2.518e-07, trn/temperature  1.000e+00, val/acc 7.504e-01, val/nll 7.298e-01
[2023-02-07 06:20:13] [Cycle   1/ 30][Epoch  54/200] trn/posterior_energy  2.192e+03, trn/neg_log_likelihood  2.465e+04, trn/neg_log_prior -2.246e+04, trn/lr  2.501e-07, trn/temperature  1.000e+00, val/acc 7.645e-01, val/nll 6.900e-01
[2023-02-07 06:20:18] [Cycle   1/ 30][Epoch  55/200] trn/posterior_energy  2.555e+03, trn/neg_log_likelihood  2.420e+04, trn/neg_log_prior -2.165e+04, trn/lr  2.483e-07, trn/temperature  1.000e+00, val/acc 7.552e-01, val/nll 7.153e-01
[2023-02-07 06:20:22] [Cycle   1/ 30][Epoch  56/200] trn/posterior_energy  3.229e+03, trn/neg_log_likelihood  2.410e+04, trn/neg_log_prior -2.087e+04, trn/lr  2.465e-07, trn/temperature  1.000e+00, val/acc 7.551e-01, val/nll 7.132e-01
[2023-02-07 06:20:26] [Cycle   1/ 30][Epoch  57/200] trn/posterior_energy  4.395e+03, trn/neg_log_likelihood  2.447e+04, trn/neg_log_prior -2.008e+04, trn/lr  2.447e-07, trn/temperature  1.000e+00, val/acc 7.608e-01, val/nll 6.946e-01
[2023-02-07 06:20:30] [Cycle   1/ 30][Epoch  58/200] trn/posterior_energy  4.710e+03, trn/neg_log_likelihood  2.403e+04, trn/neg_log_prior -1.932e+04, trn/lr  2.429e-07, trn/temperature  1.000e+00, val/acc 7.741e-01, val/nll 6.692e-01
[2023-02-07 06:20:34] [Cycle   1/ 30][Epoch  59/200] trn/posterior_energy  5.264e+03, trn/neg_log_likelihood  2.390e+04, trn/neg_log_prior -1.863e+04, trn/lr  2.410e-07, trn/temperature  1.000e+00, val/acc 7.639e-01, val/nll 6.807e-01
[2023-02-07 06:20:38] [Cycle   1/ 30][Epoch  60/200] trn/posterior_energy  6.444e+03, trn/neg_log_likelihood  2.437e+04, trn/neg_log_prior -1.792e+04, trn/lr  2.391e-07, trn/temperature  1.000e+00, val/acc 7.535e-01, val/nll 7.142e-01
[2023-02-07 06:20:43] [Cycle   1/ 30][Epoch  61/200] trn/posterior_energy  6.425e+03, trn/neg_log_likelihood  2.374e+04, trn/neg_log_prior -1.732e+04, trn/lr  2.372e-07, trn/temperature  1.000e+00, val/acc 7.560e-01, val/nll 7.264e-01
[2023-02-07 06:20:47] [Cycle   1/ 30][Epoch  62/200] trn/posterior_energy  7.041e+03, trn/neg_log_likelihood  2.374e+04, trn/neg_log_prior -1.670e+04, trn/lr  2.353e-07, trn/temperature  1.000e+00, val/acc 7.681e-01, val/nll 6.826e-01
[2023-02-07 06:20:51] [Cycle   1/ 30][Epoch  63/200] trn/posterior_energy  7.228e+03, trn/neg_log_likelihood  2.331e+04, trn/neg_log_prior -1.608e+04, trn/lr  2.333e-07, trn/temperature  1.000e+00, val/acc 7.702e-01, val/nll 6.709e-01
[2023-02-07 06:20:55] [Cycle   1/ 30][Epoch  64/200] trn/posterior_energy  8.298e+03, trn/neg_log_likelihood  2.380e+04, trn/neg_log_prior -1.550e+04, trn/lr  2.314e-07, trn/temperature  1.000e+00, val/acc 7.527e-01, val/nll 7.186e-01
[2023-02-07 06:20:59] [Cycle   1/ 30][Epoch  65/200] trn/posterior_energy  9.019e+03, trn/neg_log_likelihood  2.396e+04, trn/neg_log_prior -1.494e+04, trn/lr  2.294e-07, trn/temperature  1.000e+00, val/acc 7.615e-01, val/nll 6.978e-01
[2023-02-07 06:21:03] [Cycle   1/ 30][Epoch  66/200] trn/posterior_energy  8.983e+03, trn/neg_log_likelihood  2.337e+04, trn/neg_log_prior -1.439e+04, trn/lr  2.274e-07, trn/temperature  1.000e+00, val/acc 7.533e-01, val/nll 7.176e-01
[2023-02-07 06:21:07] [Cycle   1/ 30][Epoch  67/200] trn/posterior_energy  9.467e+03, trn/neg_log_likelihood  2.328e+04, trn/neg_log_prior -1.381e+04, trn/lr  2.253e-07, trn/temperature  1.000e+00, val/acc 7.583e-01, val/nll 6.922e-01
[2023-02-07 06:21:11] [Cycle   1/ 30][Epoch  68/200] trn/posterior_energy  1.013e+04, trn/neg_log_likelihood  2.348e+04, trn/neg_log_prior -1.335e+04, trn/lr  2.233e-07, trn/temperature  1.000e+00, val/acc 7.704e-01, val/nll 6.689e-01
[2023-02-07 06:21:15] [Cycle   1/ 30][Epoch  69/200] trn/posterior_energy  1.022e+04, trn/neg_log_likelihood  2.308e+04, trn/neg_log_prior -1.285e+04, trn/lr  2.212e-07, trn/temperature  1.000e+00, val/acc 7.698e-01, val/nll 6.678e-01
[2023-02-07 06:21:20] [Cycle   1/ 30][Epoch  70/200] trn/posterior_energy  1.053e+04, trn/neg_log_likelihood  2.284e+04, trn/neg_log_prior -1.231e+04, trn/lr  2.191e-07, trn/temperature  1.000e+00, val/acc 7.580e-01, val/nll 7.060e-01
[2023-02-07 06:21:24] [Cycle   1/ 30][Epoch  71/200] trn/posterior_energy  1.112e+04, trn/neg_log_likelihood  2.288e+04, trn/neg_log_prior -1.176e+04, trn/lr  2.170e-07, trn/temperature  1.000e+00, val/acc 7.538e-01, val/nll 7.121e-01
[2023-02-07 06:21:28] [Cycle   1/ 30][Epoch  72/200] trn/posterior_energy  1.179e+04, trn/neg_log_likelihood  2.300e+04, trn/neg_log_prior -1.122e+04, trn/lr  2.149e-07, trn/temperature  1.000e+00, val/acc 7.705e-01, val/nll 6.739e-01
[2023-02-07 06:21:32] [Cycle   1/ 30][Epoch  73/200] trn/posterior_energy  1.205e+04, trn/neg_log_likelihood  2.282e+04, trn/neg_log_prior -1.077e+04, trn/lr  2.128e-07, trn/temperature  1.000e+00, val/acc 7.647e-01, val/nll 6.867e-01
[2023-02-07 06:21:36] [Cycle   1/ 30][Epoch  74/200] trn/posterior_energy  1.227e+04, trn/neg_log_likelihood  2.265e+04, trn/neg_log_prior -1.039e+04, trn/lr  2.107e-07, trn/temperature  1.000e+00, val/acc 7.684e-01, val/nll 6.600e-01
[2023-02-07 06:21:40] [Cycle   1/ 30][Epoch  75/200] trn/posterior_energy  1.247e+04, trn/neg_log_likelihood  2.246e+04, trn/neg_log_prior -9.985e+03, trn/lr  2.085e-07, trn/temperature  1.000e+00, val/acc 7.707e-01, val/nll 6.578e-01
[2023-02-07 06:21:44] [Cycle   1/ 30][Epoch  76/200] trn/posterior_energy  1.274e+04, trn/neg_log_likelihood  2.225e+04, trn/neg_log_prior -9.513e+03, trn/lr  2.063e-07, trn/temperature  1.000e+00, val/acc 7.670e-01, val/nll 6.672e-01
[2023-02-07 06:21:47] [Cycle   1/ 30][Epoch  77/200] trn/posterior_energy  1.328e+04, trn/neg_log_likelihood  2.239e+04, trn/neg_log_prior -9.107e+03, trn/lr  2.041e-07, trn/temperature  1.000e+00, val/acc 7.732e-01, val/nll 6.681e-01
[2023-02-07 06:21:51] [Cycle   1/ 30][Epoch  78/200] trn/posterior_energy  1.384e+04, trn/neg_log_likelihood  2.255e+04, trn/neg_log_prior -8.710e+03, trn/lr  2.019e-07, trn/temperature  1.000e+00, val/acc 7.697e-01, val/nll 6.778e-01
[2023-02-07 06:21:55] [Cycle   1/ 30][Epoch  79/200] trn/posterior_energy  1.394e+04, trn/neg_log_likelihood  2.229e+04, trn/neg_log_prior -8.352e+03, trn/lr  1.997e-07, trn/temperature  1.000e+00, val/acc 7.600e-01, val/nll 7.033e-01
[2023-02-07 06:21:59] [Cycle   1/ 30][Epoch  80/200] trn/posterior_energy  1.413e+04, trn/neg_log_likelihood  2.214e+04, trn/neg_log_prior -8.010e+03, trn/lr  1.975e-07, trn/temperature  1.000e+00, val/acc 7.678e-01, val/nll 6.770e-01
[2023-02-07 06:22:03] [Cycle   1/ 30][Epoch  81/200] trn/posterior_energy  1.434e+04, trn/neg_log_likelihood  2.203e+04, trn/neg_log_prior -7.689e+03, trn/lr  1.952e-07, trn/temperature  1.000e+00, val/acc 7.659e-01, val/nll 6.726e-01
[2023-02-07 06:22:07] [Cycle   1/ 30][Epoch  82/200] trn/posterior_energy  1.460e+04, trn/neg_log_likelihood  2.194e+04, trn/neg_log_prior -7.333e+03, trn/lr  1.930e-07, trn/temperature  1.000e+00, val/acc 7.399e-01, val/nll 7.855e-01
[2023-02-07 06:22:11] [Cycle   1/ 30][Epoch  83/200] trn/posterior_energy  1.482e+04, trn/neg_log_likelihood  2.176e+04, trn/neg_log_prior -6.937e+03, trn/lr  1.907e-07, trn/temperature  1.000e+00, val/acc 7.690e-01, val/nll 6.721e-01
[2023-02-07 06:22:15] [Cycle   1/ 30][Epoch  84/200] trn/posterior_energy  1.533e+04, trn/neg_log_likelihood  2.193e+04, trn/neg_log_prior -6.596e+03, trn/lr  1.884e-07, trn/temperature  1.000e+00, val/acc 7.659e-01, val/nll 6.835e-01
[2023-02-07 06:22:19] [Cycle   1/ 30][Epoch  85/200] trn/posterior_energy  1.539e+04, trn/neg_log_likelihood  2.162e+04, trn/neg_log_prior -6.238e+03, trn/lr  1.862e-07, trn/temperature  1.000e+00, val/acc 7.718e-01, val/nll 6.617e-01
[2023-02-07 06:22:23] [Cycle   1/ 30][Epoch  86/200] trn/posterior_energy  1.554e+04, trn/neg_log_likelihood  2.144e+04, trn/neg_log_prior -5.900e+03, trn/lr  1.839e-07, trn/temperature  1.000e+00, val/acc 7.692e-01, val/nll 6.774e-01
[2023-02-07 06:22:27] [Cycle   1/ 30][Epoch  87/200] trn/posterior_energy  1.620e+04, trn/neg_log_likelihood  2.171e+04, trn/neg_log_prior -5.515e+03, trn/lr  1.816e-07, trn/temperature  1.000e+00, val/acc 7.673e-01, val/nll 6.774e-01
[2023-02-07 06:22:31] [Cycle   1/ 30][Epoch  88/200] trn/posterior_energy  1.664e+04, trn/neg_log_likelihood  2.183e+04, trn/neg_log_prior -5.187e+03, trn/lr  1.793e-07, trn/temperature  1.000e+00, val/acc 7.655e-01, val/nll 6.889e-01
