[2023-02-03 21:10:53] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 21:10:53] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000030_mo-0.90_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 21:12:28] [Epoch    18/  500] trn/posterior_energy  5.328e+05, trn/neg_log_likelihood  1.682e+05, trn/neg_log_prior  3.646e+05, trn/lr  2.991e-06, val/acc 5.608e-02, val/nll 4.129e+00 (best_acc: 4.912e-02 -> 5.608e-02, test_acc: 5.720e-02, test_nll: 4.119e+00)
[2023-02-03 21:12:32] [Epoch    19/  500] trn/posterior_energy  5.332e+05, trn/neg_log_likelihood  1.684e+05, trn/neg_log_prior  3.648e+05, trn/lr  2.990e-06, val/acc 5.841e-02, val/nll 4.078e+00 (best_acc: 5.608e-02 -> 5.841e-02, test_acc: 6.110e-02, test_nll: 4.057e+00)
[2023-02-03 21:12:36] [Epoch    20/  500] trn/posterior_energy  5.326e+05, trn/neg_log_likelihood  1.677e+05, trn/neg_log_prior  3.649e+05, trn/lr  2.989e-06, val/acc 4.790e-02, val/nll 4.226e+00
[2023-02-03 21:12:40] [Epoch    21/  500] trn/posterior_energy  5.324e+05, trn/neg_log_likelihood  1.674e+05, trn/neg_log_prior  3.649e+05, trn/lr  2.988e-06, val/acc 5.586e-02, val/nll 4.081e+00
[2023-02-03 21:12:44] [Epoch    22/  500] trn/posterior_energy  5.322e+05, trn/neg_log_likelihood  1.671e+05, trn/neg_log_prior  3.651e+05, trn/lr  2.986e-06, val/acc 5.708e-02, val/nll 4.054e+00
[2023-02-03 21:12:47] [Epoch    23/  500] trn/posterior_energy  5.323e+05, trn/neg_log_likelihood  1.671e+05, trn/neg_log_prior  3.652e+05, trn/lr  2.985e-06, val/acc 4.801e-02, val/nll 4.154e+00
[2023-02-03 21:12:51] [Epoch    24/  500] trn/posterior_energy  5.321e+05, trn/neg_log_likelihood  1.670e+05, trn/neg_log_prior  3.651e+05, trn/lr  2.984e-06, val/acc 5.420e-02, val/nll 4.073e+00
[2023-02-03 21:12:55] [Epoch    25/  500] trn/posterior_energy  5.322e+05, trn/neg_log_likelihood  1.667e+05, trn/neg_log_prior  3.655e+05, trn/lr  2.982e-06, val/acc 4.679e-02, val/nll 4.144e+00
[2023-02-03 21:12:59] [Epoch    26/  500] trn/posterior_energy  5.320e+05, trn/neg_log_likelihood  1.664e+05, trn/neg_log_prior  3.656e+05, trn/lr  2.981e-06, val/acc 6.869e-02, val/nll 4.014e+00 (best_acc: 5.841e-02 -> 6.869e-02, test_acc: 6.590e-02, test_nll: 4.022e+00)
[2023-02-03 21:13:03] [Epoch    27/  500] trn/posterior_energy  5.315e+05, trn/neg_log_likelihood  1.662e+05, trn/neg_log_prior  3.653e+05, trn/lr  2.979e-06, val/acc 5.619e-02, val/nll 4.098e+00
